"Geographic Area Name","Units Built (2024)","MoE"
"Sandy city, Utah","35,950","± 2,025"
"South Jordan city, Utah","25,959","± 1,744"
"West Jordan city, Utah","38,619","± 1,899"
"West Valley City city, Utah","42,751","± 2,485"
"Alexandria city, Virginia","81,544","± 39"
"Arlington CDP, Virginia","124,878","± 63"
"Centreville CDP, Virginia","24,582","± 2,079"
"Chesapeake city, Virginia","98,231","± 44"
"Dale City CDP, Virginia","22,012","± 2,023"
"Hampton city, Virginia","62,569","± 57"
"Lynchburg city, Virginia","34,496","± 37"
"Newport News city, Virginia","82,561","± 89"
"Norfolk city, Virginia","105,559","± 528"
"Portsmouth city, Virginia","43,313","± 46"
"Reston CDP, Virginia","32,204","± 2,467"
"Richmond city, Virginia","117,511","± 211"
"Roanoke city, Virginia","49,307","± 45"
"Suffolk city, Virginia","42,088","± 31"
"Virginia Beach city, Virginia","192,239","± 118"
"Auburn city, Washington","32,597","± 2,148"
"Bellevue city, Washington","69,039","± 2,694"
"Bellingham city, Washington","44,877","± 1,858"
"Everett city, Washington","48,847","± 2,786"
"Federal Way city, Washington","36,380","± 2,250"
"Kennewick city, Washington","35,463","± 2,107"
"Kent city, Washington","49,952","± 3,019"
"Kirkland city, Washington","41,910","± 2,502"
"Marysville city, Washington","26,235","± 1,827"
"Pasco city, Washington","27,294","± 1,056"
"Redmond city, Washington","38,240","± 2,245"
"Renton city, Washington","41,337","± 2,340"
"Sammamish city, Washington","21,331","± 973"
"Seattle city, Washington","411,671","± 6,112"
"Shoreline city, Washington","27,923","± 1,838"
"South Hill CDP, Washington","25,614","± 2,596"
"Spokane city, Washington","104,627","± 2,653"
"Spokane Valley city, Washington","46,217","± 1,962"
"Tacoma city, Washington","100,348","± 2,735"
"Vancouver city, Washington","89,916","± 2,601"
"Yakima city, Washington","39,468","± 1,829"
"Appleton city, Wisconsin","31,280","± 1,561"
"Eau Claire city, Wisconsin","33,563","± 1,067"
"Green Bay city, Wisconsin","44,341","± 1,936"
"Janesville city, Wisconsin","30,223","± 1,365"
"Kenosha city, Wisconsin","42,300","± 1,497"
"Madison city, Wisconsin","141,476","± 2,539"
"Milwaukee city, Wisconsin","260,386","± 4,016"
"Oshkosh city, Wisconsin","30,347","± 1,402"
"Racine city, Wisconsin","35,629","± 1,542"
"Waukesha city, Wisconsin","31,107","± 1,445"
"Cheyenne city, Wyoming","31,337","± 1,108"
"Bayamón zona urbana, Puerto Rico","81,144","± 1,798"
"Caguas zona urbana, Puerto Rico","38,750","± 1,918"
"Carolina zona urbana, Puerto Rico","72,721","± 1,750"
"Guaynabo zona urbana, Puerto Rico","31,935","± 1,443"
"Ponce zona urbana, Puerto Rico","57,739","± 2,035"
"San Juan zona urbana, Puerto Rico","191,180","± 2,933"
