"Geographic Area Name","50 or more (2021)","MoE"
"Union City city, California","2,446","± 839"
"Upland city, California","2,861","± 957"
"Vacaville city, California","1,421","± 709"
"Vallejo city, California","3,299","± 813"
"Victorville city, California","1,055","± 655"
"Visalia city, California","897","± 619"
"Vista city, California","1,600","± 523"
"Walnut Creek city, California","5,930","± 1,346"
"West Covina city, California","3,726","± 840"
"Westminster city, California","2,194","± 697"
"Whittier city, California","598","± 264"
"Yorba Linda city, California","1,205","± 540"
"Yuba City city, California","1,422","± 598"
"Arvada city, Colorado","2,178","± 585"
"Aurora city, Colorado","8,567","± 1,438"
"Boulder city, Colorado","6,284","± 1,311"
"Broomfield city, Colorado","3,529","± 689"
"Castle Rock town, Colorado","1,121","± 643"
"Centennial city, Colorado","2,164","± 705"
"Colorado Springs city, Colorado","8,130","± 1,803"
"Denver city, Colorado","77,551","± 4,636"
"Fort Collins city, Colorado","3,971","± 989"
"Grand Junction city, Colorado","1,280","± 618"
"Greeley city, Colorado","1,902","± 708"
"Highlands Ranch CDP, Colorado","1,705","± 574"
"Lakewood city, Colorado","5,837","± 1,242"
"Longmont city, Colorado","2,431","± 792"
"Loveland city, Colorado","1,689","± 721"
"Pueblo city, Colorado","2,594","± 799"
"Thornton city, Colorado","857","± 476"
"Westminster city, Colorado","4,071","± 1,131"
"Bridgeport city, Connecticut","6,740","± 1,365"
"Danbury city, Connecticut","3,526","± 1,267"
"Hartford city, Connecticut","8,489","± 1,466"
"New Britain city, Connecticut","1,672","± 529"
"New Haven city, Connecticut","9,311","± 1,395"
"Norwalk city, Connecticut","4,514","± 1,102"
"Stamford city, Connecticut","16,119","± 2,219"
"Waterbury city, Connecticut","2,398","± 959"
"Wilmington city, Delaware","5,218","± 1,033"
"Washington city, District of Columbia","120,090","± 4,995"
"Alafaya CDP, Florida","1,082","± 994"
"Boca Raton city, Florida","13,323","± 1,863"
"Boynton Beach city, Florida","5,080","± 1,064"
"Brandon CDP, Florida","2,337","± 903"
"Cape Coral city, Florida","1,277","± 675"
"Clearwater city, Florida","9,346","± 1,594"
"Coral Springs city, Florida","2,352","± 877"
"Davie town, Florida","3,025","± 1,304"
"Daytona Beach city, Florida","4,246","± 1,333"
"Deerfield Beach city, Florida","9,876","± 2,322"
"Delray Beach city, Florida","5,232","± 1,201"
"Doral city, Florida","7,164","± 1,250"
"Fort Lauderdale city, Florida","31,044","± 2,630"
