"Geographic Area Name","20 to 49 (2021)","MoE"
"Vista city, California","1,992","± 790"
"Walnut Creek city, California","2,735","± 850"
"West Covina city, California","744","± 379"
"Westminster city, California","1,140","± 503"
"Whittier city, California","1,241","± 536"
"Yorba Linda city, California","559","± 497"
"Yuba City city, California","915","± 570"
"Arvada city, Colorado","2,310","± 755"
"Aurora city, Colorado","8,303","± 1,453"
"Boulder city, Colorado","3,520","± 918"
"Broomfield city, Colorado","1,531","± 458"
"Castle Rock town, Colorado","719","± 395"
"Centennial city, Colorado","1,075","± 618"
"Colorado Springs city, Colorado","12,587","± 1,950"
"Denver city, Colorado","36,731","± 3,247"
"Fort Collins city, Colorado","5,139","± 1,394"
"Grand Junction city, Colorado","2,010","± 989"
"Greeley city, Colorado","1,903","± 863"
"Highlands Ranch CDP, Colorado","275","± 171"
"Lakewood city, Colorado","5,221","± 1,151"
"Longmont city, Colorado","1,585","± 635"
"Loveland city, Colorado","468","± 498"
"Pueblo city, Colorado","1,652","± 696"
"Thornton city, Colorado","1,543","± 823"
"Westminster city, Colorado","3,975","± 1,112"
"Bridgeport city, Connecticut","3,658","± 1,146"
"Danbury city, Connecticut","1,682","± 964"
"Hartford city, Connecticut","5,069","± 1,127"
"New Britain city, Connecticut","1,017","± 476"
"New Haven city, Connecticut","3,699","± 1,060"
"Norwalk city, Connecticut","2,143","± 926"
"Stamford city, Connecticut","2,387","± 794"
"Waterbury city, Connecticut","2,033","± 856"
"Wilmington city, Delaware","1,977","± 748"
"Washington city, District of Columbia","27,183","± 2,602"
"Alafaya CDP, Florida","3,167","± 1,503"
"Boca Raton city, Florida","6,092","± 1,432"
"Boynton Beach city, Florida","4,929","± 1,563"
"Brandon CDP, Florida","2,777","± 1,014"
"Cape Coral city, Florida","1,558","± 675"
"Clearwater city, Florida","6,645","± 1,631"
"Coral Springs city, Florida","3,985","± 1,204"
"Davie town, Florida","4,112","± 1,054"
"Daytona Beach city, Florida","4,279","± 1,283"
"Deerfield Beach city, Florida","7,661","± 1,842"
"Delray Beach city, Florida","3,137","± 1,079"
"Doral city, Florida","1,468","± 567"
"Fort Lauderdale city, Florida","9,403","± 1,744"
"Fort Myers city, Florida","4,353","± 1,630"
"Gainesville city, Florida","5,203","± 1,553"
"Hialeah city, Florida","11,235","± 1,813"
"Hollywood city, Florida","9,090","± 1,869"
"Homestead city, Florida","1,740","± 922"
"Jacksonville city, Florida","20,752","± 3,948"
"Kendall CDP, Florida","2,904","± 1,196"
"Kissimmee city, Florida","522","± 353"
"Lakeland city, Florida","1,905","± 942"
"Largo city, Florida","2,581","± 917"
"Lauderhill city, Florida","4,974","± 1,273"
"Lehigh Acres CDP, Florida","360","± 289"
"Melbourne city, Florida","1,363","± 767"
"Miami city, Florida","18,249","± 2,576"
"Miami Beach city, Florida","8,219","± 1,325"
"Miami Gardens city, Florida","2,045","± 844"
"Miramar city, Florida","1,506","± 737"
"Orlando city, Florida","18,713","± 3,044"
"Palm Bay city, Florida","1,044","± 906"
"Palm Coast city, Florida","445","± 274"
"Pembroke Pines city, Florida","8,437","± 1,959"
"Pine Hills CDP, Florida","374","± 452"
"Plantation city, Florida","2,986","± 1,058"
"Pompano Beach city, Florida","6,950","± 1,707"
"Port Charlotte CDP, Florida","564","± 471"
"Port St. Lucie city, Florida","1,122","± 1,200"
"Riverview CDP, Florida","500","± 440"
"St. Petersburg city, Florida","9,538","± 1,933"
"Spring Hill CDP, Florida","133","± 219"
"Sunrise city, Florida","9,337","± 1,932"
"Tallahassee city, Florida","2,903","± 927"
"Tamarac city, Florida","6,186","± 1,544"
"Tampa city, Florida","9,591","± 1,853"
"Town 'n' Country CDP, Florida","1,746","± 859"
"Wesley Chapel CDP, Florida","300","± 361"
"Weston city, Florida","952","± 354"
"West Palm Beach city, Florida","4,801","± 1,347"
"Albany city, Georgia","564","± 496"
"Alpharetta city, Georgia","755","± 509"
"Athens-Clarke County unified government (balance), Georgia","3,099","± 1,264"
"Atlanta city, Georgia","17,131","± 3,164"
"Augusta-Richmond County consolidated government (balance), Georgia","1,998","± 1,160"
"Columbus city, Georgia","2,121","± 876"
"Johns Creek city, Georgia","334","± 374"
"Macon-Bibb County, Georgia","2,269","± 942"
"Roswell city, Georgia","904","± 553"
"Sandy Springs city, Georgia","2,144","± 1,090"
"Savannah city, Georgia","2,240","± 838"
"South Fulton city, Georgia","1,195","± 1,279"
"Warner Robins city, Georgia","1,119","± 837"
"Urban Honolulu CDP, Hawaii","17,943","± 2,537"
"Boise City city, Idaho","3,879","± 1,184"
"Idaho Falls city, Idaho","532","± 422"
"Meridian city, Idaho","0","± 214"
