"Geographic Area Name","20 to 49 (2024)","MoE"
"Plantation city, Florida","3,426","± 1,281"
"Pompano Beach city, Florida","9,223","± 2,004"
"Port Orange city, Florida","689","± 438"
"Port St. Lucie city, Florida","963","± 659"
"Riverview CDP, Florida","954","± 717"
"St. Petersburg city, Florida","8,036","± 1,686"
"Sanford city, Florida","1,053","± 687"
"Spring Hill CDP, Florida","286","± 294"
"Sunrise city, Florida","5,284","± 1,387"
"Tallahassee city, Florida","6,861","± 1,707"
"Tamarac city, Florida","5,157","± 1,245"
"Tampa city, Florida","10,969","± 2,297"
"Town 'n' Country CDP, Florida","1,832","± 980"
"Wesley Chapel CDP, Florida","719","± 613"
"Weston city, Florida","1,143","± 715"
"West Palm Beach city, Florida","5,594","± 1,848"
"Albany city, Georgia","241","± 245"
"Alpharetta city, Georgia","1,632","± 791"
"Athens-Clarke County unified government (balance), Georgia","3,196","± 874"
"Atlanta city, Georgia","15,383","± 2,346"
"Augusta-Richmond County consolidated government (balance), Georgia","3,100","± 1,152"
"Columbus city, Georgia","3,003","± 1,062"
"Johns Creek city, Georgia","1,570","± 829"
"Mableton city, Georgia","80","± 135"
"Macon-Bibb County, Georgia","2,844","± 1,067"
"Roswell city, Georgia","2,083","± 1,145"
"Sandy Springs city, Georgia","4,517","± 1,495"
"Savannah city, Georgia","2,898","± 1,394"
"South Fulton city, Georgia","513","± 495"
"Warner Robins city, Georgia","0","± 232"
"Urban Honolulu CDP, Hawaii","18,309","± 2,313"
"Boise City city, Idaho","4,368","± 1,225"
"Caldwell city, Idaho","335","± 292"
"Idaho Falls city, Idaho","989","± 572"
"Meridian city, Idaho","571","± 443"
"Nampa city, Idaho","556","± 420"
"Arlington Heights village, Illinois","2,739","± 784"
"Aurora city, Illinois","2,984","± 992"
"Bloomington city, Illinois","1,970","± 882"
"Bolingbrook village, Illinois","1,199","± 702"
"Champaign city, Illinois","4,734","± 1,397"
"Chicago city, Illinois","88,314","± 6,258"
"Cicero town, Illinois","567","± 478"
"Decatur city, Illinois","212","± 192"
"Elgin city, Illinois","611","± 349"
"Evanston city, Illinois","5,095","± 1,260"
"Joliet city, Illinois","416","± 305"
"Naperville city, Illinois","2,090","± 738"
"Palatine village, Illinois","1,777","± 696"
"Peoria city, Illinois","2,174","± 1,058"
"Rockford city, Illinois","1,979","± 835"
"Schaumburg village, Illinois","1,607","± 1,017"
"Skokie village, Illinois","2,400","± 1,050"
"Springfield city, Illinois","908","± 596"
"Waukegan city, Illinois","2,406","± 1,091"
"Bloomington city, Indiana","3,171","± 1,142"
"Carmel city, Indiana","1,095","± 558"
"Evansville city, Indiana","2,307","± 1,067"
"Fishers city, Indiana","1,068","± 725"
"Fort Wayne city, Indiana","4,354","± 1,360"
"Gary city, Indiana","1,392","± 662"
"Greenwood city, Indiana","1,871","± 944"
"Hammond city, Indiana","0","± 211"
"Indianapolis city (balance), Indiana","15,616","± 3,375"
"Lafayette city, Indiana","1,007","± 698"
"Muncie city, Indiana","979","± 563"
"Noblesville city, Indiana","703","± 526"
"South Bend city, Indiana","1,582","± 518"
"Ames city, Iowa","5,584","± 1,444"
"Ankeny city, Iowa","2,603","± 1,490"
"Cedar Rapids city, Iowa","4,100","± 972"
"Davenport city, Iowa","2,477","± 956"
"Des Moines city, Iowa","10,052","± 1,916"
"Iowa City city, Iowa","3,674","± 1,033"
"Sioux City city, Iowa","1,592","± 647"
"Waterloo city, Iowa","496","± 318"
"West Des Moines city, Iowa","5,172","± 1,510"
"Kansas City city, Kansas","1,181","± 608"
"Lawrence city, Kansas","3,027","± 1,140"
"Olathe city, Kansas","1,708","± 592"
"Overland Park city, Kansas","3,315","± 1,194"
"Shawnee city, Kansas","567","± 424"
"Topeka city, Kansas","2,801","± 1,027"
"Wichita city, Kansas","7,560","± 1,667"
"Bowling Green city, Kentucky","4,061","± 1,382"
"Lexington-Fayette urban county, Kentucky","6,894","± 1,787"
"Louisville/Jefferson County metro government (balance), Kentucky","13,560","± 2,969"
"Baton Rouge city, Louisiana","6,612","± 1,876"
"Kenner city, Louisiana","1,104","± 560"
"Lafayette city, Louisiana","2,077","± 945"
"Lake Charles city, Louisiana","479","± 382"
"Metairie CDP, Louisiana","3,899","± 1,681"
"New Orleans city, Louisiana","7,250","± 1,420"
"Shreveport city, Louisiana","1,337","± 758"
"Portland city, Maine","2,883","± 1,059"
"Baltimore city, Maryland","7,759","± 1,770"
"Bethesda CDP, Maryland","1,083","± 387"
"Columbia CDP, Maryland","1,005","± 452"
"Ellicott City CDP, Maryland","933","± 506"
"Frederick city, Maryland","1,290","± 575"
"Gaithersburg city, Maryland","1,378","± 650"
"Germantown CDP, Maryland","1,447","± 1,045"
"Glen Burnie CDP, Maryland","122","± 119"
"Rockville city, Maryland","1,501","± 670"
"Silver Spring CDP, Maryland","1,977","± 963"
"Waldorf CDP, Maryland","662","± 524"
"Boston city, Massachusetts","27,222","± 3,191"
"Brockton city, Massachusetts","425","± 359"
"Cambridge city, Massachusetts","5,888","± 1,183"
"Fall River city, Massachusetts","1,967","± 697"
"Framingham city, Massachusetts","1,859","± 818"
"Haverhill city, Massachusetts","1,573","± 821"
"Lawrence city, Massachusetts","1,494","± 856"
"Lowell city, Massachusetts","3,452","± 1,425"
"Lynn city, Massachusetts","1,632","± 776"
"Malden city, Massachusetts","3,187","± 1,137"
"New Bedford city, Massachusetts","595","± 463"
"Newton city, Massachusetts","1,230","± 474"
"Quincy city, Massachusetts","4,518","± 1,395"
"Somerville city, Massachusetts","1,674","± 540"
"Springfield city, Massachusetts","1,856","± 891"
"Waltham city, Massachusetts","777","± 494"
"Worcester city, Massachusetts","4,323","± 1,270"
"Ann Arbor city, Michigan","2,558","± 957"
"Dearborn city, Michigan","828","± 509"
"Detroit city, Michigan","15,230","± 2,625"
"Farmington Hills city, Michigan","1,300","± 609"
"Flint city, Michigan","875","± 602"
"Grand Rapids city, Michigan","2,967","± 1,007"
"Kalamazoo city, Michigan","2,728","± 909"
"Lansing city, Michigan","2,084","± 976"
"Livonia city, Michigan","238","± 202"
"Novi city, Michigan","990","± 474"
"Rochester Hills city, Michigan","448","± 415"
"Southfield city, Michigan","2,088","± 875"
"Sterling Heights city, Michigan","144","± 236"
"Troy city, Michigan","511","± 351"
"Warren city, Michigan","799","± 563"
"Westland city, Michigan","1,774","± 972"
"Wyoming city, Michigan","2,500","± 914"
"Blaine city, Minnesota","607","± 374"
"Bloomington city, Minnesota","4,174","± 963"
"Brooklyn Park city, Minnesota","1,859","± 897"
"Duluth city, Minnesota","3,362","± 853"
"Eagan city, Minnesota","2,530","± 815"
"Lakeville city, Minnesota","248","± 277"
"Maple Grove city, Minnesota","240","± 157"
"Minneapolis city, Minnesota","21,668","± 3,515"
"Plymouth city, Minnesota","1,570","± 691"
"Rochester city, Minnesota","3,586","± 1,194"
"St. Cloud city, Minnesota","3,484","± 1,264"
"St. Paul city, Minnesota","11,655","± 2,014"
"Woodbury city, Minnesota","376","± 372"
"Gulfport city, Mississippi","1,076","± 750"
"Jackson city, Mississippi","1,555","± 904"
"Columbia city, Missouri","2,481","± 948"
"Independence city, Missouri","1,215","± 856"
"Kansas City city, Missouri","12,120","± 2,127"
"Lee's Summit city, Missouri","1,345","± 591"
"O'Fallon city, Missouri","825","± 652"
"St. Charles city, Missouri","1,037","± 886"
"St. Joseph city, Missouri","806","± 454"
"St. Louis city, Missouri","7,555","± 1,926"
"Springfield city, Missouri","7,343","± 1,454"
"Billings city, Montana","1,713","± 994"
"Missoula city, Montana","3,829","± 1,253"
"Lincoln city, Nebraska","10,294","± 1,893"
"Omaha city, Nebraska","14,252","± 2,212"
"Enterprise CDP, Nevada","2,428","± 1,224"
"Henderson city, Nevada","2,282","± 1,030"
"Las Vegas city, Nevada","9,945","± 2,339"
"North Las Vegas city, Nevada","1,378","± 636"
"Paradise CDP, Nevada","7,121","± 1,695"
"Reno city, Nevada","6,421","± 1,545"
"Sparks city, Nevada","996","± 509"
"Spring Valley CDP, Nevada","2,039","± 1,117"
"Sunrise Manor CDP, Nevada","1,388","± 695"
"Manchester city, New Hampshire","6,414","± 1,669"
"Nashua city, New Hampshire","5,433","± 1,479"
"Bayonne city, New Jersey","2,764","± 976"
"Camden city, New Jersey","800","± 501"
"Clifton city, New Jersey","1,257","± 843"
"East Orange city, New Jersey","3,805","± 1,771"
"Elizabeth city, New Jersey","5,062","± 1,374"
"Jersey City city, New Jersey","11,639","± 1,989"
"Lakewood CDP, New Jersey","983","± 481"
"Newark city, New Jersey","9,977","± 2,475"
"Passaic city, New Jersey","1,725","± 603"
"Paterson city, New Jersey","2,234","± 763"
"Toms River CDP, New Jersey","1,027","± 719"
"Trenton city, New Jersey","349","± 359"
"Union City city, New Jersey","4,052","± 1,376"
"Albuquerque city, New Mexico","12,240","± 2,308"
"Las Cruces city, New Mexico","1,370","± 909"
"Rio Rancho city, New Mexico","0","± 216"
"Santa Fe city, New Mexico","2,656","± 1,118"
"Albany city, New York","3,478","± 1,490"
"Buffalo city, New York","6,058","± 1,453"
"Cheektowaga CDP, New York","68","± 110"
"Mount Vernon city, New York","3,950","± 1,113"
"New Rochelle city, New York","4,753","± 1,510"
"New York city, New York","607,555","± 15,871"
"Rochester city, New York","6,499","± 1,396"
"Schenectady city, New York","820","± 618"
"Syracuse city, New York","5,180","± 1,348"
"Yonkers city, New York","11,233","± 1,996"
"Apex town, North Carolina","216","± 213"
"Asheville city, North Carolina","2,924","± 1,160"
"Cary town, North Carolina","4,362","± 1,525"
"Charlotte city, North Carolina","26,275","± 2,818"
"Concord city, North Carolina","1,031","± 577"
"Durham city, North Carolina","8,671","± 1,941"
"Fayetteville city, North Carolina","3,981","± 967"
"Gastonia city, North Carolina","770","± 583"
"Greensboro city, North Carolina","9,632","± 2,168"
"Greenville city, North Carolina","3,512","± 1,256"
"High Point city, North Carolina","1,130","± 673"
"Huntersville town, North Carolina","2,123","± 973"
"Jacksonville city, North Carolina","1,075","± 583"
"Raleigh city, North Carolina","16,033","± 3,265"
"Wilmington city, North Carolina","5,101","± 1,453"
"Winston-Salem city, North Carolina","4,844","± 1,696"
"Bismarck city, North Dakota","2,814","± 955"
"Fargo city, North Dakota","14,390","± 2,440"
"Akron city, Ohio","2,589","± 1,101"
"Canton city, Ohio","1,090","± 614"
"Cincinnati city, Ohio","9,581","± 2,111"
"Cleveland city, Ohio","8,403","± 1,953"
"Columbus city, Ohio","22,596","± 2,877"
"Dayton city, Ohio","2,247","± 1,221"
"Lorain city, Ohio","530","± 476"
"Parma city, Ohio","545","± 398"
"Toledo city, Ohio","3,773","± 962"
"Broken Arrow city, Oklahoma","1,172","± 457"
"Edmond city, Oklahoma","784","± 487"
"Lawton city, Oklahoma","595","± 289"
"Norman city, Oklahoma","693","± 490"
"Oklahoma City city, Oklahoma","8,637","± 1,759"
"Tulsa city, Oklahoma","10,177","± 1,023"
"Beaverton city, Oregon","2,273","± 869"
"Bend city, Oregon","1,150","± 749"
"Eugene city, Oregon","4,761","± 1,396"
"Gresham city, Oregon","2,893","± 950"
"Hillsboro city, Oregon","2,594","± 1,092"
"Medford city, Oregon","1,207","± 649"
"Portland city, Oregon","23,515","± 3,013"
"Salem city, Oregon","3,134","± 1,361"
"Allentown city, Pennsylvania","676","± 487"
"Bethlehem city, Pennsylvania","516","± 388"
"Erie city, Pennsylvania","925","± 661"
"Philadelphia city, Pennsylvania","32,969","± 4,579"
"Pittsburgh city, Pennsylvania","7,695","± 1,426"
"Reading city, Pennsylvania","331","± 302"
"Scranton city, Pennsylvania","925","± 510"
"Cranston city, Rhode Island","740","± 542"
"Pawtucket city, Rhode Island","925","± 518"
"Providence city, Rhode Island","3,436","± 1,195"
"Warwick city, Rhode Island","1,618","± 680"
"Charleston city, South Carolina","6,511","± 1,952"
"Columbia city, South Carolina","6,125","± 2,256"
"Greenville city, South Carolina","3,595","± 1,205"
"Mount Pleasant town, South Carolina","2,270","± 832"
"North Charleston city, South Carolina","4,689","± 1,822"
"Rock Hill city, South Carolina","2,041","± 1,113"
"Rapid City city, South Dakota","3,651","± 1,201"
"Sioux Falls city, South Dakota","11,451","± 2,176"
"Chattanooga city, Tennessee","4,703","± 1,546"
"Clarksville city, Tennessee","1,768","± 832"
"Franklin city, Tennessee","1,847","± 775"
"Jackson city, Tennessee","900","± 800"
"Johnson City city, Tennessee","2,223","± 919"
"Knoxville city, Tennessee","7,032","± 1,845"
"Memphis city, Tennessee","8,637","± 2,207"
"Murfreesboro city, Tennessee","6,307","± 2,125"
"Nashville-Davidson metropolitan government (balance), Tennessee","20,901","± 3,490"
"Abilene city, Texas","1,544","± 955"
"Allen city, Texas","1,627","± 831"
"Amarillo city, Texas","2,412","± 934"
"Arlington city, Texas","6,241","± 1,705"
"Austin city, Texas","47,302","± 5,983"
"Baytown city, Texas","1,563","± 951"
"Beaumont city, Texas","1,462","± 884"
"Brownsville city, Texas","2,147","± 879"
"Bryan city, Texas","1,139","± 574"
"Carrollton city, Texas","2,669","± 1,143"
"Cedar Park city, Texas","1,130","± 808"
"College Station city, Texas","1,777","± 753"
"Conroe city, Texas","3,238","± 1,629"
"Corpus Christi city, Texas","5,297","± 1,416"
"Dallas city, Texas","43,604","± 5,158"
"Denton city, Texas","5,310","± 1,516"
"Edinburg city, Texas","47","± 78"
"El Paso city, Texas","7,111","± 1,942"
"Flower Mound town, Texas","308","± 191"
"Fort Worth city, Texas","21,077","± 3,911"
"Frisco city, Texas","3,473","± 1,322"
"Garland city, Texas","5,572","± 1,962"
"Georgetown city, Texas","1,674","± 772"
"Grand Prairie city, Texas","2,885","± 1,293"
"Harlingen city, Texas","490","± 485"
"Houston city, Texas","68,908","± 5,687"
"Irving city, Texas","10,547","± 2,172"
"Killeen city, Texas","1,194","± 655"
"Laredo city, Texas","2,484","± 997"
"League City city, Texas","878","± 902"
"Leander city, Texas","1,038","± 793"
"Lewisville city, Texas","4,082","± 1,522"
"Longview city, Texas","1,796","± 854"
"Lubbock city, Texas","4,560","± 1,244"
"McAllen city, Texas","1,467","± 698"
"McKinney city, Texas","2,334","± 1,109"
"Mansfield city, Texas","2,078","± 1,153"
"Mesquite city, Texas","1,713","± 1,133"
"Midland city, Texas","1,242","± 893"
"Mission city, Texas","54","± 91"
"New Braunfels city, Texas","2,410","± 1,095"
"North Richland Hills city, Texas","771","± 529"
"Odessa city, Texas","2,904","± 1,694"
"Pasadena city, Texas","4,143","± 1,129"
"Pearland city, Texas","1,326","± 1,029"
"Pharr city, Texas","256","± 282"
"Plano city, Texas","5,031","± 1,437"
"Richardson city, Texas","2,918","± 1,005"
"Round Rock city, Texas","3,739","± 1,309"
"San Angelo city, Texas","1,826","± 868"
"San Antonio city, Texas","35,826","± 4,663"
"San Marcos city, Texas","2,132","± 961"
"Temple city, Texas","1,217","± 647"
"The Woodlands CDP, Texas","1,205","± 943"
"Tyler city, Texas","2,697","± 935"
"Victoria city, Texas","613","± 575"
"Waco city, Texas","3,245","± 1,386"
"Wichita Falls city, Texas","491","± 240"
"Layton city, Utah","586","± 445"
"Lehi city, Utah","283","± 282"
"Ogden city, Utah","2,009","± 697"
"Orem city, Utah","1,413","± 736"
"Provo city, Utah","3,300","± 1,009"
"St. George city, Utah","910","± 455"
"Salt Lake City city, Utah","8,860","± 2,295"
"Sandy city, Utah","1,290","± 631"
"South Jordan city, Utah","393","± 352"
"West Jordan city, Utah","1,411","± 927"
"West Valley City city, Utah","748","± 624"
"Alexandria city, Virginia","4,326","± 1,233"
"Arlington CDP, Virginia","4,384","± 1,100"
"Centreville CDP, Virginia","370","± 260"
"Chesapeake city, Virginia","1,618","± 880"
"Hampton city, Virginia","2,579","± 935"
"Lynchburg city, Virginia","2,461","± 817"
"Newport News city, Virginia","2,552","± 841"
"Norfolk city, Virginia","5,256","± 1,351"
"Portsmouth city, Virginia","1,371","± 638"
"Reston CDP, Virginia","760","± 568"
"Richmond city, Virginia","9,679","± 1,934"
"Roanoke city, Virginia","1,710","± 753"
"Suffolk city, Virginia","883","± 592"
"Virginia Beach city, Virginia","3,526","± 1,310"
"Auburn city, Washington","2,084","± 969"
"Bellevue city, Washington","5,499","± 1,611"
"Bellingham city, Washington","4,945","± 1,392"
"Everett city, Washington","4,091","± 1,460"
"Federal Way city, Washington","1,518","± 733"
"Kennewick city, Washington","1,467","± 1,028"
"Kent city, Washington","2,555","± 1,330"
"Kirkland city, Washington","2,344","± 867"
"Marysville city, Washington","874","± 668"
"Pasco city, Washington","901","± 566"
"Redmond city, Washington","2,306","± 940"
"Renton city, Washington","1,983","± 780"
"Sammamish city, Washington","101","± 120"
"Seattle city, Washington","53,238","± 4,659"
"Shoreline city, Washington","2,848","± 1,030"
"South Hill CDP, Washington","1,098","± 879"
"Spokane city, Washington","6,222","± 1,667"
"Spokane Valley city, Washington","2,093","± 774"
"Tacoma city, Washington","8,664","± 1,772"
"Vancouver city, Washington","3,126","± 937"
"Yakima city, Washington","1,591","± 681"
"Appleton city, Wisconsin","916","± 429"
"Eau Claire city, Wisconsin","1,127","± 727"
"Green Bay city, Wisconsin","1,794","± 856"
"Janesville city, Wisconsin","1,376","± 679"
"Kenosha city, Wisconsin","2,542","± 992"
"Madison city, Wisconsin","17,844","± 2,925"
"Milwaukee city, Wisconsin","20,026","± 2,595"
"Oshkosh city, Wisconsin","649","± 507"
"Racine city, Wisconsin","1,591","± 862"
"Waukesha city, Wisconsin","3,454","± 849"
"Cheyenne city, Wyoming","1,256","± 624"
"Bayamón zona urbana, Puerto Rico","1,491","± 749"
"Caguas zona urbana, Puerto Rico","1,325","± 692"
"Carolina zona urbana, Puerto Rico","2,512","± 885"
"Guaynabo zona urbana, Puerto Rico","1,572","± 624"
"Ponce zona urbana, Puerto Rico","1,831","± 587"
"San Juan zona urbana, Puerto Rico","8,236","± 1,557"
