"Geographic Area Name","20 to 49 (2024)","MoE"
"Auburn city, Alabama","2,656","± 941"
"Birmingham city, Alabama","6,977","± 1,588"
"Dothan city, Alabama","293","± 186"
"Hoover city, Alabama","1,315","± 917"
"Huntsville city, Alabama","2,951","± 1,214"
"Madison city, Alabama","1,433","± 866"
"Mobile city, Alabama","3,778","± 1,117"
"Montgomery city, Alabama","529","± 397"
"Tuscaloosa city, Alabama","2,141","± 735"
"Anchorage municipality, Alaska","6,755","± 1,703"
"Avondale city, Arizona","174","± 201"
"Casa Grande city, Arizona","468","± 359"
"Casas Adobes CDP, Arizona","1,497","± 872"
"Chandler city, Arizona","2,796","± 1,229"
"Flagstaff city, Arizona","541","± 432"
"Gilbert town, Arizona","1,355","± 743"
"Glendale city, Arizona","4,099","± 1,293"
"Goodyear city, Arizona","372","± 318"
"Mesa city, Arizona","6,224","± 1,561"
"Peoria city, Arizona","1,075","± 684"
"Phoenix city, Arizona","27,932","± 3,998"
"Scottsdale city, Arizona","4,785","± 1,522"
"Surprise city, Arizona","1,766","± 1,094"
"Tempe city, Arizona","3,696","± 1,439"
"Tucson city, Arizona","14,049","± 2,770"
"Yuma city, Arizona","241","± 255"
"Conway city, Arkansas","760","± 573"
"Fayetteville city, Arkansas","1,632","± 652"
"Fort Smith city, Arkansas","533","± 451"
"Jonesboro city, Arkansas","777","± 616"
"Little Rock city, Arkansas","4,064","± 1,407"
"Rogers city, Arkansas","372","± 335"
"Springdale city, Arkansas","341","± 377"
"Alameda city, California","3,916","± 1,100"
"Alhambra city, California","2,397","± 936"
"Anaheim city, California","6,052","± 1,518"
"Antioch city, California","806","± 638"
"Apple Valley town, California","602","± 563"
"Arden-Arcade CDP, California","2,231","± 848"
"Bakersfield city, California","1,585","± 642"
"Baldwin Park city, California","651","± 512"
"Bellflower city, California","2,097","± 784"
"Berkeley city, California","5,475","± 1,342"
"Buena Park city, California","1,412","± 658"
"Burbank city, California","4,804","± 1,296"
"Camarillo city, California","445","± 352"
"Carlsbad city, California","2,508","± 823"
"Carmichael CDP, California","1,097","± 589"
"Carson city, California","1,025","± 578"
"Castro Valley CDP, California","753","± 462"
"Chico city, California","2,397","± 1,196"
"Chino city, California","520","± 522"
"Chino Hills city, California","481","± 358"
"Chula Vista city, California","3,666","± 1,018"
"Citrus Heights city, California","349","± 239"
"Clovis city, California","1,453","± 995"
"Compton city, California","279","± 298"
"Concord city, California","2,729","± 973"
"Corona city, California","2,238","± 1,241"
"Costa Mesa city, California","2,240","± 1,139"
"Daly City city, California","3,139","± 1,088"
"Davis city, California","1,850","± 832"
"Downey city, California","4,730","± 1,460"
"Dublin city, California","343","± 346"
"East Los Angeles CDP, California","630","± 492"
"El Cajon city, California","4,711","± 1,306"
"Elk Grove city, California","312","± 284"
"El Monte city, California","1,067","± 521"
"Escondido city, California","2,561","± 1,075"
"Fairfield city, California","1,527","± 722"
"Folsom city, California","233","± 231"
"Fontana city, California","1,015","± 512"
"Fremont city, California","3,538","± 1,033"
"Fresno city, California","6,536","± 1,626"
"Fullerton city, California","1,452","± 782"
"Garden Grove city, California","1,840","± 787"
"Glendale city, California","10,123","± 1,905"
"Hawthorne city, California","5,640","± 1,345"
"Hayward city, California","2,825","± 854"
"Hemet city, California","965","± 708"
"Hesperia city, California","372","± 525"
"Huntington Beach city, California","1,794","± 807"
"Indio city, California","0","± 225"
"Inglewood city, California","3,889","± 1,678"
"Irvine city, California","3,199","± 1,450"
"Jurupa Valley city, California","34","± 58"
"Lake Elsinore city, California","352","± 417"
"Lake Forest city, California","252","± 282"
"Lakewood city, California","953","± 780"
"Lancaster city, California","570","± 624"
"Livermore city, California","1,007","± 645"
"Lodi city, California","490","± 294"
"Long Beach city, California","10,793","± 2,059"
"Los Angeles city, California","209,285","± 7,766"
"Lynwood city, California","596","± 363"
"Madera city, California","410","± 385"
"Manteca city, California","761","± 577"
"Menifee city, California","58","± 99"
"Merced city, California","130","± 103"
"Milpitas city, California","373","± 325"
"Mission Viejo city, California","415","± 468"
"Modesto city, California","1,948","± 1,031"
"Moreno Valley city, California","1,368","± 773"
"Mountain View city, California","3,780","± 1,014"
"Murrieta city, California","1,795","± 984"
"Napa city, California","1,819","± 981"
"Newport Beach city, California","2,413","± 1,189"
"Norwalk city, California","1,726","± 890"
"Oakland city, California","17,845","± 2,462"
"Oceanside city, California","2,042","± 744"
"Ontario city, California","988","± 588"
"Orange city, California","1,130","± 577"
"Oxnard city, California","3,346","± 1,141"
"Palmdale city, California","1,074","± 551"
"Palo Alto city, California","2,088","± 765"
"Pasadena city, California","6,068","± 1,496"
"Perris city, California","674","± 640"
"Pittsburg city, California","510","± 632"
"Pleasanton city, California","723","± 594"
"Pomona city, California","2,556","± 807"
"Rancho Cordova city, California","1,177","± 819"
"Rancho Cucamonga city, California","565","± 405"
"Redding city, California","878","± 443"
"Redlands city, California","1,021","± 715"
"Redondo Beach city, California","3,262","± 1,161"
"Redwood City city, California","2,259","± 809"
"Rialto city, California","522","± 341"
"Richmond city, California","2,170","± 1,152"
"Riverside city, California","8,126","± 1,787"
"Rocklin city, California","979","± 701"
"Roseville city, California","1,634","± 969"
"Sacramento city, California","9,170","± 1,906"
"Salinas city, California","2,079","± 895"
"San Bernardino city, California","1,804","± 754"
"San Buenaventura (Ventura) city, California","2,547","± 929"
"San Diego city, California","37,161","± 3,732"
"San Francisco city, California","40,815","± 3,640"
"San Jose city, California","13,410","± 2,391"
"San Leandro city, California","2,758","± 1,213"
"San Marcos city, California","794","± 529"
"San Mateo city, California","4,551","± 1,185"
"San Ramon city, California","779","± 472"
"Santa Ana city, California","4,467","± 1,457"
"Santa Barbara city, California","3,439","± 967"
"Santa Clara city, California","4,719","± 1,516"
"Santa Clarita city, California","1,346","± 714"
"Santa Maria city, California","689","± 430"
"Santa Monica city, California","7,596","± 2,117"
"Santa Rosa city, California","2,748","± 1,071"
"Simi Valley city, California","1,377","± 817"
"South Gate city, California","1,126","± 568"
"Stockton city, California","2,161","± 757"
"Sunnyvale city, California","3,864","± 978"
"Temecula city, California","730","± 410"
"Thousand Oaks city, California","646","± 435"
"Torrance city, California","5,516","± 1,349"
"Tracy city, California","484","± 392"
"Tulare city, California","196","± 269"
"Turlock city, California","618","± 402"
"Tustin city, California","1,652","± 752"
"Union City city, California","632","± 569"
"Upland city, California","382","± 356"
"Vacaville city, California","362","± 336"
"Vallejo city, California","609","± 406"
"Victorville city, California","121","± 152"
"Visalia city, California","163","± 152"
"Vista city, California","2,099","± 1,110"
"Walnut Creek city, California","2,687","± 983"
"West Covina city, California","818","± 468"
"Westminster city, California","606","± 299"
"Whittier city, California","1,186","± 737"
"Yorba Linda city, California","0","± 225"
"Yuba City city, California","1,285","± 667"
"Arvada city, Colorado","2,374","± 939"
"Aurora city, Colorado","8,798","± 2,313"
"Boulder city, Colorado","5,682","± 1,191"
"Broomfield city, Colorado","1,908","± 604"
"Castle Rock town, Colorado","1,301","± 869"
"Centennial city, Colorado","1,204","± 769"
"Colorado Springs city, Colorado","14,458","± 2,456"
"Commerce City city, Colorado","267","± 425"
"Denver city, Colorado","31,831","± 3,165"
"Fort Collins city, Colorado","3,998","± 1,271"
"Grand Junction city, Colorado","2,278","± 690"
"Greeley city, Colorado","1,903","± 868"
"Highlands Ranch CDP, Colorado","733","± 387"
"Lakewood city, Colorado","7,490","± 1,546"
"Longmont city, Colorado","3,888","± 1,464"
"Loveland city, Colorado","345","± 240"
"Parker town, Colorado","921","± 522"
"Pueblo city, Colorado","1,764","± 943"
"Thornton city, Colorado","3,646","± 1,351"
"Westminster city, Colorado","4,249","± 1,391"
"Bridgeport city, Connecticut","3,946","± 1,025"
"Danbury city, Connecticut","2,166","± 1,304"
"Hartford city, Connecticut","4,997","± 1,216"
"New Britain city, Connecticut","1,683","± 972"
"New Haven city, Connecticut","6,247","± 1,580"
"Norwalk city, Connecticut","2,903","± 1,176"
"Stamford city, Connecticut","3,874","± 1,408"
"Waterbury city, Connecticut","2,258","± 1,176"
"Wilmington city, Delaware","1,768","± 838"
"Washington city, District of Columbia","30,516","± 3,385"
"Alafaya CDP, Florida","1,824","± 820"
"Boca Raton city, Florida","4,930","± 1,427"
"Boynton Beach city, Florida","4,270","± 1,338"
"Brandon CDP, Florida","2,179","± 1,281"
"Cape Coral city, Florida","1,827","± 769"
"Clearwater city, Florida","7,956","± 1,796"
"Coral Springs city, Florida","2,457","± 1,085"
"Davie town, Florida","5,853","± 1,474"
"Daytona Beach city, Florida","4,289","± 1,611"
"Deerfield Beach city, Florida","7,835","± 1,759"
"Delray Beach city, Florida","2,614","± 1,056"
"Doral city, Florida","3,438","± 1,189"
"Fort Lauderdale city, Florida","9,846","± 2,068"
"Fort Myers city, Florida","5,239","± 1,427"
"Four Corners CDP, Florida","3,944","± 1,347"
"Gainesville city, Florida","6,788","± 2,274"
"Hialeah city, Florida","9,360","± 1,743"
"Hollywood city, Florida","7,457","± 1,855"
"Homestead city, Florida","2,485","± 1,123"
"Jacksonville city, Florida","20,515","± 4,078"
"Kendall CDP, Florida","3,539","± 1,177"
"Kissimmee city, Florida","2,815","± 1,418"
"Lakeland city, Florida","1,423","± 696"
"Largo city, Florida","1,752","± 757"
"Lauderhill city, Florida","4,900","± 1,297"
"Lehigh Acres CDP, Florida","246","± 377"
"Melbourne city, Florida","2,191","± 899"
"Miami city, Florida","19,758","± 3,030"
"Miami Beach city, Florida","10,359","± 1,859"
"Miami Gardens city, Florida","2,158","± 904"
"Miramar city, Florida","4,079","± 1,394"
"North Port city, Florida","568","± 371"
"Ocala city, Florida","2,541","± 1,365"
"Orlando city, Florida","15,174","± 2,857"
"Palm Bay city, Florida","531","± 336"
"Palm Coast city, Florida","156","± 204"
"Pembroke Pines city, Florida","6,205","± 1,879"
"Pine Hills CDP, Florida","515","± 404"
