"Geographic Area Name","Vacant (2021)","MoE"
"Auburn city, Alabama","6,025","± 1,453"
"Birmingham city, Alabama","20,963","± 2,499"
"Dothan city, Alabama","3,567","± 620"
"Hoover city, Alabama","2,100","± 858"
"Huntsville city, Alabama","7,590","± 1,665"
"Mobile city, Alabama","10,516","± 1,510"
"Montgomery city, Alabama","11,526","± 1,954"
"Tuscaloosa city, Alabama","11,647","± 1,733"
"Anchorage municipality, Alaska","10,224","± 1,872"
"Avondale city, Arizona","1,039","± 589"
"Buckeye city, Arizona","1,726","± 815"
"Casas Adobes CDP, Arizona","1,779","± 794"
"Chandler city, Arizona","4,468","± 1,282"
"Flagstaff city, Arizona","3,166","± 1,225"
"Gilbert town, Arizona","2,036","± 803"
"Glendale city, Arizona","4,980","± 1,327"
"Goodyear city, Arizona","2,711","± 1,129"
"Mesa city, Arizona","22,883","± 3,295"
"Peoria city, Arizona","3,215","± 1,095"
"Phoenix city, Arizona","42,586","± 3,312"
"Queen Creek town, Arizona","905","± 606"
"San Tan Valley CDP, Arizona","4,146","± 1,708"
"Scottsdale city, Arizona","19,862","± 2,739"
"Surprise city, Arizona","6,922","± 1,309"
"Tempe city, Arizona","5,866","± 1,498"
"Tucson city, Arizona","19,748","± 2,807"
"Yuma city, Arizona","7,078","± 1,504"
"Conway city, Arkansas","2,219","± 1,021"
"Fayetteville city, Arkansas","4,602","± 1,450"
"Fort Smith city, Arkansas","3,572","± 1,269"
"Jonesboro city, Arkansas","4,020","± 1,475"
"Little Rock city, Arkansas","10,454","± 1,929"
"Rogers city, Arkansas","3,484","± 1,024"
"Springdale city, Arkansas","1,551","± 902"
"Alameda city, California","2,135","± 890"
"Alhambra city, California","1,983","± 721"
"Anaheim city, California","4,711","± 1,316"
"Antioch city, California","569","± 497"
"Apple Valley town, California","733","± 683"
"Arden-Arcade CDP, California","1,344","± 739"
"Bakersfield city, California","6,263","± 1,659"
"Baldwin Park city, California","493","± 317"
"Bellflower city, California","504","± 367"
"Berkeley city, California","6,335","± 1,430"
"Buena Park city, California","660","± 473"
"Burbank city, California","4,085","± 1,403"
"Camarillo city, California","1,090","± 718"
"Carlsbad city, California","3,498","± 1,398"
"Carmichael CDP, California","1,644","± 911"
"Carson city, California","666","± 454"
"Castro Valley CDP, California","1,006","± 636"
"Chico city, California","1,802","± 934"
"Chino city, California","509","± 392"
"Chino Hills city, California","448","± 525"
"Chula Vista city, California","5,370","± 1,536"
"Citrus Heights city, California","1,356","± 615"
"Clovis city, California","1,275","± 682"
"Compton city, California","973","± 392"
"Concord city, California","876","± 605"
"Corona city, California","1,708","± 905"
"Costa Mesa city, California","1,853","± 950"
"Daly City city, California","4,681","± 1,235"
"Davis city, California","2,276","± 1,082"
"Downey city, California","1,573","± 786"
"Dublin city, California","1,684","± 744"
"East Los Angeles CDP, California","2,052","± 824"
"Eastvale city, California","312","± 507"
"El Cajon city, California","549","± 409"
"Elk Grove city, California","661","± 572"
"El Monte city, California","899","± 371"
"Escondido city, California","2,371","± 741"
"Fairfield city, California","1,930","± 707"
"Folsom city, California","1,226","± 695"
"Fontana city, California","697","± 486"
"Fremont city, California","3,764","± 1,217"
"Fresno city, California","6,915","± 1,365"
"Fullerton city, California","1,411","± 733"
"Garden Grove city, California","1,484","± 492"
"Glendale city, California","5,389","± 1,377"
"Hawthorne city, California","1,122","± 647"
"Hayward city, California","2,158","± 758"
"Hemet city, California","3,156","± 1,220"
"Hesperia city, California","649","± 437"
"Huntington Beach city, California","3,728","± 1,094"
"Indio city, California","6,076","± 1,366"
"Inglewood city, California","2,111","± 734"
"Irvine city, California","10,612","± 3,036"
"Jurupa Valley city, California","1,223","± 642"
"Lake Elsinore city, California","553","± 651"
"Lake Forest city, California","1,560","± 892"
"Lakewood city, California","495","± 457"
"Lancaster city, California","2,127","± 795"
