"Geographic Area Name","1, detached (2021)","MoE"
"Downey city, California","21,573","± 1,869"
"Dublin city, California","14,757","± 1,373"
"East Los Angeles CDP, California","17,559","± 1,631"
"El Cajon city, California","13,959","± 1,528"
"Elk Grove city, California","47,786","± 2,211"
"El Monte city, California","15,403","± 1,323"
"Escondido city, California","27,395","± 2,106"
"Fairfield city, California","26,006","± 1,914"
"Folsom city, California","22,366","± 2,075"
"Fontana city, California","46,136","± 2,419"
"Fremont city, California","43,693","± 2,264"
"Fresno city, California","111,454","± 3,097"
"Fullerton city, California","24,782","± 1,635"
"Garden Grove city, California","27,655","± 2,037"
"Glendale city, California","25,722","± 1,641"
"Hawthorne city, California","7,779","± 1,138"
"Hayward city, California","26,628","± 1,827"
"Hemet city, California","20,436","± 1,983"
"Hesperia city, California","25,246","± 1,887"
"Huntington Beach city, California","41,869","± 2,165"
"Indio city, California","28,087","± 2,187"
"Inglewood city, California","14,414","± 1,521"
"Irvine city, California","45,588","± 3,784"
"Jurupa Valley city, California","22,835","± 1,374"
"Lake Elsinore city, California","16,678","± 1,395"
"Lake Forest city, California","16,496","± 1,357"
"Lakewood city, California","20,884","± 1,713"
"Lancaster city, California","37,550","± 2,319"
"Livermore city, California","20,973","± 1,804"
"Lodi city, California","16,671","± 1,342"
"Long Beach city, California","72,311","± 2,920"
"Los Angeles city, California","573,520","± 7,620"
"Lynwood city, California","8,992","± 1,100"
"Madera city, California","12,990","± 1,775"
"Manteca city, California","22,196","± 1,990"
"Merced city, California","18,711","± 1,529"
"Milpitas city, California","12,568","± 1,022"
"Mission Viejo city, California","26,589","± 1,616"
"Modesto city, California","53,284","± 2,610"
"Moreno Valley city, California","43,840","± 2,262"
"Mountain View city, California","10,256","± 1,363"
"Murrieta city, California","27,980","± 2,234"
"Napa city, California","20,762","± 1,276"
"Newport Beach city, California","21,294","± 1,877"
"Norwalk city, California","20,360","± 1,038"
"Oakland city, California","79,024","± 3,301"
"Oceanside city, California","32,257","± 2,236"
"Ontario city, California","33,664","± 1,748"
"Orange city, California","24,946","± 1,709"
"Oxnard city, California","28,723","± 1,925"
"Palmdale city, California","38,878","± 1,722"
"Palo Alto city, California","16,814","± 1,529"
"Pasadena city, California","27,114","± 2,023"
"Pittsburg city, California","15,968","± 1,552"
"Pleasanton city, California","18,245","± 1,546"
"Pomona city, California","24,967","± 1,660"
"Rancho Cordova city, California","19,277","± 1,558"
"Rancho Cucamonga city, California","35,452","± 2,417"
"Redding city, California","25,116","± 1,658"
"Redlands city, California","15,957","± 1,936"
"Redondo Beach city, California","12,123","± 1,869"
"Redwood City city, California","14,220","± 1,197"
"Rialto city, California","20,428","± 1,438"
"Richmond city, California","25,505","± 1,917"
"Riverside city, California","59,487","± 2,607"
"Rocklin city, California","18,834","± 1,242"
"Roseville city, California","43,929","± 2,199"
"Sacramento city, California","129,937","± 3,717"
"Salinas city, California","24,118","± 1,793"
"San Bernardino city, California","41,152","± 2,161"
"San Buenaventura (Ventura) city, California","26,461","± 1,958"
"San Diego city, California","240,967","± 6,230"
"San Francisco city, California","78,770","± 4,253"
"San Jose city, California","173,419","± 4,795"
"San Leandro city, California","18,103","± 1,756"
"San Marcos city, California","16,725","± 1,938"
"San Mateo city, California","17,937","± 1,499"
"San Ramon city, California","21,133","± 1,404"
"Santa Ana city, California","37,386","± 2,195"
"Santa Barbara city, California","17,294","± 1,638"
"Santa Clara city, California","19,756","± 1,765"
"Santa Clarita city, California","46,005","± 2,403"
"Santa Maria city, California","18,866","± 1,580"
"Santa Monica city, California","9,736","± 1,538"
"Santa Rosa city, California","41,631","± 2,666"
"Simi Valley city, California","31,165","± 2,128"
"South Gate city, California","14,713","± 1,242"
"Stockton city, California","69,805","± 2,925"
"Sunnyvale city, California","22,442","± 1,494"
"Temecula city, California","27,071","± 1,843"
"Thousand Oaks city, California","32,200","± 1,833"
"Torrance city, California","31,621","± 1,991"
"Tracy city, California","24,712","± 1,996"
"Tulare city, California","16,820","± 1,486"
"Turlock city, California","17,450","± 1,679"
"Tustin city, California","10,070","± 1,363"
"Union City city, California","14,119","± 1,258"
"Upland city, California","14,385","± 1,254"
"Vacaville city, California","25,445","± 2,203"
"Vallejo city, California","31,320","± 1,852"
"Victorville city, California","30,679","± 2,037"
"Visalia city, California","35,930","± 2,326"
"Vista city, California","15,584","± 1,325"
"Walnut Creek city, California","13,030","± 1,250"
"West Covina city, California","21,221","± 1,153"
"Westminster city, California","15,945","± 1,727"
"Whittier city, California","18,644","± 1,380"
"Yorba Linda city, California","18,327","± 1,326"
"Yuba City city, California","15,731","± 1,575"
"Arvada city, Colorado","37,385","± 1,966"
"Aurora city, Colorado","78,676","± 3,492"
"Boulder city, Colorado","16,652","± 1,391"
"Broomfield city, Colorado","20,470","± 1,091"
"Castle Rock town, Colorado","21,500","± 1,429"
"Centennial city, Colorado","30,375","± 1,535"
"Colorado Springs city, Colorado","127,851","± 4,102"
"Denver city, Colorado","150,994","± 4,037"
"Fort Collins city, Colorado","38,516","± 1,816"
"Grand Junction city, Colorado","18,290","± 1,549"
"Greeley city, Colorado","23,595","± 1,772"
"Highlands Ranch CDP, Colorado","30,511","± 1,859"
"Lakewood city, Colorado","35,528","± 2,325"
"Longmont city, Colorado","28,154","± 1,733"
"Loveland city, Colorado","24,033","± 1,988"
"Pueblo city, Colorado","35,950","± 1,632"
"Thornton city, Colorado","32,328","± 2,072"
"Westminster city, Colorado","28,269","± 1,736"
"Bridgeport city, Connecticut","16,777","± 2,200"
"Danbury city, Connecticut","15,510","± 1,676"
"Hartford city, Connecticut","9,653","± 1,337"
"New Britain city, Connecticut","10,473","± 1,480"
"New Haven city, Connecticut","10,760","± 1,663"
"Norwalk city, Connecticut","18,193","± 1,594"
"Stamford city, Connecticut","19,948","± 1,859"
"Waterbury city, Connecticut","22,282","± 2,182"
"Wilmington city, Delaware","3,762","± 1,111"
"Washington city, District of Columbia","39,867","± 2,871"
"Alafaya CDP, Florida","22,755","± 3,593"
"Boca Raton city, Florida","19,743","± 1,933"
"Boynton Beach city, Florida","15,819","± 1,573"
"Brandon CDP, Florida","25,667","± 2,293"
"Cape Coral city, Florida","74,389","± 3,556"
"Clearwater city, Florida","23,448","± 1,814"
"Coral Springs city, Florida","23,588","± 1,880"
"Davie town, Florida","17,900","± 1,885"
"Daytona Beach city, Florida","17,865","± 1,865"
"Deerfield Beach city, Florida","13,488","± 1,852"
"Delray Beach city, Florida","12,454","± 1,605"
"Doral city, Florida","5,993","± 1,031"
"Fort Lauderdale city, Florida","34,038","± 2,422"
"Fort Myers city, Florida","18,778","± 2,289"
"Gainesville city, Florida","26,393","± 2,343"
"Hialeah city, Florida","30,708","± 2,160"
"Hollywood city, Florida","33,506","± 2,239"
"Homestead city, Florida","12,139","± 2,208"
"Jacksonville city, Florida","250,660","± 5,738"
"Kendall CDP, Florida","13,656","± 1,560"
"Kissimmee city, Florida","13,491","± 1,760"
"Lakeland city, Florida","28,242","± 2,147"
"Largo city, Florida","14,259","± 1,730"
"Lauderhill city, Florida","9,934","± 1,565"
"Lehigh Acres CDP, Florida","35,691","± 2,262"
"Melbourne city, Florida","24,771","± 2,226"
"Miami city, Florida","49,627","± 3,425"
"Miami Beach city, Florida","6,827","± 1,107"
"Miami Gardens city, Florida","25,923","± 2,164"
"Miramar city, Florida","29,419","± 2,319"
"Orlando city, Florida","46,591","± 3,829"
"Palm Bay city, Florida","41,583","± 2,959"
"Palm Coast city, Florida","38,269","± 1,551"
"Pembroke Pines city, Florida","32,723","± 2,142"
"Pine Hills CDP, Florida","18,284","± 1,796"
"Plantation city, Florida","18,180","± 1,982"
"Pompano Beach city, Florida","20,327","± 2,135"
"Port Charlotte CDP, Florida","28,124","± 2,087"
"Port St. Lucie city, Florida","74,502","± 3,657"
"Riverview CDP, Florida","30,740","± 2,651"
"St. Petersburg city, Florida","76,385","± 3,524"
"Spring Hill CDP, Florida","43,061","± 2,069"
"Sunrise city, Florida","16,255","± 1,932"
"Tallahassee city, Florida","41,265","± 2,376"
"Tamarac city, Florida","12,789","± 1,686"
"Tampa city, Florida","93,959","± 3,396"
"Town 'n' Country CDP, Florida","19,966","± 2,526"
"Wesley Chapel CDP, Florida","16,545","± 1,924"
"Weston city, Florida","13,092","± 1,166"
"West Palm Beach city, Florida","22,585","± 2,043"
"Albany city, Georgia","19,058","± 1,754"
"Alpharetta city, Georgia","14,912","± 1,259"
"Athens-Clarke County unified government (balance), Georgia","26,710","± 2,187"
"Atlanta city, Georgia","94,921","± 4,571"
"Augusta-Richmond County consolidated government (balance), Georgia","52,504","± 2,656"
"Columbus city, Georgia","59,066","± 2,653"
"Johns Creek city, Georgia","23,369","± 2,124"
"Macon-Bibb County, Georgia","46,646","± 2,351"
"Roswell city, Georgia","21,527","± 1,918"
"Sandy Springs city, Georgia","20,719","± 1,810"
"Savannah city, Georgia","40,271","± 2,445"
"South Fulton city, Georgia","35,116","± 3,359"
"Warner Robins city, Georgia","24,531","± 2,487"
"Urban Honolulu CDP, Hawaii","41,307","± 2,304"
"Boise City city, Idaho","66,399","± 2,734"
"Idaho Falls city, Idaho","16,342","± 1,426"
"Meridian city, Idaho","39,521","± 3,402"
"Nampa city, Idaho","28,246","± 2,173"
"Arlington Heights village, Illinois","17,900","± 1,569"
"Aurora city, Illinois","38,321","± 2,499"
"Bloomington city, Illinois","21,988","± 1,527"
"Bolingbrook village, Illinois","18,664","± 1,751"
"Champaign city, Illinois","18,476","± 1,892"
"Chicago city, Illinois","335,412","± 8,053"
"Cicero town, Illinois","10,123","± 1,202"
"Decatur city, Illinois","26,813","± 1,551"
"Elgin city, Illinois","25,780","± 1,957"
"Evanston city, Illinois","10,495","± 1,366"
"Joliet city, Illinois","38,930","± 2,371"
"Naperville city, Illinois","35,565","± 1,440"
"Palatine village, Illinois","12,700","± 1,394"
"Peoria city, Illinois","37,293","± 2,081"
"Rockford city, Illinois","40,123","± 1,998"
"Schaumburg village, Illinois","12,100","± 1,152"
"Skokie village, Illinois","13,043","± 1,491"
"Springfield city, Illinois","38,334","± 2,141"
"Waukegan city, Illinois","16,546","± 1,509"
"Bloomington city, Indiana","13,390","± 1,670"
"Carmel city, Indiana","29,082","± 2,045"
"Evansville city, Indiana","38,434","± 2,017"
"Fort Wayne city, Indiana","81,136","± 2,400"
"Hammond city, Indiana","24,221","± 1,750"
"Indianapolis city (balance), Indiana","235,716","± 5,296"
"Lafayette city, Indiana","18,885","± 1,763"
"Noblesville city, Indiana","18,657","± 2,166"
"South Bend city, Indiana","35,824","± 2,102"
"Ames city, Iowa","10,665","± 1,025"
"Ankeny city, Iowa","15,492","± 1,622"
"Cedar Rapids city, Iowa","40,857","± 1,807"
"Davenport city, Iowa","31,085","± 1,805"
"Des Moines city, Iowa","63,126","± 2,919"
"Iowa City city, Iowa","15,588","± 1,539"
"Sioux City city, Iowa","26,057","± 1,524"
"Waterloo city, Iowa","22,473","± 1,456"
"West Des Moines city, Iowa","15,563","± 1,778"
"Kansas City city, Kansas","43,777","± 1,740"
"Lawrence city, Kansas","19,641","± 1,951"
"Olathe city, Kansas","40,169","± 2,076"
"Overland Park city, Kansas","48,672","± 1,775"
"Shawnee city, Kansas","20,409","± 1,788"
"Topeka city, Kansas","41,881","± 1,716"
"Wichita city, Kansas","114,882","± 3,271"
"Bowling Green city, Kentucky","13,963","± 1,607"
"Lexington-Fayette urban county, Kentucky","86,669","± 2,765"
"Louisville/Jefferson County metro government (balance), Kentucky","190,354","± 4,322"
"Baton Rouge city, Louisiana","59,125","± 3,310"
"Kenner city, Louisiana","16,635","± 1,996"
"Lafayette city, Louisiana","34,744","± 2,418"
"Lake Charles city, Louisiana","28,603","± 2,755"
"Metairie CDP, Louisiana","43,917","± 2,670"
"New Orleans city, Louisiana","93,519","± 3,247"
"Shreveport city, Louisiana","62,010","± 3,271"
"Portland city, Maine","13,558","± 1,296"
"Baltimore city, Maryland","48,023","± 3,387"
"Bethesda CDP, Maryland","16,250","± 1,276"
"Columbia CDP, Maryland","19,016","± 1,647"
"Ellicott City CDP, Maryland","16,972","± 1,303"
"Frederick city, Maryland","11,337","± 1,356"
"Gaithersburg city, Maryland","5,004","± 871"
"Germantown CDP, Maryland","7,522","± 1,205"
"Glen Burnie CDP, Maryland","15,689","± 1,819"
"Rockville city, Maryland","10,755","± 1,031"
"Silver Spring CDP, Maryland","9,967","± 1,195"
"Waldorf CDP, Maryland","17,844","± 1,839"
"Boston city, Massachusetts","36,969","± 2,491"
"Brockton city, Massachusetts","20,541","± 2,060"
"Cambridge city, Massachusetts","4,973","± 992"
"Fall River city, Massachusetts","9,494","± 1,378"
"Framingham city, Massachusetts","13,428","± 1,390"
"Haverhill city, Massachusetts","11,760","± 1,325"
"Lawrence city, Massachusetts","5,889","± 1,241"
"Lowell city, Massachusetts","13,412","± 1,625"
"Lynn city, Massachusetts","14,137","± 1,703"
"Malden city, Massachusetts","6,928","± 1,127"
"New Bedford city, Massachusetts","13,310","± 1,524"
"Newton city, Massachusetts","18,817","± 1,165"
"Quincy city, Massachusetts","14,779","± 1,584"
"Somerville city, Massachusetts","4,509","± 1,171"
"Springfield city, Massachusetts","27,885","± 2,108"
"Worcester city, Massachusetts","26,412","± 2,677"
"Ann Arbor city, Michigan","22,101","± 1,700"
"Dearborn city, Michigan","29,701","± 1,729"
"Detroit city, Michigan","212,961","± 4,984"
"Farmington Hills city, Michigan","20,576","± 1,320"
"Flint city, Michigan","32,804","± 2,231"
"Grand Rapids city, Michigan","49,739","± 2,451"
"Kalamazoo city, Michigan","14,821","± 1,892"
"Lansing city, Michigan","35,533","± 1,971"
"Livonia city, Michigan","34,183","± 2,172"
"Novi city, Michigan","15,175","± 1,388"
"Rochester Hills city, Michigan","19,955","± 1,176"
"Southfield city, Michigan","19,171","± 1,375"
"Sterling Heights city, Michigan","35,451","± 1,827"
"Troy city, Michigan","24,022","± 1,259"
"Warren city, Michigan","45,946","± 2,296"
"Westland city, Michigan","23,079","± 1,987"
"Wyoming city, Michigan","18,442","± 1,629"
"Blaine city, Minnesota","17,744","± 1,385"
"Bloomington city, Minnesota","21,914","± 1,570"
"Brooklyn Park city, Minnesota","18,610","± 1,659"
"Duluth city, Minnesota","23,983","± 1,760"
"Eagan city, Minnesota","15,305","± 1,040"
"Minneapolis city, Minnesota","85,170","± 3,205"
"Plymouth city, Minnesota","19,400","± 1,515"
"Rochester city, Minnesota","30,670","± 1,591"
"St. Cloud city, Minnesota","14,913","± 1,690"
"St. Paul city, Minnesota","65,601","± 2,583"
"Woodbury city, Minnesota","17,796","± 1,680"
"Gulfport city, Mississippi","20,792","± 1,808"
"Jackson city, Mississippi","50,980","± 2,011"
"Columbia city, Missouri","27,747","± 2,044"
"Independence city, Missouri","41,668","± 2,477"
"Kansas City city, Missouri","148,138","± 3,788"
"Lee's Summit city, Missouri","29,367","± 1,601"
"O'Fallon city, Missouri","26,132","± 1,644"
"St. Charles city, Missouri","19,424","± 1,336"
"St. Joseph city, Missouri","23,844","± 1,573"
"St. Louis city, Missouri","74,991","± 3,170"
"Springfield city, Missouri","47,635","± 2,618"
"Billings city, Montana","34,178","± 2,152"
"Missoula city, Montana","18,461","± 1,831"
"Lincoln city, Nebraska","73,562","± 2,923"
"Omaha city, Nebraska","134,400","± 3,151"
"Enterprise CDP, Nevada","66,129","± 3,716"
"Henderson city, Nevada","90,317","± 3,791"
"Las Vegas city, Nevada","165,785","± 4,749"
"North Las Vegas city, Nevada","69,127","± 3,184"
"Paradise CDP, Nevada","33,850","± 2,813"
"Reno city, Nevada","60,244","± 2,686"
"Sparks city, Nevada","32,409","± 2,252"
"Spring Valley CDP, Nevada","46,808","± 3,485"
"Sunrise Manor CDP, Nevada","36,836","± 2,376"
"Manchester city, New Hampshire","18,862","± 1,792"
"Nashua city, New Hampshire","17,507","± 1,498"
"Bayonne city, New Jersey","4,463","± 998"
"Camden city, New Jersey","3,326","± 1,125"
"Clifton city, New Jersey","17,008","± 2,104"
"East Orange city, New Jersey","6,526","± 1,204"
"Elizabeth city, New Jersey","5,840","± 1,300"
"Jersey City city, New Jersey","9,949","± 1,621"
"Lakewood CDP, New Jersey","5,204","± 1,290"
"Newark city, New Jersey","13,047","± 1,946"
"Passaic city, New Jersey","3,617","± 855"
"Paterson city, New Jersey","8,102","± 1,538"
"Toms River CDP, New Jersey","30,906","± 2,370"
"Trenton city, New Jersey","5,428","± 1,584"
"Union City city, New Jersey","1,252","± 622"
"Albuquerque city, New Mexico","157,573","± 4,397"
"Las Cruces city, New Mexico","28,551","± 2,347"
"Rio Rancho city, New Mexico","34,670","± 1,532"
"Santa Fe city, New Mexico","24,780","± 1,936"
"Albany city, New York","13,931","± 1,907"
"Buffalo city, New York","54,098","± 3,089"
"Cheektowaga CDP, New York","23,311","± 1,729"
"Mount Vernon city, New York","5,880","± 1,113"
"New Rochelle city, New York","12,771","± 1,617"
"New York city, New York","350,360","± 8,134"
"Rochester city, New York","49,304","± 3,091"
"Schenectady city, New York","12,981","± 1,824"
"Syracuse city, New York","31,584","± 1,857"
"Yonkers city, New York","20,609","± 2,140"
"Asheville city, North Carolina","30,009","± 2,913"
"Cary town, North Carolina","42,802","± 2,450"
"Charlotte city, North Carolina","207,293","± 5,013"
"Concord city, North Carolina","30,475","± 2,183"
"Durham city, North Carolina","66,133","± 3,172"
"Fayetteville city, North Carolina","55,338","± 1,895"
"Gastonia city, North Carolina","24,362","± 2,009"
"Greensboro city, North Carolina","77,333","± 3,759"
"Greenville city, North Carolina","15,656","± 2,046"
"High Point city, North Carolina","28,194","± 2,279"
"Jacksonville city, North Carolina","9,889","± 1,883"
"Raleigh city, North Carolina","98,096","± 4,106"
"Wilmington city, North Carolina","31,342","± 2,648"
"Winston-Salem city, North Carolina","71,985","± 3,119"
"Bismarck city, North Dakota","16,883","± 1,417"
"Fargo city, North Dakota","21,878","± 2,242"
"Akron city, Ohio","63,358","± 2,434"
"Canton city, Ohio","26,566","± 2,062"
"Cincinnati city, Ohio","58,779","± 3,675"
"Cleveland city, Ohio","98,774","± 3,415"
"Columbus city, Ohio","193,185","± 4,863"
"Dayton city, Ohio","43,717","± 2,607"
"Lorain city, Ohio","21,766","± 1,614"
"Parma city, Ohio","27,456","± 1,898"
"Toledo city, Ohio","88,326","± 2,997"
"Broken Arrow city, Oklahoma","38,189","± 1,456"
"Edmond city, Oklahoma","31,534","± 1,549"
"Lawton city, Oklahoma","26,903","± 1,631"
"Norman city, Oklahoma","35,664","± 1,984"
"Oklahoma City city, Oklahoma","204,895","± 5,010"
"Tulsa city, Oklahoma","122,258","± 2,219"
"Beaverton city, Oregon","18,128","± 1,907"
"Bend city, Oregon","34,379","± 2,534"
"Eugene city, Oregon","42,059","± 2,357"
"Gresham city, Oregon","25,404","± 2,226"
"Hillsboro city, Oregon","20,516","± 1,676"
"Medford city, Oregon","25,289","± 1,718"
"Portland city, Oregon","161,622","± 4,066"
"Salem city, Oregon","40,706","± 2,721"
"Allentown city, Pennsylvania","14,022","± 1,848"
"Bethlehem city, Pennsylvania","12,602","± 1,470"
"Erie city, Pennsylvania","25,494","± 1,711"
"Philadelphia city, Pennsylvania","72,869","± 4,956"
"Pittsburgh city, Pennsylvania","69,660","± 3,630"
"Reading city, Pennsylvania","4,576","± 980"
"Scranton city, Pennsylvania","17,876","± 1,546"
"Cranston city, Rhode Island","22,719","± 1,906"
"Pawtucket city, Rhode Island","10,700","± 1,329"
"Providence city, Rhode Island","18,963","± 1,882"
"Warwick city, Rhode Island","27,152","± 1,925"
"Charleston city, South Carolina","37,585","± 2,985"
"Columbia city, South Carolina","28,858","± 2,403"
"Greenville city, South Carolina","16,309","± 1,342"
"Mount Pleasant town, South Carolina","25,972","± 2,492"
"North Charleston city, South Carolina","28,689","± 2,992"
"Rock Hill city, South Carolina","19,521","± 1,682"
"Rapid City city, South Dakota","21,816","± 1,693"
"Sioux Falls city, South Dakota","48,147","± 2,578"
"Chattanooga city, Tennessee","52,388","± 2,881"
"Clarksville city, Tennessee","45,167","± 2,700"
"Franklin city, Tennessee","21,693","± 1,545"
"Jackson city, Tennessee","19,198","± 1,512"
"Johnson City city, Tennessee","17,607","± 1,691"
"Knoxville city, Tennessee","51,080","± 2,804"
"Memphis city, Tennessee","176,062","± 4,806"
"Murfreesboro city, Tennessee","37,531","± 2,873"
"Nashville-Davidson metropolitan government (balance), Tennessee","168,658","± 4,530"
"Abilene city, Texas","38,575","± 2,445"
"Allen city, Texas","29,018","± 1,975"
"Amarillo city, Texas","63,675","± 2,685"
"Arlington city, Texas","94,349","± 3,917"
"Austin city, Texas","201,992","± 6,102"
"Baytown city, Texas","17,797","± 1,725"
"Beaumont city, Texas","35,557","± 2,131"
"Brownsville city, Texas","44,703","± 2,700"
"Bryan city, Texas","18,878","± 2,016"
"Carrollton city, Texas","30,070","± 2,185"
"Cedar Park city, Texas","21,710","± 2,042"
"College Station city, Texas","21,052","± 1,721"
"Conroe city, Texas","22,996","± 2,887"
"Corpus Christi city, Texas","89,356","± 3,166"
"Dallas city, Texas","247,155","± 6,690"
"Denton city, Texas","32,169","± 2,597"
"Edinburg city, Texas","23,276","± 2,401"
"El Paso city, Texas","177,199","± 4,881"
"Fort Worth city, Texas","236,281","± 6,592"
"Frisco city, Texas","50,736","± 2,493"
"Garland city, Texas","55,385","± 3,065"
"Georgetown city, Texas","23,699","± 1,967"
"Grand Prairie city, Texas","42,359","± 2,623"
"Harlingen city, Texas","18,279","± 1,877"
"Houston city, Texas","444,183","± 9,753"
"Irving city, Texas","40,162","± 2,546"
"Killeen city, Texas","36,714","± 2,559"
"Laredo city, Texas","54,480","± 2,340"
"League City city, Texas","33,699","± 2,102"
"Leander city, Texas","21,128","± 2,039"
"Lewisville city, Texas","22,944","± 2,114"
"Longview city, Texas","19,410","± 1,764"
"Lubbock city, Texas","73,731","± 2,929"
"McAllen city, Texas","35,884","± 2,294"
"McKinney city, Texas","55,249","± 2,935"
"Mansfield city, Texas","20,044","± 1,992"
"Mesquite city, Texas","39,741","± 2,348"
"Midland city, Texas","37,480","± 2,639"
"Mission city, Texas","23,166","± 2,184"
"New Braunfels city, Texas","27,774","± 2,666"
"North Richland Hills city, Texas","18,012","± 1,632"
"Odessa city, Texas","31,730","± 2,669"
"Pasadena city, Texas","33,444","± 2,670"
"Pearland city, Texas","34,788","± 2,481"
"Pflugerville city, Texas","19,195","± 2,551"
"Pharr city, Texas","17,602","± 1,940"
"Plano city, Texas","69,148","± 3,229"
"Richardson city, Texas","28,417","± 1,902"
"Round Rock city, Texas","30,806","± 2,799"
"San Angelo city, Texas","32,318","± 1,766"
"San Antonio city, Texas","364,587","± 6,993"
"San Marcos city, Texas","9,203","± 1,927"
"Sugar Land city, Texas","33,389","± 1,971"
"Temple city, Texas","25,215","± 1,940"
"The Woodlands CDP, Texas","34,175","± 3,781"
"Tyler city, Texas","26,944","± 1,904"
"Victoria city, Texas","17,816","± 1,570"
"Waco city, Texas","35,590","± 2,248"
"Wichita Falls city, Texas","30,944","± 1,812"
"Layton city, Utah","19,088","± 1,372"
"Lehi city, Utah","17,305","± 1,236"
"Ogden city, Utah","21,989","± 1,761"
"Orem city, Utah","18,585","± 1,653"
"Provo city, Utah","13,736","± 1,142"
"St. George city, Utah","26,372","± 2,214"
"Salt Lake City city, Utah","46,101","± 2,306"
"Sandy city, Utah","25,218","± 1,557"
"West Jordan city, Utah","25,643","± 2,067"
"West Valley City city, Utah","28,331","± 1,722"
"Alexandria city, Virginia","10,811","± 1,256"
"Arlington CDP, Virginia","29,948","± 2,053"
"Centreville CDP, Virginia","9,110","± 1,165"
"Chesapeake city, Virginia","66,857","± 2,431"
"Hampton city, Virginia","40,481","± 1,823"
"Lynchburg city, Virginia","19,860","± 1,768"
"Newport News city, Virginia","40,116","± 2,293"
"Norfolk city, Virginia","49,325","± 2,469"
"Portsmouth city, Virginia","26,676","± 1,613"
"Richmond city, Virginia","52,249","± 2,556"
"Roanoke city, Virginia","28,910","± 1,554"
"Suffolk city, Virginia","29,362","± 1,344"
"Virginia Beach city, Virginia","101,694","± 3,302"
"Auburn city, Washington","16,311","± 1,627"
"Bellevue city, Washington","30,888","± 1,927"
"Bellingham city, Washington","18,726","± 1,793"
"Everett city, Washington","20,461","± 2,165"
"Federal Way city, Washington","18,819","± 1,686"
"Kennewick city, Washington","18,166","± 2,147"
"Kent city, Washington","25,404","± 1,910"
"Kirkland city, Washington","21,666","± 1,465"
"Marysville city, Washington","19,795","± 1,510"
"Pasco city, Washington","19,720","± 1,533"
"Redmond city, Washington","12,007","± 1,175"
"Renton city, Washington","22,082","± 1,972"
"Sammamish city, Washington","19,521","± 1,108"
"Seattle city, Washington","152,342","± 4,979"
"South Hill CDP, Washington","17,747","± 1,946"
"Spokane city, Washington","62,676","± 3,071"
"Spokane Valley city, Washington","28,079","± 2,295"
"Tacoma city, Washington","59,783","± 2,697"
"Vancouver city, Washington","45,157","± 2,776"
"Yakima city, Washington","23,709","± 2,033"
