"Geographic Area Name","1, detached (2021)","MoE"
"Auburn city, Alabama","16,474","± 1,941"
"Birmingham city, Alabama","64,470","± 3,504"
"Dothan city, Alabama","24,364","± 1,026"
"Hoover city, Alabama","26,413","± 2,051"
"Huntsville city, Alabama","69,906","± 3,225"
"Mobile city, Alabama","60,286","± 2,584"
"Montgomery city, Alabama","65,296","± 2,620"
"Tuscaloosa city, Alabama","26,262","± 2,121"
"Anchorage municipality, Alaska","55,881","± 2,930"
"Avondale city, Arizona","22,101","± 1,778"
"Casas Adobes CDP, Arizona","21,390","± 1,796"
"Chandler city, Arizona","77,015","± 3,120"
"Flagstaff city, Arizona","14,389","± 1,535"
"Gilbert town, Arizona","78,781","± 2,543"
"Glendale city, Arizona","58,573","± 2,841"
"Goodyear city, Arizona","31,644","± 2,505"
"Mesa city, Arizona","123,997","± 4,024"
"Peoria city, Arizona","60,986","± 2,625"
"Phoenix city, Arizona","388,485","± 8,003"
"Scottsdale city, Arizona","73,772","± 3,308"
"Surprise city, Arizona","51,401","± 2,951"
"Tempe city, Arizona","32,237","± 2,665"
"Tucson city, Arizona","129,856","± 4,378"
"Yuma city, Arizona","24,590","± 1,751"
"Conway city, Arkansas","16,206","± 1,415"
"Fayetteville city, Arkansas","22,717","± 2,221"
"Fort Smith city, Arkansas","25,975","± 2,049"
"Jonesboro city, Arkansas","24,831","± 1,468"
"Little Rock city, Arkansas","61,302","± 3,040"
"Rogers city, Arkansas","18,516","± 2,015"
"Springdale city, Arkansas","21,511","± 2,380"
"Alameda city, California","14,157","± 1,320"
"Alhambra city, California","11,645","± 1,067"
"Anaheim city, California","47,158","± 2,515"
"Antioch city, California","28,904","± 2,143"
"Apple Valley town, California","19,566","± 2,349"
"Arden-Arcade CDP, California","18,823","± 1,963"
"Bakersfield city, California","96,006","± 3,420"
"Baldwin Park city, California","14,554","± 1,049"
"Bellflower city, California","11,506","± 1,201"
"Berkeley city, California","21,048","± 1,865"
"Buena Park city, California","14,423","± 1,288"
"Burbank city, California","20,023","± 1,929"
"Camarillo city, California","16,156","± 1,686"
"Carlsbad city, California","25,685","± 1,860"
"Carmichael CDP, California","18,185","± 1,777"
"Carson city, California","19,574","± 2,033"
"Castro Valley CDP, California","16,908","± 1,622"
"Chico city, California","21,799","± 1,554"
"Chino city, California","18,896","± 1,561"
"Chino Hills city, California","19,862","± 1,241"
"Chula Vista city, California","47,291","± 2,714"
"Citrus Heights city, California","19,876","± 1,702"
"Clovis city, California","30,520","± 1,585"
"Compton city, California","20,032","± 2,022"
"Concord city, California","27,477","± 2,094"
"Corona city, California","34,137","± 1,905"
"Costa Mesa city, California","17,368","± 1,769"
"Daly City city, California","18,121","± 1,993"
"Davis city, California","12,463","± 1,115"
