"Geographic Area Name","50 or more (2024)","MoE"
"Auburn city, Alabama","3,340","± 1,130"
"Birmingham city, Alabama","10,513","± 1,963"
"Dothan city, Alabama","815","± 311"
"Hoover city, Alabama","1,890","± 1,063"
"Huntsville city, Alabama","5,428","± 1,428"
"Madison city, Alabama","1,126","± 668"
"Mobile city, Alabama","4,687","± 1,191"
"Montgomery city, Alabama","3,782","± 1,349"
"Tuscaloosa city, Alabama","5,461","± 1,081"
"Anchorage municipality, Alaska","2,838","± 941"
"Avondale city, Arizona","6,570","± 1,803"
"Casa Grande city, Arizona","849","± 542"
"Casas Adobes CDP, Arizona","2,917","± 1,195"
"Chandler city, Arizona","10,695","± 2,469"
"Flagstaff city, Arizona","3,656","± 1,149"
"Gilbert town, Arizona","6,613","± 1,619"
"Glendale city, Arizona","8,634","± 1,987"
"Goodyear city, Arizona","5,979","± 1,840"
"Mesa city, Arizona","14,298","± 2,321"
"Peoria city, Arizona","4,462","± 1,346"
"Phoenix city, Arizona","82,267","± 5,946"
"Scottsdale city, Arizona","22,068","± 3,210"
"Surprise city, Arizona","2,545","± 1,037"
"Tempe city, Arizona","18,070","± 3,032"
"Tucson city, Arizona","21,696","± 2,695"
"Yuma city, Arizona","1,773","± 812"
"Conway city, Arkansas","1,324","± 758"
"Fayetteville city, Arkansas","5,354","± 1,414"
"Fort Smith city, Arkansas","960","± 550"
"Jonesboro city, Arkansas","1,032","± 618"
"Little Rock city, Arkansas","6,543","± 1,511"
"Rogers city, Arkansas","1,878","± 1,015"
"Springdale city, Arkansas","290","± 219"
"Alameda city, California","3,213","± 1,103"
"Alhambra city, California","2,997","± 778"
"Anaheim city, California","20,369","± 2,926"
"Antioch city, California","1,932","± 776"
"Apple Valley town, California","0","± 225"
"Arden-Arcade CDP, California","6,359","± 1,500"
"Bakersfield city, California","6,367","± 1,426"
"Baldwin Park city, California","566","± 390"
"Bellflower city, California","3,170","± 1,219"
"Berkeley city, California","4,447","± 1,014"
"Buena Park city, California","1,858","± 910"
"Burbank city, California","4,534","± 1,317"
"Camarillo city, California","1,398","± 817"
"Carlsbad city, California","3,630","± 1,266"
"Carmichael CDP, California","3,800","± 1,316"
"Carson city, California","1,363","± 755"
"Castro Valley CDP, California","597","± 431"
"Chico city, California","3,364","± 1,058"
"Chino city, California","1,239","± 599"
"Chino Hills city, California","734","± 513"
"Chula Vista city, California","10,777","± 2,187"
"Citrus Heights city, California","2,570","± 1,034"
"Clovis city, California","2,359","± 969"
"Compton city, California","658","± 475"
"Concord city, California","4,675","± 1,258"
"Corona city, California","3,459","± 1,099"
"Costa Mesa city, California","6,934","± 1,993"
"Daly City city, California","3,954","± 1,217"
"Davis city, California","4,738","± 1,193"
"Downey city, California","2,582","± 858"
"Dublin city, California","4,512","± 1,138"
"East Los Angeles CDP, California","1,174","± 448"
"El Cajon city, California","3,941","± 1,009"
"Elk Grove city, California","1,526","± 517"
"El Monte city, California","1,356","± 552"
"Escondido city, California","4,269","± 1,216"
"Fairfield city, California","2,708","± 1,146"
"Folsom city, California","2,282","± 842"
"Fontana city, California","5,007","± 973"
"Fremont city, California","12,295","± 2,205"
"Fresno city, California","9,601","± 1,632"
"Fullerton city, California","8,104","± 1,723"
"Garden Grove city, California","4,089","± 1,321"
"Glendale city, California","11,193","± 2,066"
"Hawthorne city, California","4,496","± 1,249"
"Hayward city, California","7,589","± 1,870"
"Hemet city, California","2,624","± 878"
"Hesperia city, California","2,009","± 810"
"Huntington Beach city, California","8,551","± 1,849"
"Indio city, California","764","± 342"
"Inglewood city, California","2,569","± 1,257"
"Irvine city, California","29,588","± 3,897"
"Jurupa Valley city, California","705","± 345"
"Lake Elsinore city, California","541","± 424"
"Lake Forest city, California","1,326","± 625"
"Lakewood city, California","1,172","± 731"
"Lancaster city, California","3,612","± 1,074"
"Livermore city, California","2,276","± 867"
"Lodi city, California","1,631","± 672"
"Long Beach city, California","20,499","± 2,805"
"Los Angeles city, California","276,761","± 9,859"
"Lynwood city, California","413","± 448"
"Madera city, California","519","± 382"
"Manteca city, California","825","± 435"
"Menifee city, California","1,241","± 988"
"Merced city, California","778","± 467"
"Milpitas city, California","5,000","± 1,462"
"Mission Viejo city, California","1,101","± 582"
"Modesto city, California","4,817","± 1,292"
"Moreno Valley city, California","2,782","± 1,124"
"Mountain View city, California","8,344","± 1,502"
