"Geographic Area Name","Occupied (2021)","MoE"
"Auburn city, Alabama","29,136","± 1,766"
"Birmingham city, Alabama","87,570","± 3,579"
"Dothan city, Alabama","30,301","± 1,019"
"Hoover city, Alabama","36,721","± 2,222"
"Huntsville city, Alabama","96,551","± 2,703"
"Mobile city, Alabama","77,991","± 3,003"
"Montgomery city, Alabama","81,529","± 2,059"
"Tuscaloosa city, Alabama","39,266","± 2,801"
"Anchorage municipality, Alaska","109,584","± 2,068"
"Avondale city, Arizona","26,611","± 1,944"
"Buckeye city, Arizona","30,913","± 2,250"
"Casas Adobes CDP, Arizona","31,869","± 1,995"
"Chandler city, Arizona","107,668","± 2,846"
"Flagstaff city, Arizona","29,435","± 1,984"
"Gilbert town, Arizona","93,472","± 2,773"
"Glendale city, Arizona","90,604","± 2,635"
"Goodyear city, Arizona","33,130","± 2,366"
"Mesa city, Arizona","199,112","± 5,108"
"Peoria city, Arizona","75,479","± 3,016"
"Phoenix city, Arizona","602,039","± 7,755"
"Queen Creek town, Arizona","20,981","± 1,394"
"San Tan Valley CDP, Arizona","31,781","± 2,994"
"Scottsdale city, Arizona","119,122","± 3,184"
"Surprise city, Arizona","55,339","± 2,555"
"Tempe city, Arizona","77,306","± 2,767"
"Tucson city, Arizona","223,068","± 4,966"
"Yuma city, Arizona","36,530","± 1,990"
"Conway city, Arkansas","25,251","± 1,367"
"Fayetteville city, Arkansas","40,104","± 2,038"
"Fort Smith city, Arkansas","36,390","± 1,736"
"Jonesboro city, Arkansas","30,432","± 1,539"
"Little Rock city, Arkansas","89,422","± 3,112"
"Rogers city, Arkansas","25,872","± 1,604"
"Springdale city, Arkansas","28,942","± 1,853"
"Alameda city, California","30,281","± 1,690"
"Alhambra city, California","29,022","± 1,387"
"Anaheim city, California","105,608","± 2,960"
"Antioch city, California","37,081","± 2,028"
"Apple Valley town, California","24,657","± 2,189"
"Arden-Arcade CDP, California","40,688","± 2,610"
"Bakersfield city, California","128,007","± 3,362"
"Baldwin Park city, California","19,112","± 1,001"
"Bellflower city, California","24,327","± 1,432"
"Berkeley city, California","43,893","± 2,924"
"Buena Park city, California","24,306","± 1,577"
"Burbank city, California","44,471","± 2,547"
"Camarillo city, California","27,588","± 1,842"
"Carlsbad city, California","48,098","± 2,556"
"Carmichael CDP, California","32,172","± 2,628"
"Carson city, California","25,743","± 2,494"
"Castro Valley CDP, California","23,103","± 1,988"
"Chico city, California","40,956","± 1,981"
"Chino city, California","26,774","± 1,403"
"Chino Hills city, California","25,703","± 1,043"
"Chula Vista city, California","83,451","± 3,016"
"Citrus Heights city, California","34,140","± 2,399"
"Clovis city, California","38,762","± 1,794"
"Compton city, California","28,820","± 1,936"
"Concord city, California","46,375","± 2,202"
"Corona city, California","48,905","± 2,248"
"Costa Mesa city, California","43,711","± 2,185"
"Daly City city, California","32,887","± 2,236"
"Davis city, California","25,316","± 1,393"
"Downey city, California","36,008","± 1,974"
"Dublin city, California","23,688","± 1,118"
"East Los Angeles CDP, California","31,072","± 1,843"
"Eastvale city, California","18,470","± 1,537"
"El Cajon city, California","34,443","± 2,301"
"Elk Grove city, California","53,724","± 1,751"
"El Monte city, California","29,036","± 1,274"
"Escondido city, California","50,171","± 2,136"
"Fairfield city, California","38,097","± 1,931"
"Folsom city, California","28,441","± 2,585"
"Fontana city, California","57,836","± 2,317"
"Fremont city, California","75,716","± 2,266"
"Fresno city, California","181,841","± 3,453"
"Fullerton city, California","48,423","± 2,126"
"Garden Grove city, California","48,769","± 2,372"
"Glendale city, California","70,831","± 2,424"
"Hawthorne city, California","30,039","± 1,607"
"Hayward city, California","48,619","± 2,074"
"Hemet city, California","33,486","± 2,524"
"Hesperia city, California","29,237","± 2,000"
"Huntington Beach city, California","79,930","± 2,427"
"Indio city, California","34,673","± 2,190"
"Inglewood city, California","37,972","± 2,174"
"Irvine city, California","111,648","± 4,947"
"Jurupa Valley city, California","27,454","± 1,690"
"Lake Elsinore city, California","21,422","± 1,596"
"Lake Forest city, California","30,962","± 1,532"
"Lakewood city, California","26,533","± 1,456"
"Lancaster city, California","51,333","± 2,465"
"Livermore city, California","31,472","± 1,860"
"Lodi city, California","24,245","± 1,386"
"Long Beach city, California","172,599","± 4,170"
"Los Angeles city, California","1,410,594","± 11,177"
"Lynwood city, California","16,079","± 1,126"
"Madera city, California","18,595","± 1,546"
"Manteca city, California","27,310","± 1,852"
"Menifee city, California","35,601","± 2,307"
"Merced city, California","28,358","± 1,601"
"Milpitas city, California","23,632","± 968"
"Mission Viejo city, California","34,168","± 1,755"
"Modesto city, California","71,775","± 2,610"
"Moreno Valley city, California","54,104","± 2,508"
"Mountain View city, California","34,637","± 1,610"
"Murrieta city, California","34,414","± 2,086"
"Napa city, California","30,418","± 1,079"
"Newport Beach city, California","39,131","± 1,939"
"Norwalk city, California","26,506","± 1,316"
"Oakland city, California","170,366","± 3,740"
"Oceanside city, California","59,683","± 2,566"
"Ontario city, California","55,819","± 2,305"
"Orange city, California","43,291","± 1,660"
"Oxnard city, California","50,611","± 2,120"
"Palmdale city, California","46,650","± 1,796"
"Palo Alto city, California","24,501","± 1,572"
"Pasadena city, California","56,992","± 2,750"
"Perris city, California","19,923","± 1,482"
"Pittsburg city, California","23,827","± 1,587"
"Pleasanton city, California","29,330","± 1,365"
"Pomona city, California","40,142","± 1,611"
"Rancho Cordova city, California","28,428","± 1,541"
"Rancho Cucamonga city, California","57,290","± 2,592"
"Redding city, California","37,302","± 1,712"
"Redlands city, California","24,452","± 2,435"
"Redondo Beach city, California","26,986","± 2,898"
"Redwood City city, California","29,450","± 1,631"
"Rialto city, California","29,043","± 1,566"
"Richmond city, California","40,019","± 2,362"
"Riverside city, California","91,110","± 2,861"
"Rocklin city, California","25,528","± 1,242"
"Roseville city, California","57,569","± 2,030"
"Sacramento city, California","202,093","± 4,080"
"Salinas city, California","41,871","± 1,723"
"San Bernardino city, California","63,331","± 2,869"
"San Buenaventura (Ventura) city, California","42,288","± 2,203"
"San Diego city, California","521,000","± 7,487"
"San Francisco city, California","350,796","± 5,380"
"San Jose city, California","322,881","± 4,593"
"San Leandro city, California","30,977","± 2,037"
"San Marcos city, California","34,037","± 1,886"
"San Mateo city, California","39,340","± 1,879"
"San Ramon city, California","29,662","± 1,454"
"Santa Ana city, California","78,674","± 2,355"
"Santa Barbara city, California","35,676","± 1,921"
"Santa Clara city, California","49,011","± 2,041"
"Santa Clarita city, California","73,509","± 2,654"
"Santa Maria city, California","30,316","± 1,903"
"Santa Monica city, California","45,541","± 2,714"
"Santa Rosa city, California","68,686","± 2,661"
"Simi Valley city, California","45,308","± 2,119"
"South Gate city, California","24,891","± 1,291"
"Stockton city, California","97,447","± 2,854"
"Sunnyvale city, California","59,567","± 2,373"
"Temecula city, California","34,958","± 1,968"
"Thousand Oaks city, California","45,081","± 2,060"
"Torrance city, California","57,584","± 2,214"
"Tracy city, California","28,353","± 1,780"
"Tulare city, California","20,974","± 1,514"
"Turlock city, California","24,885","± 2,052"
"Tustin city, California","26,762","± 1,670"
"Union City city, California","21,637","± 1,513"
"Upland city, California","26,052","± 1,377"
"Vacaville city, California","33,777","± 1,798"
"Vallejo city, California","43,906","± 1,958"
"Victorville city, California","38,400","± 2,301"
"Visalia city, California","47,660","± 2,109"
"Vista city, California","30,614","± 1,908"
"Walnut Creek city, California","31,035","± 1,730"
"West Covina city, California","32,012","± 1,381"
"Westminster city, California","27,935","± 1,706"
"Whittier city, California","27,773","± 1,491"
"Yorba Linda city, California","24,098","± 1,277"
"Yuba City city, California","24,176","± 1,045"
"Arvada city, Colorado","50,678","± 1,834"
"Aurora city, Colorado","140,003","± 3,153"
"Boulder city, Colorado","42,376","± 1,756"
"Broomfield city, Colorado","30,161","± 866"
"Castle Rock town, Colorado","27,249","± 1,447"
"Centennial city, Colorado","39,660","± 1,502"
"Colorado Springs city, Colorado","197,542","± 3,531"
"Denver city, Colorado","326,634","± 3,286"
"Fort Collins city, Colorado","70,686","± 2,607"
"Grand Junction city, Colorado","28,352","± 1,484"
"Greeley city, Colorado","38,381","± 1,848"
"Highlands Ranch CDP, Colorado","38,117","± 2,015"
"Lakewood city, Colorado","70,751","± 2,314"
"Longmont city, Colorado","43,519","± 2,270"
