"Geographic Area Name","Owner-occupied housing units (2021)","MoE"
"Auburn city, Alabama","14,018","± 1,797"
"Birmingham city, Alabama","40,665","± 2,513"
"Dothan city, Alabama","16,718","± 987"
"Hoover city, Alabama","25,993","± 2,102"
"Huntsville city, Alabama","59,015","± 3,018"
"Mobile city, Alabama","41,443","± 2,194"
"Montgomery city, Alabama","45,969","± 2,357"
"Tuscaloosa city, Alabama","16,377","± 1,802"
"Anchorage municipality, Alaska","69,699","± 2,814"
"Avondale city, Arizona","16,016","± 1,697"
"Buckeye city, Arizona","28,562","± 2,327"
"Casas Adobes CDP, Arizona","21,447","± 1,670"
"Chandler city, Arizona","71,036","± 3,087"
"Flagstaff city, Arizona","11,941","± 1,359"
"Gilbert town, Arizona","69,983","± 2,583"
"Glendale city, Arizona","52,463","± 2,915"
"Goodyear city, Arizona","25,725","± 2,612"
"Mesa city, Arizona","126,146","± 4,698"
"Peoria city, Arizona","58,326","± 3,011"
"Phoenix city, Arizona","354,237","± 9,062"
"Queen Creek town, Arizona","18,559","± 1,839"
"San Tan Valley CDP, Arizona","26,584","± 2,754"
"Scottsdale city, Arizona","80,132","± 2,939"
"Surprise city, Arizona","43,073","± 2,758"
"Tempe city, Arizona","32,131","± 2,804"
"Tucson city, Arizona","114,708","± 4,345"
"Yuma city, Arizona","21,480","± 1,791"
"Conway city, Arkansas","11,190","± 1,236"
"Fayetteville city, Arkansas","18,780","± 2,128"
"Fort Smith city, Arkansas","20,687","± 1,881"
"Jonesboro city, Arkansas","17,625","± 1,875"
"Little Rock city, Arkansas","49,236","± 2,708"
"Rogers city, Arkansas","15,036","± 1,788"
"Springdale city, Arkansas","16,181","± 2,123"
"Alameda city, California","13,680","± 1,338"
"Alhambra city, California","11,196","± 1,225"
"Anaheim city, California","51,684","± 2,488"
"Antioch city, California","23,652","± 2,108"
"Apple Valley town, California","16,147","± 2,251"
"Arden-Arcade CDP, California","18,374","± 1,922"
"Bakersfield city, California","78,398","± 4,173"
"Baldwin Park city, California","12,751","± 1,156"
