"Geographic Area Name","Total Units (2021)","MoE"
"Santa Barbara city, California","37,875","± 2,181"
"Santa Clara city, California","52,276","± 2,239"
"Santa Clarita city, California","74,788","± 2,724"
"Santa Maria city, California","30,476","± 1,937"
"Santa Monica city, California","52,958","± 3,172"
"Santa Rosa city, California","71,553","± 2,713"
"Simi Valley city, California","46,277","± 2,084"
"South Gate city, California","25,375","± 1,318"
"Stockton city, California","102,642","± 3,106"
"Sunnyvale city, California","63,065","± 2,543"
"Temecula city, California","36,588","± 2,127"
"Thousand Oaks city, California","46,350","± 1,984"
"Torrance city, California","60,220","± 2,428"
"Tracy city, California","29,262","± 1,854"
"Tulare city, California","21,637","± 1,599"
"Turlock city, California","26,321","± 2,138"
"Tustin city, California","27,550","± 1,748"
"Union City city, California","22,527","± 1,616"
"Upland city, California","26,423","± 1,431"
"Vacaville city, California","35,398","± 2,014"
"Vallejo city, California","45,319","± 2,003"
"Victorville city, California","39,786","± 2,427"
"Visalia city, California","49,257","± 2,293"
"Vista city, California","31,525","± 1,970"
"Walnut Creek city, California","32,398","± 1,677"
"West Covina city, California","33,792","± 1,485"
"Westminster city, California","29,012","± 1,850"
"Whittier city, California","28,607","± 1,473"
"Yorba Linda city, California","24,897","± 1,354"
"Yuba City city, California","24,529","± 958"
"Arvada city, Colorado","51,928","± 1,956"
"Aurora city, Colorado","149,636","± 3,371"
"Boulder city, Colorado","44,793","± 1,767"
"Broomfield city, Colorado","31,800","± 177"
"Castle Rock town, Colorado","28,082","± 1,598"
"Centennial city, Colorado","41,114","± 1,602"
"Colorado Springs city, Colorado","205,380","± 3,006"
"Denver city, Colorado","351,829","± 978"
"Fort Collins city, Colorado","73,397","± 2,572"
"Grand Junction city, Colorado","30,264","± 1,527"
"Greeley city, Colorado","40,510","± 2,046"
"Highlands Ranch CDP, Colorado","38,952","± 2,054"
"Lakewood city, Colorado","75,300","± 2,399"
"Longmont city, Colorado","44,891","± 2,266"
"Loveland city, Colorado","36,659","± 1,923"
"Pueblo city, Colorado","50,106","± 1,536"
"Thornton city, Colorado","48,948","± 2,099"
"Westminster city, Colorado","51,037","± 1,951"
"Bridgeport city, Connecticut","61,494","± 2,513"
"Danbury city, Connecticut","35,346","± 2,631"
"Hartford city, Connecticut","55,111","± 2,625"
"New Britain city, Connecticut","30,456","± 2,066"
"New Haven city, Connecticut","61,547","± 2,586"
"Norwalk city, Connecticut","39,560","± 2,178"
"Stamford city, Connecticut","57,380","± 2,592"
"Waterbury city, Connecticut","48,607","± 2,543"
"Wilmington city, Delaware","37,153","± 2,085"
"Washington city, District of Columbia","357,482","± 47"
"Alafaya CDP, Florida","34,561","± 3,883"
"Boca Raton city, Florida","48,657","± 2,603"
"Boynton Beach city, Florida","39,736","± 2,574"
"Brandon CDP, Florida","50,086","± 3,038"
"Cape Coral city, Florida","94,442","± 3,345"
"Clearwater city, Florida","60,153","± 3,053"
"Coral Springs city, Florida","46,687","± 2,880"
"Davie town, Florida","41,953","± 2,323"
"Daytona Beach city, Florida","40,465","± 2,628"
"Deerfield Beach city, Florida","50,429","± 2,962"
"Delray Beach city, Florida","38,037","± 2,433"
"Deltona city, Florida","36,713","± 2,111"
"Doral city, Florida","27,139","± 1,843"
"Fort Lauderdale city, Florida","102,567","± 3,979"
"Fort Myers city, Florida","48,488","± 3,003"
"Gainesville city, Florida","66,685","± 3,011"
"Hialeah city, Florida","78,076","± 2,814"
"Hollywood city, Florida","74,324","± 3,006"
"Homestead city, Florida","29,482","± 2,755"
"Horizon West CDP, Florida","21,837","± 3,348"
"Jacksonville city, Florida","422,315","± 3,351"
"Kendall CDP, Florida","33,932","± 2,901"
"Kissimmee city, Florida","29,099","± 2,402"
"Lakeland city, Florida","52,994","± 2,740"
"Largo city, Florida","46,495","± 3,051"
"Lauderhill city, Florida","30,956","± 2,196"
"Lehigh Acres CDP, Florida","42,566","± 2,666"
"Melbourne city, Florida","40,160","± 2,589"
"Miami city, Florida","219,775","± 5,651"
"Miami Beach city, Florida","60,872","± 2,829"
"Miami Gardens city, Florida","36,204","± 2,438"
"Miramar city, Florida","44,987","± 2,717"
"North Port city, Florida","35,149","± 2,962"
"Orlando city, Florida","149,940","± 5,158"
"Palm Bay city, Florida","50,159","± 2,704"
"Palm Coast city, Florida","43,228","± 1,159"
"Pembroke Pines city, Florida","67,317","± 2,974"
"Pine Hills CDP, Florida","26,423","± 2,075"
"Plantation city, Florida","38,622","± 2,469"
"Poinciana CDP, Florida","25,796","± 3,908"
"Pompano Beach city, Florida","61,793","± 3,682"
"Port Charlotte CDP, Florida","33,195","± 2,288"
"Port St. Lucie city, Florida","84,820","± 3,155"
"Riverview CDP, Florida","42,959","± 3,218"
"St. Petersburg city, Florida","137,046","± 3,480"
"Spring Hill CDP, Florida","48,653","± 1,981"
"Sunrise city, Florida","40,831","± 2,870"
"Tallahassee city, Florida","95,467","± 2,111"
"Tamarac city, Florida","32,750","± 2,505"
"Tampa city, Florida","172,886","± 3,935"
"The Villages CDP, Florida","54,256","± 3,154"
"Town 'n' Country CDP, Florida","37,239","± 3,249"
"Wesley Chapel CDP, Florida","24,706","± 2,253"
"Weston city, Florida","22,530","± 1,598"
"West Palm Beach city, Florida","60,001","± 3,126"
"Albany city, Georgia","32,318","± 1,216"
"Alpharetta city, Georgia","26,292","± 1,628"
"Athens-Clarke County unified government (balance), Georgia","55,757","± 1,706"
"Atlanta city, Georgia","253,355","± 5,916"
"Augusta-Richmond County consolidated government (balance), Georgia","90,645","± 1,117"
"Columbus city, Georgia","91,621","± 1,103"
"Johns Creek city, Georgia","29,983","± 1,899"
"Macon-Bibb County, Georgia","71,906","± 846"
"Roswell city, Georgia","38,653","± 2,701"
"Sandy Springs city, Georgia","54,061","± 2,818"
"Savannah city, Georgia","68,618","± 3,020"
"South Fulton city, Georgia","44,910","± 3,758"
"Warner Robins city, Georgia","35,983","± 2,059"
"Urban Honolulu CDP, Hawaii","157,427","± 3,163"
"Boise City city, Idaho","104,110","± 2,981"
