"Geographic Area Name","10 to 19 (2021)","MoE"
"Auburn city, Alabama","5,100","± 1,396"
"Birmingham city, Alabama","8,641","± 1,853"
"Dothan city, Alabama","1,353","± 610"
"Hoover city, Alabama","4,118","± 1,373"
"Huntsville city, Alabama","6,906","± 1,812"
"Mobile city, Alabama","7,734","± 1,648"
"Montgomery city, Alabama","6,542","± 1,663"
"Tuscaloosa city, Alabama","5,547","± 1,510"
"Anchorage municipality, Alaska","5,201","± 1,293"
"Avondale city, Arizona","606","± 410"
"Casas Adobes CDP, Arizona","1,523","± 831"
"Chandler city, Arizona","5,409","± 1,314"
"Flagstaff city, Arizona","3,613","± 1,245"
"Gilbert town, Arizona","3,260","± 1,207"
"Glendale city, Arizona","5,968","± 1,331"
"Goodyear city, Arizona","816","± 889"
"Mesa city, Arizona","11,053","± 1,992"
"Peoria city, Arizona","1,273","± 638"
"Phoenix city, Arizona","34,469","± 4,035"
"Scottsdale city, Arizona","7,752","± 1,843"
"Surprise city, Arizona","1,483","± 837"
"Tempe city, Arizona","7,663","± 1,978"
"Tucson city, Arizona","13,611","± 2,027"
"Yuma city, Arizona","867","± 501"
"Conway city, Arkansas","3,805","± 1,122"
"Fayetteville city, Arkansas","7,240","± 1,531"
"Fort Smith city, Arkansas","2,243","± 1,031"
"Jonesboro city, Arkansas","1,854","± 970"
"Little Rock city, Arkansas","4,940","± 1,717"
"Rogers city, Arkansas","2,305","± 849"
"Springdale city, Arkansas","2,055","± 1,051"
"Alameda city, California","1,295","± 583"
"Alhambra city, California","2,596","± 819"
"Anaheim city, California","6,057","± 1,284"
"Antioch city, California","415","± 358"
"Apple Valley town, California","468","± 314"
"Arden-Arcade CDP, California","2,474","± 1,004"
"Bakersfield city, California","2,668","± 965"
"Baldwin Park city, California","726","± 334"
"Bellflower city, California","1,716","± 709"
"Berkeley city, California","5,543","± 1,322"
"Buena Park city, California","1,543","± 803"
"Burbank city, California","5,018","± 1,385"
"Camarillo city, California","1,080","± 501"
"Carlsbad city, California","4,729","± 1,509"
"Carmichael CDP, California","931","± 479"
"Carson city, California","289","± 248"
"Castro Valley CDP, California","1,115","± 613"
"Chico city, California","2,213","± 858"
"Chino city, California","673","± 420"
"Chino Hills city, California","1,529","± 689"
"Chula Vista city, California","5,060","± 1,669"
"Citrus Heights city, California","2,004","± 883"
"Clovis city, California","626","± 482"
"Compton city, California","729","± 424"
"Concord city, California","2,849","± 1,007"
"Corona city, California","2,486","± 853"
"Costa Mesa city, California","3,823","± 1,169"
"Daly City city, California","1,974","± 788"
"Davis city, California","2,872","± 1,169"
"Downey city, California","3,333","± 1,049"
"Dublin city, California","351","± 206"
"East Los Angeles CDP, California","678","± 454"
"El Cajon city, California","2,625","± 791"
"Elk Grove city, California","677","± 388"
"El Monte city, California","1,614","± 622"
"Escondido city, California","2,751","± 937"
"Fairfield city, California","569","± 363"
"Folsom city, California","2,520","± 1,088"
"Fontana city, California","821","± 472"
"Fremont city, California","2,137","± 578"
"Fresno city, California","6,883","± 1,526"
"Fullerton city, California","3,204","± 934"
"Garden Grove city, California","2,089","± 773"
"Glendale city, California","9,476","± 1,511"
"Hawthorne city, California","3,901","± 1,088"
"Hayward city, California","1,473","± 715"
"Hemet city, California","413","± 288"
"Hesperia city, California","840","± 453"
"Huntington Beach city, California","4,160","± 1,319"
"Indio city, California","370","± 284"
"Inglewood city, California","4,971","± 1,223"
"Irvine city, California","6,273","± 1,618"
"Jurupa Valley city, California","600","± 355"
"Lake Elsinore city, California","0","± 218"
"Lake Forest city, California","1,838","± 879"
"Lakewood city, California","770","± 590"
"Lancaster city, California","804","± 463"
"Livermore city, California","935","± 590"
"Lodi city, California","941","± 606"
