"Geographic Area Name","1, detached (2024)","MoE"
"Santa Clarita city, California","46,985","± 2,631"
"Santa Maria city, California","19,895","± 2,279"
"Santa Monica city, California","11,242","± 1,898"
"Santa Rosa city, California","44,140","± 2,564"
"Simi Valley city, California","33,431","± 1,811"
"South Gate city, California","15,195","± 1,239"
"Stockton city, California","66,678","± 2,614"
"Sunnyvale city, California","22,011","± 1,986"
"Temecula city, California","28,662","± 1,921"
"Thousand Oaks city, California","31,121","± 1,980"
"Torrance city, California","31,435","± 2,426"
"Tracy city, California","27,605","± 1,769"
"Tulare city, California","17,608","± 1,543"
"Turlock city, California","18,087","± 1,540"
"Tustin city, California","9,657","± 1,282"
"Union City city, California","11,949","± 1,239"
"Upland city, California","15,469","± 1,497"
"Vacaville city, California","24,570","± 2,046"
"Vallejo city, California","33,474","± 2,536"
"Victorville city, California","33,996","± 2,302"
"Visalia city, California","40,577","± 2,295"
"Vista city, California","18,294","± 2,458"
"Walnut Creek city, California","12,987","± 1,411"
"West Covina city, California","22,036","± 2,129"
"Westminster city, California","15,513","± 1,386"
"Whittier city, California","19,609","± 1,951"
"Yorba Linda city, California","17,095","± 1,518"
"Yuba City city, California","15,372","± 1,596"
"Arvada city, Colorado","36,518","± 1,954"
"Aurora city, Colorado","82,602","± 3,227"
"Boulder city, Colorado","18,112","± 1,726"
"Broomfield city, Colorado","19,629","± 1,037"
"Castle Rock town, Colorado","23,229","± 1,749"
"Centennial city, Colorado","31,536","± 1,893"
"Colorado Springs city, Colorado","129,519","± 4,044"
"Commerce City city, Colorado","18,179","± 2,249"
"Denver city, Colorado","148,082","± 5,324"
"Fort Collins city, Colorado","39,455","± 2,311"
"Grand Junction city, Colorado","21,559","± 1,556"
"Greeley city, Colorado","26,000","± 1,979"
"Highlands Ranch CDP, Colorado","28,684","± 1,674"
"Lakewood city, Colorado","34,649","± 2,296"
"Longmont city, Colorado","24,949","± 2,119"
"Loveland city, Colorado","22,142","± 1,656"
"Parker town, Colorado","16,722","± 1,610"
"Pueblo city, Colorado","36,139","± 1,899"
"Thornton city, Colorado","36,211","± 2,239"
"Westminster city, Colorado","28,908","± 2,003"
"Bridgeport city, Connecticut","16,010","± 1,674"
"Danbury city, Connecticut","15,175","± 1,903"
"Hartford city, Connecticut","10,471","± 1,621"
"New Britain city, Connecticut","10,827","± 1,553"
"New Haven city, Connecticut","12,471","± 1,692"
"Norwalk city, Connecticut","15,513","± 1,679"
"Stamford city, Connecticut","20,065","± 1,532"
"Waterbury city, Connecticut","18,298","± 2,485"
"Wilmington city, Delaware","3,097","± 1,129"
"Washington city, District of Columbia","39,380","± 2,912"
"Alafaya CDP, Florida","22,427","± 2,753"
"Boca Raton city, Florida","21,152","± 2,102"
"Boynton Beach city, Florida","17,460","± 2,277"
"Brandon CDP, Florida","25,055","± 2,806"
"Cape Coral city, Florida","88,866","± 4,507"
"Clearwater city, Florida","23,369","± 2,358"
"Coral Springs city, Florida","25,027","± 2,272"
"Davie town, Florida","18,147","± 2,243"
"Daytona Beach city, Florida","19,201","± 2,300"
"Deerfield Beach city, Florida","12,693","± 1,831"
"Delray Beach city, Florida","16,004","± 2,327"
"Doral city, Florida","6,609","± 1,447"
"Fort Lauderdale city, Florida","32,375","± 3,169"
"Fort Myers city, Florida","18,430","± 1,811"
"Four Corners CDP, Florida","21,190","± 2,783"
"Gainesville city, Florida","21,504","± 2,248"
"Hialeah city, Florida","29,718","± 2,369"
"Hollywood city, Florida","31,384","± 2,380"
"Homestead city, Florida","11,396","± 1,411"
"Jacksonville city, Florida","264,174","± 6,217"
"Kendall CDP, Florida","13,474","± 1,621"
"Kissimmee city, Florida","15,303","± 2,771"
"Lakeland city, Florida","27,304","± 2,430"
"Largo city, Florida","13,942","± 1,812"
"Lauderhill city, Florida","10,753","± 1,640"
"Lehigh Acres CDP, Florida","39,182","± 3,214"
"Melbourne city, Florida","21,782","± 1,998"
"Miami city, Florida","49,360","± 3,853"
"Miami Beach city, Florida","5,591","± 1,048"
"Miami Gardens city, Florida","24,416","± 1,997"
"Miramar city, Florida","25,783","± 2,539"
"North Port city, Florida","37,141","± 2,635"
"Ocala city, Florida","16,255","± 1,866"
"Orlando city, Florida","48,699","± 4,160"
"Palm Bay city, Florida","44,208","± 2,905"
"Palm Coast city, Florida","42,427","± 2,138"
"Pembroke Pines city, Florida","31,078","± 2,288"
"Pine Hills CDP, Florida","16,240","± 2,328"
"Plantation city, Florida","20,323","± 2,281"
