"Geographic Area Name","1, detached (2024)","MoE"
"Portsmouth city, Virginia","27,103","± 1,666"
"Reston CDP, Virginia","6,354","± 1,050"
"Richmond city, Virginia","48,860","± 2,820"
"Roanoke city, Virginia","30,940","± 2,221"
"Suffolk city, Virginia","29,328","± 1,387"
"Virginia Beach city, Virginia","100,297","± 3,478"
"Auburn city, Washington","16,991","± 1,869"
"Bellevue city, Washington","29,833","± 1,961"
"Bellingham city, Washington","20,542","± 1,650"
"Everett city, Washington","22,307","± 2,331"
"Federal Way city, Washington","18,754","± 1,627"
"Kennewick city, Washington","19,258","± 2,163"
"Kent city, Washington","27,330","± 2,364"
"Kirkland city, Washington","20,966","± 1,946"
"Marysville city, Washington","18,284","± 1,634"
"Pasco city, Washington","20,049","± 1,625"
"Redmond city, Washington","12,850","± 1,457"
"Renton city, Washington","21,271","± 2,162"
"Sammamish city, Washington","17,015","± 1,424"
"Seattle city, Washington","143,530","± 4,830"
"Shoreline city, Washington","16,278","± 1,385"
"South Hill CDP, Washington","17,864","± 2,037"
"Spokane city, Washington","67,440","± 2,951"
"Spokane Valley city, Washington","27,604","± 1,828"
"Tacoma city, Washington","58,559","± 2,539"
"Vancouver city, Washington","45,209","± 2,324"
"Yakima city, Washington","22,473","± 1,977"
"Appleton city, Wisconsin","20,789","± 1,327"
"Eau Claire city, Wisconsin","17,025","± 1,434"
"Green Bay city, Wisconsin","26,209","± 2,012"
"Janesville city, Wisconsin","19,759","± 1,467"
"Kenosha city, Wisconsin","24,257","± 1,730"
"Madison city, Wisconsin","54,615","± 2,700"
"Milwaukee city, Wisconsin","102,065","± 4,954"
"Oshkosh city, Wisconsin","17,385","± 1,537"
"Racine city, Wisconsin","24,582","± 1,827"
"Waukesha city, Wisconsin","16,104","± 1,138"
"Cheyenne city, Wyoming","19,421","± 1,329"
"Bayamón zona urbana, Puerto Rico","48,160","± 1,999"
"Caguas zona urbana, Puerto Rico","21,693","± 1,676"
"Carolina zona urbana, Puerto Rico","32,587","± 2,118"
"Guaynabo zona urbana, Puerto Rico","16,327","± 1,614"
"Ponce zona urbana, Puerto Rico","39,282","± 2,353"
"San Juan zona urbana, Puerto Rico","70,556","± 3,646"
