City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"Clovis city, California","40,037","49,505","38,762","46,626","1,275","2,879","26,752","30,467","12,010","16,159","40,037","49,505","40,037","49,505","30,520","36,608",626,964,373,"1,453","2,243","2,359"
"Compton city, California","29,793","23,647","28,820","22,863",973,784,"18,076","12,667","10,744","10,196","29,793","23,647","29,793","23,647","20,032","16,486",729,187,702,279,355,658
"Concord city, California","47,251","51,604","46,375","49,088",876,"2,516","26,282","31,365","20,093","17,723","47,251","51,604","47,251","51,604","27,477","31,523","2,849","2,321","4,210","2,729","5,120","4,675"
"Corona city, California","50,613","52,505","48,905","51,567","1,708",938,"30,461","32,021","18,444","19,546","50,613","52,505","50,613","52,505","34,137","33,741","2,486","3,312","1,040","2,238","2,628","3,459"
"Costa Mesa city, California","45,564","44,365","43,711","41,303","1,853","3,062","17,501","15,433","26,210","25,870","45,564","44,365","45,564","44,365","17,368","15,526","3,823","4,024","2,574","2,240","4,961","6,934"
"Daly City city, California","37,568","38,324","32,887","33,546","4,681","4,778","19,328","18,821","13,559","14,725","37,568","38,324","37,568","38,324","18,121","18,930","1,974","1,684","3,331","3,139","3,396","3,954"
"Davis city, California","27,592","26,755","25,316","24,503","2,276","2,252","11,110","10,210","14,206","14,293","27,592","26,755","27,592","26,755","12,463","12,162","2,872","1,324","1,511","1,850","3,042","4,738"
"Downey city, California","37,581","35,543","36,008","34,779","1,573",764,"18,808","17,613","17,200","17,166","37,581","35,543","37,581","35,543","21,573","19,063","3,333","2,398","3,778","4,730","2,260","2,582"
"Dublin city, California","25,372","24,565","23,688","23,668","1,684",897,"16,823","16,362","6,865","7,306","25,372","24,565","25,372","24,565","14,757","12,833",351,389,486,343,"3,646","4,512"
"East Los Angeles CDP, California","33,124","33,707","31,072","31,981","2,052","1,726","9,953","11,767","21,119","20,214","33,124","33,707","33,124","33,707","17,559","18,442",678,574,536,630,372,"1,174"
"Eastvale city, California","18,782","17,378","18,470","17,087",312,291,"14,514","12,863","3,956","4,224",,,,,,,,,,,,
"El Cajon city, California","34,992","33,340","34,443","31,991",549,"1,349","14,682","14,221","19,761","17,770","34,992","33,340","34,992","33,340","13,959","14,955","2,625","2,654","5,778","4,711","5,112","3,941"
"Elk Grove city, California","54,385","56,446","53,724","55,538",661,908,"39,576","41,658","14,148","13,880","54,385","56,446","54,385","56,446","47,786","49,366",677,"1,406",246,312,"2,617","1,526"
"El Monte city, California","29,935","30,610","29,036","29,633",899,977,"10,998","12,316","18,038","17,317","29,935","30,610","29,935","30,610","15,403","16,624","1,614","2,764","1,862","1,067","1,625","1,356"
"Escondido city, California","52,542","49,196","50,171","47,744","2,371","1,452","27,597","26,129","22,574","21,615","52,542","49,196","52,542","49,196","27,395","23,677","2,751","3,349","2,753","2,561","7,633","4,269"
"Fairfield city, California","40,027","43,053","38,097","41,239","1,930","1,814","22,271","25,185","15,826","16,054","40,027","43,053","40,027","43,053","26,006","30,425",569,"1,348","1,222","1,527","2,888","2,708"
"Folsom city, California","29,667","33,593","28,441","32,456","1,226","1,137","19,994","21,458","8,447","10,998","29,667","33,593","29,667","33,593","22,366","23,708","2,520","1,524",379,233,"1,505","2,282"
"Fontana city, California","58,533","61,759","57,836","60,075",697,"1,684","39,490","37,934","18,346","22,141","58,533","61,759","58,533","61,759","46,136","46,097",821,"1,540",677,"1,015","4,810","5,007"
"Fremont city, California","79,480","83,597","75,716","79,953","3,764","3,644","46,436","47,661","29,280","32,292","79,480","83,597","79,480","83,597","43,693","46,621","2,137","2,746","2,750","3,538","11,950","12,295"
"Fresno city, California","188,756","189,450","181,841","181,398","6,915","8,052","91,233","93,036","90,608","88,362","188,756","189,450","188,756","189,450","111,454","116,969","6,883","7,900","6,485","6,536","14,185","9,601"
"Fullerton city, California","49,834","52,304","48,423","50,564","1,411","1,740","23,525","26,574","24,898","23,990","49,834","52,304","49,834","52,304","24,782","25,971","3,204","3,443","2,820","1,452","6,700","8,104"
"Garden Grove city, California","50,253","52,475","48,769","50,286","1,484","2,189","26,624","25,956","22,145","24,330","50,253","52,475","50,253","52,475","27,655","28,827","2,089","2,430","2,512","1,840","4,799","4,089"
"Glendale city, California","76,220","75,907","70,831","71,030","5,389","4,877","25,211","23,771","45,620","47,259","76,220","75,907","76,220","75,907","25,722","24,452","9,476","10,311","12,306","10,123","8,060","11,193"
"Hawthorne city, California","31,161","32,560","30,039","31,300","1,122","1,260","8,287","7,972","21,752","23,328","31,161","32,560","31,161","32,560","7,779","8,636","3,901","2,290","5,481","5,640","3,377","4,496"
"Hayward city, California","50,777","54,320","48,619","51,660","2,158","2,660","26,763","30,123","21,856","21,537","50,777","54,320","50,777","54,320","26,628","25,501","1,473","2,066","2,235","2,825","6,190","7,589"
"Hemet city, California","36,642","35,479","33,486","32,115","3,156","3,364","19,983","20,661","13,503","11,454","36,642","35,479","36,642","35,479","20,436","19,047",413,"1,484",730,965,"1,707","2,624"
"Hesperia city, California","29,886","29,718","29,237","28,726",649,992,"19,187","19,436","10,050","9,290","29,886","29,718","29,886","29,718","25,246","24,280",840,692,380,372,544,"2,009"
"Huntington Beach city, California","83,658","82,014","79,930","76,700","3,728","5,314","45,454","42,029","34,476","34,671","83,658","82,014","83,658","82,014","41,869","39,396","4,160","3,573","2,404","1,794","7,657","8,551"
"Indio city, California","40,749","36,310","34,673","29,827","6,076","6,483","22,265","19,833","12,408","9,994","40,749","36,310","40,749","36,310","28,087","24,460",370,978,176,0,"1,586",764
"Inglewood city, California","40,083","44,315","37,972","41,580","2,111","2,735","14,241","16,020","23,731","25,560","40,083","44,315","40,083","44,315","14,414","16,816","4,971","4,462","3,926","3,889","2,469","2,569"
"Irvine city, California","122,260","121,814","111,648","115,091","10,612","6,723","49,861","53,967","61,787","61,124","122,260","121,814","122,260","121,814","45,588","47,287","6,273","4,982","6,069","3,199","24,490","29,588"
"Jurupa Valley city, California","28,677","28,434","27,454","27,925","1,223",509,"18,466","18,038","8,988","9,887","28,677","28,434","28,677","28,434","22,835","22,821",600,610,438,34,"1,216",705
"Lake Elsinore city, California","21,975","22,574","21,422","22,077",553,497,"14,738","15,310","6,684","6,767","21,975","22,574","21,975","22,574","16,678","17,048",0,907,153,352,538,541
"Lake Forest city, California","32,522","31,620","30,962","30,881","1,560",739,"21,968","20,668","8,994","10,213","32,522","31,620","32,522","31,620","16,496","17,455","1,838","1,735",315,252,"1,669","1,326"
"Lakewood city, California","27,028","26,797","26,533","26,057",495,740,"19,374","18,830","7,159","7,227","27,028","26,797","27,028","26,797","20,884","21,348",770,768,660,953,"1,018","1,172"
"Lancaster city, California","53,460","53,646","51,333","50,609","2,127","3,037","29,878","33,702","21,455","16,907","53,460","53,646","53,460","53,646","37,550","38,649",804,"1,470","1,212",570,"2,837","3,612"
"Livermore city, California","32,363","32,741","31,472","32,453",891,288,"21,925","21,704","9,547","10,749","32,363","32,741","32,363","32,741","20,973","21,903",935,648,"1,214","1,007","2,166","2,276"
"Lodi city, California","25,828","26,198","24,245","24,413","1,583","1,785","13,455","14,244","10,790","10,169","25,828","26,198","25,828","26,198","16,671","18,059",941,"1,241",694,490,"2,072","1,631"
"Long Beach city, California","179,856","181,216","172,599","170,773","7,257","10,443","69,470","70,126","103,129","100,647","179,856","181,216","179,856","181,216","72,311","72,728","19,386","19,589","14,344","10,793","19,129","20,499"
"Los Angeles city, California","1,542,391","1,587,311","1,410,594","1,480,869","131,797","106,442","521,485","531,430","889,109","949,439","1,542,391","1,587,311","1,542,391","1,587,311","573,520","565,981","146,180","149,786","201,951","209,285","245,049","276,761"
"Lynwood city, California","16,429","15,896","16,079","15,383",350,513,"7,968","7,223","8,111","8,160","16,429","15,896","16,429","15,896","8,992","9,615","1,334",797,696,596,111,413
"Madera city, California","19,676","19,148","18,595","18,051","1,081","1,097","8,852","9,683","9,743","8,368","19,676","19,148","19,676","19,148","12,990","13,778",233,311,380,410,666,519
"Manteca city, California","28,237","28,831","27,310","27,855",927,976,"19,842","20,251","7,468","7,604","28,237","28,831","28,237","28,831","22,196","22,073",974,609,459,761,961,825
"Menifee city, California","37,422","41,467","35,601","39,681","1,821","1,786","27,879","31,153","7,722","8,528","37,422","41,467",,"41,467",,"35,008",,119,,58,,"1,241"
"Merced city, California","30,158","28,968","28,358","27,059","1,800","1,909","11,501","14,316","16,857","12,743","30,158","28,968","30,158","28,968","18,711","20,140",755,"1,322",457,130,"2,868",778
"Milpitas city, California","24,559","25,800","23,632","24,883",927,917,"14,299","13,365","9,333","11,518","24,559","25,800","24,559","25,800","12,568","11,020","1,097",345,502,373,"3,871","5,000"
"Mission Viejo city, California","36,316","34,794","34,168","33,279","2,148","1,515","26,639","25,543","7,529","7,736","36,316","34,794","36,316","34,794","26,589","25,477","1,333",524,32,415,"2,808","1,101"
"Modesto city, California","74,871","75,882","71,775","74,680","3,096","1,202","42,340","45,001","29,435","29,679","74,871","75,882","74,871","75,882","53,284","53,479","1,561","2,333",811,"1,948","2,817","4,817"
"Moreno Valley city, California","55,128","59,400","54,104","56,372","1,024","3,028","33,152","34,415","20,952","21,957","55,128","59,400","55,128","59,400","43,840","43,916","1,503","1,917",851,"1,368","1,813","2,782"
"Mountain View city, California","39,492","40,350","34,637","37,299","4,855","3,051","13,060","15,464","21,577","21,835","39,492","40,350","39,492","40,350","10,256","11,773","3,606","3,729","5,141","3,780","7,730","8,344"
"Murrieta city, California","36,573","36,988","34,414","35,513","2,159","1,475","25,860","24,143","8,554","11,370","36,573","36,988","36,573","36,988","27,980","26,346","1,518","1,191",454,"1,795",920,575
"Napa city, California","32,314","31,866","30,418","29,218","1,896","2,648","18,944","18,304","11,474","10,914","32,314","31,866","32,314","31,866","20,762","20,505","1,008","1,196","1,413","1,819","1,345","1,155"
"Newport Beach city, California","47,062","44,042","39,131","36,422","7,931","7,620","21,469","18,985","17,662","17,437","47,062","44,042","47,062","44,042","21,294","20,060","1,028","1,802","2,097","2,413","6,455","7,289"
"Norwalk city, California","26,860","27,169","26,506","27,029",354,140,"18,333","17,989","8,173","9,040","26,860","27,169","26,860","27,169","20,360","19,576",296,"1,345","1,296","1,726","1,671","1,696"
"Oakland city, California","186,660","201,061","170,366","186,476","16,294","14,585","72,661","81,383","97,705","105,093","186,660","201,061","186,660","201,061","79,024","82,561","12,848","12,938","18,517","17,845","21,814","28,625"
"Oceanside city, California","64,694","68,129","59,683","63,151","5,011","4,978","33,164","38,162","26,519","24,989","64,694","68,129","64,694","68,129","32,257","34,750","4,157","3,113","1,511","2,042","4,343","3,336"
"Ontario city, California","57,356","58,170","55,819","56,065","1,537","2,105","32,424","33,425","23,395","22,640","57,356","58,170","57,356","58,170","33,664","34,892","1,649","2,176","1,934",988,"5,374","6,390"
"Orange city, California","45,377","46,126","43,291","44,542","2,086","1,584","24,222","24,999","19,069","19,543","45,377","46,126","45,377","46,126","24,946","25,106",957,"1,143","2,778","1,130","4,797","4,621"
"Oxnard city, California","53,778","59,503","50,611","55,749","3,167","3,754","28,798","32,080","21,813","23,669","53,778","59,503","53,778","59,503","28,723","31,582","4,290","3,224","2,238","3,346","2,945","5,253"
"Palmdale city, California","47,738","46,588","46,650","44,494","1,088","2,094","31,401","30,886","15,249","13,608","47,738","46,588","47,738","46,588","38,878","37,190","1,298",789,719,"1,074","2,986","2,090"
"Palo Alto city, California","27,757","29,550","24,501","26,360","3,256","3,190","13,122","13,654","11,379","12,706","27,757","29,550","27,757","29,550","16,814","17,244",641,"1,434","1,406","2,088","2,961","2,444"
"Pasadena city, California","64,644","65,444","56,992","58,885","7,652","6,559","24,481","24,307","32,511","34,578","64,644","65,444","64,644","65,444","27,114","27,865","5,783","7,500","6,936","6,068","11,472","8,949"
"Perris city, California","19,964","21,734","19,923","21,120",41,614,"13,101","14,146","6,822","6,974","19,964","21,734",,"21,734",,"17,075",,346,,674,,987
"Pittsburg city, California","24,600","25,940","23,827","25,580",773,360,"12,939","14,928","10,888","10,652","24,600","25,940","24,600","25,940","15,968","16,538","1,355","1,184",423,510,"1,751","1,960"
"Pleasanton city, California","30,092","30,795","29,330","29,294",762,"1,501","19,339","19,038","9,991","10,256","30,092","30,795","30,092","30,795","18,245","18,964",513,"1,525","1,257",723,"2,940","2,145"
"Pomona city, California","41,376","44,805","40,142","43,236","1,234","1,569","20,591","22,531","19,551","20,705","41,376","44,805","41,376","44,805","24,967","26,226","1,878","1,804","1,782","2,556","2,750","2,210"
"Rancho Cordova city, California","30,125","31,434","28,428","29,435","1,697","1,999","16,825","16,740","11,603","12,695","30,125","31,434","30,125","31,434","19,277","17,610","1,576","1,857",317,"1,177","1,586","1,856"
"Rancho Cucamonga city, California","59,083","62,033","57,290","60,009","1,793","2,024","33,694","36,007","23,596","24,002","59,083","62,033","59,083","62,033","35,452","37,757",955,"1,124","1,958",565,"7,595","9,740"
"Redding city, California","39,738","42,795","37,302","37,835","2,436","4,960","18,438","21,816","18,864","16,019","39,738","42,795","39,738","42,795","25,116","28,710",524,"1,073",594,878,"1,952","1,890"
"Redlands city, California","25,688","27,483","24,452","25,959","1,236","1,524","13,896","14,525","10,556","11,434","25,688","27,483","25,688","27,483","15,957","15,619",899,557,"1,984","1,021","1,375","2,895"
"Redondo Beach city, California","28,355","29,786","26,986","27,794","1,369","1,992","14,869","14,103","12,117","13,691","28,355","29,786","28,355","29,786","12,123","11,281","1,881","2,069","2,579","3,262","2,158","1,822"
"Redwood City city, California","32,232","31,425","29,450","29,917","2,782","1,508","16,075","15,485","13,375","14,432","32,232","31,425","32,232","31,425","14,220","13,018","2,594","2,565","1,821","2,259","4,481","3,923"
"Rialto city, California","30,380","27,511","29,043","26,927","1,337",584,"17,989","19,134","11,054","7,793","30,380","27,511","30,380","27,511","20,428","19,878",210,312,405,522,"4,264","1,410"
"Richmond city, California","42,082","42,406","40,019","40,660","2,063","1,746","21,432","22,770","18,587","17,890","42,082","42,406","42,082","42,406","25,505","23,767","1,938","1,687","1,403","2,170","2,241","1,324"
"Riverside city, California","94,246","107,868","91,110","102,894","3,136","4,974","51,211","57,170","39,899","45,724","94,246","107,868","94,246","107,868","59,487","65,327","6,556","5,674","4,288","8,126","6,007","9,447"
"Rocklin city, California","26,221","28,083","25,528","26,784",693,"1,299","17,025","17,893","8,503","8,891","26,221","28,083","26,221","28,083","18,834","19,405",862,752,491,979,"1,553","2,011"
"Roseville city, California","59,392","63,419","57,569","61,064","1,823","2,355","39,453","43,431","18,116","17,633","59,392","63,419","59,392","63,419","43,929","48,087","1,689","1,262","1,223","1,634","4,321","3,310"
"Sacramento city, California","210,715","211,869","202,093","198,965","8,622","12,904","103,994","101,161","98,099","97,804","210,715","211,869","210,715","211,869","129,937","124,498","10,426","9,051","7,329","9,170","16,026","18,317"
"Salinas city, California","43,045","43,077","41,871","41,668","1,174","1,409","17,086","18,650","24,785","23,018","43,045","43,077","43,045","43,077","24,118","22,664","4,119","2,385","2,261","2,079","1,693","4,303"
"San Bernardino city, California","66,188","68,594","63,331","66,134","2,857","2,460","32,391","34,168","30,940","31,966","66,188","68,594","66,188","68,594","41,152","44,043","2,976","1,416","1,978","1,804","6,819","7,339"
