City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024
"Costa Mesa city, California","1,937","4,225","1,789","1,539","2,161","2,744","6,475","5,304","25,870","26,210"
"Daly City city, California","1,219","1,782",717,"1,910","1,247","1,673","4,537","3,086","14,725","13,559"
"Davis city, California","1,197",820,405,718,"1,244",884,"5,329","7,725","14,293","14,206"
"Downey city, California","2,845","1,494","1,618","1,385","1,501","1,552","5,011","4,752","17,166","17,200"
"Dublin city, California",310,791,190,484,549,551,"1,432","1,492","7,306","6,865"
"East Los Angeles CDP, California","1,556","1,303","1,293","1,193","1,909","1,711","4,354","5,733","20,214","21,119"
"El Cajon city, California","1,513",553,"1,260","1,019","2,409","2,483","6,728","7,519","17,770","19,761"
"Elk Grove city, California","1,134","1,739","1,428",572,988,855,"3,408","4,935","13,880","14,148"
"El Monte city, California",787,"1,442","1,237","1,464","2,190","1,447","6,065","4,789","17,317","18,038"
"Escondido city, California","2,413","1,809","1,654","2,174","3,023","1,835","6,336","5,970","21,615","22,574"
"Fairfield city, California","1,971",421,701,964,"2,050","3,049","6,010","4,899","16,054","15,826"
"Folsom city, California",654,728,614,552,"1,040","1,170","1,512","2,369","10,998","8,447"
"Fontana city, California","1,172","1,827","1,567","1,888","1,632","2,475","3,805","4,966","22,141","18,346"
"Fremont city, California","2,267","2,846","1,464","2,259","2,264","3,409","4,963","5,589","32,292","29,280"
"Fresno city, California","6,689","7,817","6,144","5,105","7,363","8,769","24,188","27,432","88,362","90,608"
"Fullerton city, California","2,658","1,465","1,347","1,800","3,009","2,659","7,147","7,902","23,990","24,898"
"Garden Grove city, California","1,889","1,591","1,264","1,654","1,551","2,971","7,649","8,095","24,330","22,145"
"Glendale city, California","3,560","3,949","2,422","3,548","4,074","5,724","16,624","13,064","47,259","45,620"
"Hawthorne city, California","1,466","1,723","1,464","2,114","1,934","4,040","7,575","7,176","23,328","21,752"
"Hayward city, California","2,273","2,785","1,038","1,314","1,866","1,487","6,304","5,740","21,537","21,856"
"Hemet city, California","1,219",263,396,245,946,"2,557","5,650","4,280","11,454","13,503"
"Hesperia city, California","1,509",875,580,606,527,"1,122","3,339","2,413","9,290","10,050"
"Huntington Beach city, California","2,414","3,514","2,802","2,808","2,490","4,051","10,465","8,139","34,671","34,476"
"Indio city, California","1,300",655,"1,192","1,250","1,132","1,234","2,314","1,980","9,994","12,408"
"Inglewood city, California","2,768","3,335","2,089","2,095","1,802","3,055","7,582","8,464","25,560","23,731"
"Irvine city, California","5,983","4,489","3,215","3,679","5,530","6,836","15,775","16,335","61,124","61,787"
"Jurupa Valley city, California",877,"1,004",700,231,693,695,"2,271","3,366","9,887","8,988"
"Lake Elsinore city, California",663,508,383,961,"1,068",591,"2,391","1,826","6,767","6,684"
"Lake Forest city, California","1,207","1,480","1,154","1,128",698,"1,159","2,368","1,983","10,213","8,994"
"Lakewood city, California","1,110",414,245,537,965,800,"1,572","1,396","7,227","7,159"
"Lancaster city, California","1,452",974,568,667,"2,177","1,332","7,620","7,266","16,907","21,455"
"Livermore city, California","1,173",428,902,964,827,865,"2,032","3,473","10,749","9,547"
"Lodi city, California","1,238","1,028",883,809,670,"1,288","2,244","2,150","10,169","10,790"
"Long Beach city, California","10,878","9,871","6,244","6,477","9,900","12,440","29,150","26,864","100,647","103,129"
"Los Angeles city, California","75,097","86,883","56,104","67,881","87,032","88,392","291,578","286,484","949,439","889,109"
"Lynwood city, California",890,976,58,563,394,786,"2,816","2,350","8,160","8,111"
"Madera city, California",530,"1,078",616,324,697,"1,005","3,521","2,571","8,368","9,743"
"Manteca city, California",895,959,610,232,701,959,"1,221","1,728","7,604","7,468"
"Menifee city, California",329,736,880,"1,324",331,"1,043","2,572","3,382","8,528","7,722"
"Merced city, California","1,178","1,371",931,704,"1,970",599,"4,922","4,409","12,743","16,857"
"Milpitas city, California",981,787,497,162,680,"1,728","1,576","1,339","11,518","9,333"
"Mission Viejo city, California",904,"1,046",417,672,629,356,"2,011","2,173","7,736","7,529"
"Modesto city, California","2,711","3,363","2,315","3,025","3,829","3,328","8,045","8,185","29,679","29,435"
"Moreno Valley city, California","2,477","1,757","2,186","1,215","1,970","2,964","5,814","6,575","21,957","20,952"
"Mountain View city, California","2,408",975,"1,198",634,"1,570",853,"3,201","4,472","21,835","21,577"
"Murrieta city, California",951,"1,337",459,998,"1,436","1,959","2,554","1,987","11,370","8,554"
"Napa city, California","1,292","1,437",693,424,"1,309","1,518","2,960","3,107","10,914","11,474"
"Newport Beach city, California","1,361","1,489",467,"1,261","1,427","2,128","4,194","4,008","17,437","17,662"
"Norwalk city, California",638,710,424,894,409,"1,469","3,306","2,253","9,040","8,173"
"Oakland city, California","10,398","7,810","5,270","5,037","7,546","9,793","26,544","28,513","105,093","97,705"
"Oceanside city, California","3,947","2,896","2,626","1,609","1,503","2,188","7,626","7,438","24,989","26,519"
"Ontario city, California","2,254","2,163","1,859","1,999","2,426","2,243","8,368","7,046","22,640","23,395"
"Orange city, California","2,614","1,496",749,"1,196","2,035","1,628","5,365","5,563","19,543","19,069"
"Oxnard city, California","1,981","2,340","1,504","1,978","2,494","2,423","6,110","6,536","23,669","21,813"
"Palmdale city, California","1,152","1,204","1,113",716,"2,147",890,"4,291","5,789","13,608","15,249"
"Palo Alto city, California",988,807,936,587,"1,063",923,"2,084","2,955","12,706","11,379"
"Pasadena city, California","2,530","3,017","1,769","3,897","3,394","3,378","9,092","8,307","34,578","32,511"
"Perris city, California",403,"1,115",857,331,603,699,"1,352","1,957","6,974","6,822"
"Pittsburg city, California",694,"1,142",986,735,"1,379",616,"2,901","4,145","10,652","10,888"
"Pleasanton city, California",801,353,110,571,"1,642","1,418","2,065","2,804","10,256","9,991"
"Pomona city, California","1,296","2,156","1,648","1,623","2,411","1,870","6,182","6,182","20,705","19,551"
"Rancho Cordova city, California","1,210","1,149",280,674,"1,421","1,587","2,223","3,491","12,695","11,603"
"Rancho Cucamonga city, California","2,237","2,625","1,801","1,381","2,872","1,877","5,595","8,070","24,002","23,596"
"Redding city, California","1,103","1,209","1,483","1,580","1,525","1,251","5,187","4,095","16,019","18,864"
"Redlands city, California",757,"1,445",699,427,"1,485","1,296","1,665","2,611","11,434","10,556"
"Redondo Beach city, California",779,"1,390",684,444,"1,040",781,"3,111","2,774","13,691","12,117"
"Redwood City city, California",443,593,"1,031","1,124",942,763,"2,982","3,682","14,432","13,375"
"Rialto city, California","1,330",913,789,225,906,"1,061","3,261","2,847","7,793","11,054"
"Richmond city, California","1,461","1,551","1,220","1,579","2,679","1,237","5,230","4,781","17,890","18,587"
"Riverside city, California","3,962","5,851","3,006","2,520","4,636","5,016","11,159","13,140","45,724","39,899"
"Rocklin city, California","1,291","1,021",773,945,"1,407",638,"1,434","2,574","8,891","8,503"
"Roseville city, California","1,538","1,468","1,447","1,379","1,218","1,475","4,774","5,423","17,633","18,116"
"Sacramento city, California","8,506","8,922","8,056","6,179","9,350","8,810","26,268","24,645","97,804","98,099"
"Salinas city, California","2,536","2,277","2,923","1,228","2,620","3,814","5,619","6,694","23,018","24,785"
"San Bernardino city, California","2,886","2,355","2,008","2,169","4,044","4,362","9,631","9,759","31,966","30,940"
"San Buenaventura (Ventura) city, California","1,607","1,560",924,"2,683","1,413","1,901","4,805","5,025","20,390","16,716"
"San Diego city, California","24,987","29,842","20,503","21,639","22,998","27,076","73,755","75,111","290,395","269,493"
"San Francisco city, California","15,887","17,373","9,395","12,515","16,380","14,423","42,477","42,935","235,275","209,987"
"San Jose city, California","15,425","12,388","11,169","10,479","12,623","13,224","29,575","33,842","147,542","143,084"
"San Leandro city, California","1,119",932,448,563,"1,306",864,"3,219","3,949","12,609","12,330"
"San Marcos city, California","1,012",978,565,590,"2,101",834,"5,069","4,622","10,214","12,049"
"San Mateo city, California","1,429","1,458",729,801,761,"1,119","5,385","4,172","19,652","18,431"
"San Ramon city, California","1,113",892,330,363,"1,451","1,023","1,376","1,276","7,370","8,946"
"Santa Ana city, California","4,580","3,501","2,896","3,483","3,772","5,287","12,404","10,986","48,042","43,357"
"Santa Barbara city, California","2,305","2,484","1,508","1,755","2,155","1,636","6,373","5,900","21,558","22,401"
"Santa Clara city, California","2,046","1,300",970,"1,962","1,396","1,929","4,121","6,563","32,798","27,882"
"Santa Clarita city, California","1,444","1,671","1,327","1,744","2,436","3,490","6,590","5,058","21,539","20,085"
"Santa Maria city, California","1,307","1,546","1,398",506,"1,433","2,115","5,016","5,827","15,940","15,236"
"Santa Monica city, California","3,729","1,938","1,450","1,440","2,871","1,804","6,799","6,415","36,726","31,222"
"Santa Rosa city, California","4,243","2,882","2,809","1,778","2,546","3,065","7,423","7,657","28,643","31,371"
"Simi Valley city, California","1,670","1,798",673,715,"1,069","1,052","3,942","2,954","11,561","12,401"
"South Gate city, California",691,"1,370",407,"1,030","1,395","1,169","4,010","4,407","14,185","12,700"
"Stockton city, California","4,446","3,152","2,681","2,546","4,325","5,511","12,500","12,743","45,582","44,366"
"Sunnyvale city, California","2,261","3,047","2,215","2,261","1,374","2,262","4,500","4,909","35,685","32,268"
"Temecula city, California",890,"2,301",563,"1,208","1,111","2,157","2,940","3,320","14,337","11,325"
"Thousand Oaks city, California",996,"1,621",628,781,"1,377",874,"3,107","2,590","10,997","13,179"
"Torrance city, California","2,060","2,753","2,522","1,496","1,798","2,440","5,715","6,523","22,600","25,475"
"Tracy city, California",283,"1,284","1,767",468,"1,905",458,"2,020","2,878","10,776","10,354"
"Tulare city, California",909,"1,131","1,083",567,572,"1,247","1,068","2,587","9,646","7,722"
"Turlock city, California",614,"1,054","1,065",544,"1,285","2,008","3,025","2,398","10,467","11,101"
"Tustin city, California",893,"1,857",605,"2,079","1,512","2,109","3,308","3,803","16,121","13,232"
"Union City city, California",765,954,911,143,760,398,988,"2,105","7,583","7,263"
"Upland city, California","1,606","1,053",846,862,"1,273","1,068","3,516","2,372","12,155","12,023"
