City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024
"Caldwell city, Idaho",,206,,367,,279,,"1,601","5,639",
"Idaho Falls city, Idaho",334,521,619,949,808,946,"1,472",965,"8,388","7,940"
"Meridian city, Idaho","1,537","1,531","1,241",935,382,"1,595","1,701","2,679","14,780","10,896"
"Nampa city, Idaho","1,764","1,613",388,"1,123",585,"1,017","2,234","2,002","13,011","11,073"
"Arlington Heights village, Illinois",388,889,792,110,444,411,"1,123","1,735","7,939","8,277"
"Aurora city, Illinois","1,624","1,360",405,"2,255","1,584","1,690","4,674","3,831","22,543","19,018"
"Bloomington city, Illinois",127,"1,152",700,360,667,"1,040","2,232","2,398","14,285","13,433"
"Bolingbrook village, Illinois",279,464,182,393,278,"1,456","1,439","1,329","5,462","5,245"
"Champaign city, Illinois","1,745","1,784","1,365","1,127","1,552",980,"4,670","6,071","22,476","20,061"
"Chicago city, Illinois","49,354","59,168","32,518","38,796","44,081","46,806","156,141","148,681","626,859","608,560"
"Cicero town, Illinois",629,844,310,875,945,585,"2,944","4,168","10,811","11,018"
"Decatur city, Illinois","1,251",761,794,867,882,829,"2,156","2,090","11,646","12,303"
"Elgin city, Illinois",924,"1,309",362,"1,339",864,359,"1,955","2,511","10,192","11,641"
"Evanston city, Illinois","1,416","1,311",795,"1,220",691,"1,408","3,341","3,978","15,269","13,341"
"Joliet city, Illinois","1,210",725,"1,614",705,826,541,"2,407","3,620","10,664","12,955"
"Naperville city, Illinois",781,"1,554",652,"1,164","1,266","1,248","3,665","3,168","13,528","13,406"
"Palatine village, Illinois",629,"1,695",537,822,834,471,"3,054","1,556","8,612","8,370"
"Peoria city, Illinois","1,292",934,"1,337","1,119","1,810","1,952","5,247","4,911","20,280","19,790"
"Rockford city, Illinois","2,721","2,536","1,709","1,499","3,172","2,370","7,866","7,941","27,858","28,625"
"Schaumburg village, Illinois",689,499,519,488,"1,043",758,"2,429","1,692","10,531","11,666"
"Skokie village, Illinois",618,474,39,556,354,130,"2,117","2,472","5,896","7,026"
"Springfield city, Illinois","1,403","1,400",880,951,861,849,"4,685","5,199","19,331","17,923"
"Waukegan city, Illinois","1,189","2,291",777,904,"1,270","1,107","2,992","3,999","17,945","14,630"
"Bloomington city, Indiana","1,271","1,651","1,242","1,805","1,418","2,343","8,664","8,405","22,569","19,672"
"Carmel city, Indiana","1,424",581,427,876,"1,074",360,"1,278","2,630","11,453","11,164"
"Evansville city, Indiana","1,819",947,"1,979","1,500","2,608","3,307","3,714","5,384","23,981","24,766"
"Fishers city, Indiana","1,111",716,182,489,332,696,876,"1,761","9,133","7,954"
"Fort Wayne city, Indiana","5,341","3,152","2,090","2,560","3,115","4,043","8,305","9,066","41,677","41,636"
"Gary city, Indiana",,965,,358,,687,,"2,667","13,022",
"Greenwood city, Indiana",,366,,"1,127",,650,,"2,079","10,363",
"Hammond city, Indiana",391,"1,375",552,579,"1,806",869,"2,242","2,372","11,279","12,860"
"Indianapolis city (balance), Indiana","14,010","12,477","12,183","9,141","12,476","15,131","34,118","39,649","162,321","157,001"
"Lafayette city, Indiana","2,254","3,446","1,080","1,357","1,477","1,442","3,176","3,581","19,440","15,817"
"Muncie city, Indiana",,458,,930,,"1,021",,"4,094","14,180",
"Noblesville city, Indiana","1,315",347,484,867,167,945,"1,243","1,210","6,954","7,584"
"South Bend city, Indiana","1,296","1,656","1,174",993,"1,138","1,621","4,688","3,527","16,132","16,731"
"Ames city, Iowa","1,261","1,121",185,"1,093","1,055","2,052","5,129","2,954","16,898","14,763"
"Ankeny city, Iowa",439,684,"1,027",275,705,575,"1,084",880,"8,444","8,858"
"Cedar Rapids city, Iowa","1,947","2,340","1,139",969,"2,352","1,592","2,897","3,834","19,805","16,902"
"Davenport city, Iowa","1,060","1,184",301,"1,139","2,415","1,181","3,245","4,867","18,173","15,550"
"Des Moines city, Iowa","3,957","3,785","2,031","3,062","2,285","2,432","6,981","6,804","35,871","32,810"
"Iowa City city, Iowa",876,"1,731","1,079",391,"2,101","1,986","4,102","6,478","16,774","15,468"
"Sioux City city, Iowa",882,369,407,204,501,401,"2,255","3,201","10,469","9,879"
"Waterloo city, Iowa",791,510,549,379,993,931,"2,890","3,118","10,292","11,145"
"West Des Moines city, Iowa","2,070","1,964","1,526",978,724,"1,354","3,595","2,799","15,224","17,258"
"Kansas City city, Kansas","2,305","2,133","1,155","1,152","1,538","2,451","4,822","4,835","22,279","23,188"
"Lawrence city, Kansas","1,782","2,705","1,193",854,"2,056","1,379","7,356","6,637","23,275","23,431"
"Olathe city, Kansas","1,902","2,283",296,"1,047","1,557",249,"1,946","1,339","13,265","12,791"
"Overland Park city, Kansas","2,590","3,215","1,713","2,406","2,043","2,477","5,530","7,276","34,110","32,234"
"Shawnee city, Kansas",619,104,420,519,604,935,986,"1,544","8,024","7,503"
"Topeka city, Kansas","1,056","2,209","1,527","1,111","1,205","2,351","5,699","4,458","24,928","23,252"
"Wichita city, Kansas","4,262","6,886","3,081","3,499","5,351","3,925","14,248","12,975","64,252","65,141"
"Bowling Green city, Kentucky",932,"1,837","1,293",967,"1,404","1,244","4,752","5,346","21,588","18,600"
"Lexington-Fayette urban county, Kentucky","5,352","6,552","2,975","2,630","5,476","4,737","15,725","16,966","66,787","64,174"
"Louisville/Jefferson County metro government (balance), Kentucky","9,319","7,578","5,875","9,373","9,204","6,646","22,566","25,413","106,866","102,627"
"Baton Rouge city, Louisiana","3,856","2,496","3,294","1,315","3,326","3,142","14,597","16,173","41,370","46,173"
"Kenner city, Louisiana",574,359,991,"1,071",548,"1,083","3,169","2,971","8,007","9,434"
"Lafayette city, Louisiana","1,223","1,309","1,562","2,335","2,007",768,"6,376","6,616","25,348","23,608"
"Lake Charles city, Louisiana",369,"1,075",375,509,955,811,"3,304","4,407","14,373","10,702"
"Metairie CDP, Louisiana","1,484","2,528","1,396","1,520","1,124","2,399","4,750","5,435","24,802","21,281"
"New Orleans city, Louisiana","4,794","6,412","5,198","4,435","7,320","7,514","25,279","22,419","74,293","75,311"
"Shreveport city, Louisiana","2,800","1,920","1,952","2,984","2,423","3,778","10,408","7,993","33,453","35,503"
"Portland city, Maine","1,759","1,960",954,"2,844","1,078","1,700","3,307","3,479","19,935","16,892"
"Baltimore city, Maryland","12,620","14,394","7,718","7,672","11,249","14,374","37,110","33,441","137,374","131,121"
"Bethesda CDP, Maryland",702,518,732,354,551,758,"2,295","2,915","10,639","9,528"
"Columbia CDP, Maryland","1,466","1,029",702,698,"1,618",882,"2,565","3,130","14,142","14,421"
"Ellicott City CDP, Maryland",260,801,150,782,"1,012","1,005","1,427","1,973","8,055","6,539"
"Frederick city, Maryland","1,354","1,619",790,865,"1,447","1,382","3,617","2,958","15,132","13,681"
"Gaithersburg city, Maryland",842,934,479,595,"1,133",573,"3,322","2,907","12,834","14,049"
"Germantown CDP, Maryland",733,"1,068","1,070","1,438",925,433,"2,266","2,207","12,201","10,734"
"Glen Burnie CDP, Maryland",595,"1,461",712,699,"1,052","1,758","2,063","2,883","12,935","9,531"
"Rockville city, Maryland",521,"1,175",655,"1,165","1,135","1,557","2,473","2,464","12,006","11,222"
"Silver Spring CDP, Maryland","2,406","1,027","1,213",929,"2,038","1,632","4,614","4,898","19,185","19,945"
"Boston city, Massachusetts","17,544","23,461","12,557","12,834","13,981","16,254","43,140","41,790","189,050","177,444"
"Brockton city, Massachusetts","1,541","2,172","1,714",537,"2,024","1,284","4,303","4,029","15,312","15,289"
"Cambridge city, Massachusetts","3,879","3,375","1,735","1,765","2,847","2,570","6,484","7,132","35,718","36,662"
"Fall River city, Massachusetts","2,373","1,953","2,077","2,743","1,716","3,391","6,528","7,974","28,362","26,097"
"Framingham city, Massachusetts","1,436","1,224",942,529,997,"1,320","2,905","2,985","14,226","11,868"
"Haverhill city, Massachusetts",756,"1,241",625,553,902,757,"3,546","3,285","9,664","10,049"
"Lawrence city, Massachusetts","3,054","3,239","1,613","2,552","2,569","1,654","6,132","6,440","24,647","21,591"
"Lowell city, Massachusetts","2,046","2,160","3,184","1,231","2,157","1,889","4,594","7,718","23,286","22,803"
"Lynn city, Massachusetts","1,892","2,132","1,074",169,"1,785","2,357","5,112","6,481","19,818","17,497"
"Malden city, Massachusetts","1,408","1,607","1,362",672,"1,055","1,182","3,884","2,544","14,248","14,919"
"New Bedford city, Massachusetts","1,828","1,894","1,306","2,167","1,398","2,465","7,288","5,749","22,416","25,769"
"Newton city, Massachusetts",775,"1,036",235,361,685,851,"1,127","2,492","11,607","7,995"
"Quincy city, Massachusetts","2,052","2,855","1,209",838,"2,610","3,117","5,443","3,145","22,769","24,148"
"Somerville city, Massachusetts","1,393","3,027","1,021",782,"1,234","1,106","3,471","2,814","23,490","21,528"
"Springfield city, Massachusetts","2,353","1,452","1,179","1,243","1,518","2,719","9,842","7,641","25,699","29,793"
"Waltham city, Massachusetts",,919,,710,,"1,038",,"2,026","13,414",
"Worcester city, Massachusetts","4,199","6,509","2,581","1,830","3,713","3,684","9,184","14,497","46,917","43,351"
"Ann Arbor city, Michigan","1,984","1,169","1,456","1,955","2,743","2,729","9,390","10,170","26,986","27,764"
"Dearborn city, Michigan",856,851,744,702,727,831,"3,395","4,482","10,117","10,432"
"Detroit city, Michigan","11,029","8,438","8,648","9,547","9,234","10,010","37,389","44,015","131,427","122,645"
"Farmington Hills city, Michigan",755,645,852,757,"1,059",864,"1,784","3,317","11,877","12,795"
"Flint city, Michigan","1,794",831,671,844,"1,451","1,664","3,632","4,464","16,316","14,500"
"Grand Rapids city, Michigan","3,408","2,570","2,103","3,494","1,626","2,550","7,708","7,997","37,366","34,646"
"Kalamazoo city, Michigan",546,"1,623","1,405","1,161","1,252","1,861","6,470","4,073","16,659","16,657"
"Lansing city, Michigan","3,170","1,507","1,647","1,423","1,961","2,430","4,914","6,215","23,635","22,506"
"Livonia city, Michigan",364,487,151,298,244,176,925,"1,321","5,405","4,920"
"Novi city, Michigan",323,"1,083",403,"1,179",869,240,"2,031","1,639","10,025","9,419"
"Rochester Hills city, Michigan",366,602,306,99,129,562,"1,407","1,538","7,004","7,464"
"Southfield city, Michigan","1,688","1,550",173,"2,402","1,650","1,362","5,112","3,419","16,743","16,082"
"Sterling Heights city, Michigan",703,739,"1,215",719,823,941,"2,675","3,382","12,753","11,901"
"Troy city, Michigan",422,211,316,175,467,536,"1,344","1,363","9,119","8,805"
"Warren city, Michigan","1,015","2,537",883,765,"1,856","1,193","3,430","5,694","16,109","16,933"
"Westland city, Michigan","1,677","1,109",722,947,806,"1,667","2,602","2,503","14,553","14,691"
"Wyoming city, Michigan",979,"2,257",901,989,"1,012",934,"3,127","2,129","11,420","10,346"
"Blaine city, Minnesota",75,59,79,162,970,467,"1,015","1,183","4,478","4,061"
"Bloomington city, Minnesota",937,"1,552","1,122","1,127",684,"1,079","2,991","2,565","14,044","13,137"
"Brooklyn Park city, Minnesota",949,305,396,118,"1,137",877,"2,114","2,398","8,368","7,303"
"Duluth city, Minnesota","1,786","2,259",675,"1,153","1,403",806,"4,320","3,555","16,792","14,361"
"Eagan city, Minnesota",698,881,952,445,985,706,908,"1,269","9,437","6,994"
"Maple Grove city, Minnesota",212,387,80,609,396,536,527,857,"5,291","4,243"
"Minneapolis city, Minnesota","9,883","8,651","5,655","7,783","8,592","7,206","21,594","22,751","104,117","94,700"
"Plymouth city, Minnesota",913,738,775,522,836,926,"1,556","1,861","9,506","9,109"
"Rochester city, Minnesota","1,733","1,841","1,196","1,578","1,393","1,479","3,614","3,716","17,927","17,035"
"St. Cloud city, Minnesota",599,741,"1,042",566,649,785,"4,700","3,470","13,238","15,301"
"St. Paul city, Minnesota","5,559","6,823","2,561","3,734","4,399","4,934","11,436","14,699","64,586","54,322"
"Woodbury city, Minnesota",,"1,204",,308,,636,,"2,569","7,644",
"Gulfport city, Mississippi","1,291",768,836,"1,056",961,948,"3,296","4,362","13,828","15,023"
"Jackson city, Mississippi","2,975","3,504","2,307",945,"2,807","3,204","10,116","9,287","30,266","33,249"
"Columbia city, Missouri","1,105","2,196","1,780","1,799","2,366","2,486","7,335","5,889","27,148","25,383"
"Independence city, Missouri","1,689","1,292",965,"1,560","2,601","2,397","5,315","5,816","21,106","19,135"
"Kansas City city, Missouri","9,959","10,132","4,567","5,644","8,565","7,621","22,000","25,009","94,284","100,636"
"Lee's Summit city, Missouri",684,"1,068",860,901,796,557,"1,715","2,552","10,788","9,266"
"O'Fallon city, Missouri",574,316,606,129,264,"1,034",672,"1,353","4,902","6,835"
"St. Charles city, Missouri",748,478,108,609,802,501,"1,860","2,704","11,041","9,911"
"St. Joseph city, Missouri",790,"1,741",976,690,796,654,"2,694","2,128","10,989","12,337"
"St. Louis city, Missouri","4,878","6,639","4,470","6,470","5,041","5,457","17,732","20,675","80,327","76,083"
"Springfield city, Missouri","5,038","4,493","3,055","2,625","3,617","2,653","9,343","6,744","42,595","44,029"
"Billings city, Montana","1,510","2,278",363,"1,104","1,931","2,152","4,229","4,579","19,744","16,806"
"Missoula city, Montana","1,259","1,538","1,853","1,510","1,339","2,222","4,026","4,975","20,681","18,537"
"Lincoln city, Nebraska","3,508","4,937","3,255","4,558","4,926","5,198","11,572","11,711","54,096","50,404"
"Omaha city, Nebraska","7,196","10,240","5,603","4,852","6,766","8,542","21,346","18,873","87,463","84,065"
"Enterprise CDP, Nevada","2,098","2,651","2,295","2,063","2,710","2,967","9,126","7,750","32,970","30,963"
"Henderson city, Nevada","3,342","4,950","3,060","3,274","5,382","3,994","9,819","13,255","46,283","43,908"
"Las Vegas city, Nevada","9,319","9,330","8,657","10,182","10,571","13,570","32,490","32,384","109,942","111,673"
"North Las Vegas city, Nevada","4,284","2,834","2,084","2,935","3,684","2,640","9,621","10,268","33,851","34,523"
"Paradise CDP, Nevada","4,069","4,680","2,433","2,554","5,275","5,721","13,709","13,834","42,925","44,105"
"Reno city, Nevada","5,623","5,226","4,278","5,146","5,389","6,516","12,702","12,509","60,874","56,835"
"Sparks city, Nevada","1,518","2,166",691,298,"1,706","1,227","2,135","5,421","16,613","16,224"
"Spring Valley CDP, Nevada","4,125","4,066","2,848","2,866","4,131","5,792","15,990","14,036","47,730","47,836"
"Sunrise Manor CDP, Nevada","2,261","2,962","2,545","1,712","3,450","3,625","8,180","9,853","30,968","28,404"
"Manchester city, New Hampshire","2,860","1,772","1,529","1,434","1,749","2,008","4,614","6,230","25,327","24,765"
"Nashua city, New Hampshire",517,"1,688","1,427",384,"1,193","2,678","3,589","4,063","19,219","16,780"
"Bayonne city, New Jersey","1,758","2,777",684,"1,941","1,566","1,230","3,541","3,923","21,437","18,568"
"Camden city, New Jersey","1,006","1,088",828,"1,106","1,443","2,093","5,064","5,306","16,511","15,719"
"Clifton city, New Jersey","1,152","1,233",741,853,"1,264","2,739","4,344","3,754","13,138","12,994"
"East Orange city, New Jersey","1,810","1,927","2,415","2,988","2,102","2,064","3,809","4,225","20,076","19,111"
"Elizabeth city, New Jersey","3,238","2,790","1,972","2,519","3,722","5,030","9,235","8,208","33,354","34,788"
"Jersey City city, New Jersey","5,901","9,309","4,609","4,230","6,637","8,006","21,144","18,130","94,317","84,800"
"Lakewood CDP, New Jersey",,614,,608,,301,,"3,830","8,148",
"Newark city, New Jersey","9,481","7,897","6,659","5,005","8,297","8,124","26,346","20,488","82,638","91,143"
"Passaic city, New Jersey","1,210","1,051",942,"1,443","1,343","1,719","5,754","5,610","16,180","15,806"
"Paterson city, New Jersey","2,263","2,377","3,102","2,033","2,929","3,074","12,679","11,322","33,021","38,873"
"Toms River CDP, New Jersey",555,827,147,443,231,81,"2,063","1,208","6,540","7,168"
"Trenton city, New Jersey","1,971","2,785","1,350","1,583","3,434",889,"4,335","4,784","18,999","20,289"
"Union City city, New Jersey","1,116","2,016","1,183","1,536","2,161","1,838","4,776","6,422","21,607","19,141"
"Albuquerque city, New Mexico","8,474","7,107","6,335","6,564","7,659","6,332","23,837","23,373","91,341","95,618"
"Las Cruces city, New Mexico",565,"1,284","1,460","1,087","2,974","1,165","5,632","5,648","19,663","21,125"
"Rio Rancho city, New Mexico",838,495,532,686,276,707,"1,473","1,486","7,594","7,591"
"Santa Fe city, New Mexico","1,297","1,193",433,693,666,"2,273","4,163","4,108","15,604","12,780"
"Albany city, New York","1,765","2,829","1,436","1,791",622,"3,115","9,778","8,306","30,248","26,983"
"Buffalo city, New York","5,462","4,748","5,370","3,536","6,080","3,386","20,397","18,925","63,875","68,461"
"Cheektowaga CDP, New York",565,752,400,479,628,356,"1,822","2,268","8,876","9,441"
"Mount Vernon city, New York",394,"1,271",899,249,"1,188","1,436","3,605","3,097","13,343","13,485"
"New Rochelle city, New York","2,316",991,664,"1,220","1,014",995,"4,019","4,294","15,003","15,299"
"New York city, New York","191,875","189,126","136,148","124,482","171,024","178,136","623,792","622,867","2,275,300","2,177,959"
"Rochester city, New York","5,996","4,159","3,935","2,522","4,334","4,758","16,035","17,136","58,793","55,138"
"Schenectady city, New York",992,"1,021",216,447,804,"1,796","5,612","5,567","16,536","15,376"
"Syracuse city, New York","1,765","3,674","1,696","1,615","2,892","1,891","12,794","9,823","35,971","35,624"
"Yonkers city, New York","2,402","3,469","3,395","2,807","2,905","4,782","12,340","13,478","46,588","41,012"
"Apex town, North Carolina",,635,,552,,712,,"1,060","6,297",
"Asheville city, North Carolina","1,241","2,592","1,171","1,332","1,687",947,"4,361","3,865","17,202","17,235"
"Cary town, North Carolina",643,"2,264",891,"1,443","1,726","1,198","3,692","5,100","23,456","20,475"
"Charlotte city, North Carolina","16,696","15,697","11,822","11,290","17,490","18,912","34,366","46,459","188,835","171,339"
"Concord city, North Carolina","1,513","1,334",485,716,762,"1,527","1,887","2,579","16,113","9,243"
"Durham city, North Carolina","7,006","6,903","2,410","5,768","4,186","6,586","14,473","14,803","62,536","59,862"
"Fayetteville city, North Carolina","4,007","4,981","3,196","3,373","4,845","5,212","10,530","10,562","40,410","45,068"
"Gastonia city, North Carolina","1,533","2,383",800,427,"1,709","1,292","3,705","4,473","15,071","15,462"
"Greensboro city, North Carolina","6,611","5,940","4,211","6,123","4,072","7,781","13,462","16,142","65,079","54,121"
"Greenville city, North Carolina","2,806","1,328","4,319","2,223","1,464","1,538","8,293","7,700","27,724","29,046"
"High Point city, North Carolina","1,512","2,206",565,648,765,"2,974","4,070","4,395","21,993","18,379"
"Huntersville town, North Carolina",,693,,"1,341",,427,,"1,175","6,665",
"Jacksonville city, North Carolina",823,"1,380",883,"1,775","1,848","1,429","3,774","3,926","14,746","14,320"
"Raleigh city, North Carolina","9,029","13,285","5,974","7,848","7,779","8,742","24,710","27,090","110,475","91,550"
"Wilmington city, North Carolina","1,961","2,552","1,891","2,406","3,643","2,764","8,733","10,837","32,064","31,886"
"Winston-Salem city, North Carolina","3,145","4,705","1,438","4,173","4,963","3,634","11,173","14,483","45,787","44,717"
"Bismarck city, North Dakota","1,290",630,596,637,698,609,"1,688","1,214","11,924","11,037"
"Fargo city, North Dakota","2,962","2,125","1,225","2,297","2,439","2,834","6,034","7,029","38,807","32,733"
"Akron city, Ohio","4,165","4,026","2,391","2,852","4,383","1,944","9,009","12,233","39,984","42,200"
"Canton city, Ohio","1,277",711,687,460,728,944,"3,981","3,542","14,406","14,246"
"Cincinnati city, Ohio","6,728","5,488","5,676","6,103","6,924","5,599","24,901","26,765","87,420","89,518"
"Cleveland city, Ohio","9,087","10,351","6,397","4,346","9,215","5,708","24,034","24,993","92,388","104,282"
"Columbus city, Ohio","16,202","18,077","12,862","13,017","17,730","19,644","45,224","55,456","214,714","215,178"
"Dayton city, Ohio","2,299","2,130","1,804","2,143","1,533","2,564","5,825","7,841","28,585","27,836"
"Lorain city, Ohio","1,487",762,652,"1,238",580,479,"3,518","3,433","11,326","12,129"
"Parma city, Ohio",974,766,177,196,"1,404","1,156","1,508","1,978","9,052","8,467"
"Toledo city, Ohio","3,903","5,180","2,359","2,035","4,376","4,059","11,024","11,709","55,671","53,064"
"Broken Arrow city, Oklahoma","1,255","1,195",693,413,584,"1,039","1,692","2,299","12,737","12,279"
"Edmond city, Oklahoma",401,"1,185",880,508,822,745,"2,838","2,820","11,124","10,237"
"Lawton city, Oklahoma","1,674","1,313","1,443",996,867,"1,335","4,195","3,730","17,409","19,700"
"Norman city, Oklahoma","2,087","2,140","2,401","1,306","2,245","1,025","5,696","5,871","23,342","26,243"
"Oklahoma City city, Oklahoma","11,471","10,109","6,041","7,667","7,712","11,625","27,415","26,300","124,926","110,815"
"Tulsa city, Oklahoma","7,621","8,504","5,402","3,886","6,845","7,871","18,565","19,181","86,675","84,636"
"Beaverton city, Oregon","1,893","2,527","2,050","1,677","2,031","1,267","5,982","5,830","20,781","23,184"
"Bend city, Oregon",625,"1,206",665,"1,555","1,459","1,751","3,034","4,003","19,144","14,208"
"Eugene city, Oregon","3,790","1,975","2,163","2,384","2,513","4,657","10,916","12,989","39,725","36,539"
"Gresham city, Oregon","1,170","2,109","1,053","1,443","1,807","1,822","5,602","4,882","18,468","17,955"
"Hillsboro city, Oregon","2,000","2,325",924,672,"2,404","2,400","3,106","4,847","21,469","20,449"
"Medford city, Oregon","1,294","1,841","1,055","1,718","1,194","1,293","4,491","3,950","15,530","14,304"
"Portland city, Oregon","9,989","13,074","9,739","7,402","11,608","13,216","33,673","40,158","145,097","133,613"
"Salem city, Oregon","2,410","3,381","2,421","2,219","1,892","2,729","8,455","8,138","30,974","28,785"
"Allentown city, Pennsylvania","2,681","3,190","2,336","1,967","2,491","2,313","9,117","8,061","24,383","27,542"
"Bethlehem city, Pennsylvania","1,672","1,888",558,"1,532","1,293","1,356","2,573","3,260","15,372","14,224"
"Erie city, Pennsylvania","1,256","1,696",918,971,"1,657","1,819","4,432","4,430","19,170","17,575"
"Philadelphia city, Pennsylvania","25,801","21,839","14,211","18,181","24,175","25,555","88,228","105,205","338,178","311,986"
"Pittsburgh city, Pennsylvania","6,919","6,061","4,096","4,906","6,265","4,545","14,843","17,785","73,930","70,018"
"Reading city, Pennsylvania","1,995","1,496","1,683","1,269","2,274","1,985","5,985","6,385","19,093","19,671"
"Scranton city, Pennsylvania",847,"1,375",413,678,"1,494",685,"3,192","4,620","15,812","13,924"
"Cranston city, Rhode Island",965,"1,550",276,"1,006",528,505,"3,250","1,577","9,743","9,966"
"Pawtucket city, Rhode Island",834,"2,352","1,059","1,185","1,135","1,348","3,494","2,730","15,424","14,932"
"Providence city, Rhode Island","3,265","3,771","1,111","2,723","3,160","3,228","8,517","12,470","43,560","40,466"
"Warwick city, Rhode Island","1,414",663,298,427,"1,623",792,"1,835","2,281","9,864","9,612"
"Charleston city, South Carolina","2,976","1,931","1,548","2,058","2,536","2,673","7,100","9,578","33,124","26,534"
"Columbia city, South Carolina","1,823","2,975","2,112","2,553","2,737","3,485","8,231","9,170","32,740","27,891"
"Greenville city, South Carolina","2,137","1,625","2,302","1,235","2,271","1,405","3,840","3,312","19,851","20,640"
"Mount Pleasant town, South Carolina",374,"1,091",635,821,943,940,"2,283","1,531","7,700","9,853"
"North Charleston city, South Carolina","1,596","4,184","1,170","2,330","2,027","2,489","7,061","5,879","27,451","21,742"
"Rock Hill city, South Carolina",931,"1,809","1,574",884,"1,485","1,274","2,857","3,605","14,839","13,148"
"Rapid City city, South Dakota","1,774","2,183",481,860,613,806,"1,425","2,627","11,576","11,248"
"Sioux Falls city, South Dakota","3,393","4,633","1,004","2,895","2,598","2,861","4,932","5,630","38,625","32,481"
"Chattanooga city, Tennessee","2,410","3,754","3,047","1,777","2,447","2,944","8,714","11,961","41,825","35,844"
"Clarksville city, Tennessee","2,722","3,534","2,693","2,549","3,062","3,357","4,529","5,995","35,678","29,186"
"Franklin city, Tennessee","1,409","1,132",374,"1,266","1,954",716,"1,638","3,541","12,608","11,170"
"Jackson city, Tennessee",643,"1,567",479,459,"1,441","1,367","3,095","3,832","14,298","12,627"
"Johnson City city, Tennessee","1,274","1,836","1,028",833,"1,431","1,312","2,989","3,280","15,531","15,765"
"Knoxville city, Tennessee","4,545","4,068","2,616","2,604","5,618","4,868","10,708","12,291","48,387","44,616"
"Memphis city, Tennessee","10,074","9,266","8,951","9,531","12,128","15,832","39,377","39,287","139,093","137,346"
"Murfreesboro city, Tennessee","3,415","4,948","1,764","2,766","1,444","3,008","5,032","7,910","33,372","23,017"
"Nashville-Davidson metropolitan government (balance), Tennessee","13,715","21,773","8,775","14,831","12,518","14,253","34,907","35,963","159,709","142,821"
"Abilene city, Texas","2,002","2,792","1,449",793,"1,576","2,053","5,315","5,382","20,099","21,250"
"Allen city, Texas",880,"1,225",741,674,"1,327",966,"2,376","4,111","13,531","11,209"
"Amarillo city, Texas","3,280","4,780","1,075","2,068","3,005","2,170","6,148","7,249","32,871","33,229"
"Arlington city, Texas","6,626","6,757","6,766","5,973","8,715","9,484","18,550","19,471","68,731","68,005"
"Austin city, Texas","22,396","25,208","15,307","21,495","21,595","25,391","57,526","61,219","284,749","252,941"
"Baytown city, Texas","2,000","1,275","1,196",907,"1,084",938,"3,828","3,976","15,278","13,911"
"Beaumont city, Texas","1,499",894,"1,556","1,187","2,753","1,819","5,366","5,043","16,638","21,701"
"Brownsville city, Texas","1,377","2,047","2,011","1,583","1,545","2,863","4,269","4,095","23,364","22,082"
"Bryan city, Texas","1,044","1,619","2,224",444,"1,867","1,486","5,507","4,226","16,150","18,704"
"Carrollton city, Texas","2,044","2,797","1,576","1,154","1,372","1,717","4,021","4,530","21,303","21,953"
"Cedar Park city, Texas",484,982,424,"1,018",777,"1,750","2,169","1,463","10,690","10,447"
"College Station city, Texas","2,077","2,972","2,039","2,421","2,887","2,672","7,376","12,614","33,140","24,719"
"Conroe city, Texas","1,115","1,568","1,187","1,531","2,544","1,985","2,717","4,227","20,140","15,602"
"Corpus Christi city, Texas","4,253","6,289","2,556","3,196","4,905","4,903","12,622","11,014","52,358","49,492"
"Dallas city, Texas","27,936","27,995","23,558","21,638","24,361","29,648","77,490","67,927","310,458","306,490"
"Denton city, Texas","2,692","2,872","2,496","1,389","3,823","3,354","9,533","9,294","28,183","30,669"
"Edinburg city, Texas",891,882,"1,094",774,909,"2,189","5,581","3,179","18,176","19,123"
"El Paso city, Texas","8,248","8,579","5,687","8,669","8,686","8,306","22,714","24,705","94,792","94,741"
"Flower Mound town, Texas",,560,,328,,474,,961,"5,682",
"Fort Worth city, Texas","13,935","10,786","12,004","12,258","19,620","12,868","36,574","42,998","151,953","149,089"
"Frisco city, Texas","2,535","2,528","2,282","3,276","1,207","1,709","3,644","4,749","30,783","25,361"
"Garland city, Texas","2,659","4,560","3,326","1,703","3,207","3,156","9,883","10,283","34,364","30,834"
"Georgetown city, Texas",872,"1,387",309,"1,629",740,"1,153","2,685","2,942","14,739","9,045"
"Grand Prairie city, Texas","2,225","4,139","2,718","1,504","3,755","1,999","5,701","6,342","26,282","27,502"
"Harlingen city, Texas",413,739,416,627,"1,091","2,391","3,162","2,812","12,798","10,998"
"Houston city, Texas","44,910","50,841","40,263","39,819","46,611","55,674","138,566","156,500","557,742","534,755"
"Irving city, Texas","4,602","3,508","2,913","4,480","5,480","5,777","11,443","11,616","59,834","60,765"
"Killeen city, Texas","2,354","3,195","2,305","2,910","2,785","3,087","8,553","7,449","30,802","30,515"
"Laredo city, Texas","3,070","3,376",841,"2,055","2,586","2,074","6,490","8,179","28,379","27,950"
"League City city, Texas",425,"1,240","1,833",147,65,"1,109","2,282","2,731","10,690","11,256"
"Leander city, Texas",,"1,423",,412,,126,,"1,450","8,595",
"Lewisville city, Texas","2,308","2,406","1,848","1,553","3,611","3,208","4,319","7,133","28,104","25,789"
