"Region","Doctorate degree","MoE"
"Flagstaff, AZ Metro Area","2,474","± 424"
"Flint, MI Metro Area","1,638","± 320"
"Florence, SC Metro Area","1,489","± 323"
"Florence-Muscle Shoals, AL Metro Area","1,285","± 310"
"Fond du Lac, WI Metro Area","513","± 156"
"Fort Collins-Loveland, CO Metro Area","7,527","± 697"
"Fort Smith, AR-OK Metro Area","1,753","± 373"
"Fort Wayne, IN Metro Area","2,787","± 392"
"Fresno, CA Metro Area","6,319","± 638"
"Gadsden, AL Metro Area","554","± 205"
"Gainesville, FL Metro Area","10,528","± 895"
"Gainesville, GA Metro Area","1,950","± 447"
"Gettysburg, PA Metro Area","842","± 176"
"Glens Falls, NY Metro Area","752","± 186"
"Goldsboro, NC Metro Area","438","± 117"
"Grand Forks, ND-MN Metro Area","1,634","± 333"
"Grand Island, NE Metro Area","292","± 104"
"Grand Junction, CO Metro Area","1,582","± 289"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","10,230","± 876"
"Grants Pass, OR Metro Area","623","± 196"
"Great Falls, MT Metro Area","566","± 174"
"Greeley, CO Metro Area","2,929","± 447"
"Green Bay, WI Metro Area","1,857","± 347"
"Greensboro-High Point, NC Metro Area","7,315","± 849"
"Greenville, NC Metro Area","1,822","± 358"
"Greenville-Anderson-Greer, SC Metro Area","10,768","± 1,076"
"Guayama, PR Metro Area","557","± 257"
"Gulfport-Biloxi, MS Metro Area","2,670","± 396"
"Hagerstown-Martinsburg, MD-WV Metro Area","1,449","± 286"
"Hammond, LA Metro Area","698","± 260"
"Hanford-Corcoran, CA Metro Area","528","± 211"
"Harrisburg-Carlisle, PA Metro Area","5,600","± 510"
"Harrisonburg, VA Metro Area","2,033","± 334"
"Hartford-West Hartford-East Hartford, CT Metro Area","15,618","± 1,022"
"Hattiesburg, MS Metro Area","1,347","± 233"
"Helena, MT Metro Area","981","± 237"
"Hickory-Lenoir-Morganton, NC Metro Area","1,720","± 317"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","2,752","± 517"
"Hinesville, GA Metro Area","345","± 128"
"Homosassa Springs, FL Metro Area","1,005","± 252"
"Hot Springs, AR Metro Area","774","± 183"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","1,238","± 379"
"Houston-Pasadena-The Woodlands, TX Metro Area","79,355","± 2,896"
"Huntington-Ashland, WV-KY-OH Metro Area","3,121","± 431"
"Huntsville, AL Metro Area","6,578","± 605"
"Idaho Falls, ID Metro Area","1,224","± 226"
"Indianapolis-Carmel-Greenwood, IN Metro Area","20,921","± 1,228"
"Iowa City, IA Metro Area","5,011","± 573"
"Ithaca, NY Metro Area","7,150","± 582"
"Jackson, MI Metro Area","777","± 240"
"Jackson, MS Metro Area","7,450","± 1,181"
"Jackson, TN Metro Area","1,239","± 246"
"Jacksonville, FL Metro Area","14,731","± 1,102"
"Jacksonville, NC Metro Area","921","± 323"
"Janesville-Beloit, WI Metro Area","987","± 255"
"Jefferson City, MO Metro Area","980","± 221"
"Johnson City, TN Metro Area","2,437","± 430"
"Johnstown, PA Metro Area","660","± 142"
"Jonesboro, AR Metro Area","906","± 294"
"Joplin, MO-KS Metro Area","1,100","± 236"
"Kahului-Wailuku, HI Metro Area","1,310","± 278"
"Kalamazoo-Portage, MI Metro Area","3,677","± 544"
"Kankakee, IL Metro Area","505","± 130"
"Kansas City, MO-KS Metro Area","20,045","± 1,049"
"Kennewick-Richland, WA Metro Area","3,354","± 434"
"Kenosha, WI Metro Area","1,272","± 318"
"Killeen-Temple, TX Metro Area","2,289","± 407"
"Kingsport-Bristol, TN-VA Metro Area","2,489","± 407"
"Kingston, NY Metro Area","2,308","± 422"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","7,551","± 765"
"Knoxville, TN Metro Area","11,835","± 844"
"Kokomo, IN Metro Area","302","± 98"
"La Crosse-Onalaska, WI-MN Metro Area","1,632","± 251"
"Lafayette, LA Metro Area","2,543","± 503"
"Lafayette-West Lafayette, IN Metro Area","4,577","± 480"
"Lake Charles, LA Metro Area","1,922","± 419"
"Lake Havasu City-Kingman, AZ Metro Area","1,100","± 312"
"Lakeland-Winter Haven, FL Metro Area","4,173","± 553"
"Lancaster, PA Metro Area","4,688","± 587"
"Lansing-East Lansing, MI Metro Area","8,251","± 677"
"Laredo, TX Metro Area","679","± 222"
"Las Cruces, NM Metro Area","2,584","± 434"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","16,083","± 1,030"
"Lawrence, KS Metro Area","3,044","± 519"
"Lawton, OK Metro Area","904","± 247"
"Lebanon, PA Metro Area","922","± 221"
"Lewiston, ID-WA Metro Area","860","± 262"
"Lewiston-Auburn, ME Metro Area","522","± 155"
"Lexington-Fayette, KY Metro Area","9,585","± 709"
"Lexington Park, MD Metro Area","1,891","± 290"
"Lima, OH Metro Area","603","± 155"
"Lincoln, NE Metro Area","5,217","± 543"
