"Region","Educational services, and health care and social assistance:"
"Greeley, CO Metro Area","26,986"
"Green Bay, WI Metro Area","29,011"
"Greensboro-High Point, NC Metro Area","66,335"
"Greenville, NC Metro Area","18,984"
"Greenville-Anderson-Greer, SC Metro Area","76,810"
"Guayama, PR Metro Area","3,241"
"Gulfport-Biloxi, MS Metro Area","33,942"
"Hagerstown-Martinsburg, MD-WV Metro Area","24,663"
"Hammond, LA Metro Area","13,027"
"Hanford-Corcoran, CA Metro Area","8,320"
"Harrisburg-Carlisle, PA Metro Area","53,906"
"Harrisonburg, VA Metro Area","12,146"
"Hartford-West Hartford-East Hartford, CT Metro Area","113,092"
"Hattiesburg, MS Metro Area","15,292"
"Helena, MT Metro Area","7,231"
"Hickory-Lenoir-Morganton, NC Metro Area","27,574"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","14,902"
"Hinesville, GA Metro Area","5,238"
"Homosassa Springs, FL Metro Area","9,015"
"Hot Springs, AR Metro Area","7,551"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","15,739"
"Houston-Pasadena-The Woodlands, TX Metro Area","542,747"
"Huntington-Ashland, WV-KY-OH Metro Area","35,071"
"Huntsville, AL Metro Area","36,290"
"Idaho Falls, ID Metro Area","12,930"
"Indianapolis-Carmel-Greenwood, IN Metro Area","186,644"
"Iowa City, IA Metro Area","23,774"
"Ithaca, NY Metro Area","13,928"
"Jackson, MI Metro Area","13,428"
"Jackson, MS Metro Area","54,981"
"Jackson, TN Metro Area","15,094"
"Jacksonville, FL Metro Area","120,839"
"Jacksonville, NC Metro Area","11,060"
"Janesville-Beloit, WI Metro Area","14,784"
"Jefferson City, MO Metro Area","11,780"
"Johnson City, TN Metro Area","18,628"
"Johnstown, PA Metro Area","12,197"
"Jonesboro, AR Metro Area","12,683"
"Joplin, MO-KS Metro Area","16,950"
"Kahului-Wailuku, HI Metro Area","11,154"
"Kalamazoo-Portage, MI Metro Area","24,016"
"Kankakee, IL Metro Area","9,893"
"Kansas City, MO-KS Metro Area","188,676"
"Kennewick-Richland, WA Metro Area","22,513"
"Kenosha, WI Metro Area","14,730"
"Killeen-Temple, TX Metro Area","34,200"
"Kingsport-Bristol, TN-VA Metro Area","23,689"
"Kingston, NY Metro Area","17,998"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","68,910"
"Knoxville, TN Metro Area","74,812"
"Kokomo, IN Metro Area","6,511"
"La Crosse-Onalaska, WI-MN Metro Area","18,947"
"Lafayette, LA Metro Area","36,893"
"Lafayette-West Lafayette, IN Metro Area","23,483"
"Lake Charles, LA Metro Area","21,556"
"Lake Havasu City-Kingman, AZ Metro Area","11,689"
"Lakeland-Winter Haven, FL Metro Area","47,551"
"Lancaster, PA Metro Area","49,190"
"Lansing-East Lansing, MI Metro Area","43,825"
"Laredo, TX Metro Area","19,003"
"Las Cruces, NM Metro Area","19,524"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","126,901"
"Lawrence, KS Metro Area","13,211"
"Lawton, OK Metro Area","10,340"
"Lebanon, PA Metro Area","12,395"
"Lewiston, ID-WA Metro Area","5,677"
"Lewiston-Auburn, ME Metro Area","10,848"
"Lexington-Fayette, KY Metro Area","49,972"
"Lexington Park, MD Metro Area","15,759"
"Lima, OH Metro Area","8,280"
"Lincoln, NE Metro Area","34,799"
"Little Rock-North Little Rock-Conway, AR Metro Area","71,002"
"Logan, UT-ID Metro Area","12,130"
"Longview, TX Metro Area","22,671"
"Longview-Kelso, WA Metro Area","7,872"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","957,462"
"Louisville/Jefferson County, KY-IN Metro Area","116,941"
"Lubbock, TX Metro Area","33,837"
"Lynchburg, VA Metro Area","23,930"
"Macon-Bibb County, GA Metro Area","19,404"
"Madison, WI Metro Area","73,045"
"Manchester-Nashua, NH Metro Area","41,220"
"Manhattan, KS Metro Area","13,557"
"Mankato, MN Metro Area","12,870"
"Mansfield, OH Metro Area","10,057"
"Mayagüez, PR Metro Area","11,498"
"McAllen-Edinburg-Mission, TX Metro Area","68,625"
"Medford, OR Metro Area","19,335"
"Memphis, TN-MS-AR Metro Area","104,463"
"Merced, CA Metro Area","17,461"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","464,136"
"Michigan City-La Porte, IN Metro Area","8,538"
"Midland, MI Metro Area","6,969"
"Midland, TX Metro Area","11,854"
"Milwaukee-Waukesha, WI Metro Area","149,192"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","351,098"
"Minot, ND Metro Area","7,587"
"Missoula, MT Metro Area","11,823"
"Mobile, AL Metro Area","32,788"
"Modesto, CA Metro Area","39,579"
"Monroe, LA Metro Area","20,343"
"Monroe, MI Metro Area","13,140"
"Montgomery, AL Metro Area","28,470"
"Morgantown, WV Metro Area","16,736"
"Morristown, TN Metro Area","8,107"
"Mount Vernon-Anacortes, WA Metro Area","9,873"
"Muncie, IN Metro Area","10,967"
"Muskegon-Norton Shores, MI Metro Area","12,693"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","24,735"
"Napa, CA Metro Area","10,251"
"Naples-Marco Island, FL Metro Area","20,591"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","174,914"
"New Haven, CT Metro Area","68,328"
"New Orleans-Metairie, LA Metro Area","90,014"
"New York-Newark-Jersey City, NY-NJ Metro Area","1,899,447"
"Niles, MI Metro Area","12,434"
"North Port-Bradenton-Sarasota, FL Metro Area","59,404"
"Norwich-New London-Willimantic, CT Metro Area","26,498"
"Ocala, FL Metro Area","25,349"
"Odessa, TX Metro Area","10,650"
"Ogden, UT Metro Area","49,576"
"Oklahoma City, OK Metro Area","115,592"
"Olympia-Lacey-Tumwater, WA Metro Area","21,911"
"Omaha, NE-IA Metro Area","93,169"
"Orlando-Kissimmee-Sanford, FL Metro Area","193,730"
"Oshkosh-Neenah, WI Metro Area","14,088"
"Owensboro, KY Metro Area","9,536"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","59,971"
"Paducah, KY-IL Metro Area","8,485"
"Palm Bay-Melbourne-Titusville, FL Metro Area","44,058"
"Panama City-Panama City Beach, FL Metro Area","12,700"
"Parkersburg-Vienna, WV Metro Area","7,271"
"Pensacola-Ferry Pass-Brent, FL Metro Area","39,838"
"Peoria, IL Metro Area","36,133"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","622,255"
"Phoenix-Mesa-Chandler, AZ Metro Area","358,453"
"Pinehurst-Southern Pines, NC Metro Area","8,112"
"Pittsburgh, PA Metro Area","231,627"
"Pittsfield, MA Metro Area","14,323"
"Pocatello, ID Metro Area","8,042"
"Ponce, PR Metro Area","14,419"
"Portland-South Portland, ME Metro Area","58,892"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","209,309"
"Port St. Lucie, FL Metro Area","35,830"
"Prescott Valley-Prescott, AZ Metro Area","16,737"
"Providence-Warwick, RI-MA Metro Area","167,621"
"Provo-Orem-Lehi, UT Metro Area","57,386"
"Pueblo, CO Metro Area","14,282"
"Punta Gorda, FL Metro Area","10,902"
"Racine-Mount Pleasant, WI Metro Area","17,072"
"Raleigh-Cary, NC Metro Area","112,289"
"Rapid City, SD Metro Area","14,504"
"Reading, PA Metro Area","37,560"
"Redding, CA Metro Area","13,451"
"Reno, NV Metro Area","36,463"
"Richmond, VA Metro Area","117,250"
"Riverside-San Bernardino-Ontario, CA Metro Area","319,653"
"Roanoke, VA Metro Area","29,765"
"Rochester, MN Metro Area","35,321"
"Rochester, NY Metro Area","115,585"
"Rockford, IL Metro Area","27,027"
"Rocky Mount, NC Metro Area","10,143"
"Rome, GA Metro Area","8,218"
"Sacramento-Roseville-Folsom, CA Metro Area","183,187"
"Saginaw, MI Metro Area","16,391"
"St. Cloud, MN Metro Area","22,459"
"St. George, UT Metro Area","13,691"
"St. Joseph, MO-KS Metro Area","10,730"
"St. Louis, MO-IL Metro Area","258,205"
"Salem, OR Metro Area","33,689"
"Salinas, CA Metro Area","28,475"
"Salisbury, MD Metro Area","12,286"
"Salt Lake City-Murray, UT Metro Area","99,492"
"San Angelo, TX Metro Area","10,457"
"San Antonio-New Braunfels, TX Metro Area","204,370"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","243,551"
"Sandusky, OH Metro Area","10,376"
"San Francisco-Oakland-Fremont, CA Metro Area","360,074"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","136,550"
"San Juan-Bayamón-Caguas, PR Metro Area","116,784"
"San Luis Obispo-Paso Robles, CA Metro Area","20,880"
