"Region","Professional school degree","MoE"
"Fayetteville-Springdale-Rogers, AR Metro Area","6,946","± 679"
"Flagstaff, AZ Metro Area","1,943","± 356"
"Flint, MI Metro Area","3,544","± 577"
"Florence, SC Metro Area","1,285","± 337"
"Florence-Muscle Shoals, AL Metro Area","1,574","± 273"
"Fond du Lac, WI Metro Area","830","± 218"
"Fort Collins-Loveland, CO Metro Area","6,704","± 691"
"Fort Smith, AR-OK Metro Area","2,031","± 382"
"Fort Wayne, IN Metro Area","4,343","± 526"
"Fresno, CA Metro Area","12,888","± 1,110"
"Gadsden, AL Metro Area","1,211","± 321"
"Gainesville, FL Metro Area","8,637","± 858"
"Gainesville, GA Metro Area","3,338","± 483"
"Gettysburg, PA Metro Area","952","± 195"
"Glens Falls, NY Metro Area","1,946","± 286"
"Goldsboro, NC Metro Area","487","± 157"
"Grand Forks, ND-MN Metro Area","1,129","± 250"
"Grand Island, NE Metro Area","500","± 144"
"Grand Junction, CO Metro Area","2,027","± 377"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","13,362","± 976"
"Grants Pass, OR Metro Area","704","± 164"
"Great Falls, MT Metro Area","1,161","± 292"
"Greeley, CO Metro Area","3,179","± 451"
"Green Bay, WI Metro Area","2,930","± 432"
"Greensboro-High Point, NC Metro Area","8,158","± 798"
"Greenville, NC Metro Area","3,197","± 534"
"Greenville-Anderson-Greer, SC Metro Area","12,407","± 971"
"Guayama, PR Metro Area","223","± 125"
"Gulfport-Biloxi, MS Metro Area","4,079","± 633"
"Hagerstown-Martinsburg, MD-WV Metro Area","2,225","± 314"
"Hammond, LA Metro Area","1,079","± 354"
"Hanford-Corcoran, CA Metro Area","765","± 262"
"Harrisburg-Carlisle, PA Metro Area","10,457","± 1,031"
"Harrisonburg, VA Metro Area","1,585","± 389"
"Hartford-West Hartford-East Hartford, CT Metro Area","24,895","± 1,129"
"Hattiesburg, MS Metro Area","1,836","± 386"
"Helena, MT Metro Area","1,542","± 262"
"Hickory-Lenoir-Morganton, NC Metro Area","2,933","± 482"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","4,786","± 604"
"Hinesville, GA Metro Area","503","± 173"
"Homosassa Springs, FL Metro Area","1,903","± 469"
"Hot Springs, AR Metro Area","982","± 269"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","1,131","± 272"
"Houston-Pasadena-The Woodlands, TX Metro Area","107,746","± 3,150"
"Huntington-Ashland, WV-KY-OH Metro Area","4,051","± 494"
"Huntsville, AL Metro Area","5,777","± 726"
"Idaho Falls, ID Metro Area","1,274","± 279"
"Indianapolis-Carmel-Greenwood, IN Metro Area","34,060","± 1,942"
"Iowa City, IA Metro Area","4,688","± 559"
"Ithaca, NY Metro Area","2,085","± 360"
"Jackson, MI Metro Area","882","± 234"
"Jackson, MS Metro Area","9,376","± 798"
"Jackson, TN Metro Area","1,703","± 304"
"Jacksonville, FL Metro Area","23,052","± 1,397"
"Jacksonville, NC Metro Area","959","± 240"
"Janesville-Beloit, WI Metro Area","954","± 231"
"Jefferson City, MO Metro Area","1,535","± 252"
"Johnson City, TN Metro Area","3,457","± 594"
"Johnstown, PA Metro Area","1,276","± 211"
"Jonesboro, AR Metro Area","1,642","± 343"
"Joplin, MO-KS Metro Area","1,800","± 321"
"Kahului-Wailuku, HI Metro Area","2,709","± 384"
"Kalamazoo-Portage, MI Metro Area","4,080","± 602"
"Kankakee, IL Metro Area","784","± 211"
"Kansas City, MO-KS Metro Area","37,167","± 1,369"
"Kennewick-Richland, WA Metro Area","2,580","± 422"
"Kenosha, WI Metro Area","1,627","± 396"
"Killeen-Temple, TX Metro Area","3,904","± 491"
"Kingsport-Bristol, TN-VA Metro Area","2,707","± 365"
"Kingston, NY Metro Area","3,381","± 463"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","9,683","± 759"
"Knoxville, TN Metro Area","13,076","± 985"
"Kokomo, IN Metro Area","558","± 221"
"La Crosse-Onalaska, WI-MN Metro Area","2,329","± 399"
"Lafayette, LA Metro Area","4,852","± 761"
"Lafayette-West Lafayette, IN Metro Area","2,297","± 384"
"Lake Charles, LA Metro Area","2,122","± 421"
"Lake Havasu City-Kingman, AZ Metro Area","1,759","± 322"
"Lakeland-Winter Haven, FL Metro Area","5,503","± 529"
"Lancaster, PA Metro Area","5,770","± 599"
"Lansing-East Lansing, MI Metro Area","7,956","± 700"
