"Region","Public transportation (excluding taxicab):","MoE"
"Florence-Muscle Shoals, AL Metro Area","45","± 53"
"Fond du Lac, WI Metro Area","59","± 55"
"Fort Collins-Loveland, CO Metro Area","1,713","± 521"
"Fort Smith, AR-OK Metro Area","177","± 99"
"Fort Wayne, IN Metro Area","1,618","± 362"
"Fresno, CA Metro Area","3,758","± 576"
"Gadsden, AL Metro Area","55","± 50"
"Gainesville, FL Metro Area","3,857","± 754"
"Gainesville, GA Metro Area","710","± 306"
"Gettysburg, PA Metro Area","111","± 66"
"Glens Falls, NY Metro Area","268","± 153"
"Goldsboro, NC Metro Area","223","± 116"
"Grand Forks, ND-MN Metro Area","468","± 190"
"Grand Island, NE Metro Area","101","± 72"
"Grand Junction, CO Metro Area","553","± 199"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","6,557","± 895"
"Grants Pass, OR Metro Area","177","± 104"
"Great Falls, MT Metro Area","299","± 109"
"Greeley, CO Metro Area","612","± 185"
"Green Bay, WI Metro Area","719","± 243"
"Greensboro-High Point, NC Metro Area","3,935","± 741"
"Greenville, NC Metro Area","547","± 226"
"Greenville-Anderson-Greer, SC Metro Area","1,524","± 382"
"Guayama, PR Metro Area","68","± 64"
"Gulfport-Biloxi, MS Metro Area","225","± 109"
"Hagerstown-Martinsburg, MD-WV Metro Area","987","± 407"
"Hammond, LA Metro Area","115","± 104"
"Hanford-Corcoran, CA Metro Area","270","± 126"
"Harrisburg-Carlisle, PA Metro Area","2,482","± 490"
"Harrisonburg, VA Metro Area","383","± 158"
"Hartford-West Hartford-East Hartford, CT Metro Area","13,795","± 1,012"
"Hattiesburg, MS Metro Area","233","± 180"
"Helena, MT Metro Area","77","± 64"
"Hickory-Lenoir-Morganton, NC Metro Area","225","± 169"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","654","± 270"
"Hinesville, GA Metro Area","99","± 59"
"Homosassa Springs, FL Metro Area","120","± 138"
"Hot Springs, AR Metro Area","101","± 130"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","309","± 155"
"Houston-Pasadena-The Woodlands, TX Metro Area","54,345","± 2,870"
"Huntington-Ashland, WV-KY-OH Metro Area","495","± 164"
"Huntsville, AL Metro Area","404","± 187"
"Idaho Falls, ID Metro Area","1,639","± 294"
"Indianapolis-Carmel-Greenwood, IN Metro Area","6,933","± 814"
"Iowa City, IA Metro Area","3,525","± 519"
"Ithaca, NY Metro Area","2,604","± 440"
"Jackson, MI Metro Area","227","± 104"
"Jackson, MS Metro Area","1,014","± 420"
"Jackson, TN Metro Area","273","± 182"
"Jacksonville, FL Metro Area","6,057","± 879"
"Jacksonville, NC Metro Area","121","± 99"
"Janesville-Beloit, WI Metro Area","363","± 172"
"Jefferson City, MO Metro Area","376","± 175"
"Johnson City, TN Metro Area","241","± 138"
"Johnstown, PA Metro Area","480","± 161"
"Jonesboro, AR Metro Area","31","± 34"
"Joplin, MO-KS Metro Area","113","± 65"
"Kahului-Wailuku, HI Metro Area","1,035","± 322"
"Kalamazoo-Portage, MI Metro Area","1,452","± 336"
"Kankakee, IL Metro Area","555","± 187"
"Kansas City, MO-KS Metro Area","7,071","± 811"
"Kennewick-Richland, WA Metro Area","1,139","± 397"
"Kenosha, WI Metro Area","618","± 184"
"Killeen-Temple, TX Metro Area","672","± 305"
"Kingsport-Bristol, TN-VA Metro Area","117","± 68"
"Kingston, NY Metro Area","1,755","± 337"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","13,431","± 1,029"
"Knoxville, TN Metro Area","1,440","± 310"
"Kokomo, IN Metro Area","55","± 46"
"La Crosse-Onalaska, WI-MN Metro Area","682","± 225"
"Lafayette, LA Metro Area","744","± 366"
"Lafayette-West Lafayette, IN Metro Area","2,304","± 431"
"Lake Charles, LA Metro Area","168","± 128"
"Lake Havasu City-Kingman, AZ Metro Area","289","± 145"
"Lakeland-Winter Haven, FL Metro Area","1,121","± 431"
"Lancaster, PA Metro Area","2,212","± 416"
"Lansing-East Lansing, MI Metro Area","4,004","± 631"
"Laredo, TX Metro Area","887","± 308"
"Las Cruces, NM Metro Area","282","± 130"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","24,846","± 1,509"
"Lawrence, KS Metro Area","1,712","± 496"
"Lawton, OK Metro Area","246","± 123"
"Lebanon, PA Metro Area","422","± 191"
"Lewiston, ID-WA Metro Area","79","± 66"
"Lewiston-Auburn, ME Metro Area","214","± 102"
"Lexington-Fayette, KY Metro Area","2,324","± 443"
"Lexington Park, MD Metro Area","1,414","± 262"
"Lima, OH Metro Area","222","± 106"
"Lincoln, NE Metro Area","1,428","± 319"
"Little Rock-North Little Rock-Conway, AR Metro Area","1,721","± 377"
"Logan, UT-ID Metro Area","1,443","± 458"
"Longview, TX Metro Area","125","± 80"
"Longview-Kelso, WA Metro Area","206","± 123"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","219,191","± 3,419"
"Louisville/Jefferson County, KY-IN Metro Area","7,648","± 930"
"Lubbock, TX Metro Area","905","± 283"
"Lynchburg, VA Metro Area","839","± 354"
"Macon-Bibb County, GA Metro Area","570","± 250"
"Madison, WI Metro Area","9,888","± 927"
"Manchester-Nashua, NH Metro Area","1,396","± 262"
"Manhattan, KS Metro Area","245","± 127"
"Mankato, MN Metro Area","733","± 303"
"Mansfield, OH Metro Area","272","± 121"
"Mayagüez, PR Metro Area","457","± 188"
"McAllen-Edinburg-Mission, TX Metro Area","796","± 265"
"Medford, OR Metro Area","762","± 247"
"Memphis, TN-MS-AR Metro Area","2,501","± 465"
"Merced, CA Metro Area","470","± 219"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","72,755","± 3,341"
"Michigan City-La Porte, IN Metro Area","414","± 156"
"Midland, MI Metro Area","166","± 76"
"Midland, TX Metro Area","267","± 233"
"Milwaukee-Waukesha, WI Metro Area","17,260","± 1,038"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","50,376","± 1,647"
"Minot, ND Metro Area","37","± 31"
"Missoula, MT Metro Area","1,001","± 274"
"Mobile, AL Metro Area","657","± 196"
"Modesto, CA Metro Area","1,530","± 385"
"Monroe, LA Metro Area","667","± 210"
"Monroe, MI Metro Area","160","± 84"
"Montgomery, AL Metro Area","508","± 187"
"Morgantown, WV Metro Area","728","± 252"
"Morristown, TN Metro Area","84","± 81"
"Mount Vernon-Anacortes, WA Metro Area","369","± 134"
"Muncie, IN Metro Area","573","± 200"
"Muskegon-Norton Shores, MI Metro Area","99","± 76"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","803","± 266"
"Napa, CA Metro Area","781","± 214"
"Naples-Marco Island, FL Metro Area","968","± 288"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","7,656","± 879"
"New Haven, CT Metro Area","8,719","± 914"
"New Orleans-Metairie, LA Metro Area","9,663","± 969"
"New York-Newark-Jersey City, NY-NJ Metro Area","2,379,442","± 14,259"
"Niles, MI Metro Area","188","± 84"
"North Port-Bradenton-Sarasota, FL Metro Area","1,793","± 329"
