"Region","Professional, scientific, and technical services"
"Greensboro-High Point, NC Metro Area","8,646"
"Greenville, NC Metro Area","1,862"
"Greenville-Anderson-Greer, SC Metro Area","13,943"
"Guayama, PR Metro Area","188"
"Gulfport-Biloxi, MS Metro Area","4,319"
"Hagerstown-Martinsburg, MD-WV Metro Area","3,494"
"Hammond, LA Metro Area","1,017"
"Hanford-Corcoran, CA Metro Area","793"
"Harrisburg-Carlisle, PA Metro Area","8,247"
"Harrisonburg, VA Metro Area","1,473"
"Hartford-West Hartford-East Hartford, CT Metro Area","20,267"
"Hattiesburg, MS Metro Area","953"
"Helena, MT Metro Area","1,270"
"Hickory-Lenoir-Morganton, NC Metro Area","3,170"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","2,989"
"Hinesville, GA Metro Area","963"
"Homosassa Springs, FL Metro Area","1,099"
"Hot Springs, AR Metro Area","869"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","1,687"
"Houston-Pasadena-The Woodlands, TX Metro Area","125,417"
"Huntington-Ashland, WV-KY-OH Metro Area","2,657"
"Huntsville, AL Metro Area","12,862"
"Idaho Falls, ID Metro Area","1,933"
"Indianapolis-Carmel-Greenwood, IN Metro Area","38,804"
"Iowa City, IA Metro Area","2,215"
"Ithaca, NY Metro Area","2,316"
"Jackson, MI Metro Area","1,303"
"Jackson, MS Metro Area","5,902"
"Jackson, TN Metro Area","1,235"
"Jacksonville, FL Metro Area","27,741"
"Jacksonville, NC Metro Area","2,239"
"Janesville-Beloit, WI Metro Area","1,460"
"Jefferson City, MO Metro Area","1,932"
"Johnson City, TN Metro Area","1,792"
"Johnstown, PA Metro Area","1,197"
"Jonesboro, AR Metro Area","785"
"Joplin, MO-KS Metro Area","1,798"
"Kahului-Wailuku, HI Metro Area","2,068"
"Kalamazoo-Portage, MI Metro Area","3,623"
"Kankakee, IL Metro Area","957"
"Kansas City, MO-KS Metro Area","46,609"
"Kennewick-Richland, WA Metro Area","4,654"
"Kenosha, WI Metro Area","1,890"
"Killeen-Temple, TX Metro Area","4,479"
"Kingsport-Bristol, TN-VA Metro Area","2,484"
"Kingston, NY Metro Area","3,010"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","10,058"
"Knoxville, TN Metro Area","14,960"
"Kokomo, IN Metro Area","600"
"La Crosse-Onalaska, WI-MN Metro Area","1,582"
"Lafayette, LA Metro Area","5,389"
"Lafayette-West Lafayette, IN Metro Area","2,006"
"Lake Charles, LA Metro Area","1,996"
"Lake Havasu City-Kingman, AZ Metro Area","1,615"
"Lakeland-Winter Haven, FL Metro Area","8,154"
"Lancaster, PA Metro Area","7,270"
"Lansing-East Lansing, MI Metro Area","5,631"
"Laredo, TX Metro Area","2,498"
"Las Cruces, NM Metro Area","2,855"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","31,485"
"Lawrence, KS Metro Area","2,090"
"Lawton, OK Metro Area","889"
"Lebanon, PA Metro Area","1,289"
"Lewiston, ID-WA Metro Area","384"
"Lewiston-Auburn, ME Metro Area","1,705"
"Lexington-Fayette, KY Metro Area","8,468"
"Lexington Park, MD Metro Area","5,130"
"Lima, OH Metro Area","852"
"Lincoln, NE Metro Area","5,021"
"Little Rock-North Little Rock-Conway, AR Metro Area","10,522"
"Logan, UT-ID Metro Area","2,205"
"Longview, TX Metro Area","3,133"
"Longview-Kelso, WA Metro Area","1,107"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","256,612"
"Louisville/Jefferson County, KY-IN Metro Area","18,074"
"Lubbock, TX Metro Area","3,616"
"Lynchburg, VA Metro Area","2,651"
"Macon-Bibb County, GA Metro Area","2,645"
"Madison, WI Metro Area","18,534"
"Manchester-Nashua, NH Metro Area","8,551"
"Manhattan, KS Metro Area","1,410"
"Mankato, MN Metro Area","966"
"Mansfield, OH Metro Area","883"
"Mayagüez, PR Metro Area","1,046"
"McAllen-Edinburg-Mission, TX Metro Area","4,778"
"Medford, OR Metro Area","2,124"
"Memphis, TN-MS-AR Metro Area","14,321"
"Merced, CA Metro Area","1,656"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","119,008"
"Michigan City-La Porte, IN Metro Area","1,292"
"Midland, MI Metro Area","870"
"Midland, TX Metro Area","2,312"
"Milwaukee-Waukesha, WI Metro Area","24,375"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","75,686"
"Minot, ND Metro Area","643"
"Missoula, MT Metro Area","2,518"
"Mobile, AL Metro Area","4,706"
"Modesto, CA Metro Area","4,274"
"Monroe, LA Metro Area","2,265"
"Monroe, MI Metro Area","1,671"
"Montgomery, AL Metro Area","4,172"
"Morgantown, WV Metro Area","1,560"
"Morristown, TN Metro Area","737"
"Mount Vernon-Anacortes, WA Metro Area","1,424"
"Muncie, IN Metro Area","926"
"Muskegon-Norton Shores, MI Metro Area","1,090"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","4,922"
"Napa, CA Metro Area","2,220"
"Naples-Marco Island, FL Metro Area","5,619"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","38,847"
"New Haven, CT Metro Area","8,161"
"New Orleans-Metairie, LA Metro Area","16,472"
"New York-Newark-Jersey City, NY-NJ Metro Area","448,004"
"Niles, MI Metro Area","1,773"
"North Port-Bradenton-Sarasota, FL Metro Area","13,462"
"Norwich-New London-Willimantic, CT Metro Area","3,128"
"Ocala, FL Metro Area","3,482"
"Odessa, TX Metro Area","957"
"Ogden, UT Metro Area","9,150"
"Oklahoma City, OK Metro Area","21,365"
"Olympia-Lacey-Tumwater, WA Metro Area","3,067"
"Omaha, NE-IA Metro Area","17,011"
"Orlando-Kissimmee-Sanford, FL Metro Area","47,344"
"Oshkosh-Neenah, WI Metro Area","2,037"
"Owensboro, KY Metro Area","755"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","15,289"
"Paducah, KY-IL Metro Area","871"
"Palm Bay-Melbourne-Titusville, FL Metro Area","10,485"
"Panama City-Panama City Beach, FL Metro Area","2,164"
"Parkersburg-Vienna, WV Metro Area","677"
"Pensacola-Ferry Pass-Brent, FL Metro Area","6,845"
"Peoria, IL Metro Area","3,390"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","129,860"
"Phoenix-Mesa-Chandler, AZ Metro Area","81,917"
"Pinehurst-Southern Pines, NC Metro Area","1,182"
"Pittsburgh, PA Metro Area","41,097"
"Pittsfield, MA Metro Area","2,069"
"Pocatello, ID Metro Area","643"
"Ponce, PR Metro Area","1,341"
"Portland-South Portland, ME Metro Area","11,597"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","55,259"
"Port St. Lucie, FL Metro Area","6,729"
"Prescott Valley-Prescott, AZ Metro Area","3,160"
"Providence-Warwick, RI-MA Metro Area","26,694"
"Provo-Orem-Lehi, UT Metro Area","11,655"
"Pueblo, CO Metro Area","1,283"
"Punta Gorda, FL Metro Area","2,259"
"Racine-Mount Pleasant, WI Metro Area","1,792"
"Raleigh-Cary, NC Metro Area","50,858"
"Rapid City, SD Metro Area","1,843"
"Reading, PA Metro Area","5,506"
"Redding, CA Metro Area","1,909"
