"Region","Educational services, and health care and social assistance:","MoE"
"Fargo, ND-MN Metro Area","11,066","± 949"
"Farmington, NM Metro Area","2,799","± 403"
"Fayetteville, NC Metro Area","7,880","± 571"
"Fayetteville-Springdale-Rogers, AR Metro Area","14,635","± 1,150"
"Flagstaff, AZ Metro Area","6,631","± 671"
"Flint, MI Metro Area","9,260","± 694"
"Florence, SC Metro Area","4,564","± 542"
"Florence-Muscle Shoals, AL Metro Area","3,810","± 605"
"Fond du Lac, WI Metro Area","1,883","± 261"
"Fort Collins-Loveland, CO Metro Area","14,531","± 929"
"Fort Smith, AR-OK Metro Area","5,319","± 611"
"Fort Wayne, IN Metro Area","12,980","± 994"
"Fresno, CA Metro Area","36,164","± 1,444"
"Gadsden, AL Metro Area","2,540","± 409"
"Gainesville, FL Metro Area","20,357","± 1,153"
"Gainesville, GA Metro Area","4,255","± 470"
"Gettysburg, PA Metro Area","2,833","± 326"
"Glens Falls, NY Metro Area","3,877","± 410"
"Goldsboro, NC Metro Area","2,660","± 407"
"Grand Forks, ND-MN Metro Area","5,282","± 510"
"Grand Island, NE Metro Area","1,285","± 232"
"Grand Junction, CO Metro Area","4,633","± 543"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","34,180","± 1,358"
"Grants Pass, OR Metro Area","1,742","± 273"
"Great Falls, MT Metro Area","2,618","± 366"
"Greeley, CO Metro Area","8,091","± 633"
"Green Bay, WI Metro Area","8,798","± 701"
"Greensboro-High Point, NC Metro Area","20,457","± 1,426"
"Greenville, NC Metro Area","6,705","± 698"
"Greenville-Anderson-Greer, SC Metro Area","26,127","± 1,513"
"Guayama, PR Metro Area","932","± 303"
"Gulfport-Biloxi, MS Metro Area","9,185","± 912"
"Hagerstown-Martinsburg, MD-WV Metro Area","7,366","± 908"
"Hammond, LA Metro Area","2,847","± 595"
"Hanford-Corcoran, CA Metro Area","2,744","± 429"
"Harrisburg-Carlisle, PA Metro Area","19,402","± 1,043"
"Harrisonburg, VA Metro Area","4,468","± 426"
"Hartford-West Hartford-East Hartford, CT Metro Area","43,598","± 1,668"
"Hattiesburg, MS Metro Area","4,434","± 520"
"Helena, MT Metro Area","3,701","± 498"
"Hickory-Lenoir-Morganton, NC Metro Area","7,072","± 694"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","4,245","± 552"
"Hinesville, GA Metro Area","1,165","± 323"
"Homosassa Springs, FL Metro Area","2,655","± 446"
"Hot Springs, AR Metro Area","2,525","± 398"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","4,289","± 629"
"Houston-Pasadena-The Woodlands, TX Metro Area","186,784","± 4,587"
"Huntington-Ashland, WV-KY-OH Metro Area","12,732","± 1,063"
"Huntsville, AL Metro Area","11,833","± 961"
"Idaho Falls, ID Metro Area","4,435","± 533"
"Indianapolis-Carmel-Greenwood, IN Metro Area","59,764","± 2,172"
"Iowa City, IA Metro Area","14,094","± 994"
"Ithaca, NY Metro Area","9,767","± 681"
"Jackson, MI Metro Area","3,596","± 460"
"Jackson, MS Metro Area","16,089","± 988"
"Jackson, TN Metro Area","4,518","± 505"
"Jacksonville, FL Metro Area","40,066","± 2,234"
"Jacksonville, NC Metro Area","3,596","± 669"
"Janesville-Beloit, WI Metro Area","3,443","± 405"
"Jefferson City, MO Metro Area","3,879","± 508"
"Johnson City, TN Metro Area","7,220","± 706"
"Johnstown, PA Metro Area","4,427","± 429"
"Jonesboro, AR Metro Area","4,263","± 640"
"Joplin, MO-KS Metro Area","5,520","± 561"
"Kahului-Wailuku, HI Metro Area","3,782","± 444"
"Kalamazoo-Portage, MI Metro Area","9,485","± 667"
"Kankakee, IL Metro Area","3,180","± 372"
"Kansas City, MO-KS Metro Area","62,525","± 2,060"
"Kennewick-Richland, WA Metro Area","6,962","± 758"
"Kenosha, WI Metro Area","4,167","± 487"
"Killeen-Temple, TX Metro Area","11,617","± 934"
"Kingsport-Bristol, TN-VA Metro Area","6,320","± 589"
"Kingston, NY Metro Area","7,319","± 609"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","26,838","± 1,173"
"Knoxville, TN Metro Area","25,453","± 1,538"
"Kokomo, IN Metro Area","1,839","± 383"
"La Crosse-Onalaska, WI-MN Metro Area","6,020","± 624"
"Lafayette, LA Metro Area","10,717","± 1,101"
"Lafayette-West Lafayette, IN Metro Area","12,613","± 870"
"Lake Charles, LA Metro Area","4,994","± 678"
"Lake Havasu City-Kingman, AZ Metro Area","4,251","± 607"
"Lakeland-Winter Haven, FL Metro Area","15,006","± 984"
"Lancaster, PA Metro Area","17,585","± 1,184"
"Lansing-East Lansing, MI Metro Area","19,901","± 891"
"Laredo, TX Metro Area","6,282","± 655"
"Las Cruces, NM Metro Area","7,481","± 867"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","50,243","± 1,861"
"Lawrence, KS Metro Area","6,616","± 627"
"Lawton, OK Metro Area","3,091","± 365"
"Lebanon, PA Metro Area","4,485","± 484"
"Lewiston, ID-WA Metro Area","1,848","± 285"
"Lewiston-Auburn, ME Metro Area","3,346","± 375"
"Lexington-Fayette, KY Metro Area","22,573","± 1,026"
"Lexington Park, MD Metro Area","4,184","± 617"
"Lima, OH Metro Area","2,297","± 276"
"Lincoln, NE Metro Area","14,569","± 748"
"Little Rock-North Little Rock-Conway, AR Metro Area","22,391","± 1,423"
"Logan, UT-ID Metro Area","5,734","± 474"
"Longview, TX Metro Area","7,116","± 800"
"Longview-Kelso, WA Metro Area","1,923","± 326"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","427,897","± 5,621"
"Louisville/Jefferson County, KY-IN Metro Area","36,285","± 1,358"
"Lubbock, TX Metro Area","15,647","± 961"
"Lynchburg, VA Metro Area","9,404","± 662"
"Macon-Bibb County, GA Metro Area","5,333","± 690"
"Madison, WI Metro Area","31,303","± 1,406"
"Manchester-Nashua, NH Metro Area","13,512","± 1,089"
"Manhattan, KS Metro Area","6,328","± 596"
"Mankato, MN Metro Area","4,598","± 465"
"Mansfield, OH Metro Area","3,058","± 410"
"Mayagüez, PR Metro Area","4,516","± 537"
"McAllen-Edinburg-Mission, TX Metro Area","26,589","± 1,723"
"Medford, OR Metro Area","6,364","± 674"
"Memphis, TN-MS-AR Metro Area","32,055","± 1,892"
"Merced, CA Metro Area","6,834","± 771"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","169,421","± 4,039"
"Michigan City-La Porte, IN Metro Area","1,800","± 392"
"Midland, MI Metro Area","2,511","± 345"
"Midland, TX Metro Area","3,232","± 538"
"Milwaukee-Waukesha, WI Metro Area","46,689","± 1,779"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","124,698","± 2,769"
"Minot, ND Metro Area","1,976","± 344"
"Missoula, MT Metro Area","5,688","± 624"
"Mobile, AL Metro Area","8,944","± 697"
"Modesto, CA Metro Area","13,071","± 988"
"Monroe, LA Metro Area","5,612","± 695"
"Monroe, MI Metro Area","3,955","± 482"
"Montgomery, AL Metro Area","8,118","± 735"
"Morgantown, WV Metro Area","8,620","± 718"
"Morristown, TN Metro Area","2,500","± 440"
"Mount Vernon-Anacortes, WA Metro Area","2,934","± 354"
"Muncie, IN Metro Area","4,132","± 436"
"Muskegon-Norton Shores, MI Metro Area","3,352","± 441"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","7,231","± 695"
"Napa, CA Metro Area","4,779","± 526"
"Naples-Marco Island, FL Metro Area","8,642","± 1,105"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","67,325","± 2,223"
"New Haven, CT Metro Area","27,432","± 1,382"
"New Orleans-Metairie, LA Metro Area","26,159","± 1,290"
"New York-Newark-Jersey City, NY-NJ Metro Area","742,726","± 8,141"
"Niles, MI Metro Area","4,102","± 374"
"North Port-Bradenton-Sarasota, FL Metro Area","18,911","± 1,464"
"Norwich-New London-Willimantic, CT Metro Area","8,793","± 796"
"Ocala, FL Metro Area","6,986","± 815"
"Odessa, TX Metro Area","3,123","± 520"
"Ogden, UT Metro Area","19,130","± 987"
"Oklahoma City, OK Metro Area","42,631","± 1,547"
