"Region","Public administration","MoE"
"Fayetteville-Springdale-Rogers, AR Metro Area","3,739","± 563"
"Flagstaff, AZ Metro Area","2,141","± 400"
"Flint, MI Metro Area","2,733","± 383"
"Florence, SC Metro Area","1,729","± 318"
"Florence-Muscle Shoals, AL Metro Area","1,898","± 504"
"Fond du Lac, WI Metro Area","1,134","± 259"
"Fort Collins-Loveland, CO Metro Area","4,348","± 570"
"Fort Smith, AR-OK Metro Area","2,427","± 434"
"Fort Wayne, IN Metro Area","3,738","± 468"
"Fresno, CA Metro Area","14,783","± 947"
"Gadsden, AL Metro Area","1,139","± 217"
"Gainesville, FL Metro Area","4,771","± 669"
"Gainesville, GA Metro Area","1,439","± 274"
"Gettysburg, PA Metro Area","1,577","± 270"
"Glens Falls, NY Metro Area","2,319","± 407"
"Goldsboro, NC Metro Area","1,881","± 399"
"Grand Forks, ND-MN Metro Area","1,407","± 275"
"Grand Island, NE Metro Area","706","± 186"
"Grand Junction, CO Metro Area","1,660","± 398"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","7,131","± 636"
"Grants Pass, OR Metro Area","729","± 238"
"Great Falls, MT Metro Area","1,184","± 194"
"Greeley, CO Metro Area","3,953","± 475"
"Green Bay, WI Metro Area","2,739","± 407"
"Greensboro-High Point, NC Metro Area","6,945","± 769"
"Greenville, NC Metro Area","1,892","± 425"
"Greenville-Anderson-Greer, SC Metro Area","6,359","± 647"
"Guayama, PR Metro Area","924","± 219"
"Gulfport-Biloxi, MS Metro Area","7,015","± 621"
"Hagerstown-Martinsburg, MD-WV Metro Area","6,681","± 563"
"Hammond, LA Metro Area","1,604","± 362"
"Hanford-Corcoran, CA Metro Area","2,896","± 557"
"Harrisburg-Carlisle, PA Metro Area","13,139","± 888"
"Harrisonburg, VA Metro Area","1,106","± 246"
"Hartford-West Hartford-East Hartford, CT Metro Area","14,233","± 1,100"
"Hattiesburg, MS Metro Area","1,492","± 373"
"Helena, MT Metro Area","2,838","± 337"
"Hickory-Lenoir-Morganton, NC Metro Area","4,193","± 491"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","1,764","± 369"
"Hinesville, GA Metro Area","1,506","± 328"
"Homosassa Springs, FL Metro Area","1,517","± 346"
"Hot Springs, AR Metro Area","704","± 165"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","1,819","± 443"
"Houston-Pasadena-The Woodlands, TX Metro Area","58,197","± 2,622"
"Huntington-Ashland, WV-KY-OH Metro Area","4,268","± 599"
"Huntsville, AL Metro Area","13,204","± 1,060"
"Idaho Falls, ID Metro Area","2,044","± 355"
