"Region","90 or more minutes","MoE"
"Flagstaff, AZ Metro Area","1,287","± 273"
"Flint, MI Metro Area","4,383","± 641"
"Florence, SC Metro Area","1,786","± 411"
"Florence-Muscle Shoals, AL Metro Area","1,739","± 353"
"Fond du Lac, WI Metro Area","996","± 189"
"Fort Collins-Loveland, CO Metro Area","3,331","± 562"
"Fort Smith, AR-OK Metro Area","1,571","± 247"
"Fort Wayne, IN Metro Area","3,941","± 537"
"Fresno, CA Metro Area","10,642","± 962"
"Gadsden, AL Metro Area","946","± 253"
"Gainesville, FL Metro Area","2,311","± 453"
"Gainesville, GA Metro Area","2,530","± 432"
"Gettysburg, PA Metro Area","1,968","± 253"
"Glens Falls, NY Metro Area","936","± 175"
"Goldsboro, NC Metro Area","1,153","± 323"
"Grand Forks, ND-MN Metro Area","667","± 178"
"Grand Island, NE Metro Area","899","± 198"
"Grand Junction, CO Metro Area","1,709","± 352"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","7,818","± 744"
"Grants Pass, OR Metro Area","513","± 172"
"Great Falls, MT Metro Area","499","± 171"
"Greeley, CO Metro Area","3,348","± 529"
"Green Bay, WI Metro Area","2,538","± 327"
"Greensboro-High Point, NC Metro Area","7,228","± 832"
"Greenville, NC Metro Area","1,722","± 479"
"Greenville-Anderson-Greer, SC Metro Area","7,700","± 921"
"Guayama, PR Metro Area","684","± 226"
"Gulfport-Biloxi, MS Metro Area","4,391","± 787"
"Hagerstown-Martinsburg, MD-WV Metro Area","7,363","± 670"
"Hammond, LA Metro Area","2,080","± 515"
"Hanford-Corcoran, CA Metro Area","707","± 233"
"Harrisburg-Carlisle, PA Metro Area","4,313","± 508"
"Harrisonburg, VA Metro Area","855","± 228"
"Hartford-West Hartford-East Hartford, CT Metro Area","9,393","± 837"
"Hattiesburg, MS Metro Area","2,762","± 512"
"Helena, MT Metro Area","714","± 204"
"Hickory-Lenoir-Morganton, NC Metro Area","4,137","± 629"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","1,438","± 390"
"Hinesville, GA Metro Area","562","± 211"
"Homosassa Springs, FL Metro Area","1,789","± 513"
"Hot Springs, AR Metro Area","1,047","± 268"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","3,263","± 486"
"Houston-Pasadena-The Woodlands, TX Metro Area","74,171","± 3,164"
"Huntington-Ashland, WV-KY-OH Metro Area","3,168","± 490"
"Huntsville, AL Metro Area","2,590","± 560"
"Idaho Falls, ID Metro Area","2,003","± 402"
"Indianapolis-Carmel-Greenwood, IN Metro Area","16,847","± 1,483"
"Iowa City, IA Metro Area","1,590","± 390"
"Ithaca, NY Metro Area","607","± 181"
"Jackson, MI Metro Area","1,145","± 266"
"Jackson, MS Metro Area","4,896","± 889"
"Jackson, TN Metro Area","1,376","± 298"
"Jacksonville, FL Metro Area","11,184","± 993"
"Jacksonville, NC Metro Area","1,451","± 349"
"Janesville-Beloit, WI Metro Area","1,552","± 334"
"Jefferson City, MO Metro Area","1,265","± 261"
"Johnson City, TN Metro Area","1,525","± 322"
"Johnstown, PA Metro Area","1,295","± 201"
"Jonesboro, AR Metro Area","1,123","± 319"
"Joplin, MO-KS Metro Area","1,530","± 295"
"Kahului-Wailuku, HI Metro Area","945","± 254"
"Kalamazoo-Portage, MI Metro Area","1,339","± 308"
"Kankakee, IL Metro Area","1,273","± 291"
"Kansas City, MO-KS Metro Area","13,257","± 1,203"
"Kennewick-Richland, WA Metro Area","1,770","± 337"
"Kenosha, WI Metro Area","1,742","± 326"
"Killeen-Temple, TX Metro Area","5,396","± 728"
"Kingsport-Bristol, TN-VA Metro Area","2,251","± 397"
"Kingston, NY Metro Area","3,357","± 470"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","22,852","± 1,246"
"Knoxville, TN Metro Area","5,629","± 648"
"Kokomo, IN Metro Area","425","± 137"
"La Crosse-Onalaska, WI-MN Metro Area","1,311","± 241"
"Lafayette, LA Metro Area","5,493","± 798"
"Lafayette-West Lafayette, IN Metro Area","962","± 178"
"Lake Charles, LA Metro Area","2,855","± 551"
"Lake Havasu City-Kingman, AZ Metro Area","1,787","± 415"
"Lakeland-Winter Haven, FL Metro Area","9,665","± 982"
"Lancaster, PA Metro Area","5,792","± 681"
"Lansing-East Lansing, MI Metro Area","3,870","± 477"
"Laredo, TX Metro Area","3,202","± 687"
"Las Cruces, NM Metro Area","1,489","± 428"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","18,413","± 1,287"
"Lawrence, KS Metro Area","469","± 192"
"Lawton, OK Metro Area","912","± 195"
"Lebanon, PA Metro Area","702","± 150"
"Lewiston, ID-WA Metro Area","403","± 145"
"Lewiston-Auburn, ME Metro Area","650","± 180"
"Lexington-Fayette, KY Metro Area","4,180","± 662"
