"Region","Unemployed","MoE"
"Farmington, NM Metro Area","3,887","± 594"
"Fayetteville, NC Metro Area","11,985","± 831"
"Fayetteville-Springdale-Rogers, AR Metro Area","10,578","± 977"
"Flagstaff, AZ Metro Area","4,867","± 559"
"Flint, MI Metro Area","15,690","± 1,018"
"Florence, SC Metro Area","4,867","± 604"
"Florence-Muscle Shoals, AL Metro Area","2,660","± 488"
"Fond du Lac, WI Metro Area","1,690","± 304"
"Fort Collins-Loveland, CO Metro Area","9,240","± 885"
"Fort Smith, AR-OK Metro Area","5,702","± 616"
"Fort Wayne, IN Metro Area","10,340","± 978"
"Fresno, CA Metro Area","46,936","± 1,843"
"Gadsden, AL Metro Area","2,911","± 519"
"Gainesville, FL Metro Area","7,069","± 827"
"Gainesville, GA Metro Area","4,083","± 555"
"Gettysburg, PA Metro Area","1,685","± 268"
"Glens Falls, NY Metro Area","2,874","± 360"
"Goldsboro, NC Metro Area","2,856","± 440"
"Grand Forks, ND-MN Metro Area","1,666","± 259"
"Grand Island, NE Metro Area","1,205","± 277"
"Grand Junction, CO Metro Area","4,022","± 614"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","25,124","± 1,564"
"Grants Pass, OR Metro Area","2,821","± 528"
"Great Falls, MT Metro Area","1,195","± 246"
"Greeley, CO Metro Area","8,676","± 712"
"Green Bay, WI Metro Area","4,709","± 494"
"Greensboro-High Point, NC Metro Area","18,534","± 1,260"
"Greenville, NC Metro Area","6,614","± 819"
"Greenville-Anderson-Greer, SC Metro Area","20,538","± 1,337"
"Guayama, PR Metro Area","1,671","± 371"
"Gulfport-Biloxi, MS Metro Area","14,101","± 1,324"
"Hagerstown-Martinsburg, MD-WV Metro Area","7,099","± 712"
"Hammond, LA Metro Area","3,279","± 587"
"Hanford-Corcoran, CA Metro Area","5,787","± 851"
"Harrisburg-Carlisle, PA Metro Area","11,920","± 1,136"
"Harrisonburg, VA Metro Area","3,077","± 522"
"Hartford-West Hartford-East Hartford, CT Metro Area","31,384","± 1,248"
"Hattiesburg, MS Metro Area","4,369","± 607"
"Helena, MT Metro Area","1,633","± 353"
"Hickory-Lenoir-Morganton, NC Metro Area","8,115","± 935"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","3,168","± 553"
"Hinesville, GA Metro Area","2,440","± 439"
"Homosassa Springs, FL Metro Area","3,748","± 718"
"Hot Springs, AR Metro Area","2,656","± 530"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","4,713","± 661"
"Houston-Pasadena-The Woodlands, TX Metro Area","221,170","± 5,351"
"Huntington-Ashland, WV-KY-OH Metro Area","7,926","± 751"
"Huntsville, AL Metro Area","9,733","± 809"
"Idaho Falls, ID Metro Area","2,747","± 489"
"Indianapolis-Carmel-Greenwood, IN Metro Area","45,535","± 2,165"
"Iowa City, IA Metro Area","3,561","± 549"
"Ithaca, NY Metro Area","2,778","± 448"
"Jackson, MI Metro Area","4,282","± 527"
"Jackson, MS Metro Area","17,171","± 1,181"
"Jackson, TN Metro Area","5,367","± 766"
"Jacksonville, FL Metro Area","34,959","± 1,986"
"Jacksonville, NC Metro Area","4,258","± 690"
"Janesville-Beloit, WI Metro Area","3,382","± 418"
"Jefferson City, MO Metro Area","2,626","± 473"
"Johnson City, TN Metro Area","5,460","± 706"
"Johnstown, PA Metro Area","2,828","± 331"
"Jonesboro, AR Metro Area","3,789","± 630"
"Joplin, MO-KS Metro Area","4,164","± 522"
"Kahului-Wailuku, HI Metro Area","4,760","± 663"
"Kalamazoo-Portage, MI Metro Area","7,887","± 878"
"Kankakee, IL Metro Area","2,667","± 457"
"Kansas City, MO-KS Metro Area","47,777","± 1,988"
"Kennewick-Richland, WA Metro Area","7,508","± 884"
"Kenosha, WI Metro Area","4,399","± 533"
"Killeen-Temple, TX Metro Area","14,413","± 1,141"
"Kingsport-Bristol, TN-VA Metro Area","8,056","± 801"
"Kingston, NY Metro Area","4,619","± 650"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","18,105","± 1,232"
"Knoxville, TN Metro Area","17,675","± 1,249"
"Kokomo, IN Metro Area","2,259","± 337"
"La Crosse-Onalaska, WI-MN Metro Area","2,605","± 459"
"Lafayette, LA Metro Area","10,686","± 1,033"
"Lafayette-West Lafayette, IN Metro Area","3,444","± 414"
"Lake Charles, LA Metro Area","6,046","± 952"
"Lake Havasu City-Kingman, AZ Metro Area","5,662","± 720"
"Lakeland-Winter Haven, FL Metro Area","15,310","± 1,223"
"Lancaster, PA Metro Area","9,560","± 918"
"Lansing-East Lansing, MI Metro Area","13,570","± 979"
"Laredo, TX Metro Area","6,638","± 852"
"Las Cruces, NM Metro Area","6,941","± 844"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","86,020","± 2,821"
