"Region","Master's degree","MoE"
"Fargo, ND-MN Metro Area","15,401","± 1,080"
"Farmington, NM Metro Area","4,173","± 495"
"Fayetteville, NC Metro Area","17,829","± 862"
"Fayetteville-Springdale-Rogers, AR Metro Area","35,320","± 1,678"
"Flagstaff, AZ Metro Area","9,806","± 807"
"Flint, MI Metro Area","17,155","± 1,075"
"Florence, SC Metro Area","8,722","± 692"
"Florence-Muscle Shoals, AL Metro Area","7,079","± 653"
"Fond du Lac, WI Metro Area","4,183","± 426"
"Fort Collins-Loveland, CO Metro Area","36,357","± 1,553"
"Fort Smith, AR-OK Metro Area","7,980","± 762"
"Fort Wayne, IN Metro Area","21,782","± 1,105"
"Fresno, CA Metro Area","37,963","± 1,918"
"Gadsden, AL Metro Area","3,220","± 421"
"Gainesville, FL Metro Area","25,749","± 1,310"
"Gainesville, GA Metro Area","8,670","± 750"
"Gettysburg, PA Metro Area","5,871","± 501"
"Glens Falls, NY Metro Area","9,104","± 637"
"Goldsboro, NC Metro Area","4,268","± 516"
"Grand Forks, ND-MN Metro Area","4,776","± 544"
"Grand Island, NE Metro Area","2,845","± 379"
"Grand Junction, CO Metro Area","7,399","± 730"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","71,509","± 2,171"
"Grants Pass, OR Metro Area","3,513","± 449"
"Great Falls, MT Metro Area","4,354","± 514"
"Greeley, CO Metro Area","19,700","± 1,076"
"Green Bay, WI Metro Area","15,376","± 1,114"
"Greensboro-High Point, NC Metro Area","44,825","± 2,021"
"Greenville, NC Metro Area","10,105","± 900"
"Greenville-Anderson-Greer, SC Metro Area","58,217","± 2,009"
"Guayama, PR Metro Area","2,764","± 460"
"Gulfport-Biloxi, MS Metro Area","19,183","± 1,187"
"Hagerstown-Martinsburg, MD-WV Metro Area","15,667","± 1,155"
"Hammond, LA Metro Area","4,912","± 795"
"Hanford-Corcoran, CA Metro Area","3,015","± 513"
"Harrisburg-Carlisle, PA Metro Area","39,367","± 1,633"
"Harrisonburg, VA Metro Area","7,799","± 583"
"Hartford-West Hartford-East Hartford, CT Metro Area","111,493","± 3,038"
"Hattiesburg, MS Metro Area","9,072","± 751"
"Helena, MT Metro Area","6,510","± 571"
"Hickory-Lenoir-Morganton, NC Metro Area","12,911","± 853"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","20,274","± 1,253"
"Hinesville, GA Metro Area","2,151","± 336"
"Homosassa Springs, FL Metro Area","6,890","± 735"
"Hot Springs, AR Metro Area","5,292","± 523"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","6,491","± 821"
"Houston-Pasadena-The Woodlands, TX Metro Area","437,986","± 7,962"
"Huntington-Ashland, WV-KY-OH Metro Area","18,243","± 872"
"Huntsville, AL Metro Area","46,991","± 1,542"
"Idaho Falls, ID Metro Area","6,830","± 636"
"Indianapolis-Carmel-Greenwood, IN Metro Area","138,999","± 3,479"
"Iowa City, IA Metro Area","13,758","± 782"
"Ithaca, NY Metro Area","11,738","± 793"
"Jackson, MI Metro Area","6,906","± 542"
"Jackson, MS Metro Area","34,879","± 1,787"
"Jackson, TN Metro Area","7,481","± 648"
"Jacksonville, FL Metro Area","101,523","± 2,862"
"Jacksonville, NC Metro Area","7,349","± 774"
"Janesville-Beloit, WI Metro Area","7,144","± 701"
"Jefferson City, MO Metro Area","8,573","± 703"
"Johnson City, TN Metro Area","11,482","± 977"
"Johnstown, PA Metro Area","5,314","± 504"
"Jonesboro, AR Metro Area","5,931","± 751"
"Joplin, MO-KS Metro Area","7,577","± 567"
"Kahului-Wailuku, HI Metro Area","8,021","± 603"
"Kalamazoo-Portage, MI Metro Area","19,318","± 1,062"
"Kankakee, IL Metro Area","4,411","± 500"
"Kansas City, MO-KS Metro Area","164,068","± 3,274"
"Kennewick-Richland, WA Metro Area","16,099","± 1,140"
"Kenosha, WI Metro Area","9,847","± 873"
"Killeen-Temple, TX Metro Area","19,537","± 1,527"
"Kingsport-Bristol, TN-VA Metro Area","13,241","± 1,000"
"Kingston, NY Metro Area","16,985","± 964"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","58,736","± 2,028"
"Knoxville, TN Metro Area","54,987","± 2,089"
"Kokomo, IN Metro Area","2,973","± 407"
"La Crosse-Onalaska, WI-MN Metro Area","9,769","± 716"
"Lafayette, LA Metro Area","14,619","± 1,136"
"Lafayette-West Lafayette, IN Metro Area","12,819","± 868"
"Lake Charles, LA Metro Area","9,116","± 904"
"Lake Havasu City-Kingman, AZ Metro Area","6,814","± 710"
"Lakeland-Winter Haven, FL Metro Area","29,006","± 1,456"
"Lancaster, PA Metro Area","32,133","± 1,720"
"Lansing-East Lansing, MI Metro Area","31,914","± 1,243"
"Laredo, TX Metro Area","7,314","± 768"
"Las Cruces, NM Metro Area","13,927","± 1,202"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","105,096","± 2,514"
"Lawrence, KS Metro Area","10,790","± 773"
"Lawton, OK Metro Area","5,083","± 501"
"Lebanon, PA Metro Area","6,624","± 563"
"Lewiston, ID-WA Metro Area","2,502","± 402"
"Lewiston-Auburn, ME Metro Area","4,654","± 485"
"Lexington-Fayette, KY Metro Area","39,164","± 1,626"
"Lexington Park, MD Metro Area","18,064","± 1,037"
"Lima, OH Metro Area","3,662","± 387"
"Lincoln, NE Metro Area","21,020","± 1,058"
"Little Rock-North Little Rock-Conway, AR Metro Area","44,437","± 1,765"
"Logan, UT-ID Metro Area","8,018","± 527"
"Longview, TX Metro Area","10,066","± 1,043"
"Longview-Kelso, WA Metro Area","3,368","± 490"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","834,718","± 8,838"
"Louisville/Jefferson County, KY-IN Metro Area","87,275","± 2,377"
"Lubbock, TX Metro Area","17,840","± 1,107"
"Lynchburg, VA Metro Area","15,393","± 812"
"Macon-Bibb County, GA Metro Area","11,982","± 1,055"
"Madison, WI Metro Area","58,563","± 1,744"
"Manchester-Nashua, NH Metro Area","36,892","± 1,625"
"Manhattan, KS Metro Area","7,695","± 645"
"Mankato, MN Metro Area","4,798","± 386"
"Mansfield, OH Metro Area","4,436","± 518"
"Mayagüez, PR Metro Area","7,223","± 681"
"McAllen-Edinburg-Mission, TX Metro Area","24,120","± 1,560"
"Medford, OR Metro Area","12,902","± 906"
"Memphis, TN-MS-AR Metro Area","79,250","± 2,569"
"Merced, CA Metro Area","5,378","± 570"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","399,532","± 6,142"
"Michigan City-La Porte, IN Metro Area","4,347","± 507"
"Midland, MI Metro Area","6,303","± 608"
"Midland, TX Metro Area","8,233","± 855"
"Milwaukee-Waukesha, WI Metro Area","105,078","± 2,304"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","284,199","± 4,029"
"Minot, ND Metro Area","3,358","± 471"
"Missoula, MT Metro Area","9,196","± 718"
"Mobile, AL Metro Area","18,428","± 1,077"
"Modesto, CA Metro Area","14,337","± 921"
"Monroe, LA Metro Area","9,168","± 785"
"Monroe, MI Metro Area","7,367","± 666"
"Montgomery, AL Metro Area","23,824","± 1,221"
"Morgantown, WV Metro Area","12,078","± 872"
"Morristown, TN Metro Area","4,773","± 497"
"Mount Vernon-Anacortes, WA Metro Area","7,675","± 578"
"Muncie, IN Metro Area","5,549","± 610"
"Muskegon-Norton Shores, MI Metro Area","5,785","± 502"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","18,841","± 1,124"
"Napa, CA Metro Area","9,006","± 626"
"Naples-Marco Island, FL Metro Area","33,054","± 1,715"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","138,564","± 3,405"
"New Haven, CT Metro Area","52,400","± 1,869"
"New Orleans-Metairie, LA Metro Area","60,387","± 2,004"
"New York-Newark-Jersey City, NY-NJ Metro Area","1,856,167","± 14,387"
"Niles, MI Metro Area","9,612","± 625"
"North Port-Bradenton-Sarasota, FL Metro Area","72,094","± 2,553"
