"Geographic Area Name","Median value (2024)","MoE"
"Wichita Falls city, Texas","183,500","± 18,160"
"Layton city, Utah","553,600","± 24,582"
"Lehi city, Utah","642,300","± 21,676"
"Ogden city, Utah","370,500","± 10,732"
"Orem city, Utah","528,700","± 28,149"
"Provo city, Utah","513,200","± 35,576"
"St. George city, Utah","519,600","± 43,776"
"Salt Lake City city, Utah","620,100","± 24,177"
"Sandy city, Utah","649,900","± 20,922"
"South Jordan city, Utah","703,100","± 31,669"
"West Jordan city, Utah","554,600","± 22,574"
"West Valley City city, Utah","438,900","± 15,254"
"Alexandria city, Virginia","704,200","± 48,695"
"Arlington CDP, Virginia","945,700","± 49,107"
"Centreville CDP, Virginia","622,700","± 35,882"
"Chesapeake city, Virginia","388,600","± 13,327"
"Dale City CDP, Virginia","439,600","± 15,730"
"Hampton city, Virginia","266,100","± 11,991"
"Lynchburg city, Virginia","249,200","± 17,311"
"Newport News city, Virginia","283,200","± 11,691"
"Norfolk city, Virginia","311,200","± 16,503"
"Portsmouth city, Virginia","263,900","± 12,961"
"Reston CDP, Virginia","656,200","± 33,815"
"Richmond city, Virginia","377,900","± 16,866"
"Roanoke city, Virginia","214,800","± 16,766"
"Suffolk city, Virginia","373,000","± 18,325"
"Virginia Beach city, Virginia","403,200","± 12,546"
"Auburn city, Washington","573,100","± 24,934"
"Bellevue city, Washington","1,508,500","± 82,895"
"Bellingham city, Washington","692,600","± 39,798"
"Everett city, Washington","598,900","± 25,821"
"Federal Way city, Washington","609,200","± 20,167"
"Kennewick city, Washington","413,700","± 26,430"
"Kent city, Washington","632,100","± 17,890"
"Kirkland city, Washington","1,241,600","± 91,225"
"Marysville city, Washington","600,400","± 15,641"
"Pasco city, Washington","426,300","± 17,604"
"Redmond city, Washington","1,196,800","± 97,159"
"Renton city, Washington","703,500","± 38,594"
"Sammamish city, Washington","1,610,200","± 60,120"
"Seattle city, Washington","950,800","± 18,888"
"Shoreline city, Washington","842,400","± 32,401"
"South Hill CDP, Washington","610,400","± 17,030"
"Spokane city, Washington","379,300","± 9,261"
"Spokane Valley city, Washington","412,100","± 15,099"
"Tacoma city, Washington","500,500","± 21,156"
"Vancouver city, Washington","479,800","± 11,942"
"Yakima city, Washington","339,600","± 18,186"
"Appleton city, Wisconsin","269,300","± 10,230"
"Eau Claire city, Wisconsin","283,700","± 11,516"
"Green Bay city, Wisconsin","246,300","± 13,636"
"Janesville city, Wisconsin","253,000","± 13,146"
"Kenosha city, Wisconsin","256,700","± 10,893"
"Madison city, Wisconsin","418,400","± 10,604"
"Milwaukee city, Wisconsin","207,900","± 6,388"
"Oshkosh city, Wisconsin","198,800","± 13,858"
"Racine city, Wisconsin","173,100","± 8,403"
"Waukesha city, Wisconsin","347,300","± 12,972"
"Cheyenne city, Wyoming","360,800","± 11,738"
"Bayamón zona urbana, Puerto Rico","152,900","± 3,068"
"Caguas zona urbana, Puerto Rico","136,400","± 10,304"
"Carolina zona urbana, Puerto Rico","161,600","± 3,602"
"Guaynabo zona urbana, Puerto Rico","257,100","± 23,311"
"Ponce zona urbana, Puerto Rico","125,300","± 8,622"
"San Juan zona urbana, Puerto Rico","174,400","± 8,407"
