"Geographic Area Name","Median value (2024)","MoE"
"San Marcos city, California","969,000","± 50,932"
"San Mateo city, California","1,639,400","± 80,418"
"San Ramon city, California","1,758,600","± 82,145"
"Santa Ana city, California","772,600","± 30,232"
"Santa Barbara city, California","1,732,200","± 179,377"
"Santa Clara city, California","1,648,300","± 72,275"
"Santa Clarita city, California","813,900","± 23,818"
"Santa Maria city, California","580,000","± 19,173"
"Santa Rosa city, California","710,700","± 22,880"
"Simi Valley city, California","868,900","± 15,898"
"South Gate city, California","675,300","± 24,968"
"Stockton city, California","456,800","± 11,042"
"Sunnyvale city, California","1,719,600","± 145,287"
"Temecula city, California","737,700","± 32,988"
"Thousand Oaks city, California","1,063,500","± 32,576"
"Torrance city, California","1,105,900","± 37,735"
"Tracy city, California","739,900","± 32,544"
"Tulare city, California","366,200","± 23,020"
"Turlock city, California","469,300","± 18,248"
"Tustin city, California","1,104,700","± 56,559"
"Union City city, California","1,173,400","± 87,788"
"Upland city, California","802,100","± 25,863"
"Vacaville city, California","637,500","± 13,590"
"Vallejo city, California","597,100","± 13,390"
"Victorville city, California","428,700","± 11,868"
"Visalia city, California","407,800","± 18,040"
"Vista city, California","837,800","± 33,626"
"Walnut Creek city, California","1,037,600","± 87,740"
"West Covina city, California","841,100","± 24,042"
"Westminster city, California","892,400","± 32,822"
"Whittier city, California","862,000","± 22,783"
"Yorba Linda city, California","1,241,100","± 114,350"
"Yuba City city, California","450,600","± 26,116"
"Arvada city, Colorado","659,100","± 16,745"
"Aurora city, Colorado","494,600","± 11,295"
"Boulder city, Colorado","1,115,300","± 59,943"
"Broomfield city, Colorado","686,200","± 28,708"
"Castle Rock town, Colorado","695,900","± 31,396"
"Centennial city, Colorado","681,900","± 13,071"
"Colorado Springs city, Colorado","479,500","± 5,751"
"Commerce City city, Colorado","545,500","± 37,635"
"Denver city, Colorado","636,400","± 12,623"
"Fort Collins city, Colorado","612,600","± 13,336"
"Grand Junction city, Colorado","420,700","± 17,728"
"Greeley city, Colorado","428,700","± 13,163"
"Highlands Ranch CDP, Colorado","739,500","± 27,941"
"Lakewood city, Colorado","592,200","± 15,789"
"Longmont city, Colorado","601,700","± 21,188"
"Loveland city, Colorado","509,000","± 28,823"
"Parker town, Colorado","658,600","± 22,132"
"Pueblo city, Colorado","257,900","± 15,424"
"Thornton city, Colorado","548,600","± 19,767"
"Westminster city, Colorado","580,600","± 19,305"
"Bridgeport city, Connecticut","312,200","± 20,074"
"Danbury city, Connecticut","440,200","± 18,235"
"Hartford city, Connecticut","247,100","± 25,220"
"New Britain city, Connecticut","268,200","± 18,591"
"New Haven city, Connecticut","348,900","± 17,237"
"Norwalk city, Connecticut","602,900","± 27,625"
"Stamford city, Connecticut","671,000","± 30,118"
"Waterbury city, Connecticut","248,500","± 15,887"
"Wilmington city, Delaware","245,100","± 19,434"
"Washington city, District of Columbia","733,400","± 25,632"
"Alafaya CDP, Florida","476,700","± 15,122"
"Boca Raton city, Florida","853,200","± 84,587"
"Boynton Beach city, Florida","372,800","± 20,156"
"Brandon CDP, Florida","373,900","± 13,529"
"Cape Coral city, Florida","401,800","± 15,108"
"Clearwater city, Florida","415,600","± 29,648"
"Coral Springs city, Florida","602,700","± 25,141"
"Davie town, Florida","538,100","± 45,724"
"Daytona Beach city, Florida","331,500","± 33,675"
"Deerfield Beach city, Florida","399,000","± 47,625"
"Delray Beach city, Florida","471,800","± 81,590"
"Deltona city, Florida","330,800","± 10,507"
"Doral city, Florida","633,300","± 35,975"
"Fort Lauderdale city, Florida","579,300","± 32,747"
"Fort Myers city, Florida","416,200","± 39,294"
"Four Corners CDP, Florida","391,500","± 24,885"
"Gainesville city, Florida","270,800","± 15,583"
"Hialeah city, Florida","446,800","± 19,487"
"Hollywood city, Florida","475,200","± 19,621"
"Homestead city, Florida","409,600","± 34,220"
"Horizon West CDP, Florida","600,600","± 59,677"
"Jacksonville city, Florida","325,300","± 7,085"
"Kendall CDP, Florida","655,700","± 54,599"
"Kissimmee city, Florida","355,600","± 29,655"
"Lakeland city, Florida","274,800","± 17,950"
"Largo city, Florida","271,300","± 32,856"
"Lauderhill city, Florida","323,200","± 33,005"
"Lehigh Acres CDP, Florida","332,800","± 9,833"
"Melbourne city, Florida","348,700","± 15,239"
"Miami city, Florida","598,200","± 34,998"
"Miami Beach city, Florida","598,200","± 104,159"
"Miami Gardens city, Florida","433,200","± 13,585"
"Miramar city, Florida","520,400","± 40,849"
"North Port city, Florida","387,100","± 13,202"
"Ocala city, Florida","270,800","± 48,580"
"Orlando city, Florida","430,200","± 19,166"
