"Geographic Area Name","Median gross rent (2021)","MoE"
"Auburn city, Alabama","1,009","± 93"
"Birmingham city, Alabama","895","± 36"
"Dothan city, Alabama","832","± 32"
"Hoover city, Alabama","1,212","± 68"
"Huntsville city, Alabama","983","± 58"
"Mobile city, Alabama","932","± 28"
"Montgomery city, Alabama","951","± 36"
"Tuscaloosa city, Alabama","934","± 40"
"Anchorage municipality, Alaska","1,335","± 72"
"Avondale city, Arizona","1,592","± 158"
"Buckeye city, Arizona","1,333","± 133"
"Casas Adobes CDP, Arizona","1,368","± 95"
"Chandler city, Arizona","1,617","± 51"
"Flagstaff city, Arizona","1,413","± 68"
"Gilbert town, Arizona","1,742","± 58"
"Glendale city, Arizona","1,235","± 58"
"Goodyear city, Arizona","1,543","± 227"
"Mesa city, Arizona","1,302","± 42"
"Peoria city, Arizona","1,460","± 83"
"Phoenix city, Arizona","1,293","± 17"
"Queen Creek town, Arizona","2,026","± 232"
"San Tan Valley CDP, Arizona","1,692","± 175"
"Scottsdale city, Arizona","1,669","± 52"
"Surprise city, Arizona","1,692","± 72"
"Tempe city, Arizona","1,428","± 40"
"Tucson city, Arizona","956","± 27"
"Yuma city, Arizona","966","± 72"
"Conway city, Arkansas","934","± 36"
"Fayetteville city, Arkansas","869","± 40"
"Fort Smith city, Arkansas","677","± 49"
"Jonesboro city, Arkansas","819","± 58"
"Little Rock city, Arkansas","960","± 55"
"Rogers city, Arkansas","1,053","± 80"
"Springdale city, Arkansas","1,021","± 63"
"Alameda city, California","1,981","± 138"
"Alhambra city, California","1,702","± 46"
"Anaheim city, California","1,833","± 40"
"Antioch city, California","1,942","± 154"
"Apple Valley town, California","1,237","± 85"
"Arden-Arcade CDP, California","1,280","± 66"
"Bakersfield city, California","1,219","± 57"
"Baldwin Park city, California","1,658","± 62"
"Bellflower city, California","1,621","± 78"
"Berkeley city, California","1,923","± 113"
"Buena Park city, California","1,893","± 103"
"Burbank city, California","1,911","± 122"
"Camarillo city, California","2,288","± 108"
"Carlsbad city, California","2,437","± 136"
"Carmichael CDP, California","1,410","± 44"
"Carson city, California","1,573","± 214"
"Castro Valley CDP, California","2,211","± 161"
"Chico city, California","1,300","± 70"
"Chino city, California","2,015","± 225"
"Chino Hills city, California","2,439","± 158"
"Chula Vista city, California","1,894","± 86"
"Citrus Heights city, California","1,539","± 77"
"Clovis city, California","1,410","± 79"
"Compton city, California","1,331","± 85"
"Concord city, California","1,992","± 101"
"Corona city, California","1,810","± 86"
"Costa Mesa city, California","2,025","± 93"
"Daly City city, California","2,245","± 197"
"Davis city, California","1,908","± 110"
"Downey city, California","1,707","± 67"
"Dublin city, California","2,852","± 254"
"East Los Angeles CDP, California","1,317","± 69"
"Eastvale city, California","2,638","± 296"
"El Cajon city, California","1,574","± 71"
"Elk Grove city, California","2,051","± 89"
"El Monte city, California","1,462","± 46"
"Escondido city, California","1,830","± 69"
"Fairfield city, California","1,963","± 101"
"Folsom city, California","2,003","± 160"
"Fontana city, California","1,576","± 117"
"Fremont city, California","2,545","± 104"
"Fresno city, California","1,166","± 27"
"Fullerton city, California","1,876","± 68"
"Garden Grove city, California","1,809","± 75"
"Glendale city, California","1,900","± 54"
"Hawthorne city, California","1,530","± 69"
"Hayward city, California","2,109","± 94"
"Hemet city, California","1,381","± 148"
"Hesperia city, California","1,543","± 138"
"Huntington Beach city, California","2,175","± 65"
"Indio city, California","1,255","± 97"
"Inglewood city, California","1,488","± 84"
"Irvine city, California","2,467","± 70"
"Jurupa Valley city, California","1,369","± 127"
"Lake Elsinore city, California","1,894","± 255"
"Lake Forest city, California","2,280","± 199"
"Lakewood city, California","1,875","± 138"
"Lancaster city, California","1,524","± 87"
"Livermore city, California","2,340","± 145"
"Lodi city, California","1,391","± 88"
"Long Beach city, California","1,634","± 34"
"Los Angeles city, California","1,703","± 14"
"Lynwood city, California","1,440","± 107"
"Madera city, California","1,100","± 77"
"Manteca city, California","1,718","± 125"
"Menifee city, California","1,825","± 229"
"Merced city, California","1,154","± 54"
"Milpitas city, California","2,745","± 135"
"Mission Viejo city, California","2,273","± 161"
"Modesto city, California","1,419","± 48"
"Moreno Valley city, California","1,788","± 38"
"Mountain View city, California","2,760","± 223"
"Murrieta city, California","2,144","± 91"
"Napa city, California","1,851","± 89"
"Newport Beach city, California","2,815","± 223"
"Norwalk city, California","1,694","± 121"
"Oakland city, California","1,737","± 57"
"Oceanside city, California","1,934","± 61"
"Ontario city, California","1,685","± 79"
"Orange city, California","2,038","± 152"
"Oxnard city, California","1,823","± 73"
"Palmdale city, California","1,658","± 78"
"Palo Alto city, California","3,063","± 482"
"Pasadena city, California","1,940","± 68"
"Perris city, California","1,536","± 201"
"Pittsburg city, California","1,909","± 140"
"Pleasanton city, California","2,430","± 216"
"Pomona city, California","1,598","± 71"
"Rancho Cordova city, California","1,413","± 64"
"Rancho Cucamonga city, California","2,047","± 102"
"Redding city, California","1,156","± 61"
"Redlands city, California","1,656","± 112"
"Redondo Beach city, California","2,305","± 146"
"Redwood City city, California","2,950","± 177"
"Rialto city, California","1,526","± 122"
"Richmond city, California","1,737","± 168"
"Riverside city, California","1,586","± 67"
"Rocklin city, California","2,050","± 199"
"Roseville city, California","1,809","± 69"
"Sacramento city, California","1,549","± 42"
"Salinas city, California","1,702","± 67"
"San Bernardino city, California","1,341","± 57"
"San Buenaventura (Ventura) city, California","1,911","± 108"
"San Diego city, California","1,962","± 34"
"San Francisco city, California","2,167","± 58"
"San Jose city, California","2,328","± 47"
"San Leandro city, California","1,746","± 97"
"San Marcos city, California","1,820","± 146"
"San Mateo city, California","2,475","± 185"
"San Ramon city, California","2,848","± 227"
"Santa Ana city, California","1,760","± 53"
"Santa Barbara city, California","2,167","± 160"
"Santa Clara city, California","2,600","± 118"
"Santa Clarita city, California","2,198","± 71"
"Santa Maria city, California","1,682","± 88"
"Santa Monica city, California","2,157","± 116"
"Santa Rosa city, California","1,936","± 99"
"Simi Valley city, California","2,360","± 98"
"South Gate city, California","1,269","± 69"
"Stockton city, California","1,342","± 55"
"Sunnyvale city, California","2,618","± 80"
"Temecula city, California","1,937","± 87"
"Thousand Oaks city, California","2,283","± 123"
"Torrance city, California","1,918","± 59"
"Tracy city, California","2,126","± 188"
"Tulare city, California","1,107","± 99"
"Turlock city, California","1,345","± 64"
"Tustin city, California","2,126","± 119"
"Union City city, California","2,409","± 147"
"Upland city, California","1,750","± 64"
"Vacaville city, California","2,225","± 107"
"Vallejo city, California","1,667","± 111"
"Victorville city, California","1,337","± 118"
"Visalia city, California","1,210","± 66"
"Vista city, California","1,896","± 84"
"Walnut Creek city, California","2,372","± 218"
"West Covina city, California","2,040","± 85"
"Westminster city, California","1,798","± 111"
"Whittier city, California","1,647","± 76"
"Yorba Linda city, California","1,951","± 328"
"Yuba City city, California","1,249","± 116"
"Arvada city, Colorado","1,592","± 86"
"Aurora city, Colorado","1,486","± 39"
"Boulder city, Colorado","1,892","± 67"
"Broomfield city, Colorado","1,931","± 80"
"Castle Rock town, Colorado","1,863","± 187"
"Centennial city, Colorado","1,926","± 86"
"Colorado Springs city, Colorado","1,380","± 44"
"Denver city, Colorado","1,549","± 34"
"Fort Collins city, Colorado","1,435","± 69"
"Grand Junction city, Colorado","931","± 66"
"Greeley city, Colorado","1,141","± 91"
"Highlands Ranch CDP, Colorado","2,143","± 176"
"Lakewood city, Colorado","1,488","± 59"
"Longmont city, Colorado","1,471","± 65"
"Loveland city, Colorado","1,487","± 122"
"Pueblo city, Colorado","872","± 51"
"Thornton city, Colorado","1,700","± 94"
"Westminster city, Colorado","1,641","± 61"
"Bridgeport city, Connecticut","1,209","± 53"
"Danbury city, Connecticut","1,641","± 140"
"Hartford city, Connecticut","1,107","± 37"
"New Britain city, Connecticut","1,073","± 81"
"New Haven city, Connecticut","1,273","± 53"
"Norwalk city, Connecticut","1,825","± 104"
"Stamford city, Connecticut","2,045","± 111"
"Waterbury city, Connecticut","1,040","± 63"
"Wilmington city, Delaware","1,010","± 66"
"Washington city, District of Columbia","1,668","± 36"
"Alafaya CDP, Florida","1,565","± 257"
"Boca Raton city, Florida","1,941","± 130"
"Boynton Beach city, Florida","1,604","± 102"
"Brandon CDP, Florida","1,409","± 73"
"Cape Coral city, Florida","1,482","± 74"
"Clearwater city, Florida","1,189","± 78"
"Coral Springs city, Florida","1,649","± 76"
"Davie town, Florida","1,568","± 109"
"Daytona Beach city, Florida","1,068","± 55"
"Deerfield Beach city, Florida","1,372","± 67"
"Delray Beach city, Florida","1,576","± 146"
"Deltona city, Florida","1,355","± 85"
"Doral city, Florida","2,175","± 77"
"Fort Lauderdale city, Florida","1,519","± 94"
"Fort Myers city, Florida","1,156","± 41"
"Gainesville city, Florida","1,103","± 63"
"Hialeah city, Florida","1,368","± 40"
"Hollywood city, Florida","1,325","± 71"
"Homestead city, Florida","1,401","± 91"
"Horizon West CDP, Florida","2,089","± 287"
"Jacksonville city, Florida","1,194","± 26"
"Kendall CDP, Florida","1,697","± 88"
"Kissimmee city, Florida","1,361","± 85"
"Lakeland city, Florida","1,124","± 63"
"Largo city, Florida","1,214","± 58"
"Lauderhill city, Florida","1,316","± 79"
"Lehigh Acres CDP, Florida","1,279","± 63"
"Melbourne city, Florida","1,167","± 65"
