"Geographic Area Name","Median value (2021)","MoE"
"Auburn city, Alabama","319,300","± 28,249"
"Birmingham city, Alabama","117,600","± 13,322"
"Dothan city, Alabama","169,200","± 6,924"
"Hoover city, Alabama","363,200","± 16,258"
"Huntsville city, Alabama","250,400","± 16,850"
"Mobile city, Alabama","158,200","± 8,831"
"Montgomery city, Alabama","136,800","± 6,633"
"Tuscaloosa city, Alabama","217,200","± 27,472"
"Anchorage municipality, Alaska","346,200","± 9,741"
"Avondale city, Arizona","334,900","± 12,555"
"Buckeye city, Arizona","333,300","± 17,081"
"Casas Adobes CDP, Arizona","271,900","± 16,183"
"Chandler city, Arizona","435,100","± 9,726"
"Flagstaff city, Arizona","457,500","± 33,255"
"Gilbert town, Arizona","484,600","± 10,705"
"Glendale city, Arizona","325,400","± 10,747"
"Goodyear city, Arizona","401,400","± 19,339"
"Mesa city, Arizona","350,100","± 7,471"
"Peoria city, Arizona","407,600","± 16,456"
"Phoenix city, Arizona","352,600","± 5,172"
"Queen Creek town, Arizona","516,100","± 41,288"
"San Tan Valley CDP, Arizona","347,000","± 8,823"
"Scottsdale city, Arizona","674,900","± 22,483"
"Surprise city, Arizona","354,100","± 8,339"
"Tempe city, Arizona","414,600","± 16,853"
"Tucson city, Arizona","224,800","± 4,692"
"Yuma city, Arizona","189,000","± 9,945"
"Conway city, Arkansas","230,900","± 23,026"
"Fayetteville city, Arkansas","272,300","± 16,777"
"Fort Smith city, Arkansas","146,200","± 14,708"
"Jonesboro city, Arkansas","197,600","± 22,904"
"Little Rock city, Arkansas","191,700","± 12,803"
"Rogers city, Arkansas","225,300","± 26,339"
"Springdale city, Arkansas","215,900","± 9,738"
"Alameda city, California","1,077,900","± 61,629"
"Alhambra city, California","718,100","± 33,938"
"Anaheim city, California","688,400","± 14,318"
"Antioch city, California","577,900","± 20,184"
"Apple Valley town, California","353,500","± 15,930"
"Arden-Arcade CDP, California","480,300","± 32,890"
"Bakersfield city, California","318,600","± 11,211"
"Baldwin Park city, California","536,500","± 25,754"
"Bellflower city, California","595,800","± 21,060"
"Berkeley city, California","1,270,000","± 77,196"
"Buena Park city, California","666,800","± 20,662"
"Burbank city, California","940,400","± 40,763"
"Camarillo city, California","694,200","± 28,658"
"Carlsbad city, California","1,042,900","± 43,807"
"Carmichael CDP, California","495,600","± 31,656"
"Carson city, California","595,900","± 16,020"
"Castro Valley CDP, California","1,004,800","± 46,088"
"Chico city, California","420,100","± 18,434"
"Chino city, California","589,200","± 19,691"
"Chino Hills city, California","787,400","± 28,303"
"Chula Vista city, California","655,100","± 16,474"
"Citrus Heights city, California","406,500","± 16,714"
"Clovis city, California","418,000","± 23,255"
"Compton city, California","537,700","± 20,963"
"Concord city, California","719,000","± 29,705"
"Corona city, California","620,600","± 15,626"
"Costa Mesa city, California","930,500","± 36,540"
"Daly City city, California","1,052,800","± 48,821"
"Davis city, California","752,300","± 39,290"
"Downey city, California","686,000","± 28,665"
"Dublin city, California","1,114,800","± 43,898"
"East Los Angeles CDP, California","592,100","± 26,334"
"Eastvale city, California","686,100","± 30,857"
"El Cajon city, California","591,600","± 32,619"
"Elk Grove city, California","569,900","± 14,257"
"El Monte city, California","566,600","± 23,309"
"Escondido city, California","620,200","± 23,820"
"Fairfield city, California","552,300","± 27,201"
"Folsom city, California","671,000","± 15,030"
"Fontana city, California","511,000","± 21,877"
"Fremont city, California","1,175,600","± 33,761"
"Fresno city, California","321,300","± 8,519"
"Fullerton city, California","790,900","± 39,276"
"Garden Grove city, California","663,900","± 18,674"
"Glendale city, California","995,700","± 42,102"
"Hawthorne city, California","738,000","± 57,442"
"Hayward city, California","735,000","± 33,288"
"Hemet city, California","266,700","± 28,235"
"Hesperia city, California","344,000","± 12,451"
"Huntington Beach city, California","937,200","± 22,309"
"Indio city, California","381,300","± 17,475"
"Inglewood city, California","684,500","± 33,337"
"Irvine city, California","970,500","± 41,001"
"Jurupa Valley city, California","447,500","± 19,045"
"Lake Elsinore city, California","473,600","± 19,991"
"Lake Forest city, California","804,400","± 32,208"
"Lakewood city, California","704,700","± 23,654"
"Lancaster city, California","377,200","± 12,501"
"Livermore city, California","942,300","± 32,894"
"Lodi city, California","427,900","± 17,742"
"Long Beach city, California","693,600","± 16,037"
"Los Angeles city, California","812,800","± 9,662"
"Lynwood city, California","543,800","± 35,415"
"Madera city, California","290,700","± 24,719"
"Manteca city, California","505,500","± 31,585"
"Menifee city, California","442,700","± 20,659"
"Merced city, California","325,000","± 13,831"
"Milpitas city, California","1,146,600","± 48,710"
"Mission Viejo city, California","859,500","± 17,182"
"Modesto city, California","389,500","± 14,701"
"Moreno Valley city, California","422,500","± 8,152"
"Mountain View city, California","1,636,100","± 154,617"
"Murrieta city, California","573,700","± 21,921"
"Napa city, California","718,700","± 31,845"
"Norwalk city, California","585,200","± 12,719"
"Oakland city, California","848,600","± 26,076"
"Oceanside city, California","631,300","± 21,718"
"Ontario city, California","545,200","± 17,215"
"Orange city, California","827,200","± 17,024"
"Oxnard city, California","569,700","± 21,196"
"Palmdale city, California","399,000","± 14,959"
"Pasadena city, California","905,900","± 33,049"
"Perris city, California","415,400","± 21,708"
"Pittsburg city, California","563,700","± 27,208"
"Pleasanton city, California","1,230,600","± 63,579"
"Pomona city, California","525,300","± 26,337"
"Rancho Cordova city, California","438,800","± 16,302"
"Rancho Cucamonga city, California","632,700","± 21,880"
"Redding city, California","346,900","± 12,421"
"Redlands city, California","542,500","± 35,568"
"Redondo Beach city, California","1,110,800","± 59,263"
"Redwood City city, California","1,567,400","± 88,330"
