"Geographic Area Name","Population","MoE"
"Auburn city, Alabama","78,552","± 41"
"Birmingham city, Alabama","196,410","± 428"
"Dothan city, Alabama","71,283","± 967"
"Hoover city, Alabama","92,588","± 36"
"Huntsville city, Alabama","215,482","± 1,705"
"Mobile city, Alabama","184,960","± 43"
"Montgomery city, Alabama","198,659","± 36"
"Tuscaloosa city, Alabama","100,606","± 45"
"Anchorage municipality, Alaska","288,121","*****"
"Avondale city, Arizona","90,562","± 41"
"Buckeye city, Arizona","101,314","± 27"
"Casas Adobes CDP, Arizona","73,450","± 5,386"
"Chandler city, Arizona","279,445","± 66"
"Flagstaff city, Arizona","76,984","± 28"
"Gilbert town, Arizona","273,138","± 51"
"Glendale city, Arizona","249,627","± 56"
"Goodyear city, Arizona","101,744","± 50"
"Mesa city, Arizona","509,492","± 71"
"Peoria city, Arizona","194,910","± 51"
"Phoenix city, Arizona","1,624,539","± 144"
"Queen Creek town, Arizona","69,311","± 4,398"
"San Tan Valley CDP, Arizona","103,399","± 9,531"
"Scottsdale city, Arizona","242,754","± 38"
"Surprise city, Arizona","149,191","± 33"
"Tempe city, Arizona","184,109","± 40"
"Tucson city, Arizona","543,215","± 103"
"Yuma city, Arizona","97,097","± 28"
"Conway city, Arkansas","65,126","± 27"
"Fayetteville city, Arkansas","95,231","± 28"
"Fort Smith city, Arkansas","89,574","± 22"
"Jonesboro city, Arkansas","79,330","± 26"
"Little Rock city, Arkansas","201,984","± 56"
"Rogers city, Arkansas","71,114","± 29"
"Springdale city, Arkansas","87,255","± 2,676"
"Alameda city, California","76,352","± 46"
"Alhambra city, California","81,219","± 42"
"Anaheim city, California","345,935","± 61"
"Antioch city, California","114,801","± 53"
"Apple Valley town, California","76,217","± 34"
"Arden-Arcade CDP, California","100,613","± 8,620"
"Bakersfield city, California","407,581","± 120"
"Baldwin Park city, California","70,634","± 42"
"Bellflower city, California","77,407","± 32"
"Berkeley city, California","117,147","± 29"
"Buena Park city, California","83,017","± 38"
"Burbank city, California","105,407","± 30"
"Camarillo city, California","70,838","± 78"
"Carlsbad city, California","115,291","± 52"
"Carmichael CDP, California","81,039","± 7,219"
"Carson city, California","93,526","± 45"
"Castro Valley CDP, California","66,408","± 6,155"
"Chico city, California","102,340","± 26"
"Chino city, California","92,988","± 58"
"Chino Hills city, California","78,675","± 46"
"Chula Vista city, California","277,211","± 64"
"Citrus Heights city, California","87,411","± 45"
"Clovis city, California","122,985","± 49"
"Compton city, California","93,584","± 47"
"Concord city, California","124,091","± 66"
"Corona city, California","159,749","± 50"
"Costa Mesa city, California","110,750","± 36"
"Daly City city, California","101,221","± 68"
"Davis city, California","66,798","± 24"
"Downey city, California","111,637","± 40"
"Dublin city, California","71,680","± 35"
"East Los Angeles CDP, California","115,803","± 9,115"
"Eastvale city, California","71,374","± 28"
"El Cajon city, California","105,431","± 34"
"Elk Grove city, California","178,988","± 54"
"El Monte city, California","106,913","± 38"
"Escondido city, California","150,656","± 47"
"Fairfield city, California","119,710","± 41"
"Folsom city, California","81,212","± 53"
"Fontana city, California","210,786","± 99"
"Fremont city, California","227,523","± 52"
"Fresno city, California","544,500","± 80"
"Fullerton city, California","141,875","± 32"
