"Geographic Area Name","Population","MoE"
"Temecula city, California","112,438","± 39"
"Thousand Oaks city, California","124,243","± 62"
"Torrance city, California","139,568","± 39"
"Tracy city, California","100,136","± 36"
"Tulare city, California","72,604","± 30"
"Turlock city, California","72,879","± 41"
"Tustin city, California","78,864","± 29"
"Union City city, California","66,206","± 44"
"Upland city, California","79,685","± 29"
"Vacaville city, California","103,992","± 32"
"Vallejo city, California","123,481","± 39"
"Victorville city, California","140,706","± 66"
"Visalia city, California","146,263","± 44"
"Vista city, California","99,330","± 38"
"Walnut Creek city, California","70,800","± 66"
"West Covina city, California","106,923","± 41"
"Westminster city, California","89,547","± 50"
"Whittier city, California","85,594","± 34"
"Yorba Linda city, California","66,487","± 31"
"Yuba City city, California","69,150","± 22"
"Arvada city, Colorado","122,529","± 1,513"
"Aurora city, Colorado","402,452","± 919"
"Boulder city, Colorado","106,802","± 29"
"Broomfield city, Colorado","78,323","*****"
"Castle Rock town, Colorado","83,198","± 57"
"Centennial city, Colorado","108,860","± 45"
"Colorado Springs city, Colorado","493,540","± 57"
"Commerce City city, Colorado","70,255","± 41"
"Denver city, Colorado","729,019","*****"
"Fort Collins city, Colorado","170,927","± 37"
"Grand Junction city, Colorado","70,556","± 28"
"Greeley city, Colorado","114,366","± 31"
"Highlands Ranch CDP, Colorado","99,056","± 4,920"
"Lakewood city, Colorado","156,865","± 38"
"Longmont city, Colorado","100,764","± 1,604"
"Loveland city, Colorado","81,103","± 27"
"Parker town, Colorado","65,457","± 63"
"Pueblo city, Colorado","111,156","± 38"
"Thornton city, Colorado","146,689","± 36"
"Westminster city, Colorado","115,301","± 36"
"Bridgeport city, Connecticut","151,616","± 53"
"Danbury city, Connecticut","88,683","± 39"
"Hartford city, Connecticut","122,136","± 42"
"New Britain city, Connecticut","75,861","± 43"
"New Haven city, Connecticut","137,556","± 39"
"Norwalk city, Connecticut","93,666","± 30"
"Stamford city, Connecticut","139,112","± 76"
"Waterbury city, Connecticut","115,902","± 32"
"Wilmington city, Delaware","73,173","± 25"
"Washington city, District of Columbia","702,250","*****"
"Alafaya CDP, Florida","98,873","± 10,899"
"Boca Raton city, Florida","102,235","± 33"
"Boynton Beach city, Florida","83,095","± 32"
"Brandon CDP, Florida","127,048","± 12,947"
"Cape Coral city, Florida","233,025","± 31"
"Clearwater city, Florida","116,821","± 42"
"Coral Springs city, Florida","140,816","± 40"
"Davie town, Florida","112,040","± 51"
"Daytona Beach city, Florida","86,007","± 40"
"Deerfield Beach city, Florida","90,487","± 68"
"Delray Beach city, Florida","70,133","± 35"
"Deltona city, Florida","100,515","± 26"
"Doral city, Florida","83,620","± 37"
"Fort Lauderdale city, Florida","190,640","± 41"
"Fort Myers city, Florida","99,929","± 51"
"Four Corners CDP, Florida","85,069","± 10,998"
"Gainesville city, Florida","148,716","± 27"
"Hialeah city, Florida","235,384","± 43"
"Hollywood city, Florida","159,072","± 29"
"Homestead city, Florida","85,806","± 48"
"Horizon West CDP, Florida","69,149","± 10,482"
"Jacksonville city, Florida","1,009,831","± 22"
"Kendall CDP, Florida","82,704","± 7,871"
"Kissimmee city, Florida","84,767","± 43"
"Lakeland city, Florida","124,997","± 39"
"Largo city, Florida","82,343","± 36"
"Lauderhill city, Florida","76,623","± 34"
"Lehigh Acres CDP, Florida","151,444","± 11,220"
"Melbourne city, Florida","87,572","± 50"
"Miami city, Florida","487,006","± 67"
"Miami Beach city, Florida","83,264","± 44"
"Miami Gardens city, Florida","116,155","± 64"
"Miramar city, Florida","143,244","± 41"
"North Port city, Florida","92,866","± 35"
"Ocala city, Florida","70,245","± 31"
"Orlando city, Florida","334,871","± 86"
"Palm Bay city, Florida","142,035","± 50"
"Palm Coast city, Florida","106,726","± 19"
"Pembroke Pines city, Florida","179,331","± 40"
"Pine Hills CDP, Florida","76,047","± 9,856"
"Plantation city, Florida","100,690","± 32"
"Poinciana CDP, Florida","81,260","± 10,427"
"Pompano Beach city, Florida","118,110","± 36"
"Port Charlotte CDP, Florida","68,091","± 6,140"
"Port Orange city, Florida","66,559","± 26"
"Port St. Lucie city, Florida","258,578","± 33"
"Riverview CDP, Florida","115,462","± 14,977"
"St. Cloud city, Florida","71,018","± 67"
"St. Petersburg city, Florida","267,073","± 105"
"Sanford city, Florida","66,920","± 30"
"Spring Hill CDP, Florida","117,931","± 7,874"
"Sunrise city, Florida","100,131","± 35"
"Tallahassee city, Florida","205,091","± 36"
"Tamarac city, Florida","75,150","± 30"
"Tampa city, Florida","414,575","± 160"
"The Villages CDP, Florida","81,782","± 4,468"
"Town 'n' Country CDP, Florida","86,253","± 10,406"
"Wesley Chapel CDP, Florida","83,673","± 9,303"
"Weston city, Florida","70,672","± 28"
"West Palm Beach city, Florida","127,733","± 49"
"Albany city, Georgia","67,418","± 2,581"
"Alpharetta city, Georgia","67,264","± 49"
"Athens-Clarke County unified government (balance), Georgia","128,630","± 689"
"Atlanta city, Georgia","520,066","± 55"
"Augusta-Richmond County consolidated government (balance), Georgia","201,930","± 2,147"
"Columbus city, Georgia","201,830","*****"
"Johns Creek city, Georgia","81,176","± 44"
"Mableton city, Georgia","78,314","± 30"
"Macon-Bibb County, Georgia","157,056","*****"
"Roswell city, Georgia","92,229","± 30"
"Sandy Springs city, Georgia","105,506","± 27"
