"Geographic Area Name","Median household income","MoE"
"Richmond city, Virginia","51,770","± 3,863"
"Roanoke city, Virginia","47,202","± 4,951"
"Suffolk city, Virginia","79,556","± 6,487"
"Virginia Beach city, Virginia","81,634","± 2,197"
"Auburn city, Washington","79,368","± 9,223"
"Bellevue city, Washington","144,274","± 11,274"
"Bellingham city, Washington","58,597","± 9,440"
"Everett city, Washington","70,023","± 10,092"
"Federal Way city, Washington","78,734","± 8,040"
"Kennewick city, Washington","56,041","± 6,715"
"Kent city, Washington","81,373","± 4,811"
"Kirkland city, Washington","130,397","± 12,330"
"Marysville city, Washington","92,347","± 6,201"
"Pasco city, Washington","82,561","± 5,038"
"Redmond city, Washington","155,426","± 15,668"
"Renton city, Washington","83,699","± 4,204"
"Sammamish city, Washington","201,370","± 11,172"
"Seattle city, Washington","110,781","± 4,229"
"South Hill CDP, Washington","97,622","± 9,771"
"Spokane city, Washington","58,714","± 3,514"
"Spokane Valley city, Washington","58,904","± 3,355"
"Tacoma city, Washington","77,141","± 5,025"
"Vancouver city, Washington","69,993","± 5,855"
"Yakima city, Washington","52,689","± 6,466"
"Appleton city, Wisconsin","66,449","± 3,605"
"Eau Claire city, Wisconsin","57,732","± 3,938"
"Green Bay city, Wisconsin","51,908","± 3,054"
"Janesville city, Wisconsin","63,435","± 3,519"
"Kenosha city, Wisconsin","67,223","± 5,205"
"Madison city, Wisconsin","67,270","± 3,916"
"Milwaukee city, Wisconsin","46,637","± 1,615"
"Oshkosh city, Wisconsin","55,446","± 4,654"
"Racine city, Wisconsin","47,861","± 4,928"
"Waukesha city, Wisconsin","69,533","± 5,028"
"Cheyenne city, Wyoming","60,893","± 5,010"
"Bayamón zona urbana, Puerto Rico","26,540","± 1,933"
"Caguas zona urbana, Puerto Rico","22,125","± 2,953"
"Carolina zona urbana, Puerto Rico","31,597","± 1,860"
"Guaynabo zona urbana, Puerto Rico","53,479","± 7,302"
"Ponce zona urbana, Puerto Rico","17,207","± 2,593"
"San Juan zona urbana, Puerto Rico","22,556","± 1,947"
