"Geographic Area Name","Median household income","MoE"
"Torrance city, California","113,095","± 14,106"
"Tracy city, California","120,776","± 7,292"
"Tulare city, California","79,192","± 8,798"
"Turlock city, California","75,835","± 6,274"
"Tustin city, California","117,342","± 13,647"
"Union City city, California","121,605","± 15,996"
"Upland city, California","105,366","± 11,690"
"Vacaville city, California","112,497","± 24,504"
"Vallejo city, California","80,115","± 9,084"
"Victorville city, California","80,407","± 10,832"
"Visalia city, California","84,781","± 9,176"
"Vista city, California","105,671","± 9,954"
"Walnut Creek city, California","125,221","± 12,919"
"West Covina city, California","101,296","± 9,862"
"Westminster city, California","81,403","± 7,117"
"Whittier city, California","104,425","± 12,253"
"Yorba Linda city, California","151,768","± 15,739"
"Yuba City city, California","80,072","± 15,951"
"Arvada city, Colorado","124,317","± 9,853"
"Aurora city, Colorado","93,837","± 4,638"
"Boulder city, Colorado","85,761","± 9,121"
"Broomfield city, Colorado","125,055","± 8,817"
"Castle Rock town, Colorado","139,427","± 15,242"
"Centennial city, Colorado","135,629","± 9,793"
"Colorado Springs city, Colorado","83,672","± 4,530"
"Commerce City city, Colorado","124,406","± 14,449"
"Denver city, Colorado","92,504","± 3,897"
"Fort Collins city, Colorado","81,199","± 5,120"
"Grand Junction city, Colorado","78,788","± 9,098"
"Greeley city, Colorado","76,462","± 10,596"
"Highlands Ranch CDP, Colorado","152,987","± 8,606"
"Lakewood city, Colorado","90,852","± 6,342"
"Longmont city, Colorado","91,696","± 7,978"
"Loveland city, Colorado","92,376","± 10,209"
"Parker town, Colorado","130,936","± 10,803"
"Pueblo city, Colorado","55,194","± 5,967"
"Thornton city, Colorado","101,096","± 6,198"
"Westminster city, Colorado","108,877","± 6,656"
"Bridgeport city, Connecticut","57,394","± 4,750"
"Danbury city, Connecticut","80,243","± 6,615"
"Hartford city, Connecticut","50,418","± 4,925"
"New Britain city, Connecticut","62,152","± 10,410"
"New Haven city, Connecticut","59,705","± 6,882"
"Norwalk city, Connecticut","108,460","± 15,460"
"Stamford city, Connecticut","117,627","± 13,532"
"Waterbury city, Connecticut","47,881","± 7,021"
"Wilmington city, Delaware","65,389","± 9,540"
"Washington city, District of Columbia","109,707","± 4,149"
"Alafaya CDP, Florida","94,438","± 8,938"
"Boca Raton city, Florida","121,629","± 20,591"
"Boynton Beach city, Florida","67,197","± 6,195"
"Brandon CDP, Florida","80,980","± 10,572"
"Cape Coral city, Florida","85,584","± 7,375"
"Clearwater city, Florida","66,357","± 4,983"
"Coral Springs city, Florida","98,926","± 8,742"
"Davie town, Florida","86,560","± 14,779"
"Daytona Beach city, Florida","57,583","± 8,989"
"Deerfield Beach city, Florida","66,028","± 8,967"
"Delray Beach city, Florida","78,643","± 7,336"
"Deltona city, Florida","76,446","± 7,303"
"Doral city, Florida","101,495","± 7,147"
"Fort Lauderdale city, Florida","90,734","± 8,737"
"Fort Myers city, Florida","70,480","± 7,003"
"Four Corners CDP, Florida","74,764","± 12,976"
"Gainesville city, Florida","46,165","± 3,615"
"Hialeah city, Florida","57,151","± 5,574"
"Hollywood city, Florida","71,067","± 4,744"
"Homestead city, Florida","61,452","± 6,524"
"Horizon West CDP, Florida","112,110","± 11,880"
"Jacksonville city, Florida","72,389","± 2,436"
"Kendall CDP, Florida","90,934","± 12,331"
"Kissimmee city, Florida","65,503","± 12,434"
"Lakeland city, Florida","63,859","± 4,370"
"Largo city, Florida","58,486","± 3,965"
"Lauderhill city, Florida","58,494","± 6,803"
"Lehigh Acres CDP, Florida","70,800","± 6,228"
"Melbourne city, Florida","66,356","± 6,603"
"Miami city, Florida","66,337","± 3,795"
"Miami Beach city, Florida","91,178","± 9,466"
"Miami Gardens city, Florida","63,908","± 6,547"
"Miramar city, Florida","88,280","± 6,579"
"North Port city, Florida","77,318","± 10,738"
"Ocala city, Florida","61,814","± 7,600"
"Orlando city, Florida","77,597","± 5,979"
"Palm Bay city, Florida","77,638","± 3,864"
"Palm Coast city, Florida","82,083","± 11,253"
"Pembroke Pines city, Florida","87,537","± 8,914"
"Pine Hills CDP, Florida","57,278","± 10,162"
"Plantation city, Florida","101,843","± 3,694"
"Poinciana CDP, Florida","73,556","± 10,724"
"Pompano Beach city, Florida","72,224","± 4,231"
"Port Charlotte CDP, Florida","70,410","± 5,506"
"Port Orange city, Florida","78,235","± 10,984"
"Port St. Lucie city, Florida","86,241","± 6,562"
"Riverview CDP, Florida","95,074","± 13,828"
"St. Cloud city, Florida","95,990","± 12,645"
"St. Petersburg city, Florida","73,048","± 4,441"
"Sanford city, Florida","69,987","± 7,926"
"Spring Hill CDP, Florida","71,269","± 6,182"
"Sunrise city, Florida","83,926","± 7,384"
"Tallahassee city, Florida","56,511","± 5,841"
"Tamarac city, Florida","64,044","± 12,645"
"Tampa city, Florida","84,114","± 6,239"
"The Villages CDP, Florida","74,494","± 11,400"
"Town 'n' Country CDP, Florida","75,474","± 6,334"
"Wesley Chapel CDP, Florida","101,757","± 8,282"
"Weston city, Florida","126,894","± 27,367"
"West Palm Beach city, Florida","74,478","± 8,989"
"Albany city, Georgia","47,676","± 7,861"
"Alpharetta city, Georgia","173,310","± 16,120"
"Athens-Clarke County unified government (balance), Georgia","52,264","± 5,502"
"Atlanta city, Georgia","88,165","± 4,451"
"Augusta-Richmond County consolidated government (balance), Georgia","58,803","± 3,191"
"Columbus city, Georgia","57,010","± 5,066"
"Johns Creek city, Georgia","157,146","± 11,926"
"Mableton city, Georgia","81,093","± 7,625"
"Macon-Bibb County, Georgia","47,018","± 5,524"
"Roswell city, Georgia","126,528","± 20,777"
"Sandy Springs city, Georgia","107,461","± 12,593"
"Savannah city, Georgia","55,907","± 3,032"
"South Fulton city, Georgia","84,745","± 9,762"
"Warner Robins city, Georgia","69,011","± 15,181"
"Urban Honolulu CDP, Hawaii","86,169","± 4,741"
"Boise City city, Idaho","81,102","± 4,347"
"Caldwell city, Idaho","78,835","± 11,892"
"Idaho Falls city, Idaho","79,317","± 12,602"
"Meridian city, Idaho","95,088","± 8,419"
"Nampa city, Idaho","82,044","± 5,871"
"Arlington Heights village, Illinois","108,505","± 10,499"
"Aurora city, Illinois","94,784","± 8,416"
"Bloomington city, Illinois","78,106","± 7,113"
"Bolingbrook village, Illinois","97,205","± 17,207"
"Champaign city, Illinois","58,903","± 8,866"
"Chicago city, Illinois","80,613","± 1,364"
"Cicero town, Illinois","65,523","± 8,268"
"Decatur city, Illinois","49,244","± 6,161"
"Elgin city, Illinois","101,861","± 9,518"
"Evanston city, Illinois","93,016","± 11,798"
"Joliet city, Illinois","103,163","± 8,089"
"Naperville city, Illinois","150,360","± 11,543"
"Palatine village, Illinois","92,845","± 12,633"
"Peoria city, Illinois","65,078","± 3,309"
"Rockford city, Illinois","52,564","± 5,610"
"Schaumburg village, Illinois","104,062","± 10,006"
"Skokie village, Illinois","92,216","± 16,033"
"Springfield city, Illinois","72,889","± 3,477"
"Waukegan city, Illinois","66,302","± 7,273"
"Bloomington city, Indiana","50,545","± 5,452"
"Carmel city, Indiana","145,366","± 14,254"
"Evansville city, Indiana","52,094","± 4,954"
"Fishers city, Indiana","132,204","± 16,889"
"Fort Wayne city, Indiana","61,436","± 3,743"
"Gary city, Indiana","40,752","± 5,015"
"Greenwood city, Indiana","83,005","± 11,340"
"Hammond city, Indiana","58,647","± 7,015"
"Indianapolis city (balance), Indiana","66,900","± 2,061"
"Lafayette city, Indiana","57,003","± 8,756"
"Muncie city, Indiana","41,417","± 5,972"
"Noblesville city, Indiana","116,235","± 18,103"
"South Bend city, Indiana","53,006","± 5,005"
"Ames city, Iowa","58,709","± 6,965"
"Ankeny city, Iowa","102,518","± 10,885"
"Cedar Rapids city, Iowa","69,917","± 3,379"
"Davenport city, Iowa","64,686","± 6,503"
"Des Moines city, Iowa","67,297","± 3,184"
"Iowa City city, Iowa","60,650","± 6,727"
"Sioux City city, Iowa","74,972","± 8,560"
"Waterloo city, Iowa","61,737","± 4,418"
"West Des Moines city, Iowa","83,355","± 7,216"
"Kansas City city, Kansas","63,917","± 5,120"
"Lawrence city, Kansas","67,129","± 5,608"
"Olathe city, Kansas","113,624","± 5,582"
"Overland Park city, Kansas","101,372","± 4,554"
"Shawnee city, Kansas","106,642","± 8,049"
"Topeka city, Kansas","61,030","± 3,401"
"Wichita city, Kansas","65,855","± 2,422"
"Bowling Green city, Kentucky","53,609","± 8,025"
"Lexington-Fayette urban county, Kentucky","69,989","± 4,320"
"Louisville/Jefferson County metro government (balance), Kentucky","67,251","± 3,208"
"Baton Rouge city, Louisiana","50,332","± 7,466"
"Kenner city, Louisiana","60,026","± 12,013"
"Lafayette city, Louisiana","59,445","± 4,827"
"Lake Charles city, Louisiana","52,738","± 5,619"
"Metairie CDP, Louisiana","70,235","± 6,162"
"New Orleans city, Louisiana","58,821","± 2,885"
"Shreveport city, Louisiana","50,291","± 4,759"
"Portland city, Maine","82,059","± 6,425"
"Baltimore city, Maryland","64,778","± 3,447"
"Bethesda CDP, Maryland","187,236","± 20,400"
"Columbia CDP, Maryland","136,002","± 9,487"
"Ellicott City CDP, Maryland","148,389","± 22,635"
"Frederick city, Maryland","106,197","± 12,446"
"Gaithersburg city, Maryland","119,888","± 11,906"
"Germantown CDP, Maryland","122,406","± 15,037"
"Glen Burnie CDP, Maryland","86,745","± 10,059"
"Rockville city, Maryland","142,536","± 8,828"
"Silver Spring CDP, Maryland","115,126","± 6,806"
"Waldorf CDP, Maryland","114,856","± 14,654"
"Boston city, Massachusetts","97,791","± 5,438"
"Brockton city, Massachusetts","75,210","± 9,499"
"Cambridge city, Massachusetts","143,108","± 12,718"
"Fall River city, Massachusetts","50,778","± 5,839"
"Framingham city, Massachusetts","110,159","± 11,947"
"Haverhill city, Massachusetts","84,893","± 15,929"
"Lawrence city, Massachusetts","62,061","± 6,897"
"Lowell city, Massachusetts","82,956","± 8,830"
"Lynn city, Massachusetts","73,340","± 12,341"
"Malden city, Massachusetts","113,563","± 7,668"
"New Bedford city, Massachusetts","57,240","± 7,276"
"Newton city, Massachusetts","179,843","± 21,233"
"Quincy city, Massachusetts","101,775","± 5,294"
"Somerville city, Massachusetts","142,553","± 11,734"
"Springfield city, Massachusetts","57,384","± 3,786"
"Waltham city, Massachusetts","104,594","± 32,010"
"Worcester city, Massachusetts","71,042","± 4,217"
"Ann Arbor city, Michigan","80,603","± 11,139"
"Dearborn city, Michigan","59,786","± 6,630"
"Detroit city, Michigan","39,209","± 2,683"
"Farmington Hills city, Michigan","104,761","± 14,174"
"Flint city, Michigan","41,410","± 5,782"
"Grand Rapids city, Michigan","70,515","± 3,596"
"Kalamazoo city, Michigan","59,226","± 4,198"
"Lansing city, Michigan","55,366","± 5,537"
"Livonia city, Michigan","98,834","± 6,184"
"Novi city, Michigan","109,321","± 16,759"
"Rochester Hills city, Michigan","127,505","± 10,789"
"Southfield city, Michigan","66,815","± 6,707"
"Sterling Heights city, Michigan","81,102","± 6,191"
"Troy city, Michigan","118,720","± 11,930"
"Warren city, Michigan","56,281","± 3,002"
"Westland city, Michigan","61,390","± 3,214"
"Wyoming city, Michigan","64,645","± 5,848"
"Blaine city, Minnesota","98,068","± 12,731"
"Bloomington city, Minnesota","86,097","± 7,312"
"Brooklyn Park city, Minnesota","92,493","± 9,834"
"Duluth city, Minnesota","69,255","± 4,239"
"Eagan city, Minnesota","110,352","± 10,785"
"Lakeville city, Minnesota","130,795","± 12,124"
"Maple Grove city, Minnesota","119,749","± 16,885"
"Minneapolis city, Minnesota","77,732","± 4,594"
"Plymouth city, Minnesota","127,649","± 7,751"
"Rochester city, Minnesota","90,020","± 5,275"
"St. Cloud city, Minnesota","66,580","± 3,069"
"St. Paul city, Minnesota","70,182","± 4,487"
"Woodbury city, Minnesota","111,734","± 11,213"
"Gulfport city, Mississippi","52,946","± 4,318"
"Jackson city, Mississippi","44,516","± 3,892"
"Columbia city, Missouri","80,543","± 9,233"
"Independence city, Missouri","58,535","± 5,400"
"Kansas City city, Missouri","69,958","± 3,137"
"Lee's Summit city, Missouri","102,857","± 9,812"
"O'Fallon city, Missouri","113,996","± 12,595"
"St. Charles city, Missouri","78,391","± 7,413"
"St. Joseph city, Missouri","57,010","± 9,776"
"St. Louis city, Missouri","53,374","± 4,332"
"Springfield city, Missouri","54,414","± 4,020"
"Billings city, Montana","69,112","± 4,530"
"Missoula city, Montana","69,832","± 5,507"
"Lincoln city, Nebraska","72,008","± 4,231"
"Omaha city, Nebraska","71,640","± 2,145"
"Enterprise CDP, Nevada","111,128","± 5,564"
"Henderson city, Nevada","95,415","± 7,211"
"Las Vegas city, Nevada","78,556","± 3,539"
"North Las Vegas city, Nevada","78,969","± 5,151"
"Paradise CDP, Nevada","56,747","± 5,500"
"Reno city, Nevada","85,605","± 4,676"
"Sparks city, Nevada","91,545","± 6,485"
"Spring Valley CDP, Nevada","76,393","± 5,847"
"Sunrise Manor CDP, Nevada","63,515","± 4,504"
"Manchester city, New Hampshire","88,821","± 7,706"
"Nashua city, New Hampshire","94,787","± 10,055"
"Bayonne city, New Jersey","87,918","± 13,504"
"Camden city, New Jersey","38,735","± 3,084"
"Clifton city, New Jersey","86,591","± 7,627"
"East Orange city, New Jersey","65,313","± 12,372"
"Elizabeth city, New Jersey","62,114","± 6,242"
"Jersey City city, New Jersey","100,751","± 5,094"
"Lakewood CDP, New Jersey","63,997","± 18,432"
"Newark city, New Jersey","58,490","± 3,777"
"Passaic city, New Jersey","56,325","± 7,037"
"Paterson city, New Jersey","60,703","± 6,258"
"Toms River CDP, New Jersey","98,384","± 10,858"
"Trenton city, New Jersey","55,393","± 8,293"
"Union City city, New Jersey","64,430","± 11,613"
"Albuquerque city, New Mexico","71,494","± 2,759"
"Las Cruces city, New Mexico","58,871","± 4,949"
"Rio Rancho city, New Mexico","98,374","± 7,099"
"Santa Fe city, New Mexico","82,121","± 8,500"
"Albany city, New York","65,231","± 6,284"
"Buffalo city, New York","52,211","± 3,012"
"Cheektowaga CDP, New York","66,230","± 4,364"
"Mount Vernon city, New York","82,126","± 11,777"
"New Rochelle city, New York","105,762","± 12,515"
"New York city, New York","81,228","± 908"
"Rochester city, New York","46,882","± 4,321"
"Schenectady city, New York","58,429","± 7,305"
"Syracuse city, New York","51,770","± 3,460"
"Yonkers city, New York","81,868","± 7,094"
"Apex town, North Carolina","146,836","± 20,263"
"Asheville city, North Carolina","78,996","± 7,066"
"Cary town, North Carolina","135,132","± 9,249"
"Charlotte city, North Carolina","86,416","± 2,366"
"Concord city, North Carolina","86,964","± 9,866"
"Durham city, North Carolina","82,916","± 4,710"
"Fayetteville city, North Carolina","54,562","± 2,955"
"Gastonia city, North Carolina","67,005","± 4,736"
"Greensboro city, North Carolina","63,516","± 3,723"
"Greenville city, North Carolina","52,016","± 8,417"
"High Point city, North Carolina","62,483","± 3,974"
"Huntersville town, North Carolina","116,438","± 12,300"
"Jacksonville city, North Carolina","60,517","± 6,400"
"Raleigh city, North Carolina","85,060","± 7,119"
"Wilmington city, North Carolina","63,165","± 4,096"
"Winston-Salem city, North Carolina","57,758","± 3,256"
"Bismarck city, North Dakota","73,877","± 8,609"
"Fargo city, North Dakota","65,479","± 8,564"
"Akron city, Ohio","48,521","± 4,373"
"Canton city, Ohio","46,320","± 6,544"
"Cincinnati city, Ohio","56,910","± 4,437"
"Cleveland city, Ohio","43,383","± 3,068"
"Columbus city, Ohio","67,084","± 2,199"
"Dayton city, Ohio","45,846","± 5,178"
"Lorain city, Ohio","52,749","± 7,578"
"Parma city, Ohio","73,861","± 4,001"
"Toledo city, Ohio","50,562","± 2,389"
"Broken Arrow city, Oklahoma","91,077","± 4,994"
"Edmond city, Oklahoma","105,339","± 11,100"
"Lawton city, Oklahoma","55,506","± 2,734"
"Norman city, Oklahoma","73,618","± 5,898"
"Oklahoma City city, Oklahoma","70,040","± 2,362"
"Tulsa city, Oklahoma","60,930","± 1,544"
"Beaverton city, Oregon","99,592","± 8,458"
"Bend city, Oregon","104,031","± 6,782"
"Eugene city, Oregon","70,781","± 6,008"
"Gresham city, Oregon","76,952","± 12,331"
"Hillsboro city, Oregon","103,064","± 7,569"
"Medford city, Oregon","72,324","± 8,135"
"Portland city, Oregon","91,478","± 1,981"
"Salem city, Oregon","79,638","± 5,341"
"Allentown city, Pennsylvania","47,463","± 5,846"
"Bethlehem city, Pennsylvania","75,194","± 9,546"
"Erie city, Pennsylvania","47,733","± 3,524"
"Philadelphia city, Pennsylvania","60,521","± 1,851"
"Pittsburgh city, Pennsylvania","66,954","± 3,968"
"Reading city, Pennsylvania","40,081","± 6,611"
"Scranton city, Pennsylvania","48,762","± 7,963"
"Cranston city, Rhode Island","87,189","± 12,698"
"Pawtucket city, Rhode Island","64,338","± 7,403"
"Providence city, Rhode Island","61,797","± 4,945"
"Warwick city, Rhode Island","91,424","± 14,721"
"Charleston city, South Carolina","98,085","± 6,046"
"Columbia city, South Carolina","55,233","± 5,024"
"Greenville city, South Carolina","81,573","± 4,719"
"Mount Pleasant town, South Carolina","140,075","± 10,865"
"North Charleston city, South Carolina","61,445","± 6,789"
"Rock Hill city, South Carolina","71,309","± 6,643"
"Rapid City city, South Dakota","75,467","± 6,957"
"Sioux Falls city, South Dakota","77,208","± 6,619"
"Chattanooga city, Tennessee","66,060","± 4,405"
"Clarksville city, Tennessee","73,465","± 5,461"
"Franklin city, Tennessee","122,014","± 15,656"
"Jackson city, Tennessee","58,050","± 9,588"
"Johnson City city, Tennessee","60,606","± 7,077"
"Knoxville city, Tennessee","57,298","± 3,023"
"Memphis city, Tennessee","52,679","± 2,423"
"Murfreesboro city, Tennessee","84,457","± 6,545"
"Nashville-Davidson metropolitan government (balance), Tennessee","80,090","± 2,958"
"Abilene city, Texas","60,605","± 3,344"
"Allen city, Texas","126,370","± 9,890"
"Amarillo city, Texas","67,187","± 3,754"
"Arlington city, Texas","74,388","± 3,247"
"Atascocita CDP, Texas","123,746","± 13,649"
"Austin city, Texas","90,430","± 2,569"
"Baytown city, Texas","63,006","± 11,719"
"Beaumont city, Texas","54,065","± 8,352"
"Brownsville city, Texas","59,491","± 4,185"
"Bryan city, Texas","62,131","± 4,446"
"Carrollton city, Texas","102,231","± 10,838"
"Cedar Park city, Texas","125,206","± 19,318"
"College Station city, Texas","50,523","± 6,464"
"Conroe city, Texas","80,411","± 7,684"
"Corpus Christi city, Texas","66,967","± 3,490"
"Dallas city, Texas","74,323","± 2,841"
"Denton city, Texas","80,908","± 6,071"
"Edinburg city, Texas","59,851","± 7,069"
"El Paso city, Texas","59,932","± 2,820"
"Flower Mound town, Texas","166,624","± 13,365"
"Fort Worth city, Texas","82,503","± 2,414"
"Frisco city, Texas","145,444","± 8,645"
"Garland city, Texas","75,797","± 3,995"
"Georgetown city, Texas","92,821","± 9,956"
"Grand Prairie city, Texas","82,195","± 4,622"
"Harlingen city, Texas","41,756","± 4,316"
"Houston city, Texas","64,361","± 1,735"
"Irving city, Texas","84,849","± 4,931"
"Killeen city, Texas","60,141","± 4,109"
"Kyle city, Texas","86,002","± 6,553"
"Laredo city, Texas","61,519","± 5,680"
"League City city, Texas","124,084","± 13,794"
"Leander city, Texas","141,023","± 13,019"
"Lewisville city, Texas","93,715","± 4,596"
"Longview city, Texas","57,259","± 10,304"
"Lubbock city, Texas","62,360","± 2,792"
"McAllen city, Texas","60,907","± 5,696"
"McKinney city, Texas","124,177","± 10,007"
"Mansfield city, Texas","128,856","± 10,219"
"Mesquite city, Texas","66,083","± 5,418"
"Midland city, Texas","82,547","± 11,777"
"Mission city, Texas","55,857","± 10,172"
"Missouri City city, Texas","90,271","± 10,371"
"New Braunfels city, Texas","90,284","± 11,366"
"North Richland Hills city, Texas","97,586","± 9,668"
"Odessa city, Texas","79,531","± 7,794"
"Pasadena city, Texas","60,844","± 7,293"
"Pearland city, Texas","135,469","± 11,420"
"Pflugerville city, Texas","121,964","± 4,990"
"Pharr city, Texas","54,042","± 8,918"
"Plano city, Texas","115,901","± 6,425"
"Richardson city, Texas","104,379","± 11,114"
"Round Rock city, Texas","107,677","± 8,647"
"Rowlett city, Texas","99,378","± 20,280"
"San Angelo city, Texas","67,498","± 7,271"
"San Antonio city, Texas","66,176","± 1,375"
"San Marcos city, Texas","48,091","± 5,837"
"Spring CDP, Texas","78,601","± 13,502"
"Sugar Land city, Texas","133,466","± 14,465"
"Temple city, Texas","71,931","± 6,723"
"The Woodlands CDP, Texas","135,645","± 10,403"
"Tyler city, Texas","70,101","± 8,627"
"Victoria city, Texas","56,874","± 14,038"
"Waco city, Texas","56,548","± 3,733"
"Wichita Falls city, Texas","63,835","± 4,058"
"Layton city, Utah","98,190","± 4,981"
"Lehi city, Utah","137,988","± 7,963"
"Ogden city, Utah","74,449","± 5,941"
"Orem city, Utah","85,292","± 4,862"
