"Geographic Area Name","Median household income","MoE"
"Auburn city, Alabama","69,615","± 7,741"
"Birmingham city, Alabama","51,355","± 2,944"
"Dothan city, Alabama","55,846","± 4,290"
"Hoover city, Alabama","106,844","± 10,231"
"Huntsville city, Alabama","83,235","± 5,774"
"Madison city, Alabama","140,249","± 14,368"
"Mobile city, Alabama","55,307","± 3,428"
"Montgomery city, Alabama","59,292","± 6,238"
"Tuscaloosa city, Alabama","54,212","± 3,600"
"Anchorage municipality, Alaska","105,356","± 5,596"
"Avondale city, Arizona","88,152","± 7,518"
"Buckeye city, Arizona","94,199","± 11,309"
"Casa Grande city, Arizona","85,073","± 8,298"
"Casas Adobes CDP, Arizona","83,415","± 4,033"
"Chandler city, Arizona","110,284","± 6,439"
"Flagstaff city, Arizona","74,417","± 10,336"
"Gilbert town, Arizona","124,968","± 7,793"
"Glendale city, Arizona","75,711","± 5,330"
"Goodyear city, Arizona","97,186","± 10,902"
"Maricopa city, Arizona","97,753","± 12,056"
"Mesa city, Arizona","85,580","± 3,656"
"Peoria city, Arizona","97,333","± 6,740"
"Phoenix city, Arizona","85,246","± 2,218"
"Queen Creek town, Arizona","155,001","± 9,655"
"San Tan Valley CDP, Arizona","99,217","± 9,430"
"Scottsdale city, Arizona","104,893","± 11,009"
"Surprise city, Arizona","100,824","± 6,012"
"Tempe city, Arizona","78,044","± 6,709"
"Tucson city, Arizona","60,483","± 2,076"
"Yuma city, Arizona","71,828","± 5,821"
"Conway city, Arkansas","65,896","± 10,978"
"Fayetteville city, Arkansas","66,237","± 9,392"
"Fort Smith city, Arkansas","60,306","± 5,125"
"Jonesboro city, Arkansas","51,672","± 5,976"
"Little Rock city, Arkansas","66,553","± 3,400"
"Rogers city, Arkansas","82,834","± 11,448"
"Springdale city, Arkansas","72,997","± 10,411"
"Alameda city, California","151,346","± 16,611"
"Alhambra city, California","93,659","± 11,645"
"Anaheim city, California","101,145","± 5,082"
"Antioch city, California","97,998","± 11,673"
"Apple Valley town, California","82,170","± 9,813"
"Arden-Arcade CDP, California","80,277","± 7,416"
"Bakersfield city, California","82,093","± 4,608"
"Baldwin Park city, California","79,496","± 6,409"
"Bellflower city, California","80,800","± 7,719"
"Berkeley city, California","103,727","± 16,623"
"Brentwood city, California","144,110","± 19,363"
"Buena Park city, California","106,666","± 7,141"
"Burbank city, California","85,517","± 12,500"
"Camarillo city, California","112,301","± 11,884"
"Carlsbad city, California","144,444","± 17,246"
"Carmichael CDP, California","88,573","± 8,888"
"Carson city, California","105,234","± 7,309"
"Castro Valley CDP, California","145,276","± 23,117"
"Chico city, California","65,422","± 4,987"
"Chino city, California","97,461","± 17,300"
"Chino Hills city, California","121,839","± 14,417"
"Chula Vista city, California","105,101","± 9,613"
"Citrus Heights city, California","91,036","± 4,823"
"Clovis city, California","92,949","± 6,202"
"Compton city, California","83,125","± 8,680"
"Concord city, California","107,318","± 11,878"
"Corona city, California","103,507","± 7,770"
"Costa Mesa city, California","112,288","± 11,641"
"Daly City city, California","117,911","± 14,185"
"Davis city, California","76,706","± 9,722"
"Downey city, California","92,613","± 7,695"
"Dublin city, California","202,216","± 21,175"
"East Los Angeles CDP, California","67,303","± 3,955"
"Eastvale city, California","151,850","± 15,449"
"El Cajon city, California","77,462","± 10,282"
"Elk Grove city, California","120,958","± 7,973"
"El Monte city, California","70,450","± 6,671"
"Escondido city, California","102,145","± 4,865"
"Fairfield city, California","97,676","± 11,861"
"Folsom city, California","135,855","± 19,494"
"Fontana city, California","108,735","± 5,359"
"Fremont city, California","175,816","± 14,444"
"Fresno city, California","74,491","± 4,065"
"Fullerton city, California","94,261","± 6,928"
"Garden Grove city, California","92,509","± 6,101"
"Glendale city, California","89,055","± 8,211"
"Hawthorne city, California","69,044","± 9,525"
"Hayward city, California","110,406","± 11,705"
"Hemet city, California","62,386","± 8,022"
"Hesperia city, California","72,059","± 6,183"
"Huntington Beach city, California","118,105","± 14,142"
"Indio city, California","76,579","± 9,813"
"Inglewood city, California","69,362","± 11,165"
"Irvine city, California","145,731","± 9,400"
"Jurupa Valley city, California","94,942","± 12,478"
"Lake Elsinore city, California","102,034","± 19,657"
"Lake Forest city, California","140,661","± 18,596"
"Lakewood city, California","116,517","± 15,750"
"Lancaster city, California","87,324","± 8,287"
"Livermore city, California","169,251","± 19,653"
"Lodi city, California","88,584","± 6,804"
"Long Beach city, California","91,318","± 3,306"
"Los Angeles city, California","82,263","± 1,125"
"Lynwood city, California","76,687","± 10,343"
"Madera city, California","60,368","± 12,395"
"Manteca city, California","111,790","± 16,042"
"Menifee city, California","103,609","± 6,190"
"Merced city, California","70,414","± 7,586"
"Milpitas city, California","181,812","± 19,232"
"Mission Viejo city, California","130,939","± 15,586"
"Modesto city, California","79,211","± 5,572"
"Moreno Valley city, California","92,716","± 6,720"
"Mountain View city, California","213,047","± 28,971"
"Murrieta city, California","116,547","± 9,620"
"Napa city, California","118,732","± 16,119"
"Newport Beach city, California","132,670","± 19,242"
"Norwalk city, California","101,959","± 13,820"
"Oakland city, California","102,235","± 5,604"
"Oceanside city, California","104,809","± 7,390"
"Ontario city, California","94,020","± 3,580"
"Orange city, California","111,059","± 5,723"
"Oxnard city, California","101,184","± 6,510"
"Palmdale city, California","73,517","± 7,050"
"Palo Alto city, California","228,517","± 21,619"
"Pasadena city, California","105,048","± 8,240"
"Perris city, California","92,352","± 4,308"
"Pittsburg city, California","88,761","± 13,447"
"Pleasanton city, California","176,390","± 35,099"
"Pomona city, California","89,319","± 6,587"
"Rancho Cordova city, California","84,623","± 11,116"
"Rancho Cucamonga city, California","115,345","± 10,237"
"Redding city, California","70,992","± 4,507"
"Redlands city, California","110,762","± 11,422"
"Redondo Beach city, California","152,387","± 23,700"
"Redwood City city, California","178,188","± 19,595"
"Rialto city, California","90,295","± 8,475"
"Richmond city, California","106,595","± 11,170"
"Riverside city, California","90,004","± 4,388"
"Rocklin city, California","125,795","± 16,340"
"Roseville city, California","116,323","± 13,190"
"Sacramento city, California","91,387","± 3,799"
"Salinas city, California","87,837","± 8,843"
"San Bernardino city, California","67,753","± 5,328"
"San Buenaventura (Ventura) city, California","102,238","± 8,847"
"San Diego city, California","111,032","± 2,696"
"San Francisco city, California","139,801","± 6,180"
"San Jose city, California","148,226","± 6,193"
"San Leandro city, California","105,655","± 9,259"
"San Marcos city, California","109,520","± 15,812"
"San Mateo city, California","162,100","± 23,941"
"San Ramon city, California","227,209","± 32,602"
"Santa Ana city, California","95,118","± 10,206"
"Santa Barbara city, California","106,800","± 16,536"
"Santa Clara city, California","180,631","± 22,767"
"Santa Clarita city, California","123,011","± 6,458"
"Santa Maria city, California","74,986","± 14,453"
"Santa Monica city, California","130,928","± 14,213"
"Santa Rosa city, California","99,681","± 6,695"
"Simi Valley city, California","132,408","± 14,312"
"South Gate city, California","76,200","± 9,866"
"Stockton city, California","78,627","± 4,928"
"Sunnyvale city, California","181,022","± 21,810"
"Temecula city, California","120,768","± 9,228"
"Thousand Oaks city, California","138,411","± 8,565"
