"Geographic Area Name","Unemployment Rate"
"New Haven city, Connecticut","8.0%"
"Norwalk city, Connecticut","7.2%"
"Stamford city, Connecticut","4.4%"
"Waterbury city, Connecticut","11.3%"
"Wilmington city, Delaware","8.4%"
"Washington city, District of Columbia","8.2%"
"Boca Raton city, Florida","7.2%"
"Boynton Beach city, Florida","3.7%"
"Brandon CDP, Florida","5.8%"
"Cape Coral city, Florida","5.1%"
"Clearwater city, Florida","5.1%"
"Coral Springs city, Florida","5.7%"
"Davie town, Florida","5.1%"
"Daytona Beach city, Florida","3.3%"
"Deerfield Beach city, Florida","8.4%"
"Deltona city, Florida","4.3%"
"Doral city, Florida","3.9%"
"Fort Lauderdale city, Florida","6.9%"
"Fort Myers city, Florida","6.3%"
"Gainesville city, Florida","4.0%"
"Hialeah city, Florida","4.9%"
"Hollywood city, Florida","6.0%"
"Homestead city, Florida","7.8%"
"Jacksonville city, Florida","4.7%"
"Kendall CDP, Florida","4.4%"
"Kissimmee city, Florida","7.0%"
"Lakeland city, Florida","5.7%"
"Largo city, Florida","5.2%"
"Lauderhill city, Florida","8.3%"
"Lehigh Acres CDP, Florida","5.3%"
"Melbourne city, Florida","5.0%"
"Miami city, Florida","5.9%"
"Miami Beach city, Florida","6.4%"
"Miami Gardens city, Florida","8.9%"
"Miramar city, Florida","4.6%"
"Orlando city, Florida","7.8%"
"Palm Bay city, Florida","5.0%"
"Palm Coast city, Florida","5.8%"
"Pembroke Pines city, Florida","4.8%"
"Pine Hills CDP, Florida","15.7%"
"Plantation city, Florida","3.9%"
"Pompano Beach city, Florida","9.0%"
"Port Charlotte CDP, Florida","6.4%"
"Port St. Lucie city, Florida","6.8%"
"Riverview CDP, Florida","6.3%"
"St. Petersburg city, Florida","5.3%"
"Spring Hill CDP, Florida","5.9%"
"Sunrise city, Florida","6.6%"
"Tallahassee city, Florida","6.0%"
"Tampa city, Florida","5.3%"
"Town 'n' Country CDP, Florida","6.9%"
"Weston city, Florida","3.7%"
"West Palm Beach city, Florida","5.6%"
"Albany city, Georgia","8.1%"
"Athens-Clarke County unified government (balance), Georgia","4.3%"
"Atlanta city, Georgia","5.2%"
"Augusta-Richmond County consolidated government (balance), Georgia","9.7%"
"Columbus city, Georgia","7.1%"
"Johns Creek city, Georgia","3.7%"
"Macon-Bibb County, Georgia","8.2%"
"Sandy Springs city, Georgia","3.3%"
"Savannah city, Georgia","7.5%"
"Warner Robins city, Georgia","7.7%"
"Urban Honolulu CDP, Hawaii","8.0%"
"Boise City city, Idaho","2.8%"
"Idaho Falls city, Idaho","4.2%"
"Arlington Heights village, Illinois","4.4%"
"Aurora city, Illinois","6.0%"
"Bloomington city, Illinois","3.0%"
"Bolingbrook village, Illinois","4.9%"
"Champaign city, Illinois","4.8%"
"Chicago city, Illinois","10.1%"
"Cicero town, Illinois","4.5%"
"Decatur city, Illinois","14.3%"
"Elgin city, Illinois","5.7%"
"Evanston city, Illinois","6.6%"
"Joliet city, Illinois","7.9%"
"Naperville city, Illinois","5.4%"
"Palatine village, Illinois","4.8%"
"Peoria city, Illinois","9.5%"
"Rockford city, Illinois","12.8%"
"Schaumburg village, Illinois","5.5%"
"Skokie village, Illinois","7.4%"
"Springfield city, Illinois","8.9%"
"Waukegan city, Illinois","8.2%"
"Bloomington city, Indiana","4.9%"
"Carmel city, Indiana","2.1%"
"Evansville city, Indiana","5.5%"
"Fort Wayne city, Indiana","6.0%"
"Hammond city, Indiana","8.4%"
"Indianapolis city (balance), Indiana","6.0%"
"Lafayette city, Indiana","4.3%"
"South Bend city, Indiana","5.6%"
"Ames city, Iowa","4.7%"
"Cedar Rapids city, Iowa","4.9%"
"Davenport city, Iowa","5.9%"
"Des Moines city, Iowa","5.3%"
"Iowa City city, Iowa","3.9%"
"Sioux City city, Iowa","3.9%"
"Waterloo city, Iowa","3.8%"
"Kansas City city, Kansas","6.7%"
"Lawrence city, Kansas","5.6%"
"Olathe city, Kansas","2.1%"
"Overland Park city, Kansas","3.5%"
"Topeka city, Kansas","3.4%"
"Wichita city, Kansas","7.2%"
"Bowling Green city, Kentucky","4.4%"
"Lexington-Fayette urban county, Kentucky","5.4%"
"Louisville/Jefferson County metro government (balance), Kentucky","5.3%"
"Baton Rouge city, Louisiana","10.9%"
"Kenner city, Louisiana","8.1%"
"Lafayette city, Louisiana","4.3%"
"Metairie CDP, Louisiana","4.1%"
"New Orleans city, Louisiana","9.4%"
"Shreveport city, Louisiana","11.5%"
"Portland city, Maine","5.6%"
"Baltimore city, Maryland","7.9%"
"Bethesda CDP, Maryland","3.9%"
"Columbia CDP, Maryland","2.9%"
"Ellicott City CDP, Maryland","6.1%"
"Frederick city, Maryland","5.8%"
"Gaithersburg city, Maryland","4.7%"
"Germantown CDP, Maryland","6.2%"
"Glen Burnie CDP, Maryland","5.1%"
"Rockville city, Maryland","3.6%"
"Silver Spring CDP, Maryland","7.0%"
"Waldorf CDP, Maryland","7.3%"
"Boston city, Massachusetts","8.0%"
"Brockton city, Massachusetts","8.0%"
"Cambridge city, Massachusetts","3.7%"
"Fall River city, Massachusetts","8.9%"
"Framingham city, Massachusetts","2.7%"
"Haverhill city, Massachusetts","8.1%"
"Lawrence city, Massachusetts","10.1%"
"Lowell city, Massachusetts","4.8%"
"Lynn city, Massachusetts","5.2%"
"New Bedford city, Massachusetts","10.3%"
"Newton city, Massachusetts","3.9%"
"Quincy city, Massachusetts","8.4%"
"Somerville city, Massachusetts","3.6%"
"Springfield city, Massachusetts","12.9%"
"Worcester city, Massachusetts","10.3%"
"Ann Arbor city, Michigan","4.3%"
"Dearborn city, Michigan","7.8%"
"Detroit city, Michigan","17.4%"
"Farmington Hills city, Michigan","4.1%"
"Flint city, Michigan","15.7%"
"Grand Rapids city, Michigan","6.6%"
"Kalamazoo city, Michigan","7.8%"
"Lansing city, Michigan","9.5%"
"Livonia city, Michigan","5.1%"
"Rochester Hills city, Michigan","4.9%"
"Southfield city, Michigan","9.6%"
"Sterling Heights city, Michigan","8.4%"
"Troy city, Michigan","4.0%"
"Warren city, Michigan","11.1%"
"Westland city, Michigan","5.9%"
"Wyoming city, Michigan","5.8%"
"Blaine city, Minnesota","5.3%"
"Bloomington city, Minnesota","6.9%"
"Duluth city, Minnesota","6.2%"
"Eagan city, Minnesota","4.1%"
"Lakeville city, Minnesota","4.2%"
"Minneapolis city, Minnesota","8.4%"
"Rochester city, Minnesota","4.2%"
"St. Cloud city, Minnesota","8.0%"
"St. Paul city, Minnesota","6.3%"
"Gulfport city, Mississippi","12.3%"
"Jackson city, Mississippi","10.9%"
"Columbia city, Missouri","5.5%"
"Independence city, Missouri","5.9%"
"Kansas City city, Missouri","6.2%"
"Lee's Summit city, Missouri","4.2%"
"O'Fallon city, Missouri","2.4%"
"St. Charles city, Missouri","2.6%"
"St. Joseph city, Missouri","4.6%"
"St. Louis city, Missouri","6.3%"
"Springfield city, Missouri","4.8%"
"Billings city, Montana","5.0%"
"Missoula city, Montana","5.5%"
"Lincoln city, Nebraska","2.8%"
"Omaha city, Nebraska","4.1%"
"Enterprise CDP, Nevada","9.8%"
"Henderson city, Nevada","8.5%"
"Las Vegas city, Nevada","10.9%"
"North Las Vegas city, Nevada","11.2%"
"Paradise CDP, Nevada","14.2%"
"Reno city, Nevada","4.7%"
"Sparks city, Nevada","7.7%"
"Spring Valley CDP, Nevada","13.2%"
"Sunrise Manor CDP, Nevada","11.8%"
"Manchester city, New Hampshire","3.8%"
"Nashua city, New Hampshire","4.6%"
"Bayonne city, New Jersey","6.8%"
"Camden city, New Jersey","11.1%"
"Clifton city, New Jersey","7.7%"
"East Orange city, New Jersey","12.7%"
"Elizabeth city, New Jersey","6.7%"
"Jersey City city, New Jersey","8.6%"
"Newark city, New Jersey","15.3%"
"Passaic city, New Jersey","14.3%"
"Paterson city, New Jersey","15.8%"
"Toms River CDP, New Jersey","6.4%"
"Trenton city, New Jersey","13.0%"
"Union City city, New Jersey","13.0%"
"Albuquerque city, New Mexico","6.1%"
"Las Cruces city, New Mexico","7.4%"
"Rio Rancho city, New Mexico","7.8%"
"Santa Fe city, New Mexico","8.5%"
"Albany city, New York","9.9%"
"Buffalo city, New York","10.2%"
"Cheektowaga CDP, New York","6.2%"
"Mount Vernon city, New York","14.7%"
"New Rochelle city, New York","7.0%"
"New York city, New York","11.8%"
"Rochester city, New York","11.0%"
"Schenectady city, New York","9.5%"
"Syracuse city, New York","6.9%"
"Yonkers city, New York","9.8%"
"Asheville city, North Carolina","7.9%"
"Cary town, North Carolina","5.3%"
"Charlotte city, North Carolina","5.0%"
"Concord city, North Carolina","5.2%"
"Durham city, North Carolina","5.2%"
"Fayetteville city, North Carolina","9.5%"
"Gastonia city, North Carolina","5.8%"
"Greensboro city, North Carolina","6.4%"
"Greenville city, North Carolina","12.4%"
"High Point city, North Carolina","6.7%"
"Jacksonville city, North Carolina","7.6%"
"Raleigh city, North Carolina","5.5%"
"Wilmington city, North Carolina","7.2%"
"Winston-Salem city, North Carolina","6.3%"
"Bismarck city, North Dakota","2.2%"
"Fargo city, North Dakota","4.2%"
"Akron city, Ohio","8.2%"
"Canton city, Ohio","10.5%"
"Cincinnati city, Ohio","7.6%"
"Cleveland city, Ohio","12.3%"
"Columbus city, Ohio","6.2%"
"Dayton city, Ohio","10.0%"
"Lorain city, Ohio","6.9%"
"Parma city, Ohio","5.8%"
"Toledo city, Ohio","9.3%"
"Broken Arrow city, Oklahoma","5.1%"
"Edmond city, Oklahoma","3.6%"
"Lawton city, Oklahoma","10.7%"
"Norman city, Oklahoma","6.7%"
"Oklahoma City city, Oklahoma","5.9%"
"Tulsa city, Oklahoma","7.1%"
"Beaverton city, Oregon","4.5%"
"Eugene city, Oregon","7.9%"
"Gresham city, Oregon","7.4%"
"Hillsboro city, Oregon","5.6%"
"Medford city, Oregon","7.5%"
"Portland city, Oregon","7.1%"
"Salem city, Oregon","5.6%"
"Allentown city, Pennsylvania","10.1%"
"Bethlehem city, Pennsylvania","6.7%"
"Erie city, Pennsylvania","8.5%"
"Philadelphia city, Pennsylvania","10.5%"
"Pittsburgh city, Pennsylvania","7.2%"
"Reading city, Pennsylvania","14.4%"
"Scranton city, Pennsylvania","7.0%"
"Cranston city, Rhode Island","9.6%"
"Pawtucket city, Rhode Island","7.0%"
"Providence city, Rhode Island","9.4%"
"Warwick city, Rhode Island","5.8%"
"Charleston city, South Carolina","4.2%"
"Columbia city, South Carolina","9.9%"
"Greenville city, South Carolina","5.1%"
"North Charleston city, South Carolina","5.9%"
"Rock Hill city, South Carolina","6.0%"
"Rapid City city, South Dakota","3.0%"
"Sioux Falls city, South Dakota","1.8%"
"Chattanooga city, Tennessee","6.0%"
"Clarksville city, Tennessee","4.3%"
"Jackson city, Tennessee","7.3%"
"Johnson City city, Tennessee","8.7%"
"Knoxville city, Tennessee","5.4%"
"Memphis city, Tennessee","9.8%"
"Murfreesboro city, Tennessee","4.2%"
"Nashville-Davidson metropolitan government (balance), Tennessee","4.3%"
"Abilene city, Texas","2.2%"
"Amarillo city, Texas","3.5%"
"Arlington city, Texas","6.4%"
"Atascocita CDP, Texas","5.3%"
"Austin city, Texas","5.3%"
"Baytown city, Texas","14.5%"
"Beaumont city, Texas","4.7%"
"Brownsville city, Texas","9.0%"
"Bryan city, Texas","6.2%"
"Carrollton city, Texas","3.8%"
"College Station city, Texas","5.0%"
"Corpus Christi city, Texas","5.3%"
"Dallas city, Texas","6.0%"
"Denton city, Texas","6.4%"
"El Paso city, Texas","7.9%"
"Flower Mound town, Texas","4.3%"
"Fort Worth city, Texas","5.1%"
"Frisco city, Texas","5.0%"
"Garland city, Texas","5.2%"
"Georgetown city, Texas","4.8%"
"Grand Prairie city, Texas","4.6%"
"Houston city, Texas","8.4%"
"Irving city, Texas","5.1%"
"Killeen city, Texas","10.1%"
"Laredo city, Texas","6.5%"
"League City city, Texas","4.7%"
"Lewisville city, Texas","6.9%"
"Longview city, Texas","5.2%"
"Lubbock city, Texas","5.5%"
"McAllen city, Texas","6.8%"
"McKinney city, Texas","3.6%"
"Mesquite city, Texas","6.9%"
"Midland city, Texas","5.2%"
"Mission city, Texas","7.9%"
"North Richland Hills city, Texas","3.5%"
"Odessa city, Texas","6.2%"
"Pasadena city, Texas","11.7%"
"Plano city, Texas","5.1%"
"Richardson city, Texas","7.0%"
"Round Rock city, Texas","5.3%"
"San Angelo city, Texas","4.2%"
"San Antonio city, Texas","7.2%"
"San Marcos city, Texas","8.7%"
"Sugar Land city, Texas","6.7%"
"Temple city, Texas","7.4%"
"Tyler city, Texas","6.3%"
"Victoria city, Texas","7.5%"
"Waco city, Texas","5.5%"
"Wichita Falls city, Texas","4.0%"
"Layton city, Utah","1.3%"
"Ogden city, Utah","4.6%"
"Orem city, Utah","2.3%"
"Provo city, Utah","3.8%"
"St. George city, Utah","4.7%"
"Salt Lake City city, Utah","3.9%"
"Sandy city, Utah","2.5%"
"West Jordan city, Utah","4.7%"
"West Valley City city, Utah","4.1%"
"Alexandria city, Virginia","4.3%"
"Arlington CDP, Virginia","3.4%"
"Centreville CDP, Virginia","4.9%"
"Chesapeake city, Virginia","4.6%"
"Dale City CDP, Virginia","6.2%"
"Hampton city, Virginia","5.8%"
"Lynchburg city, Virginia","6.9%"
"Newport News city, Virginia","7.1%"
"Norfolk city, Virginia","4.6%"
"Portsmouth city, Virginia","7.6%"
"Richmond city, Virginia","7.4%"
"Roanoke city, Virginia","5.7%"
