Region,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Gross Rent Burden
"Weirton-Steubenville, WV-OH Metro Area",989,655,939,2641,5224
"Wenatchee-East Wenatchee, WA Metro Area",1215,870,1158,2734,5977
"Wheeling, WV-OH Metro Area",1237,945,926,3356,6464
"Wichita, KS Metro Area",7625,5119,6757,17232,36733
"Wichita Falls, TX Metro Area",1262,1289,1933,3387,7871
"Wildwood-The Villages, FL Metro Area",623,304,908,2239,4074
"Williamsport, PA Metro Area",1641,641,1101,2953,6336
"Wilmington, NC Metro Area",4624,3415,4659,13894,26592
"Winchester, VA-WV Metro Area",1352,888,1032,2978,6250
"Winston-Salem, NC Metro Area",6822,5234,6473,17768,36297
"Worcester, MA Metro Area",10616,7358,9479,26403,53856
"Yakima, WA Metro Area",2693,2070,2270,6373,13406
"York-Hanover, PA Metro Area",4162,3217,3737,8463,19579
"Youngstown-Warren, OH Metro Area",3841,2870,4894,11317,22922
"Yuba City, CA Metro Area",2617,1705,2417,4864,11603
"Yuma, AZ Metro Area",2278,1805,1417,4340,9840
