Region,Owner Built 2010 to 2019,Owner Built 2020 or later,Rent Built 2010 to 2019,Rent Built 2020 or later,Houses Built
"Wichita, KS Metro Area",12775,3697,9215,2127,27814
"Wichita Falls, TX Metro Area",2681,739,1328,0,4748
"Wildwood-The Villages, FL Metro Area",19900,9471,1456,963,31790
"Williamsport, PA Metro Area",996,428,1573,68,3065
"Wilmington, NC Metro Area",26834,11361,10434,4273,52902
"Winchester, VA-WV Metro Area",4880,1967,1808,427,9082
"Winston-Salem, NC Metro Area",16920,6522,9647,1717,34806
"Worcester, MA Metro Area",12923,2430,4797,1189,21339
"Yakima, WA Metro Area",3508,672,4216,1353,9749
"York-Hanover, PA Metro Area",7079,2374,2602,829,12884
"Youngstown-Warren, OH Metro Area",2898,935,2291,181,6305
"Yuba City, CA Metro Area",2444,1771,1851,463,6529
"Yuma, AZ Metro Area",8469,2443,2766,393,14071
