"Geographic Area Name","Multi-Family, 10+ Units","MoE"
"Turlock city, California","440","± 280"
"Tustin city, California","2,140","± 822"
"Union City city, California","577","± 563"
"Upland city, California","1,610","± 899"
"Vacaville city, California","1,160","± 623"
"Vallejo city, California","911","± 595"
"Victorville city, California","1,279","± 1,147"
"Visalia city, California","522","± 348"
"Vista city, California","3,706","± 1,240"
"Walnut Creek city, California","2,560","± 985"
"West Covina city, California","981","± 678"
"Westminster city, California","1,245","± 648"
"Whittier city, California","1,736","± 794"
"Yorba Linda city, California","95","± 105"
"Yuba City city, California","1,009","± 555"
"Arvada city, Colorado","3,442","± 1,210"
"Aurora city, Colorado","15,958","± 3,107"
"Boulder city, Colorado","4,162","± 1,097"
"Broomfield city, Colorado","2,832","± 799"
"Castle Rock town, Colorado","729","± 397"
"Centennial city, Colorado","1,773","± 778"
"Colorado Springs city, Colorado","14,844","± 2,580"
"Commerce City city, Colorado","403","± 344"
"Denver city, Colorado","33,822","± 4,057"
"Fort Collins city, Colorado","7,698","± 1,730"
"Grand Junction city, Colorado","1,030","± 704"
"Greeley city, Colorado","2,554","± 986"
"Highlands Ranch CDP, Colorado","840","± 900"
"Lakewood city, Colorado","7,558","± 1,676"
"Longmont city, Colorado","3,256","± 1,143"
"Loveland city, Colorado","2,533","± 997"
"Parker town, Colorado","946","± 563"
"Pueblo city, Colorado","2,452","± 1,289"
"Thornton city, Colorado","2,777","± 1,141"
"Westminster city, Colorado","4,363","± 1,120"
"Bridgeport city, Connecticut","3,318","± 1,088"
"Danbury city, Connecticut","1,943","± 934"
"Hartford city, Connecticut","4,081","± 1,233"
"New Britain city, Connecticut","1,727","± 898"
"New Haven city, Connecticut","1,860","± 933"
"Norwalk city, Connecticut","3,081","± 1,106"
"Stamford city, Connecticut","2,380","± 1,187"
"Waterbury city, Connecticut","2,628","± 1,015"
"Wilmington city, Delaware","1,226","± 539"
"Washington city, District of Columbia","29,764","± 2,920"
"Alafaya CDP, Florida","3,143","± 1,241"
"Boca Raton city, Florida","2,734","± 897"
"Boynton Beach city, Florida","4,321","± 1,509"
"Brandon CDP, Florida","5,158","± 1,831"
"Cape Coral city, Florida","4,701","± 1,500"
"Clearwater city, Florida","4,487","± 1,155"
"Coral Springs city, Florida","3,929","± 1,244"
"Davie town, Florida","2,500","± 912"
"Daytona Beach city, Florida","5,522","± 1,921"
"Deerfield Beach city, Florida","5,122","± 1,423"
"Delray Beach city, Florida","4,395","± 1,433"
"Doral city, Florida","4,180","± 1,279"
"Fort Lauderdale city, Florida","4,263","± 1,371"
"Fort Myers city, Florida","5,938","± 1,581"
"Four Corners CDP, Florida","5,053","± 1,678"
"Gainesville city, Florida","7,797","± 1,884"
"Hialeah city, Florida","7,310","± 1,532"
"Hollywood city, Florida","6,256","± 1,657"
"Homestead city, Florida","2,216","± 1,177"
"Jacksonville city, Florida","34,964","± 5,600"
"Kendall CDP, Florida","1,052","± 623"
"Kissimmee city, Florida","2,673","± 1,188"
"Lakeland city, Florida","3,624","± 1,218"
"Largo city, Florida","4,167","± 1,038"
"Lauderhill city, Florida","3,329","± 1,288"
"Lehigh Acres CDP, Florida","0","± 247"
"Melbourne city, Florida","3,758","± 1,491"
"Miami city, Florida","15,735","± 2,575"
"Miami Beach city, Florida","7,138","± 1,851"
"Miami Gardens city, Florida","1,494","± 681"
"Miramar city, Florida","1,963","± 1,067"
"North Port city, Florida","214","± 263"
"Ocala city, Florida","2,268","± 1,263"
"Orlando city, Florida","21,694","± 3,327"
"Palm Bay city, Florida","1,163","± 579"
"Palm Coast city, Florida","353","± 262"
"Pembroke Pines city, Florida","3,454","± 1,440"
"Pine Hills CDP, Florida","3,817","± 1,527"
"Plantation city, Florida","2,560","± 1,092"
"Pompano Beach city, Florida","3,766","± 1,330"
"Port Orange city, Florida","859","± 568"
"Port St. Lucie city, Florida","3,148","± 1,743"
"Riverview CDP, Florida","1,964","± 1,092"
"St. Petersburg city, Florida","11,805","± 2,025"
"Sanford city, Florida","2,569","± 1,258"
"Spring Hill CDP, Florida","457","± 421"
"Sunrise city, Florida","1,892","± 782"
"Tallahassee city, Florida","10,785","± 2,158"
"Tamarac city, Florida","2,045","± 840"
"Tampa city, Florida","14,039","± 2,941"
"Town 'n' Country CDP, Florida","3,582","± 1,207"
"Wesley Chapel CDP, Florida","1,600","± 1,058"
"Weston city, Florida","366","± 292"
"West Palm Beach city, Florida","5,477","± 1,725"
"Albany city, Georgia","880","± 630"
"Alpharetta city, Georgia","1,962","± 708"
"Athens-Clarke County unified government (balance), Georgia","5,991","± 1,360"
"Atlanta city, Georgia","19,793","± 3,234"
"Augusta-Richmond County consolidated government (balance), Georgia","3,927","± 1,274"
"Columbus city, Georgia","5,947","± 1,876"
"Johns Creek city, Georgia","601","± 452"
"Mableton city, Georgia","1,695","± 982"
"Macon-Bibb County, Georgia","2,338","± 937"
"Roswell city, Georgia","3,667","± 1,410"
"Sandy Springs city, Georgia","5,610","± 1,283"
"Savannah city, Georgia","3,231","± 1,101"
"South Fulton city, Georgia","1,780","± 846"
"Warner Robins city, Georgia","1,732","± 922"
"Urban Honolulu CDP, Hawaii","10,865","± 1,924"
"Boise City city, Idaho","5,570","± 1,386"
"Caldwell city, Idaho","163","± 208"
"Idaho Falls city, Idaho","737","± 484"
"Meridian city, Idaho","1,140","± 512"
"Nampa city, Idaho","1,002","± 599"
"Arlington Heights village, Illinois","1,518","± 702"
"Aurora city, Illinois","3,433","± 1,268"
"Bloomington city, Illinois","3,590","± 1,225"
"Bolingbrook village, Illinois","828","± 570"
"Champaign city, Illinois","5,243","± 977"
"Chicago city, Illinois","63,927","± 5,225"
"Cicero town, Illinois","1,298","± 802"
"Decatur city, Illinois","977","± 468"
"Elgin city, Illinois","640","± 503"
"Evanston city, Illinois","2,605","± 1,051"
"Joliet city, Illinois","1,479","± 600"
"Naperville city, Illinois","2,432","± 999"
"Palatine village, Illinois","1,899","± 961"
"Peoria city, Illinois","4,183","± 1,256"
"Rockford city, Illinois","2,476","± 888"
"Schaumburg village, Illinois","1,184","± 835"
"Skokie village, Illinois","787","± 733"
"Springfield city, Illinois","2,926","± 1,047"
"Waukegan city, Illinois","4,046","± 1,483"
"Bloomington city, Indiana","5,036","± 1,421"
"Carmel city, Indiana","2,515","± 991"
"Evansville city, Indiana","2,290","± 992"
"Fishers city, Indiana","1,075","± 617"
"Fort Wayne city, Indiana","4,992","± 1,299"
"Gary city, Indiana","1,706","± 745"
"Greenwood city, Indiana","924","± 727"
"Hammond city, Indiana","1,378","± 745"
"Indianapolis city (balance), Indiana","23,156","± 4,185"
"Lafayette city, Indiana","3,121","± 1,104"
"Muncie city, Indiana","2,329","± 1,099"
"Noblesville city, Indiana","2,122","± 1,166"
"South Bend city, Indiana","1,623","± 752"
"Ames city, Iowa","4,445","± 1,056"
"Ankeny city, Iowa","1,154","± 615"
"Cedar Rapids city, Iowa","6,561","± 1,458"
"Davenport city, Iowa","3,928","± 921"
"Des Moines city, Iowa","4,470","± 1,533"
"Iowa City city, Iowa","4,482","± 1,173"
"Sioux City city, Iowa","1,364","± 679"
"Waterloo city, Iowa","1,519","± 647"
"West Des Moines city, Iowa","3,044","± 1,027"
"Kansas City city, Kansas","4,970","± 1,389"
"Lawrence city, Kansas","5,453","± 1,608"
"Olathe city, Kansas","1,873","± 827"
"Overland Park city, Kansas","6,462","± 1,596"
"Shawnee city, Kansas","2,495","± 850"
"Topeka city, Kansas","3,359","± 1,100"
"Wichita city, Kansas","10,178","± 1,849"
"Bowling Green city, Kentucky","2,374","± 1,168"
"Lexington-Fayette urban county, Kentucky","11,604","± 2,471"
"Louisville/Jefferson County metro government (balance), Kentucky","21,564","± 3,037"
"Baton Rouge city, Louisiana","10,586","± 2,476"
"Kenner city, Louisiana","1,016","± 537"
"Lafayette city, Louisiana","5,476","± 1,600"
"Lake Charles city, Louisiana","915","± 601"
"Metairie CDP, Louisiana","4,220","± 1,581"
"New Orleans city, Louisiana","9,876","± 2,088"
"Shreveport city, Louisiana","3,546","± 1,663"
"Portland city, Maine","3,378","± 1,009"
"Baltimore city, Maryland","12,310","± 2,532"
"Bethesda CDP, Maryland","512","± 409"
"Columbia CDP, Maryland","4,925","± 1,496"
"Ellicott City CDP, Maryland","2,902","± 1,194"
"Frederick city, Maryland","5,596","± 1,302"
"Gaithersburg city, Maryland","3,842","± 1,109"
"Germantown CDP, Maryland","5,230","± 1,433"
"Glen Burnie CDP, Maryland","6,638","± 1,239"
