"Geographic Area Name","35.0 to 39.9 percent (2021)","MoE"
"West Covina city, California","880","± 511"
"Westminster city, California","516","± 340"
"Whittier city, California","880","± 495"
"Yorba Linda city, California","110","± 116"
"Yuba City city, California","626","± 494"
"Arvada city, Colorado","712","± 432"
"Aurora city, Colorado","4,533","± 1,215"
"Boulder city, Colorado","1,352","± 612"
"Broomfield city, Colorado","217","± 174"
"Castle Rock town, Colorado","824","± 636"
"Centennial city, Colorado","703","± 501"
"Colorado Springs city, Colorado","4,499","± 1,280"
"Denver city, Colorado","11,720","± 2,278"
"Fort Collins city, Colorado","1,673","± 802"
"Grand Junction city, Colorado","607","± 517"
"Greeley city, Colorado","996","± 587"
"Highlands Ranch CDP, Colorado","724","± 413"
"Lakewood city, Colorado","1,444","± 728"
"Longmont city, Colorado","1,840","± 1,016"
"Loveland city, Colorado","1,302","± 574"
"Pueblo city, Colorado","1,062","± 555"
"Thornton city, Colorado","1,000","± 642"
"Westminster city, Colorado","1,801","± 836"
"Bridgeport city, Connecticut","2,328","± 1,010"
"Danbury city, Connecticut","211","± 210"
"Hartford city, Connecticut","3,171","± 1,059"
"New Britain city, Connecticut","502","± 346"
"New Haven city, Connecticut","4,176","± 1,213"
"Norwalk city, Connecticut","899","± 538"
"Stamford city, Connecticut","1,416","± 720"
"Waterbury city, Connecticut","1,540","± 793"
"Wilmington city, Delaware","1,097","± 683"
"Washington city, District of Columbia","11,779","± 2,099"
"Alafaya CDP, Florida","1,835","± 1,299"
"Boca Raton city, Florida","1,060","± 705"
"Boynton Beach city, Florida","1,565","± 873"
"Brandon CDP, Florida","2,556","± 1,353"
"Cape Coral city, Florida","1,990","± 941"
"Clearwater city, Florida","1,276","± 701"
"Coral Springs city, Florida","1,415","± 815"
"Davie town, Florida","1,501","± 849"
"Daytona Beach city, Florida","953","± 643"
"Deerfield Beach city, Florida","982","± 740"
"Delray Beach city, Florida","584","± 409"
"Deltona city, Florida","751","± 672"
"Doral city, Florida","910","± 538"
"Fort Lauderdale city, Florida","2,784","± 1,194"
"Fort Myers city, Florida","1,009","± 566"
"Gainesville city, Florida","1,661","± 830"
"Hialeah city, Florida","2,588","± 932"
"Hollywood city, Florida","1,136","± 519"
"Homestead city, Florida","1,515","± 1,218"
"Jacksonville city, Florida","9,555","± 1,938"
"Kendall CDP, Florida","867","± 590"
