"Geographic Area Name","Total Burdened (2021)","MoE"
"San Ramon city, California","7,370","± 1,409"
"Santa Ana city, California","48,042","± 3,002"
"Santa Barbara city, California","21,558","± 2,116"
"Santa Clara city, California","32,798","± 2,983"
"Santa Clarita city, California","21,539","± 2,590"
"Santa Maria city, California","15,940","± 1,535"
"Santa Monica city, California","36,726","± 2,935"
"Santa Rosa city, California","28,643","± 2,774"
"Simi Valley city, California","11,561","± 1,798"
"South Gate city, California","14,185","± 1,550"
"Stockton city, California","45,582","± 3,609"
"Sunnyvale city, California","35,685","± 2,645"
"Temecula city, California","14,337","± 1,961"
"Thousand Oaks city, California","10,997","± 1,578"
"Torrance city, California","22,600","± 2,105"
"Tracy city, California","10,776","± 1,705"
"Tulare city, California","9,646","± 1,706"
"Turlock city, California","10,467","± 1,425"
"Tustin city, California","16,121","± 1,824"
"Union City city, California","7,583","± 1,212"
"Upland city, California","12,155","± 1,436"
"Vacaville city, California","11,760","± 1,961"
"Vallejo city, California","22,615","± 2,383"
"Victorville city, California","14,213","± 2,177"
"Visalia city, California","18,317","± 2,016"
"Vista city, California","16,080","± 1,857"
"Walnut Creek city, California","11,735","± 1,713"
"West Covina city, California","14,089","± 1,706"
"Westminster city, California","13,096","± 1,916"
"Whittier city, California","12,116","± 1,692"
"Yorba Linda city, California","3,134","± 1,010"
"Yuba City city, California","9,332","± 1,718"
"Arvada city, Colorado","12,677","± 1,833"
"Aurora city, Colorado","59,143","± 3,737"
"Boulder city, Colorado","26,589","± 2,128"
"Broomfield city, Colorado","13,518","± 1,298"
"Castle Rock town, Colorado","5,405","± 1,524"
"Centennial city, Colorado","8,302","± 1,534"
"Colorado Springs city, Colorado","89,885","± 4,402"
"Denver city, Colorado","181,698","± 5,466"
"Fort Collins city, Colorado","36,654","± 2,489"
"Grand Junction city, Colorado","10,733","± 1,553"
"Greeley city, Colorado","16,592","± 2,171"
"Highlands Ranch CDP, Colorado","9,170","± 1,548"
"Lakewood city, Colorado","30,794","± 2,552"
"Longmont city, Colorado","17,822","± 2,275"
"Loveland city, Colorado","12,342","± 1,667"
"Parker town, Colorado","5,816","± 1,328"
"Pueblo city, Colorado","17,013","± 1,833"
"Thornton city, Colorado","17,217","± 2,073"
"Westminster city, Colorado","19,173","± 1,912"
"Bridgeport city, Connecticut","32,232","± 2,391"
"Danbury city, Connecticut","15,062","± 2,191"
"Hartford city, Connecticut","36,423","± 3,246"
"New Britain city, Connecticut","15,689","± 1,953"
"New Haven city, Connecticut","39,385","± 3,342"
"Norwalk city, Connecticut","16,202","± 2,088"
