"Geographic Area Name","Total Burdened (2021)","MoE"
"West Valley City city, Utah","10,668","± 1,832"
"Alexandria city, Virginia","44,829","± 2,083"
"Arlington CDP, Virginia","69,505","± 3,232"
"Centreville CDP, Virginia","7,536","± 1,387"
"Chesapeake city, Virginia","26,496","± 2,597"
"Hampton city, Virginia","25,020","± 2,075"
"Lynchburg city, Virginia","14,419","± 1,597"
"Newport News city, Virginia","38,378","± 2,710"
"Norfolk city, Virginia","53,013","± 2,734"
"Portsmouth city, Virginia","14,656","± 1,732"
"Reston CDP, Virginia","12,825","± 1,990"
"Richmond city, Virginia","62,906","± 3,229"
"Roanoke city, Virginia","20,895","± 2,058"
"Suffolk city, Virginia","10,352","± 1,343"
"Virginia Beach city, Virginia","66,408","± 3,814"
"Auburn city, Washington","12,945","± 1,855"
"Bellevue city, Washington","32,987","± 2,442"
"Bellingham city, Washington","22,834","± 1,993"
"Everett city, Washington","24,675","± 2,495"
"Federal Way city, Washington","16,574","± 2,116"
"Kennewick city, Washington","14,179","± 2,136"
"Kent city, Washington","19,186","± 2,314"
"Kirkland city, Washington","17,003","± 1,887"
"Marysville city, Washington","8,086","± 1,458"
"Pasco city, Washington","8,553","± 1,436"
"Redmond city, Washington","21,443","± 2,147"
"Renton city, Washington","17,587","± 1,912"
"Sammamish city, Washington","4,151","± 913"
"Seattle city, Washington","222,838","± 6,276"
"Shoreline city, Washington","10,632","± 1,687"
"South Hill CDP, Washington","8,752","± 2,168"
"Spokane city, Washington","40,044","± 2,812"
"Spokane Valley city, Washington","16,945","± 2,144"
"Tacoma city, Washington","43,503","± 2,967"
"Vancouver city, Washington","40,626","± 2,804"
"Yakima city, Washington","18,850","± 1,974"
"Appleton city, Wisconsin","9,514","± 1,335"
"Eau Claire city, Wisconsin","16,558","± 1,618"
"Green Bay city, Wisconsin","15,473","± 1,718"
"Janesville city, Wisconsin","9,192","± 1,344"
"Kenosha city, Wisconsin","17,345","± 1,727"
"Madison city, Wisconsin","74,964","± 3,424"
"Milwaukee city, Wisconsin","133,112","± 5,022"
"Oshkosh city, Wisconsin","12,399","± 1,390"
"Racine city, Wisconsin","13,069","± 1,936"
"Waukesha city, Wisconsin","12,427","± 1,355"
"Cheyenne city, Wyoming","11,577","± 1,528"
"Bayamón zona urbana, Puerto Rico","19,746","± 1,786"
"Caguas zona urbana, Puerto Rico","11,010","± 1,604"
"Carolina zona urbana, Puerto Rico","19,929","± 2,370"
"Guaynabo zona urbana, Puerto Rico","5,599","± 1,186"
"Ponce zona urbana, Puerto Rico","16,000","± 1,589"
"San Juan zona urbana, Puerto Rico","63,130","± 4,071"
