"Geographic Area Name","35.0 to 39.9 percent (2024)","MoE"
"Auburn city, Alabama","679","± 417"
"Birmingham city, Alabama","2,543","± 945"
"Dothan city, Alabama","1,099","± 303"
"Hoover city, Alabama","229","± 254"
"Huntsville city, Alabama","1,873","± 735"
"Madison city, Alabama","0","± 213"
"Mobile city, Alabama","2,212","± 902"
"Montgomery city, Alabama","2,377","± 1,229"
"Tuscaloosa city, Alabama","1,109","± 593"
"Anchorage municipality, Alaska","1,436","± 660"
"Avondale city, Arizona","573","± 474"
"Buckeye city, Arizona","556","± 576"
"Casa Grande city, Arizona","620","± 693"
"Casas Adobes CDP, Arizona","238","± 290"
"Chandler city, Arizona","2,965","± 1,290"
"Flagstaff city, Arizona","747","± 443"
"Gilbert town, Arizona","1,575","± 842"
"Glendale city, Arizona","3,558","± 1,049"
"Goodyear city, Arizona","344","± 249"
"Maricopa city, Arizona","507","± 549"
"Mesa city, Arizona","5,019","± 1,511"
"Peoria city, Arizona","1,380","± 742"
"Phoenix city, Arizona","18,416","± 3,082"
"San Tan Valley CDP, Arizona","467","± 373"
"Scottsdale city, Arizona","4,438","± 1,791"
"Surprise city, Arizona","375","± 402"
"Tempe city, Arizona","1,533","± 814"
"Tucson city, Arizona","6,643","± 1,572"
"Yuma city, Arizona","713","± 521"
"Conway city, Arkansas","1,868","± 891"
"Fayetteville city, Arkansas","1,816","± 787"
"Fort Smith city, Arkansas","632","± 413"
"Jonesboro city, Arkansas","1,520","± 898"
"Little Rock city, Arkansas","2,735","± 1,619"
"Rogers city, Arkansas","701","± 524"
"Springdale city, Arkansas","558","± 501"
"Alameda city, California","422","± 282"
"Alhambra city, California","1,062","± 557"
"Anaheim city, California","5,052","± 1,348"
"Antioch city, California","1,267","± 887"
"Apple Valley town, California","2,111","± 1,201"
"Arden-Arcade CDP, California","943","± 536"
"Bakersfield city, California","4,330","± 1,423"
"Baldwin Park city, California","501","± 434"
"Bellflower city, California","1,373","± 705"
"Berkeley city, California","926","± 493"
"Brentwood city, California","45","± 75"
"Buena Park city, California","294","± 258"
"Burbank city, California","1,520","± 872"
"Camarillo city, California","1,427","± 1,013"
"Carlsbad city, California","1,707","± 931"
"Carmichael CDP, California","1,279","± 703"
"Carson city, California","376","± 325"
"Castro Valley CDP, California","465","± 360"
"Chico city, California","1,748","± 787"
"Chino city, California","342","± 240"
"Chino Hills city, California","404","± 404"
"Chula Vista city, California","3,396","± 1,338"
"Citrus Heights city, California","777","± 825"
"Clovis city, California","1,362","± 888"
"Compton city, California","859","± 466"
"Concord city, California","2,031","± 873"
"Corona city, California","1,809","± 852"
"Costa Mesa city, California","1,539","± 857"
"Daly City city, California","1,910","± 1,048"
"Davis city, California","718","± 381"
"Downey city, California","1,385","± 612"
"Dublin city, California","484","± 417"
"East Los Angeles CDP, California","1,193","± 615"
"El Cajon city, California","1,019","± 554"
"Elk Grove city, California","572","± 458"
"El Monte city, California","1,464","± 703"
"Escondido city, California","2,174","± 978"
"Fairfield city, California","964","± 519"
"Folsom city, California","552","± 344"
"Fontana city, California","1,888","± 952"
