"Geographic Area Name","30.0 to 34.9 percent (2024)","MoE"
"Auburn city, Alabama","949","± 549"
"Birmingham city, Alabama","5,633","± 1,998"
"Dothan city, Alabama","1,153","± 315"
"Hoover city, Alabama","888","± 658"
"Huntsville city, Alabama","2,158","± 824"
"Madison city, Alabama","515","± 460"
"Mobile city, Alabama","2,250","± 1,041"
"Montgomery city, Alabama","2,699","± 1,183"
"Tuscaloosa city, Alabama","1,785","± 1,000"
"Anchorage municipality, Alaska","3,544","± 1,286"
"Avondale city, Arizona","1,376","± 862"
"Buckeye city, Arizona","1,211","± 931"
"Casa Grande city, Arizona","567","± 472"
"Casas Adobes CDP, Arizona","1,425","± 846"
"Chandler city, Arizona","4,080","± 1,506"
"Flagstaff city, Arizona","936","± 617"
"Gilbert town, Arizona","2,926","± 1,043"
"Glendale city, Arizona","4,416","± 1,454"
"Goodyear city, Arizona","673","± 603"
"Maricopa city, Arizona","262","± 233"
"Mesa city, Arizona","9,386","± 2,094"
"Peoria city, Arizona","2,464","± 969"
"Phoenix city, Arizona","23,192","± 3,469"
"San Tan Valley CDP, Arizona","591","± 549"
"Scottsdale city, Arizona","2,656","± 920"
"Surprise city, Arizona","1,639","± 1,205"
"Tempe city, Arizona","4,899","± 1,869"
"Tucson city, Arizona","10,659","± 2,220"
"Yuma city, Arizona","598","± 543"
"Conway city, Arkansas","486","± 378"
"Fayetteville city, Arkansas","1,975","± 782"
"Fort Smith city, Arkansas","819","± 620"
"Jonesboro city, Arkansas","1,231","± 792"
"Little Rock city, Arkansas","3,704","± 1,405"
"Rogers city, Arkansas","1,153","± 671"
"Springdale city, Arkansas","1,443","± 592"
"Alameda city, California","1,484","± 681"
"Alhambra city, California","2,123","± 936"
"Anaheim city, California","4,662","± 1,126"
"Antioch city, California","618","± 503"
"Apple Valley town, California","558","± 502"
"Arden-Arcade CDP, California","1,427","± 956"
"Bakersfield city, California","3,965","± 1,190"
"Baldwin Park city, California","757","± 548"
"Bellflower city, California","1,733","± 970"
"Berkeley city, California","1,898","± 696"
"Brentwood city, California","214","± 185"
"Buena Park city, California","609","± 452"
"Burbank city, California","3,021","± 1,316"
"Camarillo city, California","280","± 269"
"Carlsbad city, California","1,063","± 530"
"Carmichael CDP, California","913","± 525"
"Carson city, California","569","± 483"
"Castro Valley CDP, California","473","± 378"
"Chico city, California","1,717","± 850"
"Chino city, California","913","± 687"
"Chino Hills city, California","733","± 624"
"Chula Vista city, California","4,345","± 1,866"
"Citrus Heights city, California","1,563","± 704"
"Clovis city, California","430","± 285"
"Compton city, California","471","± 276"
"Concord city, California","716","± 475"
"Corona city, California","2,619","± 1,238"
"Costa Mesa city, California","4,225","± 1,274"
"Daly City city, California","1,782","± 836"
"Davis city, California","820","± 509"
"Downey city, California","1,494","± 842"
"Dublin city, California","791","± 663"
"East Los Angeles CDP, California","1,303","± 464"
"El Cajon city, California","553","± 278"
"Elk Grove city, California","1,739","± 935"
"El Monte city, California","1,442","± 641"
"Escondido city, California","1,809","± 786"
"Fairfield city, California","421","± 309"
"Folsom city, California","728","± 415"
"Fontana city, California","1,827","± 981"
"Fremont city, California","2,846","± 988"
"Fresno city, California","7,817","± 1,798"
"Fullerton city, California","1,465","± 663"
"Garden Grove city, California","1,591","± 846"
"Glendale city, California","3,949","± 1,286"
"Hawthorne city, California","1,723","± 845"
"Hayward city, California","2,785","± 1,169"
"Hemet city, California","263","± 259"
"Hesperia city, California","875","± 546"
"Huntington Beach city, California","3,514","± 1,234"
"Indio city, California","655","± 544"
"Inglewood city, California","3,335","± 1,237"
"Irvine city, California","4,489","± 1,493"
"Jurupa Valley city, California","1,004","± 716"
"Lake Elsinore city, California","508","± 415"
"Lake Forest city, California","1,480","± 948"
"Lakewood city, California","414","± 332"
"Lancaster city, California","974","± 543"
"Livermore city, California","428","± 502"
"Lodi city, California","1,028","± 519"
"Long Beach city, California","9,871","± 2,053"
"Los Angeles city, California","86,883","± 6,395"
"Lynwood city, California","976","± 521"
"Madera city, California","1,078","± 506"
"Manteca city, California","959","± 600"
"Menifee city, California","736","± 644"
"Merced city, California","1,371","± 936"
"Milpitas city, California","787","± 520"
"Mission Viejo city, California","1,046","± 725"
"Modesto city, California","3,363","± 1,125"
"Moreno Valley city, California","1,757","± 679"
"Mountain View city, California","975","± 716"
"Murrieta city, California","1,337","± 779"
"Napa city, California","1,437","± 676"
"Newport Beach city, California","1,489","± 941"
"Norwalk city, California","710","± 307"
"Oakland city, California","7,810","± 1,757"
"Oceanside city, California","2,896","± 978"
"Ontario city, California","2,163","± 1,055"
"Orange city, California","1,496","± 678"
"Oxnard city, California","2,340","± 846"
"Palmdale city, California","1,204","± 672"
"Palo Alto city, California","807","± 479"
"Pasadena city, California","3,017","± 1,025"
"Perris city, California","1,115","± 668"
"Pittsburg city, California","1,142","± 587"
"Pleasanton city, California","353","± 450"
"Pomona city, California","2,156","± 932"
"Rancho Cordova city, California","1,149","± 615"
"Rancho Cucamonga city, California","2,625","± 973"
"Redding city, California","1,209","± 679"
"Redlands city, California","1,445","± 995"
"Redondo Beach city, California","1,390","± 942"
"Redwood City city, California","593","± 420"
"Rialto city, California","913","± 509"
"Richmond city, California","1,551","± 774"
