"Geographic Area Name","40.0 to 49.9 percent (2024)","MoE"
"Auburn city, Alabama","654","± 451"
"Birmingham city, Alabama","3,441","± 1,228"
"Dothan city, Alabama","1,048","± 354"
"Hoover city, Alabama","2,657","± 1,225"
"Huntsville city, Alabama","2,776","± 1,062"
"Madison city, Alabama","69","± 118"
"Mobile city, Alabama","2,742","± 1,012"
"Montgomery city, Alabama","3,603","± 2,193"
"Tuscaloosa city, Alabama","858","± 582"
"Anchorage municipality, Alaska","2,079","± 1,074"
"Avondale city, Arizona","1,415","± 769"
"Buckeye city, Arizona","731","± 604"
"Casa Grande city, Arizona","781","± 555"
"Casas Adobes CDP, Arizona","682","± 465"
"Chandler city, Arizona","2,440","± 1,286"
"Flagstaff city, Arizona","1,086","± 640"
"Gilbert town, Arizona","2,118","± 954"
"Glendale city, Arizona","5,302","± 1,800"
"Goodyear city, Arizona","1,900","± 1,004"
"Maricopa city, Arizona","452","± 563"
"Mesa city, Arizona","6,161","± 1,534"
"Peoria city, Arizona","2,603","± 1,238"
"Phoenix city, Arizona","27,636","± 3,334"
"San Tan Valley CDP, Arizona","777","± 595"
"Scottsdale city, Arizona","5,047","± 1,504"
"Surprise city, Arizona","303","± 224"
"Tempe city, Arizona","4,034","± 1,500"
"Tucson city, Arizona","13,654","± 2,611"
"Yuma city, Arizona","382","± 347"
"Conway city, Arkansas","2,086","± 989"
"Fayetteville city, Arkansas","2,211","± 1,112"
"Fort Smith city, Arkansas","846","± 572"
"Jonesboro city, Arkansas","1,339","± 1,062"
"Little Rock city, Arkansas","2,624","± 1,046"
"Rogers city, Arkansas","913","± 556"
"Springdale city, Arkansas","1,606","± 680"
"Alameda city, California","854","± 560"
"Alhambra city, California","1,779","± 696"
"Anaheim city, California","5,403","± 1,351"
"Antioch city, California","1,594","± 978"
"Apple Valley town, California","542","± 425"
"Arden-Arcade CDP, California","1,745","± 829"
"Bakersfield city, California","5,321","± 1,450"
"Baldwin Park city, California","653","± 519"
"Bellflower city, California","1,972","± 929"
"Berkeley city, California","1,949","± 871"
"Brentwood city, California","674","± 962"
"Buena Park city, California","1,730","± 873"
"Burbank city, California","2,694","± 1,067"
"Camarillo city, California","579","± 373"
"Carlsbad city, California","1,701","± 837"
"Carmichael CDP, California","1,885","± 934"
"Carson city, California","948","± 612"
"Castro Valley CDP, California","189","± 183"
"Chico city, California","2,746","± 1,227"
"Chino city, California","920","± 579"
"Chino Hills city, California","1,351","± 844"
"Chula Vista city, California","3,205","± 1,354"
"Citrus Heights city, California","953","± 455"
"Clovis city, California","2,384","± 1,111"
"Compton city, California","1,047","± 584"
"Concord city, California","2,663","± 1,047"
"Corona city, California","2,594","± 1,220"
"Costa Mesa city, California","2,744","± 1,087"
"Daly City city, California","1,673","± 763"
"Davis city, California","884","± 412"
"Downey city, California","1,552","± 682"
"Dublin city, California","551","± 536"
"East Los Angeles CDP, California","1,711","± 641"
"El Cajon city, California","2,483","± 894"
"Elk Grove city, California","855","± 524"
"El Monte city, California","1,447","± 651"
"Escondido city, California","1,835","± 853"
"Fairfield city, California","3,049","± 1,156"
"Folsom city, California","1,170","± 726"
"Fontana city, California","2,475","± 1,046"
"Fremont city, California","3,409","± 1,182"
"Fresno city, California","8,769","± 1,804"
"Fullerton city, California","2,659","± 922"
"Garden Grove city, California","2,971","± 950"
"Glendale city, California","5,724","± 1,710"
"Hawthorne city, California","4,040","± 1,545"
"Hayward city, California","1,487","± 896"
"Hemet city, California","2,557","± 1,152"
"Hesperia city, California","1,122","± 586"
"Huntington Beach city, California","4,051","± 1,342"
"Indio city, California","1,234","± 838"
"Inglewood city, California","3,055","± 1,337"
"Irvine city, California","6,836","± 1,938"
"Jurupa Valley city, California","695","± 445"
"Lake Elsinore city, California","591","± 504"
"Lake Forest city, California","1,159","± 617"
"Lakewood city, California","800","± 833"
"Lancaster city, California","1,332","± 756"
"Livermore city, California","865","± 578"
"Lodi city, California","1,288","± 617"
"Long Beach city, California","12,440","± 2,447"
"Los Angeles city, California","88,392","± 5,428"
"Lynwood city, California","786","± 497"
"Madera city, California","1,005","± 507"
"Manteca city, California","959","± 707"
