"Geographic Area Name","40.0 to 49.9 percent (2024)","MoE"
"Menifee city, California","1,043","± 863"
"Merced city, California","599","± 296"
"Milpitas city, California","1,728","± 988"
"Mission Viejo city, California","356","± 229"
"Modesto city, California","3,328","± 1,200"
"Moreno Valley city, California","2,964","± 1,252"
"Mountain View city, California","853","± 410"
"Murrieta city, California","1,959","± 895"
"Napa city, California","1,518","± 735"
"Newport Beach city, California","2,128","± 974"
"Norwalk city, California","1,469","± 802"
"Oakland city, California","9,793","± 2,264"
"Oceanside city, California","2,188","± 848"
"Ontario city, California","2,243","± 860"
"Orange city, California","1,628","± 827"
"Oxnard city, California","2,423","± 920"
"Palmdale city, California","890","± 572"
"Palo Alto city, California","923","± 470"
"Pasadena city, California","3,378","± 1,231"
"Perris city, California","699","± 536"
"Pittsburg city, California","616","± 467"
"Pleasanton city, California","1,418","± 801"
"Pomona city, California","1,870","± 671"
"Rancho Cordova city, California","1,587","± 781"
"Rancho Cucamonga city, California","1,877","± 814"
"Redding city, California","1,251","± 710"
"Redlands city, California","1,296","± 867"
"Redondo Beach city, California","781","± 486"
"Redwood City city, California","763","± 344"
"Rialto city, California","1,061","± 638"
"Richmond city, California","1,237","± 718"
"Riverside city, California","5,016","± 1,637"
"Rocklin city, California","638","± 342"
"Roseville city, California","1,475","± 749"
"Sacramento city, California","8,810","± 1,940"
"Salinas city, California","3,814","± 1,144"
"San Bernardino city, California","4,362","± 1,307"
"San Buenaventura (Ventura) city, California","1,901","± 790"
"San Diego city, California","27,076","± 2,818"
"San Francisco city, California","14,423","± 2,321"
"San Jose city, California","13,224","± 2,735"
"San Leandro city, California","864","± 464"
"San Marcos city, California","834","± 516"
"San Mateo city, California","1,119","± 642"
"San Ramon city, California","1,023","± 721"
"Santa Ana city, California","5,287","± 1,395"
"Santa Barbara city, California","1,636","± 652"
"Santa Clara city, California","1,929","± 742"
"Santa Clarita city, California","3,490","± 1,205"
"Santa Maria city, California","2,115","± 932"
"Santa Monica city, California","1,804","± 803"
"Santa Rosa city, California","3,065","± 1,190"
"Simi Valley city, California","1,052","± 473"
"South Gate city, California","1,169","± 656"
"Stockton city, California","5,511","± 1,552"
"Sunnyvale city, California","2,262","± 1,195"
"Temecula city, California","2,157","± 1,116"
"Thousand Oaks city, California","874","± 512"
"Torrance city, California","2,440","± 1,032"
"Tracy city, California","458","± 321"
"Tulare city, California","1,247","± 741"
"Turlock city, California","2,008","± 980"
"Tustin city, California","2,109","± 1,006"
"Union City city, California","398","± 292"
"Upland city, California","1,068","± 696"
"Vacaville city, California","1,289","± 719"
"Vallejo city, California","2,779","± 1,033"
"Victorville city, California","1,767","± 903"
"Visalia city, California","1,621","± 656"
"Vista city, California","1,369","± 828"
"Walnut Creek city, California","1,408","± 822"
"West Covina city, California","1,096","± 651"
"Westminster city, California","794","± 532"
"Whittier city, California","1,722","± 950"
"Yorba Linda city, California","284","± 325"
"Yuba City city, California","465","± 374"
"Arvada city, Colorado","1,114","± 736"
"Aurora city, Colorado","7,212","± 1,802"
"Boulder city, Colorado","2,070","± 836"
"Broomfield city, Colorado","933","± 453"
"Castle Rock town, Colorado","727","± 575"
"Centennial city, Colorado","478","± 319"
"Colorado Springs city, Colorado","13,095","± 2,789"
"Denver city, Colorado","18,004","± 3,238"
"Fort Collins city, Colorado","3,750","± 1,619"
"Grand Junction city, Colorado","248","± 293"
"Greeley city, Colorado","1,663","± 831"
"Highlands Ranch CDP, Colorado","1,375","± 561"
"Lakewood city, Colorado","2,706","± 927"
"Longmont city, Colorado","1,142","± 493"
"Loveland city, Colorado","685","± 419"
"Parker town, Colorado","765","± 508"
"Pueblo city, Colorado","1,184","± 646"
"Thornton city, Colorado","1,855","± 869"
"Westminster city, Colorado","1,893","± 974"
"Bridgeport city, Connecticut","3,491","± 1,372"
"Danbury city, Connecticut","1,052","± 645"
"Hartford city, Connecticut","3,082","± 1,086"
"New Britain city, Connecticut","1,543","± 753"
"New Haven city, Connecticut","3,089","± 1,205"
"Norwalk city, Connecticut","1,283","± 715"
"Stamford city, Connecticut","2,107","± 1,123"
"Waterbury city, Connecticut","2,517","± 1,233"
"Wilmington city, Delaware","1,585","± 792"
"Washington city, District of Columbia","12,843","± 2,563"
"Alafaya CDP, Florida","911","± 524"
"Boca Raton city, Florida","1,778","± 885"
"Boynton Beach city, Florida","870","± 822"
"Brandon CDP, Florida","1,128","± 738"
"Cape Coral city, Florida","1,085","± 800"
"Clearwater city, Florida","3,584","± 1,477"
"Coral Springs city, Florida","1,670","± 788"
"Davie town, Florida","1,292","± 982"
"Daytona Beach city, Florida","3,100","± 1,292"
"Deerfield Beach city, Florida","1,845","± 1,090"
"Delray Beach city, Florida","1,807","± 1,007"
"Deltona city, Florida","473","± 322"
"Doral city, Florida","1,624","± 749"
"Fort Lauderdale city, Florida","3,868","± 1,374"
"Fort Myers city, Florida","2,249","± 894"
"Four Corners CDP, Florida","1,516","± 1,100"
"Gainesville city, Florida","4,165","± 1,925"
"Hialeah city, Florida","5,493","± 1,638"
"Hollywood city, Florida","4,595","± 1,585"
"Homestead city, Florida","1,255","± 677"
"Horizon West CDP, Florida","669","± 517"
"Jacksonville city, Florida","19,769","± 3,239"
"Kendall CDP, Florida","2,345","± 1,179"
"Kissimmee city, Florida","1,734","± 1,039"
"Lakeland city, Florida","1,752","± 1,003"
"Largo city, Florida","1,522","± 664"
"Lauderhill city, Florida","500","± 504"
"Lehigh Acres CDP, Florida","724","± 689"
"Melbourne city, Florida","2,412","± 1,018"
"Miami city, Florida","13,353","± 2,311"
"Miami Beach city, Florida","3,457","± 1,109"
"Miami Gardens city, Florida","832","± 494"
"Miramar city, Florida","2,263","± 1,179"
"North Port city, Florida","984","± 587"
"Ocala city, Florida","1,276","± 834"
"Orlando city, Florida","10,202","± 2,552"
"Palm Bay city, Florida","865","± 662"
"Palm Coast city, Florida","374","± 283"
"Pembroke Pines city, Florida","3,018","± 1,268"
"Pine Hills CDP, Florida","1,270","± 906"
"Plantation city, Florida","1,229","± 773"
"Poinciana CDP, Florida","1,238","± 1,116"
"Pompano Beach city, Florida","2,751","± 1,149"
"Port Orange city, Florida","658","± 474"
"Port St. Lucie city, Florida","2,876","± 1,486"
"Riverview CDP, Florida","1,201","± 1,046"
"St. Petersburg city, Florida","6,864","± 1,973"
"Sanford city, Florida","1,605","± 1,023"
"Spring Hill CDP, Florida","898","± 528"
"Sunrise city, Florida","1,638","± 996"
"Tallahassee city, Florida","3,741","± 1,319"
"Tamarac city, Florida","1,120","± 643"
"Tampa city, Florida","11,195","± 2,095"
"Town 'n' Country CDP, Florida","1,500","± 946"
"Wesley Chapel CDP, Florida","576","± 744"
"Weston city, Florida","1,002","± 824"
"West Palm Beach city, Florida","1,989","± 968"
"Albany city, Georgia","1,155","± 654"
"Alpharetta city, Georgia","369","± 282"
"Athens-Clarke County unified government (balance), Georgia","3,004","± 1,301"
"Atlanta city, Georgia","10,109","± 2,535"
"Augusta-Richmond County consolidated government (balance), Georgia","2,936","± 1,118"
"Columbus city, Georgia","3,358","± 1,473"
"Johns Creek city, Georgia","281","± 305"
"Mableton city, Georgia","1,309","± 890"
"Macon-Bibb County, Georgia","2,405","± 1,078"
"Roswell city, Georgia","463","± 426"
"Sandy Springs city, Georgia","1,685","± 874"
"Savannah city, Georgia","2,429","± 912"
"South Fulton city, Georgia","2,051","± 1,250"
"Warner Robins city, Georgia","1,172","± 711"
"Urban Honolulu CDP, Hawaii","7,333","± 1,674"
"Boise City city, Idaho","2,448","± 787"
"Caldwell city, Idaho","279","± 365"
"Idaho Falls city, Idaho","946","± 619"
"Meridian city, Idaho","1,595","± 699"
"Nampa city, Idaho","1,017","± 530"
"Arlington Heights village, Illinois","411","± 483"
"Aurora city, Illinois","1,690","± 807"
"Bloomington city, Illinois","1,040","± 630"
"Bolingbrook village, Illinois","1,456","± 1,013"
"Champaign city, Illinois","980","± 566"
"Chicago city, Illinois","46,806","± 5,525"
"Cicero town, Illinois","585","± 500"
"Decatur city, Illinois","829","± 597"
"Elgin city, Illinois","359","± 342"
"Evanston city, Illinois","1,408","± 805"
"Joliet city, Illinois","541","± 351"
"Naperville city, Illinois","1,248","± 686"
"Palatine village, Illinois","471","± 368"
"Peoria city, Illinois","1,952","± 930"
"Rockford city, Illinois","2,370","± 859"
"Schaumburg village, Illinois","758","± 574"
"Skokie village, Illinois","130","± 216"
"Springfield city, Illinois","849","± 499"
"Waukegan city, Illinois","1,107","± 642"
"Bloomington city, Indiana","2,343","± 948"
"Carmel city, Indiana","360","± 380"
"Evansville city, Indiana","3,307","± 1,315"
"Fishers city, Indiana","696","± 488"
"Fort Wayne city, Indiana","4,043","± 1,580"
"Gary city, Indiana","687","± 460"
"Greenwood city, Indiana","650","± 483"
"Hammond city, Indiana","869","± 652"
"Indianapolis city (balance), Indiana","15,131","± 2,979"
"Lafayette city, Indiana","1,442","± 661"
"Muncie city, Indiana","1,021","± 547"
"Noblesville city, Indiana","945","± 820"
"South Bend city, Indiana","1,621","± 745"
"Ames city, Iowa","2,052","± 940"
"Ankeny city, Iowa","575","± 349"
"Cedar Rapids city, Iowa","1,592","± 686"
"Davenport city, Iowa","1,181","± 703"
"Des Moines city, Iowa","2,432","± 938"
"Iowa City city, Iowa","1,986","± 818"
"Sioux City city, Iowa","401","± 343"
"Waterloo city, Iowa","931","± 446"
"West Des Moines city, Iowa","1,354","± 873"
"Kansas City city, Kansas","2,451","± 1,062"
"Lawrence city, Kansas","1,379","± 821"
"Olathe city, Kansas","249","± 235"
"Overland Park city, Kansas","2,477","± 773"
"Shawnee city, Kansas","935","± 744"
"Topeka city, Kansas","2,351","± 1,030"
"Wichita city, Kansas","3,925","± 1,197"
"Bowling Green city, Kentucky","1,244","± 840"
"Lexington-Fayette urban county, Kentucky","4,737","± 1,266"
"Louisville/Jefferson County metro government (balance), Kentucky","6,646","± 1,686"
"Baton Rouge city, Louisiana","3,142","± 1,285"
"Kenner city, Louisiana","1,083","± 737"
"Lafayette city, Louisiana","768","± 437"
"Lake Charles city, Louisiana","811","± 656"
"Metairie CDP, Louisiana","2,399","± 1,281"
"New Orleans city, Louisiana","7,514","± 1,612"
"Shreveport city, Louisiana","3,778","± 1,456"
"Portland city, Maine","1,700","± 761"
"Baltimore city, Maryland","14,374","± 2,792"
"Bethesda CDP, Maryland","758","± 570"
"Columbia CDP, Maryland","882","± 564"
"Ellicott City CDP, Maryland","1,005","± 711"
"Frederick city, Maryland","1,382","± 716"
"Gaithersburg city, Maryland","573","± 436"
"Germantown CDP, Maryland","433","± 322"
"Glen Burnie CDP, Maryland","1,758","± 1,028"
"Rockville city, Maryland","1,557","± 692"
"Silver Spring CDP, Maryland","1,632","± 856"
"Boston city, Massachusetts","16,254","± 2,333"
"Brockton city, Massachusetts","1,284","± 830"
"Cambridge city, Massachusetts","2,570","± 927"
"Fall River city, Massachusetts","3,391","± 1,422"
"Framingham city, Massachusetts","1,320","± 731"
"Haverhill city, Massachusetts","757","± 509"
"Lawrence city, Massachusetts","1,654","± 787"
"Lowell city, Massachusetts","1,889","± 935"
"Lynn city, Massachusetts","2,357","± 1,098"
"Malden city, Massachusetts","1,182","± 730"
"New Bedford city, Massachusetts","2,465","± 907"
"Newton city, Massachusetts","851","± 476"
"Quincy city, Massachusetts","3,117","± 1,408"
"Somerville city, Massachusetts","1,106","± 572"
"Springfield city, Massachusetts","2,719","± 937"
"Waltham city, Massachusetts","1,038","± 594"
"Worcester city, Massachusetts","3,684","± 1,083"
"Ann Arbor city, Michigan","2,729","± 1,112"
"Dearborn city, Michigan","831","± 452"
"Detroit city, Michigan","10,010","± 2,142"
"Farmington Hills city, Michigan","864","± 602"
"Flint city, Michigan","1,664","± 935"
"Grand Rapids city, Michigan","2,550","± 1,189"
"Kalamazoo city, Michigan","1,861","± 1,103"
"Lansing city, Michigan","2,430","± 962"
"Livonia city, Michigan","176","± 156"
"Novi city, Michigan","240","± 134"
"Rochester Hills city, Michigan","562","± 546"
"Southfield city, Michigan","1,362","± 794"
"Sterling Heights city, Michigan","941","± 526"
"Troy city, Michigan","536","± 333"
"Warren city, Michigan","1,193","± 704"
"Westland city, Michigan","1,667","± 904"
"Wyoming city, Michigan","934","± 647"
"Blaine city, Minnesota","467","± 438"
"Bloomington city, Minnesota","1,079","± 629"
"Brooklyn Park city, Minnesota","877","± 777"
"Duluth city, Minnesota","806","± 434"
"Eagan city, Minnesota","706","± 471"
"Maple Grove city, Minnesota","536","± 367"
"Minneapolis city, Minnesota","7,206","± 1,522"
"Plymouth city, Minnesota","926","± 591"
"Rochester city, Minnesota","1,479","± 641"
"St. Cloud city, Minnesota","785","± 560"
"St. Paul city, Minnesota","4,934","± 1,297"
"Woodbury city, Minnesota","636","± 535"
"Gulfport city, Mississippi","948","± 565"
"Jackson city, Mississippi","3,204","± 1,316"
"Columbia city, Missouri","2,486","± 1,100"
"Independence city, Missouri","2,397","± 1,192"
"Kansas City city, Missouri","7,621","± 1,866"
"Lee's Summit city, Missouri","557","± 389"
"O'Fallon city, Missouri","1,034","± 759"
"St. Charles city, Missouri","501","± 308"
"St. Joseph city, Missouri","654","± 368"
"St. Louis city, Missouri","5,457","± 1,776"
"Springfield city, Missouri","2,653","± 944"
"Billings city, Montana","2,152","± 1,228"
"Missoula city, Montana","2,222","± 774"
"Lincoln city, Nebraska","5,198","± 1,201"
"Omaha city, Nebraska","8,542","± 2,025"
"Enterprise CDP, Nevada","2,967","± 1,383"
"Henderson city, Nevada","3,994","± 1,379"
"Las Vegas city, Nevada","13,570","± 2,249"
"North Las Vegas city, Nevada","2,640","± 1,166"
"Paradise CDP, Nevada","5,721","± 1,813"
"Reno city, Nevada","6,516","± 1,627"
"Sparks city, Nevada","1,227","± 845"
"Spring Valley CDP, Nevada","5,792","± 1,791"
"Sunrise Manor CDP, Nevada","3,625","± 1,170"
"Manchester city, New Hampshire","2,008","± 862"
"Nashua city, New Hampshire","2,678","± 1,301"
"Bayonne city, New Jersey","1,230","± 659"
"Camden city, New Jersey","2,093","± 1,036"
"Clifton city, New Jersey","2,739","± 1,345"
"East Orange city, New Jersey","2,064","± 1,098"
"Elizabeth city, New Jersey","5,030","± 1,481"
"Jersey City city, New Jersey","8,006","± 1,740"
"Lakewood CDP, New Jersey","301","± 280"
"Newark city, New Jersey","8,124","± 1,996"
"Passaic city, New Jersey","1,719","± 721"
"Paterson city, New Jersey","3,074","± 1,007"
"Toms River CDP, New Jersey","81","± 143"
"Trenton city, New Jersey","889","± 589"
"Union City city, New Jersey","1,838","± 943"
"Albuquerque city, New Mexico","6,332","± 1,581"
"Las Cruces city, New Mexico","1,165","± 639"
"Rio Rancho city, New Mexico","707","± 611"
"Santa Fe city, New Mexico","2,273","± 861"
"Albany city, New York","3,115","± 1,214"
"Buffalo city, New York","3,386","± 1,033"
"Cheektowaga CDP, New York","356","± 306"
"Mount Vernon city, New York","1,436","± 751"
"New Rochelle city, New York","995","± 750"
"New York city, New York","178,136","± 8,938"
"Rochester city, New York","4,758","± 1,437"
"Schenectady city, New York","1,796","± 995"
"Syracuse city, New York","1,891","± 1,023"
"Yonkers city, New York","4,782","± 1,356"
"Apex town, North Carolina","712","± 428"
"Asheville city, North Carolina","947","± 563"
"Cary town, North Carolina","1,198","± 559"
"Charlotte city, North Carolina","18,912","± 3,096"
"Concord city, North Carolina","1,527","± 801"
"Durham city, North Carolina","6,586","± 1,866"
"Fayetteville city, North Carolina","5,212","± 1,054"
"Gastonia city, North Carolina","1,292","± 708"
"Greensboro city, North Carolina","7,781","± 2,026"
"Greenville city, North Carolina","1,538","± 890"
"High Point city, North Carolina","2,974","± 1,306"
"Huntersville town, North Carolina","427","± 292"
"Jacksonville city, North Carolina","1,429","± 849"
"Raleigh city, North Carolina","8,742","± 1,784"
"Wilmington city, North Carolina","2,764","± 1,107"
"Winston-Salem city, North Carolina","3,634","± 1,492"
"Bismarck city, North Dakota","609","± 449"
"Fargo city, North Dakota","2,834","± 1,128"
"Akron city, Ohio","1,944","± 932"
"Canton city, Ohio","944","± 488"
"Cincinnati city, Ohio","5,599","± 1,485"
"Cleveland city, Ohio","5,708","± 1,398"
"Columbus city, Ohio","19,644","± 3,114"
"Dayton city, Ohio","2,564","± 1,194"
"Lorain city, Ohio","479","± 437"
"Parma city, Ohio","1,156","± 718"
"Toledo city, Ohio","4,059","± 1,362"
"Broken Arrow city, Oklahoma","1,039","± 443"
"Edmond city, Oklahoma","745","± 418"
"Lawton city, Oklahoma","1,335","± 474"
"Norman city, Oklahoma","1,025","± 527"
"Oklahoma City city, Oklahoma","11,625","± 2,510"
"Tulsa city, Oklahoma","7,871","± 1,274"
"Beaverton city, Oregon","1,267","± 592"
"Bend city, Oregon","1,751","± 995"
"Eugene city, Oregon","4,657","± 1,308"
"Gresham city, Oregon","1,822","± 879"
"Hillsboro city, Oregon","2,400","± 1,082"
"Medford city, Oregon","1,293","± 688"
"Portland city, Oregon","13,216","± 2,244"
"Salem city, Oregon","2,729","± 1,210"
"Allentown city, Pennsylvania","2,313","± 1,129"
"Bethlehem city, Pennsylvania","1,356","± 793"
"Erie city, Pennsylvania","1,819","± 660"
"Philadelphia city, Pennsylvania","25,555","± 4,706"
"Pittsburgh city, Pennsylvania","4,545","± 1,225"
"Reading city, Pennsylvania","1,985","± 1,041"
"Scranton city, Pennsylvania","685","± 486"
"Cranston city, Rhode Island","505","± 372"
"Pawtucket city, Rhode Island","1,348","± 724"
"Providence city, Rhode Island","3,228","± 1,315"
"Warwick city, Rhode Island","792","± 801"
"Charleston city, South Carolina","2,673","± 962"
"Columbia city, South Carolina","3,485","± 1,653"
"Greenville city, South Carolina","1,405","± 786"
"Mount Pleasant town, South Carolina","940","± 441"
"North Charleston city, South Carolina","2,489","± 1,488"
"Rock Hill city, South Carolina","1,274","± 808"
"Rapid City city, South Dakota","806","± 445"
"Sioux Falls city, South Dakota","2,861","± 1,218"
"Chattanooga city, Tennessee","2,944","± 1,221"
"Clarksville city, Tennessee","3,357","± 1,761"
"Franklin city, Tennessee","716","± 528"
"Jackson city, Tennessee","1,367","± 803"
"Johnson City city, Tennessee","1,312","± 769"
"Knoxville city, Tennessee","4,868","± 1,464"
"Memphis city, Tennessee","15,832","± 3,073"
"Murfreesboro city, Tennessee","3,008","± 990"
"Nashville-Davidson metropolitan government (balance), Tennessee","14,253","± 2,571"
"Abilene city, Texas","2,053","± 910"
"Allen city, Texas","966","± 696"
"Amarillo city, Texas","2,170","± 897"
"Arlington city, Texas","9,484","± 2,038"
"Austin city, Texas","25,391","± 3,783"
"Baytown city, Texas","938","± 647"
"Beaumont city, Texas","1,819","± 1,028"
"Brownsville city, Texas","2,863","± 1,100"
"Bryan city, Texas","1,486","± 646"
"Carrollton city, Texas","1,717","± 798"
"Cedar Park city, Texas","1,750","± 1,067"
"College Station city, Texas","2,672","± 1,163"
"Conroe city, Texas","1,985","± 809"
"Corpus Christi city, Texas","4,903","± 1,497"
"Dallas city, Texas","29,648","± 4,323"
"Denton city, Texas","3,354","± 1,165"
"Edinburg city, Texas","2,189","± 1,021"
"El Paso city, Texas","8,306","± 1,866"
"Flower Mound town, Texas","474","± 426"
"Fort Worth city, Texas","12,868","± 2,423"
"Frisco city, Texas","1,709","± 839"
"Garland city, Texas","3,156","± 1,322"
"Georgetown city, Texas","1,153","± 650"
"Grand Prairie city, Texas","1,999","± 790"
"Harlingen city, Texas","2,391","± 1,226"
"Houston city, Texas","55,674","± 6,418"
"Irving city, Texas","5,777","± 1,553"
"Killeen city, Texas","3,087","± 1,192"
"Laredo city, Texas","2,074","± 957"
"League City city, Texas","1,109","± 654"
"Leander city, Texas","126","± 132"
"Lewisville city, Texas","3,208","± 1,376"
"Longview city, Texas","1,234","± 681"
"Lubbock city, Texas","5,236","± 1,350"
"McAllen city, Texas","1,969","± 794"
"McKinney city, Texas","2,437","± 913"
"Mansfield city, Texas","205","± 332"
"Mesquite city, Texas","2,057","± 1,114"
"Midland city, Texas","1,335","± 691"
"Mission city, Texas","317","± 301"
"Missouri City city, Texas","393","± 506"
"New Braunfels city, Texas","836","± 668"
"North Richland Hills city, Texas","1,584","± 818"
"Odessa city, Texas","1,073","± 840"
"Pasadena city, Texas","3,264","± 1,156"
"Pearland city, Texas","1,153","± 728"
"Pflugerville city, Texas","35","± 57"
"Pharr city, Texas","579","± 555"
"Plano city, Texas","4,124","± 1,452"
"Richardson city, Texas","2,096","± 1,134"
"Round Rock city, Texas","1,948","± 1,057"
"Rowlett city, Texas","1,723","± 1,276"
"San Angelo city, Texas","1,334","± 789"
"San Antonio city, Texas","27,792","± 4,583"
"San Marcos city, Texas","3,249","± 1,237"
"Spring CDP, Texas","855","± 705"
"Sugar Land city, Texas","525","± 447"
"Temple city, Texas","1,836","± 930"
"The Woodlands CDP, Texas","1,284","± 858"
"Tyler city, Texas","1,545","± 899"
"Victoria city, Texas","871","± 554"
"Waco city, Texas","4,341","± 1,554"
"Wichita Falls city, Texas","1,545","± 703"
"Layton city, Utah","508","± 388"
"Lehi city, Utah","65","± 109"
"Ogden city, Utah","955","± 529"
"Orem city, Utah","519","± 323"
"Provo city, Utah","1,778","± 889"
"St. George city, Utah","2,316","± 1,084"
"Salt Lake City city, Utah","4,949","± 1,733"
"Sandy city, Utah","463","± 470"
"South Jordan city, Utah","468","± 416"
"West Jordan city, Utah","642","± 591"
"West Valley City city, Utah","2,046","± 972"
"Alexandria city, Virginia","4,054","± 1,185"
"Arlington CDP, Virginia","3,678","± 1,289"
"Centreville CDP, Virginia","278","± 239"
"Chesapeake city, Virginia","2,281","± 895"
"Hampton city, Virginia","2,712","± 1,197"
"Lynchburg city, Virginia","1,267","± 573"
"Newport News city, Virginia","3,164","± 1,042"
"Norfolk city, Virginia","6,134","± 1,660"
"Portsmouth city, Virginia","2,998","± 1,462"
"Reston CDP, Virginia","552","± 320"
"Richmond city, Virginia","4,902","± 1,448"
"Roanoke city, Virginia","1,761","± 1,082"
"Suffolk city, Virginia","747","± 456"
"Virginia Beach city, Virginia","7,347","± 1,933"
"Auburn city, Washington","983","± 763"
"Bellevue city, Washington","1,579","± 564"
"Bellingham city, Washington","1,762","± 725"
"Everett city, Washington","2,958","± 1,459"
"Federal Way city, Washington","1,886","± 1,100"
"Kennewick city, Washington","1,406","± 1,019"
"Kent city, Washington","1,771","± 916"
"Kirkland city, Washington","1,581","± 830"
"Marysville city, Washington","1,070","± 774"
"Pasco city, Washington","345","± 313"
"Redmond city, Washington","1,799","± 1,013"
"Renton city, Washington","1,665","± 678"
"Sammamish city, Washington","387","± 314"
"Seattle city, Washington","16,242","± 2,297"
"Shoreline city, Washington","581","± 410"
"South Hill CDP, Washington","1,241","± 1,053"
"Spokane city, Washington","3,340","± 995"
"Spokane Valley city, Washington","1,650","± 885"
"Tacoma city, Washington","5,347","± 1,773"
"Vancouver city, Washington","3,347","± 911"
"Yakima city, Washington","2,157","± 1,106"
"Appleton city, Wisconsin","824","± 508"
"Eau Claire city, Wisconsin","512","± 369"
"Green Bay city, Wisconsin","1,306","± 652"
"Janesville city, Wisconsin","584","± 360"
"Kenosha city, Wisconsin","1,345","± 663"
"Madison city, Wisconsin","7,848","± 1,949"
"Milwaukee city, Wisconsin","10,886","± 2,461"
"Oshkosh city, Wisconsin","572","± 315"
"Racine city, Wisconsin","2,872","± 1,390"
"Waukesha city, Wisconsin","849","± 485"
"Cheyenne city, Wyoming","1,238","± 767"
"Bayamón zona urbana, Puerto Rico","932","± 470"
"Caguas zona urbana, Puerto Rico","226","± 245"
"Carolina zona urbana, Puerto Rico","793","± 546"
