"Geographic Area Name","30.0 to 34.9 percent (2021)","MoE"
"Auburn city, Alabama","1,006","± 782"
"Birmingham city, Alabama","3,751","± 1,078"
"Dothan city, Alabama","1,392","± 547"
"Hoover city, Alabama","741","± 488"
"Huntsville city, Alabama","2,628","± 950"
"Mobile city, Alabama","3,106","± 1,112"
"Montgomery city, Alabama","2,584","± 1,008"
"Tuscaloosa city, Alabama","1,592","± 891"
"Anchorage municipality, Alaska","4,588","± 1,296"
"Avondale city, Arizona","778","± 604"
"Casas Adobes CDP, Arizona","672","± 341"
"Chandler city, Arizona","4,276","± 1,183"
"Flagstaff city, Arizona","1,192","± 714"
"Gilbert town, Arizona","2,509","± 1,026"
"Glendale city, Arizona","2,616","± 863"
"Goodyear city, Arizona","868","± 781"
"Mesa city, Arizona","6,400","± 1,466"
"Peoria city, Arizona","1,628","± 870"
"Phoenix city, Arizona","20,307","± 2,619"
"Scottsdale city, Arizona","2,884","± 1,237"
"Surprise city, Arizona","1,460","± 782"
"Tempe city, Arizona","3,823","± 1,254"
"Tucson city, Arizona","8,694","± 1,624"
"Yuma city, Arizona","1,787","± 957"
"Conway city, Arkansas","1,836","± 920"
"Fayetteville city, Arkansas","1,959","± 895"
"Fort Smith city, Arkansas","1,147","± 685"
"Jonesboro city, Arkansas","842","± 596"
"Little Rock city, Arkansas","4,219","± 1,620"
"Rogers city, Arkansas","1,051","± 784"
"Springdale city, Arkansas","906","± 634"
"Alameda city, California","1,074","± 458"
"Alhambra city, California","1,534","± 648"
"Anaheim city, California","5,621","± 1,372"
"Antioch city, California","878","± 517"
"Apple Valley town, California","752","± 604"
"Arden-Arcade CDP, California","1,611","± 824"
"Bakersfield city, California","3,651","± 1,174"
"Baldwin Park city, California","514","± 414"
"Bellflower city, California","927","± 442"
"Berkeley city, California","1,891","± 829"
"Buena Park city, California","676","± 438"
"Burbank city, California","2,256","± 1,022"
"Camarillo city, California","1,623","± 818"
"Carlsbad city, California","1,623","± 795"
"Carmichael CDP, California","1,848","± 756"
"Carson city, California","688","± 423"
"Castro Valley CDP, California","486","± 476"
"Chico city, California","1,220","± 473"
"Chino city, California","841","± 441"
"Chino Hills city, California","427","± 398"
"Chula Vista city, California","3,634","± 1,309"
"Citrus Heights city, California","1,225","± 713"
"Clovis city, California","860","± 448"
"Compton city, California","318","± 221"
"Concord city, California","1,412","± 743"
"Corona city, California","2,113","± 772"
"Costa Mesa city, California","1,937","± 913"
"Daly City city, California","1,219","± 701"
"Davis city, California","1,197","± 581"
"Downey city, California","2,845","± 1,003"
"Dublin city, California","310","± 274"
"East Los Angeles CDP, California","1,556","± 581"
"El Cajon city, California","1,513","± 907"
"Elk Grove city, California","1,134","± 544"
"El Monte city, California","787","± 306"
"Escondido city, California","2,413","± 739"
"Fairfield city, California","1,971","± 846"
"Folsom city, California","654","± 481"
"Fontana city, California","1,172","± 604"
"Fremont city, California","2,267","± 654"
"Fresno city, California","6,689","± 1,414"
"Fullerton city, California","2,658","± 1,016"
"Garden Grove city, California","1,889","± 620"
"Glendale city, California","3,560","± 1,052"
"Hawthorne city, California","1,466","± 530"
"Hayward city, California","2,273","± 794"
"Hemet city, California","1,219","± 850"
"Hesperia city, California","1,509","± 830"
"Huntington Beach city, California","2,414","± 781"
"Indio city, California","1,300","± 828"
"Inglewood city, California","2,768","± 1,071"
"Irvine city, California","5,983","± 1,628"
"Jurupa Valley city, California","877","± 477"
"Lake Elsinore city, California","663","± 515"
"Lake Forest city, California","1,207","± 731"
"Lakewood city, California","1,110","± 625"
"Lancaster city, California","1,452","± 736"
"Livermore city, California","1,173","± 659"
"Lodi city, California","1,238","± 703"
"Long Beach city, California","10,878","± 1,724"
"Los Angeles city, California","75,097","± 4,723"
"Lynwood city, California","890","± 480"
"Madera city, California","530","± 380"
"Manteca city, California","895","± 598"
"Menifee city, California","329","± 402"
"Merced city, California","1,178","± 875"
"Milpitas city, California","981","± 501"
"Mission Viejo city, California","904","± 486"
"Modesto city, California","2,711","± 965"
"Moreno Valley city, California","2,477","± 775"
"Mountain View city, California","2,408","± 918"
"Murrieta city, California","951","± 588"
"Napa city, California","1,292","± 516"
"Newport Beach city, California","1,361","± 706"
"Norwalk city, California","638","± 486"
"Oakland city, California","10,398","± 1,961"
"Oceanside city, California","3,947","± 1,083"
"Ontario city, California","2,254","± 823"
"Orange city, California","2,614","± 1,013"
"Oxnard city, California","1,981","± 751"
"Palmdale city, California","1,152","± 669"
"Palo Alto city, California","988","± 480"
"Pasadena city, California","2,530","± 798"
"Perris city, California","403","± 492"
"Pittsburg city, California","694","± 373"
"Pleasanton city, California","801","± 520"
"Pomona city, California","1,296","± 596"
"Rancho Cordova city, California","1,210","± 515"
"Rancho Cucamonga city, California","2,237","± 1,003"
"Redding city, California","1,103","± 500"
"Redlands city, California","757","± 359"
"Redondo Beach city, California","779","± 355"
"Redwood City city, California","443","± 251"
"Rialto city, California","1,330","± 607"
"Richmond city, California","1,461","± 847"
"Riverside city, California","3,962","± 1,046"
"Rocklin city, California","1,291","± 644"
"Roseville city, California","1,538","± 659"
"Sacramento city, California","8,506","± 1,701"
"Salinas city, California","2,536","± 849"
"San Bernardino city, California","2,886","± 1,195"
"San Buenaventura (Ventura) city, California","1,607","± 934"
"San Diego city, California","24,987","± 3,230"
"San Francisco city, California","15,887","± 2,360"
"San Jose city, California","15,425","± 1,948"
"San Leandro city, California","1,119","± 634"
"San Marcos city, California","1,012","± 651"
"San Mateo city, California","1,429","± 541"
"San Ramon city, California","1,113","± 679"
"Santa Ana city, California","4,580","± 1,851"
"Santa Barbara city, California","2,305","± 1,035"
"Santa Clara city, California","2,046","± 857"
"Santa Clarita city, California","1,444","± 781"
"Santa Maria city, California","1,307","± 474"
"Santa Monica city, California","3,729","± 1,235"
"Santa Rosa city, California","4,243","± 1,150"
"Simi Valley city, California","1,670","± 795"
"South Gate city, California","691","± 412"
"Stockton city, California","4,446","± 1,607"
"Sunnyvale city, California","2,261","± 893"
"Temecula city, California","890","± 524"
"Thousand Oaks city, California","996","± 540"
"Torrance city, California","2,060","± 775"
"Tracy city, California","283","± 222"
"Tulare city, California","909","± 612"
"Turlock city, California","614","± 549"
"Tustin city, California","893","± 467"
"Union City city, California","765","± 525"
"Upland city, California","1,606","± 798"
"Vacaville city, California","917","± 579"
"Vallejo city, California","1,601","± 608"
"Victorville city, California","1,101","± 847"
"Visalia city, California","3,364","± 1,401"
"Vista city, California","1,535","± 684"
"Walnut Creek city, California","1,031","± 615"
"West Covina city, California","1,496","± 659"
"Westminster city, California","1,503","± 607"
"Whittier city, California","1,518","± 619"
"Yorba Linda city, California","200","± 189"
"Yuba City city, California","1,166","± 557"
"Arvada city, Colorado","1,143","± 505"
"Aurora city, Colorado","4,584","± 1,221"
"Boulder city, Colorado","1,243","± 555"
"Broomfield city, Colorado","1,126","± 476"
"Castle Rock town, Colorado","272","± 269"
"Centennial city, Colorado","300","± 215"
"Colorado Springs city, Colorado","8,740","± 1,950"
"Denver city, Colorado","14,910","± 2,013"
"Fort Collins city, Colorado","4,105","± 1,358"
"Grand Junction city, Colorado","1,049","± 642"
"Greeley city, Colorado","1,628","± 685"
"Highlands Ranch CDP, Colorado","656","± 449"
"Lakewood city, Colorado","2,805","± 983"
"Longmont city, Colorado","2,146","± 723"
"Loveland city, Colorado","1,542","± 738"
"Pueblo city, Colorado","1,115","± 534"
"Thornton city, Colorado","566","± 406"
"Westminster city, Colorado","1,597","± 780"
"Bridgeport city, Connecticut","2,855","± 1,026"
"Danbury city, Connecticut","2,211","± 1,008"
"Hartford city, Connecticut","2,754","± 1,009"
"New Britain city, Connecticut","1,782","± 713"
"New Haven city, Connecticut","2,707","± 946"
"Norwalk city, Connecticut","1,675","± 779"
"Stamford city, Connecticut","2,252","± 890"
"Waterbury city, Connecticut","1,957","± 869"
"Wilmington city, Delaware","670","± 485"
"Washington city, District of Columbia","16,123","± 2,292"
"Alafaya CDP, Florida","1,373","± 1,405"
"Boca Raton city, Florida","852","± 549"
"Boynton Beach city, Florida","799","± 507"
"Brandon CDP, Florida","1,307","± 741"
"Cape Coral city, Florida","1,205","± 702"
"Clearwater city, Florida","2,649","± 950"
"Coral Springs city, Florida","2,578","± 1,359"
"Davie town, Florida","333","± 288"
"Daytona Beach city, Florida","1,599","± 942"
"Deerfield Beach city, Florida","893","± 661"
"Delray Beach city, Florida","980","± 598"
"Deltona city, Florida","319","± 272"
"Doral city, Florida","1,020","± 537"
"Fort Lauderdale city, Florida","3,195","± 1,102"
"Fort Myers city, Florida","896","± 595"
"Gainesville city, Florida","1,815","± 821"
"Hialeah city, Florida","3,671","± 1,017"
"Hollywood city, Florida","1,974","± 869"
"Homestead city, Florida","595","± 612"
"Jacksonville city, Florida","16,092","± 3,172"
"Kendall CDP, Florida","953","± 583"
"Kissimmee city, Florida","1,420","± 791"
"Lakeland city, Florida","2,016","± 869"
"Largo city, Florida","2,107","± 1,149"
"Lauderhill city, Florida","942","± 557"
"Lehigh Acres CDP, Florida","689","± 420"
"Melbourne city, Florida","1,138","± 660"
"Miami city, Florida","13,871","± 2,123"
"Miami Beach city, Florida","2,794","± 1,062"
"Miami Gardens city, Florida","747","± 522"
"Miramar city, Florida","1,673","± 879"
"Orlando city, Florida","8,424","± 1,882"
"Palm Bay city, Florida","516","± 481"
"Palm Coast city, Florida","397","± 280"
"Pembroke Pines city, Florida","2,765","± 1,218"
"Pine Hills CDP, Florida","1,389","± 843"
"Plantation city, Florida","866","± 587"
"Pompano Beach city, Florida","2,056","± 866"
"Port Charlotte CDP, Florida","611","± 491"
"Port St. Lucie city, Florida","1,201","± 776"
"Riverview CDP, Florida","1,380","± 898"
"St. Petersburg city, Florida","4,456","± 1,393"
"Spring Hill CDP, Florida","405","± 292"
"Sunrise city, Florida","877","± 619"
