"Geographic Area Name","Total Cost Burden","MoE"
"Tacoma city, Washington","37,663","± 2,829"
"Vancouver city, Washington","40,330","± 2,285"
"Yakima city, Washington","16,713","± 1,886"
"Appleton city, Wisconsin","9,737","± 1,282"
"Eau Claire city, Wisconsin","12,259","± 1,446"
"Green Bay city, Wisconsin","19,700","± 2,116"
"Janesville city, Wisconsin","9,313","± 1,281"
"Kenosha city, Wisconsin","15,814","± 1,635"
"Madison city, Wisconsin","63,695","± 3,177"
"Milwaukee city, Wisconsin","136,318","± 3,893"
"Oshkosh city, Wisconsin","13,393","± 1,364"
"Racine city, Wisconsin","14,570","± 1,514"
"Waukesha city, Wisconsin","12,650","± 1,452"
"Cheyenne city, Wyoming","10,819","± 1,656"
"Bayamón zona urbana, Puerto Rico","19,047","± 1,804"
"Caguas zona urbana, Puerto Rico","12,005","± 1,929"
"Carolina zona urbana, Puerto Rico","18,628","± 2,581"
"Guaynabo zona urbana, Puerto Rico","6,698","± 1,295"
"Ponce zona urbana, Puerto Rico","13,276","± 1,551"
"San Juan zona urbana, Puerto Rico","63,065","± 3,562"
