"Geographic Area Name","Total Cost Burden","MoE"
"Santa Rosa city, California","31,371","± 2,260"
"Simi Valley city, California","12,401","± 1,756"
"South Gate city, California","12,700","± 1,562"
"Stockton city, California","44,366","± 2,736"
"Sunnyvale city, California","32,268","± 2,108"
"Temecula city, California","11,325","± 1,697"
"Thousand Oaks city, California","13,179","± 1,692"
"Torrance city, California","25,475","± 2,445"
"Tracy city, California","10,354","± 1,906"
"Tulare city, California","7,722","± 1,326"
"Turlock city, California","11,101","± 1,588"
"Tustin city, California","13,232","± 1,669"
"Union City city, California","7,263","± 1,432"
"Upland city, California","12,023","± 1,222"
"Vacaville city, California","11,985","± 1,591"
"Vallejo city, California","17,995","± 2,125"
"Victorville city, California","14,923","± 2,633"
"Visalia city, California","21,876","± 2,629"
"Vista city, California","16,233","± 1,544"
"Walnut Creek city, California","10,686","± 1,333"
"West Covina city, California","12,260","± 1,299"
"Westminster city, California","14,423","± 1,401"
"Whittier city, California","11,252","± 1,089"
"Yorba Linda city, California","4,796","± 991"
"Yuba City city, California","10,697","± 1,499"
"Arvada city, Colorado","12,375","± 1,469"
"Aurora city, Colorado","50,388","± 2,952"
"Boulder city, Colorado","22,800","± 1,906"
"Broomfield city, Colorado","9,923","± 997"
"Castle Rock town, Colorado","5,703","± 1,417"
"Centennial city, Colorado","8,304","± 1,416"
"Colorado Springs city, Colorado","74,144","± 3,848"
"Denver city, Colorado","162,205","± 5,317"
"Fort Collins city, Colorado","33,431","± 2,666"
"Grand Junction city, Colorado","11,758","± 1,740"
"Greeley city, Colorado","14,604","± 1,450"
"Highlands Ranch CDP, Colorado","7,168","± 1,159"
"Lakewood city, Colorado","28,685","± 2,333"
"Longmont city, Colorado","15,799","± 1,696"
"Loveland city, Colorado","13,299","± 1,754"
"Pueblo city, Colorado","18,730","± 1,926"
"Thornton city, Colorado","11,283","± 1,496"
"Westminster city, Colorado","17,373","± 1,410"
"Bridgeport city, Connecticut","32,794","± 2,452"
"Danbury city, Connecticut","12,839","± 2,215"
"Hartford city, Connecticut","32,457","± 2,113"
"New Britain city, Connecticut","15,610","± 1,750"
"New Haven city, Connecticut","41,960","± 2,822"
"Norwalk city, Connecticut","15,651","± 1,903"
"Stamford city, Connecticut","26,983","± 2,335"
"Waterbury city, Connecticut","24,530","± 2,300"
"Wilmington city, Delaware","15,470","± 1,715"
"Washington city, District of Columbia","186,629","± 4,176"
"Alafaya CDP, Florida","12,719","± 2,937"
"Boca Raton city, Florida","13,483","± 1,974"
"Boynton Beach city, Florida","12,471","± 1,515"
"Brandon CDP, Florida","22,430","± 2,550"
"Cape Coral city, Florida","18,069","± 2,312"
"Clearwater city, Florida","19,956","± 1,801"
"Coral Springs city, Florida","17,967","± 1,987"
"Davie town, Florida","13,212","± 2,078"
"Daytona Beach city, Florida","16,698","± 1,776"
"Deerfield Beach city, Florida","14,882","± 1,990"
"Delray Beach city, Florida","10,523","± 1,423"
"Deltona city, Florida","7,430","± 1,455"
"Doral city, Florida","14,095","± 1,655"
"Fort Lauderdale city, Florida","37,385","± 2,839"
"Fort Myers city, Florida","19,753","± 2,138"
"Gainesville city, Florida","33,168","± 2,949"
"Hialeah city, Florida","40,016","± 2,664"
"Hollywood city, Florida","25,188","± 2,049"
"Homestead city, Florida","12,170","± 1,812"
"Jacksonville city, Florida","159,854","± 6,368"
"Kendall CDP, Florida","11,558","± 2,106"
"Kissimmee city, Florida","14,088","± 2,111"
"Lakeland city, Florida","19,582","± 2,205"
"Largo city, Florida","14,440","± 2,046"
"Lauderhill city, Florida","12,687","± 1,620"
"Lehigh Acres CDP, Florida","10,854","± 1,875"
"Melbourne city, Florida","12,906","± 1,738"
"Miami city, Florida","133,756","± 4,884"
"Miami Beach city, Florida","26,326","± 2,139"
"Miami Gardens city, Florida","11,173","± 1,780"
"Miramar city, Florida","11,664","± 2,272"
"Orlando city, Florida","80,989","± 5,528"
"Palm Bay city, Florida","10,347","± 2,020"
"Palm Coast city, Florida","6,500","± 1,718"
"Pembroke Pines city, Florida","19,861","± 2,628"
"Pine Hills CDP, Florida","12,583","± 1,957"
"Plantation city, Florida","12,535","± 1,986"
"Pompano Beach city, Florida","21,193","± 2,771"
"Port Charlotte CDP, Florida","5,460","± 1,375"
"Port St. Lucie city, Florida","12,700","± 2,327"
"Riverview CDP, Florida","11,372","± 2,095"
"St. Petersburg city, Florida","41,200","± 2,772"
"Spring Hill CDP, Florida","9,183","± 1,562"
"Sunrise city, Florida","11,919","± 1,856"
"Tallahassee city, Florida","49,288","± 2,838"
"Tamarac city, Florida","8,313","± 1,605"
"Tampa city, Florida","75,265","± 4,060"
"Town 'n' Country CDP, Florida","14,389","± 2,586"
"Wesley Chapel CDP, Florida","6,488","± 1,429"
"Weston city, Florida","5,313","± 1,192"
"West Palm Beach city, Florida","24,988","± 2,671"
"Albany city, Georgia","16,266","± 1,499"
"Alpharetta city, Georgia","9,146","± 1,612"
"Athens-Clarke County unified government (balance), Georgia","33,084","± 2,365"
"Atlanta city, Georgia","119,628","± 4,775"
"Augusta-Richmond County consolidated government (balance), Georgia","35,302","± 3,117"
"Columbus city, Georgia","43,280","± 2,839"
"Macon-Bibb County, Georgia","25,498","± 2,386"
"Roswell city, Georgia","11,363","± 2,123"
"Sandy Springs city, Georgia","25,510","± 2,845"
"Savannah city, Georgia","31,529","± 2,561"
"Warner Robins city, Georgia","14,671","± 2,295"
"Urban Honolulu CDP, Hawaii","69,940","± 3,843"
"Boise City city, Idaho","36,566","± 2,883"
"Idaho Falls city, Idaho","7,940","± 1,284"
"Meridian city, Idaho","10,896","± 2,952"
"Nampa city, Idaho","11,073","± 1,784"
"Arlington Heights village, Illinois","8,277","± 1,595"
"Aurora city, Illinois","19,018","± 2,006"
"Bloomington city, Illinois","13,433","± 1,676"
"Bolingbrook village, Illinois","5,245","± 1,033"
"Champaign city, Illinois","20,061","± 2,183"
"Chicago city, Illinois","608,560","± 12,634"
"Cicero town, Illinois","11,018","± 1,757"
"Decatur city, Illinois","12,303","± 1,450"
"Elgin city, Illinois","11,641","± 1,620"
"Evanston city, Illinois","13,341","± 1,665"
"Joliet city, Illinois","12,955","± 1,460"
"Naperville city, Illinois","13,406","± 1,758"
"Palatine village, Illinois","8,370","± 1,393"
"Peoria city, Illinois","19,790","± 1,942"
"Rockford city, Illinois","28,625","± 2,670"
"Schaumburg village, Illinois","11,666","± 1,715"
"Skokie village, Illinois","7,026","± 1,711"
"Springfield city, Illinois","17,923","± 2,024"
"Waukegan city, Illinois","14,630","± 1,650"
"Bloomington city, Indiana","19,672","± 2,096"
"Carmel city, Indiana","11,164","± 1,867"
"Evansville city, Indiana","24,766","± 1,985"
"Fishers city, Indiana","7,954","± 1,815"
"Fort Wayne city, Indiana","41,636","± 2,944"
"Hammond city, Indiana","12,860","± 1,401"
"Indianapolis city (balance), Indiana","157,001","± 4,884"
"Lafayette city, Indiana","15,817","± 1,735"
"Noblesville city, Indiana","7,584","± 1,776"
"South Bend city, Indiana","16,731","± 1,940"
"Ames city, Iowa","14,763","± 1,445"
"Ankeny city, Iowa","8,858","± 2,194"
"Cedar Rapids city, Iowa","16,902","± 1,797"
"Davenport city, Iowa","15,550","± 1,520"
"Des Moines city, Iowa","32,810","± 2,581"
"Iowa City city, Iowa","15,468","± 2,073"
"Sioux City city, Iowa","9,879","± 1,067"
"Waterloo city, Iowa","11,145","± 1,417"
"West Des Moines city, Iowa","17,258","± 2,239"
"Kansas City city, Kansas","23,188","± 1,845"
"Lawrence city, Kansas","23,431","± 1,930"
"Olathe city, Kansas","12,791","± 1,509"
"Overland Park city, Kansas","32,234","± 2,230"
"Shawnee city, Kansas","7,503","± 1,433"
"Topeka city, Kansas","23,252","± 2,068"
"Wichita city, Kansas","65,141","± 3,121"
"Bowling Green city, Kentucky","18,600","± 1,903"
"Lexington-Fayette urban county, Kentucky","64,174","± 2,941"
"Louisville/Jefferson County metro government (balance), Kentucky","102,627","± 3,825"
"Baton Rouge city, Louisiana","46,173","± 3,838"
"Kenner city, Louisiana","9,434","± 1,567"
"Lafayette city, Louisiana","23,608","± 2,310"
"Lake Charles city, Louisiana","10,702","± 1,993"
"Metairie CDP, Louisiana","21,281","± 2,401"
"New Orleans city, Louisiana","75,311","± 3,104"
"Shreveport city, Louisiana","35,503","± 2,673"
"Portland city, Maine","16,892","± 1,834"
"Baltimore city, Maryland","131,121","± 4,465"
"Bethesda CDP, Maryland","9,528","± 1,105"
"Columbia CDP, Maryland","14,421","± 1,933"
"Ellicott City CDP, Maryland","6,539","± 1,347"
"Frederick city, Maryland","13,681","± 1,781"
"Gaithersburg city, Maryland","14,049","± 1,373"
"Germantown CDP, Maryland","10,734","± 1,825"
"Glen Burnie CDP, Maryland","9,531","± 1,612"
"Rockville city, Maryland","11,222","± 1,427"
"Silver Spring CDP, Maryland","19,945","± 2,210"
"Waldorf CDP, Maryland","8,817","± 1,419"
"Boston city, Massachusetts","177,444","± 4,826"
"Brockton city, Massachusetts","15,289","± 1,706"
"Cambridge city, Massachusetts","36,662","± 2,674"
"Fall River city, Massachusetts","26,097","± 1,954"
"Framingham city, Massachusetts","11,868","± 1,353"
"Haverhill city, Massachusetts","10,049","± 1,596"
"Lawrence city, Massachusetts","21,591","± 2,044"
"Lowell city, Massachusetts","22,803","± 1,945"
"Lynn city, Massachusetts","17,497","± 2,141"
"Malden city, Massachusetts","14,919","± 1,938"
"New Bedford city, Massachusetts","25,769","± 2,404"
"Newton city, Massachusetts","7,995","± 1,211"
"Quincy city, Massachusetts","24,148","± 2,428"
"Somerville city, Massachusetts","21,528","± 2,050"
"Springfield city, Massachusetts","29,793","± 2,183"
"Worcester city, Massachusetts","43,351","± 2,945"
"Ann Arbor city, Michigan","27,764","± 2,099"
"Dearborn city, Michigan","10,432","± 1,462"
"Detroit city, Michigan","122,645","± 4,576"
"Farmington Hills city, Michigan","12,795","± 1,503"
"Flint city, Michigan","14,500","± 1,945"
"Grand Rapids city, Michigan","34,646","± 2,942"
"Kalamazoo city, Michigan","16,657","± 1,966"
"Lansing city, Michigan","22,506","± 2,006"
"Livonia city, Michigan","4,920","± 947"
"Novi city, Michigan","9,419","± 1,689"
"Rochester Hills city, Michigan","7,464","± 1,265"
"Southfield city, Michigan","16,082","± 1,965"
"Sterling Heights city, Michigan","11,901","± 1,502"
"Troy city, Michigan","8,805","± 1,307"
"Warren city, Michigan","16,933","± 1,904"
"Westland city, Michigan","14,691","± 1,789"
"Wyoming city, Michigan","10,346","± 1,836"
"Blaine city, Minnesota","4,061","± 1,135"
"Bloomington city, Minnesota","13,137","± 1,470"
"Brooklyn Park city, Minnesota","7,303","± 1,697"
"Duluth city, Minnesota","14,361","± 1,543"
"Eagan city, Minnesota","6,994","± 1,035"
"Maple Grove city, Minnesota","4,243","± 1,166"
"Minneapolis city, Minnesota","94,700","± 4,285"
"Plymouth city, Minnesota","9,109","± 1,541"
"Rochester city, Minnesota","17,035","± 1,663"
"St. Cloud city, Minnesota","15,301","± 1,843"
"St. Paul city, Minnesota","54,322","± 2,966"
"Gulfport city, Mississippi","15,023","± 1,943"
"Jackson city, Mississippi","33,249","± 2,011"
"Columbia city, Missouri","25,383","± 2,317"
"Independence city, Missouri","19,135","± 2,140"
"Kansas City city, Missouri","100,636","± 4,208"
"Lee's Summit city, Missouri","9,266","± 1,667"
"O'Fallon city, Missouri","6,835","± 1,611"
"St. Charles city, Missouri","9,911","± 1,327"
"St. Joseph city, Missouri","12,337","± 1,616"
"St. Louis city, Missouri","76,083","± 3,295"
"Springfield city, Missouri","44,029","± 2,636"
"Billings city, Montana","16,806","± 1,669"
"Missoula city, Montana","18,537","± 1,724"
"Lincoln city, Nebraska","50,404","± 2,440"
"Omaha city, Nebraska","84,065","± 3,149"
"Enterprise CDP, Nevada","30,963","± 3,385"
"Henderson city, Nevada","43,908","± 2,744"
"Las Vegas city, Nevada","111,673","± 3,801"
"North Las Vegas city, Nevada","34,523","± 2,982"
"Paradise CDP, Nevada","44,105","± 3,010"
"Reno city, Nevada","56,835","± 2,984"
"Sparks city, Nevada","16,224","± 2,169"
"Spring Valley CDP, Nevada","47,836","± 3,712"
"Sunrise Manor CDP, Nevada","28,404","± 2,608"
"Manchester city, New Hampshire","24,765","± 2,154"
"Nashua city, New Hampshire","16,780","± 2,020"
"Bayonne city, New Jersey","18,568","± 1,912"
"Camden city, New Jersey","15,719","± 1,964"
"Clifton city, New Jersey","12,994","± 2,137"
"East Orange city, New Jersey","19,111","± 2,128"
"Elizabeth city, New Jersey","34,788","± 2,051"
"Jersey City city, New Jersey","84,800","± 3,526"
"Newark city, New Jersey","91,143","± 3,756"
"Passaic city, New Jersey","15,806","± 1,568"
"Paterson city, New Jersey","38,873","± 2,485"
"Toms River CDP, New Jersey","7,168","± 1,511"
"Trenton city, New Jersey","20,289","± 2,071"
"Union City city, New Jersey","19,141","± 1,700"
"Albuquerque city, New Mexico","95,618","± 4,565"
"Las Cruces city, New Mexico","21,125","± 2,303"
"Rio Rancho city, New Mexico","7,591","± 1,605"
"Santa Fe city, New Mexico","12,780","± 1,747"
"Albany city, New York","26,983","± 2,786"
"Buffalo city, New York","68,461","± 3,729"
"Cheektowaga CDP, New York","9,441","± 1,465"
"Mount Vernon city, New York","13,485","± 1,885"
"New Rochelle city, New York","15,299","± 2,195"
"New York city, New York","2,177,959","± 18,478"
"Rochester city, New York","55,138","± 3,118"
"Schenectady city, New York","15,376","± 1,832"
"Syracuse city, New York","35,624","± 2,331"
"Yonkers city, New York","41,012","± 2,781"
"Asheville city, North Carolina","17,235","± 2,052"
"Cary town, North Carolina","20,475","± 2,508"
"Charlotte city, North Carolina","171,339","± 5,352"
"Concord city, North Carolina","9,243","± 1,888"
"Durham city, North Carolina","59,862","± 3,248"
"Fayetteville city, North Carolina","45,068","± 2,218"
"Gastonia city, North Carolina","15,462","± 1,826"
"Greensboro city, North Carolina","54,121","± 4,054"
"Greenville city, North Carolina","29,046","± 2,310"
"High Point city, North Carolina","18,379","± 1,835"
"Jacksonville city, North Carolina","14,320","± 1,911"
"Raleigh city, North Carolina","91,550","± 5,475"
"Wilmington city, North Carolina","31,886","± 2,440"
"Winston-Salem city, North Carolina","44,717","± 2,900"
"Bismarck city, North Dakota","11,037","± 1,395"
"Fargo city, North Dakota","32,733","± 2,820"
"Akron city, Ohio","42,200","± 2,417"
"Canton city, Ohio","14,246","± 1,886"
"Cincinnati city, Ohio","89,518","± 3,912"
"Cleveland city, Ohio","104,282","± 4,272"
"Columbus city, Ohio","215,178","± 6,049"
"Dayton city, Ohio","27,836","± 1,945"
"Lorain city, Ohio","12,129","± 1,658"
"Parma city, Ohio","8,467","± 1,384"
"Toledo city, Ohio","53,064","± 3,057"
"Broken Arrow city, Oklahoma","12,279","± 774"
"Edmond city, Oklahoma","10,237","± 1,377"
"Lawton city, Oklahoma","19,700","± 1,749"
"Norman city, Oklahoma","26,243","± 2,469"
"Oklahoma City city, Oklahoma","110,815","± 4,497"
"Tulsa city, Oklahoma","84,636","± 2,111"
"Beaverton city, Oregon","23,184","± 1,973"
"Bend city, Oregon","14,208","± 1,996"
"Eugene city, Oregon","36,539","± 2,623"
"Gresham city, Oregon","17,955","± 2,011"
"Hillsboro city, Oregon","20,449","± 2,113"
"Medford city, Oregon","14,304","± 1,768"
"Portland city, Oregon","133,613","± 4,397"
"Salem city, Oregon","28,785","± 2,559"
"Allentown city, Pennsylvania","27,542","± 2,523"
"Bethlehem city, Pennsylvania","14,224","± 1,348"
"Erie city, Pennsylvania","17,575","± 1,821"
"Philadelphia city, Pennsylvania","311,986","± 8,016"
"Pittsburgh city, Pennsylvania","70,018","± 3,630"
"Reading city, Pennsylvania","19,671","± 1,936"
"Scranton city, Pennsylvania","13,924","± 1,673"
"Cranston city, Rhode Island","9,966","± 1,786"
"Pawtucket city, Rhode Island","14,932","± 1,629"
"Providence city, Rhode Island","40,466","± 3,414"
"Warwick city, Rhode Island","9,612","± 1,631"
"Charleston city, South Carolina","26,534","± 2,434"
"Columbia city, South Carolina","27,891","± 2,517"
"Greenville city, South Carolina","20,640","± 1,834"
"Mount Pleasant town, South Carolina","9,853","± 1,929"
"North Charleston city, South Carolina","21,742","± 2,467"
"Rock Hill city, South Carolina","13,148","± 1,829"
"Rapid City city, South Dakota","11,248","± 1,445"
"Sioux Falls city, South Dakota","32,481","± 2,417"
"Chattanooga city, Tennessee","35,844","± 2,533"
"Clarksville city, Tennessee","29,186","± 3,146"
"Franklin city, Tennessee","11,170","± 1,627"
"Jackson city, Tennessee","12,627","± 1,533"
