"Geographic Area Name","40.0 to 49.9 percent (2021)","MoE"
"Auburn city, Alabama","1,357","± 1,130"
"Birmingham city, Alabama","4,219","± 1,128"
"Dothan city, Alabama","1,091","± 306"
"Hoover city, Alabama","846","± 586"
"Huntsville city, Alabama","3,245","± 1,122"
"Mobile city, Alabama","3,026","± 810"
"Montgomery city, Alabama","2,900","± 1,129"
"Tuscaloosa city, Alabama","1,302","± 598"
"Anchorage municipality, Alaska","3,725","± 1,262"
"Avondale city, Arizona","324","± 440"
"Casas Adobes CDP, Arizona","1,171","± 799"
"Chandler city, Arizona","2,356","± 839"
"Flagstaff city, Arizona","533","± 334"
"Gilbert town, Arizona","1,080","± 667"
"Glendale city, Arizona","2,945","± 1,107"
"Goodyear city, Arizona","1,059","± 981"
"Mesa city, Arizona","7,798","± 1,664"
"Peoria city, Arizona","2,510","± 1,220"
"Phoenix city, Arizona","24,982","± 3,402"
"Scottsdale city, Arizona","2,499","± 949"
"Surprise city, Arizona","2,516","± 1,008"
"Tempe city, Arizona","5,093","± 1,433"
"Tucson city, Arizona","9,321","± 1,850"
"Yuma city, Arizona","1,678","± 958"
"Conway city, Arkansas","1,000","± 569"
"Fayetteville city, Arkansas","993","± 669"
"Fort Smith city, Arkansas","1,035","± 738"
"Jonesboro city, Arkansas","894","± 795"
"Little Rock city, Arkansas","4,808","± 1,643"
"Rogers city, Arkansas","696","± 383"
"Springdale city, Arkansas","1,639","± 891"
"Alameda city, California","1,782","± 855"
"Alhambra city, California","1,192","± 533"
"Anaheim city, California","5,831","± 1,122"
"Antioch city, California","1,543","± 703"
"Apple Valley town, California","1,087","± 705"
"Arden-Arcade CDP, California","2,011","± 1,072"
"Bakersfield city, California","5,876","± 1,542"
"Baldwin Park city, California","823","± 411"
"Bellflower city, California","1,856","± 733"
"Berkeley city, California","2,483","± 822"
"Buena Park city, California","1,200","± 538"
"Burbank city, California","1,355","± 736"
"Camarillo city, California","890","± 520"
"Carlsbad city, California","1,970","± 917"
"Carmichael CDP, California","1,861","± 815"
"Carson city, California","415","± 231"
"Castro Valley CDP, California","750","± 517"
"Chico city, California","2,369","± 850"
"Chino city, California","977","± 466"
"Chino Hills city, California","376","± 343"
"Chula Vista city, California","3,529","± 1,118"
"Citrus Heights city, California","1,421","± 599"
"Clovis city, California","1,763","± 743"
"Compton city, California","740","± 427"
"Concord city, California","1,772","± 837"
"Corona city, California","1,857","± 795"
"Costa Mesa city, California","2,161","± 638"
"Daly City city, California","1,247","± 769"
"Davis city, California","1,244","± 649"
"Downey city, California","1,501","± 848"
"Dublin city, California","549","± 402"
"East Los Angeles CDP, California","1,909","± 656"
"El Cajon city, California","2,409","± 930"
"Elk Grove city, California","988","± 636"
"El Monte city, California","2,190","± 781"
"Escondido city, California","3,023","± 984"
"Fairfield city, California","2,050","± 708"
"Folsom city, California","1,040","± 765"
"Fontana city, California","1,632","± 699"
"Fremont city, California","2,264","± 898"
"Fresno city, California","7,363","± 1,455"
"Fullerton city, California","3,009","± 934"
"Garden Grove city, California","1,551","± 599"
"Glendale city, California","4,074","± 1,104"
"Hawthorne city, California","1,934","± 601"
"Hayward city, California","1,866","± 701"
"Hemet city, California","946","± 545"
"Hesperia city, California","527","± 398"
"Huntington Beach city, California","2,490","± 879"
"Indio city, California","1,132","± 589"
"Inglewood city, California","1,802","± 697"
"Irvine city, California","5,530","± 1,626"
"Jurupa Valley city, California","693","± 471"
"Lake Elsinore city, California","1,068","± 589"
"Lake Forest city, California","698","± 455"
"Lakewood city, California","965","± 733"
"Lancaster city, California","2,177","± 755"
"Livermore city, California","827","± 632"
"Lodi city, California","670","± 421"
"Long Beach city, California","9,900","± 1,644"
"Los Angeles city, California","87,032","± 5,014"
"Lynwood city, California","394","± 278"
"Madera city, California","697","± 592"
"Manteca city, California","701","± 484"
"Menifee city, California","331","± 323"
"Merced city, California","1,970","± 767"
"Milpitas city, California","680","± 376"
"Mission Viejo city, California","629","± 539"
"Modesto city, California","3,829","± 1,294"
"Moreno Valley city, California","1,970","± 804"
"Mountain View city, California","1,570","± 798"
"Murrieta city, California","1,436","± 735"
"Napa city, California","1,309","± 566"
"Newport Beach city, California","1,427","± 750"
"Norwalk city, California","409","± 322"
"Oakland city, California","7,546","± 1,528"
"Oceanside city, California","1,503","± 522"
"Ontario city, California","2,426","± 1,002"
"Orange city, California","2,035","± 814"
"Oxnard city, California","2,494","± 907"
"Palmdale city, California","2,147","± 779"
"Palo Alto city, California","1,063","± 502"
"Pasadena city, California","3,394","± 1,088"
"Perris city, California","603","± 501"
"Pittsburg city, California","1,379","± 661"
"Pleasanton city, California","1,642","± 956"
"Pomona city, California","2,411","± 781"
"Rancho Cordova city, California","1,421","± 728"
"Rancho Cucamonga city, California","2,872","± 1,096"
"Redding city, California","1,525","± 897"
"Redlands city, California","1,485","± 841"
"Redondo Beach city, California","1,040","± 678"
"Redwood City city, California","942","± 512"
"Rialto city, California","906","± 523"
"Richmond city, California","2,679","± 1,023"
"Riverside city, California","4,636","± 1,373"
"Rocklin city, California","1,407","± 725"
"Roseville city, California","1,218","± 599"
"Sacramento city, California","9,350","± 2,115"
"Salinas city, California","2,620","± 942"
"San Bernardino city, California","4,044","± 1,107"
"San Buenaventura (Ventura) city, California","1,413","± 707"
"San Diego city, California","22,998","± 2,979"
"San Francisco city, California","16,380","± 2,252"
"San Jose city, California","12,623","± 1,894"
"San Leandro city, California","1,306","± 691"
"San Marcos city, California","2,101","± 999"
"San Mateo city, California","761","± 509"
"San Ramon city, California","1,451","± 649"
"Santa Ana city, California","3,772","± 1,017"
"Santa Barbara city, California","2,155","± 880"
"Santa Clara city, California","1,396","± 765"
"Santa Clarita city, California","2,436","± 934"
"Santa Maria city, California","1,433","± 568"
"Santa Monica city, California","2,871","± 1,125"
"Santa Rosa city, California","2,546","± 794"
"Simi Valley city, California","1,069","± 587"
"South Gate city, California","1,395","± 611"
"Stockton city, California","4,325","± 1,225"
"Sunnyvale city, California","1,374","± 567"
"Temecula city, California","1,111","± 636"
"Thousand Oaks city, California","1,377","± 746"
"Torrance city, California","1,798","± 670"
"Tracy city, California","1,905","± 1,283"
"Tulare city, California","572","± 392"
"Turlock city, California","1,285","± 585"
"Tustin city, California","1,512","± 668"
"Union City city, California","760","± 479"
"Upland city, California","1,273","± 556"
"Vacaville city, California","828","± 561"
"Vallejo city, California","1,137","± 588"
"Victorville city, California","1,883","± 1,037"
"Visalia city, California","1,982","± 948"
"Vista city, California","1,738","± 726"
"Walnut Creek city, California","1,714","± 848"
"West Covina city, California","1,271","± 453"
"Westminster city, California","1,268","± 525"
"Whittier city, California","1,577","± 522"
"Yorba Linda city, California","322","± 327"
"Yuba City city, California","2,182","± 1,018"
"Arvada city, Colorado","918","± 573"
"Aurora city, Colorado","5,532","± 1,360"
"Boulder city, Colorado","1,236","± 563"
"Broomfield city, Colorado","431","± 256"
"Castle Rock town, Colorado","451","± 336"
"Centennial city, Colorado","1,142","± 606"
"Colorado Springs city, Colorado","7,380","± 1,504"
"Denver city, Colorado","13,355","± 2,429"
"Fort Collins city, Colorado","4,233","± 1,202"
"Grand Junction city, Colorado","1,582","± 864"
"Greeley city, Colorado","862","± 444"
"Highlands Ranch CDP, Colorado","405","± 339"
"Lakewood city, Colorado","2,414","± 880"
"Longmont city, Colorado","1,450","± 649"
"Loveland city, Colorado","1,316","± 894"
"Pueblo city, Colorado","1,314","± 519"
"Thornton city, Colorado","558","± 319"
"Westminster city, Colorado","1,726","± 796"
"Bridgeport city, Connecticut","3,837","± 1,201"
"Danbury city, Connecticut","946","± 527"
"Hartford city, Connecticut","3,219","± 1,135"
"New Britain city, Connecticut","988","± 582"
"New Haven city, Connecticut","3,526","± 1,053"
"Norwalk city, Connecticut","1,302","± 737"
"Stamford city, Connecticut","2,864","± 1,082"
"Waterbury city, Connecticut","2,468","± 1,144"
"Wilmington city, Delaware","1,344","± 603"
"Washington city, District of Columbia","14,864","± 2,093"
"Alafaya CDP, Florida","1,960","± 1,276"
"Boca Raton city, Florida","978","± 597"
"Boynton Beach city, Florida","1,306","± 679"
"Brandon CDP, Florida","1,990","± 969"
"Cape Coral city, Florida","2,141","± 915"
"Clearwater city, Florida","1,887","± 899"
"Coral Springs city, Florida","2,336","± 1,115"
"Davie town, Florida","1,959","± 901"
"Daytona Beach city, Florida","829","± 531"
"Deerfield Beach city, Florida","1,512","± 905"
"Delray Beach city, Florida","1,269","± 585"
"Deltona city, Florida","760","± 638"
"Doral city, Florida","2,734","± 893"
"Fort Lauderdale city, Florida","4,435","± 1,531"
"Fort Myers city, Florida","1,791","± 734"
"Gainesville city, Florida","3,809","± 1,187"
"Hialeah city, Florida","5,031","± 992"
"Hollywood city, Florida","3,742","± 1,215"
"Homestead city, Florida","457","± 432"
"Jacksonville city, Florida","15,347","± 2,797"
"Kendall CDP, Florida","1,107","± 944"
"Kissimmee city, Florida","1,442","± 817"
"Lakeland city, Florida","1,466","± 790"
"Largo city, Florida","1,069","± 648"
"Lauderhill city, Florida","1,012","± 671"
"Lehigh Acres CDP, Florida","929","± 509"
"Melbourne city, Florida","591","± 358"
"Miami city, Florida","14,294","± 2,391"
"Miami Beach city, Florida","2,406","± 932"
"Miami Gardens city, Florida","1,592","± 834"
"Miramar city, Florida","1,992","± 917"
"Orlando city, Florida","8,703","± 1,741"
"Palm Bay city, Florida","986","± 696"
"Palm Coast city, Florida","563","± 343"
"Pembroke Pines city, Florida","2,820","± 1,355"
"Pine Hills CDP, Florida","2,068","± 869"
"Plantation city, Florida","1,868","± 1,039"
"Pompano Beach city, Florida","2,498","± 1,033"
"Port Charlotte CDP, Florida","944","± 709"
"Port St. Lucie city, Florida","1,471","± 1,034"
"Riverview CDP, Florida","1,163","± 688"
"St. Petersburg city, Florida","4,425","± 1,361"
"Spring Hill CDP, Florida","729","± 533"
"Sunrise city, Florida","491","± 464"
"Tallahassee city, Florida","5,117","± 1,656"
"Tamarac city, Florida","905","± 770"
"Tampa city, Florida","6,457","± 1,441"
"Town 'n' Country CDP, Florida","752","± 540"
"Wesley Chapel CDP, Florida","427","± 453"
"Weston city, Florida","361","± 286"
"West Palm Beach city, Florida","2,984","± 1,031"
"Albany city, Georgia","1,267","± 771"
"Alpharetta city, Georgia","1,025","± 794"
"Athens-Clarke County unified government (balance), Georgia","2,588","± 1,045"
"Atlanta city, Georgia","9,780","± 2,673"
"Augusta-Richmond County consolidated government (balance), Georgia","2,932","± 1,078"
"Columbus city, Georgia","3,614","± 1,156"
"Macon-Bibb County, Georgia","2,191","± 927"
"Roswell city, Georgia","2,132","± 1,374"
"Sandy Springs city, Georgia","628","± 502"
"Savannah city, Georgia","2,868","± 822"
"Warner Robins city, Georgia","2,586","± 1,599"
"Urban Honolulu CDP, Hawaii","6,421","± 1,259"
"Boise City city, Idaho","3,154","± 902"
"Idaho Falls city, Idaho","808","± 511"
"Meridian city, Idaho","382","± 500"
"Nampa city, Idaho","585","± 547"
"Arlington Heights village, Illinois","444","± 359"
"Aurora city, Illinois","1,584","± 707"
"Bloomington city, Illinois","667","± 511"
"Bolingbrook village, Illinois","278","± 370"
"Champaign city, Illinois","1,552","± 659"
"Chicago city, Illinois","44,081","± 4,888"
"Cicero town, Illinois","945","± 590"
"Decatur city, Illinois","882","± 467"
"Elgin city, Illinois","864","± 435"
"Evanston city, Illinois","691","± 383"
"Joliet city, Illinois","826","± 436"
"Naperville city, Illinois","1,266","± 734"
"Palatine village, Illinois","834","± 599"
"Peoria city, Illinois","1,810","± 940"
"Rockford city, Illinois","3,172","± 913"
"Schaumburg village, Illinois","1,043","± 568"
"Skokie village, Illinois","354","± 299"
"Springfield city, Illinois","861","± 528"
"Waukegan city, Illinois","1,270","± 708"
"Bloomington city, Indiana","1,418","± 631"
"Carmel city, Indiana","1,074","± 592"
"Evansville city, Indiana","2,608","± 1,029"
"Fishers city, Indiana","332","± 416"
"Fort Wayne city, Indiana","3,115","± 1,023"
"Hammond city, Indiana","1,806","± 616"
"Indianapolis city (balance), Indiana","12,476","± 2,306"
"Lafayette city, Indiana","1,477","± 702"
"Noblesville city, Indiana","167","± 127"
"South Bend city, Indiana","1,138","± 548"
"Ames city, Iowa","1,055","± 792"
"Ankeny city, Iowa","705","± 529"
"Cedar Rapids city, Iowa","2,352","± 1,004"
"Davenport city, Iowa","2,415","± 1,115"
"Des Moines city, Iowa","2,285","± 932"
"Iowa City city, Iowa","2,101","± 805"
"Sioux City city, Iowa","501","± 316"
"Waterloo city, Iowa","993","± 559"
"West Des Moines city, Iowa","724","± 581"
"Kansas City city, Kansas","1,538","± 646"
"Lawrence city, Kansas","2,056","± 1,319"
"Olathe city, Kansas","1,557","± 769"
"Overland Park city, Kansas","2,043","± 731"
"Shawnee city, Kansas","604","± 436"
"Topeka city, Kansas","1,205","± 468"
"Wichita city, Kansas","5,351","± 1,254"
"Bowling Green city, Kentucky","1,404","± 725"
"Lexington-Fayette urban county, Kentucky","5,476","± 1,113"
"Louisville/Jefferson County metro government (balance), Kentucky","9,204","± 1,778"
"Baton Rouge city, Louisiana","3,326","± 1,414"
"Kenner city, Louisiana","548","± 349"
"Lafayette city, Louisiana","2,007","± 844"
"Lake Charles city, Louisiana","955","± 688"
"Metairie CDP, Louisiana","1,124","± 697"
"New Orleans city, Louisiana","7,320","± 1,332"
"Shreveport city, Louisiana","2,423","± 1,055"
"Portland city, Maine","1,078","± 478"
"Baltimore city, Maryland","11,249","± 2,590"
"Bethesda CDP, Maryland","551","± 375"
"Columbia CDP, Maryland","1,618","± 831"
"Ellicott City CDP, Maryland","1,012","± 631"
"Frederick city, Maryland","1,447","± 657"
"Gaithersburg city, Maryland","1,133","± 561"
