"Source Table: ACSDT1Y2024.B25070"

"UNIVERSE CONSTANTS"
"Total:"

"Geographic Area Name","50.0 percent or more","MoE"
"Santa Barbara city, California","5,900","± 1,559"
"Santa Clara city, California","6,563","± 1,716"
"Santa Clarita city, California","5,058","± 1,144"
"Santa Maria city, California","5,827","± 1,488"
"Santa Monica city, California","6,415","± 2,265"
"Santa Rosa city, California","7,657","± 1,631"
"Simi Valley city, California","2,954","± 1,206"
"South Gate city, California","4,407","± 1,177"
"Stockton city, California","12,743","± 2,030"
"Sunnyvale city, California","4,909","± 1,248"
"Temecula city, California","3,320","± 1,197"
"Thousand Oaks city, California","2,590","± 1,028"
"Torrance city, California","6,523","± 1,608"
"Tracy city, California","2,878","± 1,027"
"Tulare city, California","2,587","± 933"
"Turlock city, California","2,398","± 756"
"Tustin city, California","3,803","± 1,032"
"Union City city, California","2,105","± 834"
"Upland city, California","2,372","± 1,123"
"Vacaville city, California","2,507","± 914"
"Vallejo city, California","8,657","± 2,013"
"Victorville city, California","5,877","± 1,723"
"Visalia city, California","4,580","± 1,158"
"Vista city, California","5,161","± 1,437"
"Walnut Creek city, California","3,673","± 1,302"
"West Covina city, California","4,619","± 1,260"
"Westminster city, California","4,339","± 1,207"
"Whittier city, California","2,815","± 965"
"Yorba Linda city, California","613","± 559"
"Yuba City city, California","1,895","± 1,147"
"Arvada city, Colorado","2,609","± 847"
"Aurora city, Colorado","15,381","± 2,280"
"Boulder city, Colorado","9,978","± 1,562"
"Broomfield city, Colorado","2,263","± 794"
"Castle Rock town, Colorado","941","± 693"
"Centennial city, Colorado","1,851","± 806"
"Colorado Springs city, Colorado","19,153","± 2,682"
"Denver city, Colorado","40,197","± 4,701"
"Fort Collins city, Colorado","9,316","± 1,935"
"Grand Junction city, Colorado","3,216","± 1,209"
"Greeley city, Colorado","4,608","± 1,287"
"Highlands Ranch CDP, Colorado","1,816","± 937"
"Lakewood city, Colorado","7,089","± 1,515"
"Longmont city, Colorado","4,024","± 1,390"
"Loveland city, Colorado","3,744","± 1,146"
"Parker town, Colorado","2,202","± 1,086"
"Pueblo city, Colorado","4,638","± 1,259"
"Thornton city, Colorado","5,754","± 1,553"
"Westminster city, Colorado","3,919","± 1,292"
"Bridgeport city, Connecticut","10,248","± 1,880"
"Danbury city, Connecticut","4,127","± 1,360"
"Hartford city, Connecticut","10,976","± 1,967"
"New Britain city, Connecticut","3,648","± 1,310"
"New Haven city, Connecticut","11,233","± 2,201"
"Norwalk city, Connecticut","3,932","± 1,239"
"Stamford city, Connecticut","9,211","± 2,237"
"Waterbury city, Connecticut","8,544","± 2,655"
"Wilmington city, Delaware","3,671","± 1,100"
"Washington city, District of Columbia","46,467","± 4,324"
"Alafaya CDP, Florida","3,818","± 1,230"
"Boca Raton city, Florida","4,883","± 1,387"
"Boynton Beach city, Florida","4,011","± 1,306"
"Brandon CDP, Florida","6,335","± 1,677"
"Cape Coral city, Florida","5,550","± 1,675"
"Clearwater city, Florida","7,017","± 1,483"
"Coral Springs city, Florida","5,952","± 1,566"
"Davie town, Florida","3,487","± 1,193"
"Daytona Beach city, Florida","4,523","± 1,253"
"Deerfield Beach city, Florida","5,382","± 1,613"
"Delray Beach city, Florida","3,077","± 998"
"Deltona city, Florida","2,631","± 920"
"Doral city, Florida","6,570","± 1,528"
"Fort Lauderdale city, Florida","10,463","± 2,063"
"Fort Myers city, Florida","6,932","± 1,947"
"Four Corners CDP, Florida","3,845","± 1,592"
"Gainesville city, Florida","20,448","± 2,798"
"Hialeah city, Florida","15,798","± 2,833"
"Hollywood city, Florida","8,330","± 1,931"
"Homestead city, Florida","6,522","± 1,598"
"Horizon West CDP, Florida","3,212","± 1,894"
"Jacksonville city, Florida","46,260","± 5,146"
"Kendall CDP, Florida","2,225","± 789"
"Kissimmee city, Florida","6,429","± 2,358"
"Lakeland city, Florida","5,426","± 1,714"
"Largo city, Florida","4,547","± 1,410"
"Lauderhill city, Florida","5,789","± 1,734"
"Lehigh Acres CDP, Florida","4,274","± 1,415"
"Melbourne city, Florida","5,117","± 1,718"
"Miami city, Florida","49,787","± 4,421"
"Miami Beach city, Florida","5,514","± 1,192"
"Miami Gardens city, Florida","4,902","± 1,316"
"Miramar city, Florida","5,271","± 1,677"
"North Port city, Florida","1,165","± 620"
"Ocala city, Florida","4,584","± 1,574"
"Orlando city, Florida","24,157","± 4,311"
"Palm Bay city, Florida","3,602","± 1,104"
"Palm Coast city, Florida","2,237","± 1,083"
"Pembroke Pines city, Florida","5,750","± 1,652"
"Pine Hills CDP, Florida","4,788","± 1,735"
"Plantation city, Florida","3,256","± 1,231"
"Poinciana CDP, Florida","2,674","± 1,228"
"Pompano Beach city, Florida","5,279","± 1,451"
"Port Orange city, Florida","1,652","± 584"
"Port St. Lucie city, Florida","3,301","± 1,261"
"Riverview CDP, Florida","2,255","± 1,105"
"St. Petersburg city, Florida","11,215","± 2,189"
"Sanford city, Florida","2,809","± 1,079"
"Spring Hill CDP, Florida","2,228","± 820"
"Sunrise city, Florida","3,013","± 1,344"
"Tallahassee city, Florida","18,928","± 2,685"
"Tamarac city, Florida","2,930","± 1,308"
"Tampa city, Florida","22,943","± 3,291"
"Town 'n' Country CDP, Florida","4,548","± 1,769"
"Wesley Chapel CDP, Florida","2,266","± 992"
"Weston city, Florida","1,469","± 693"
"West Palm Beach city, Florida","7,768","± 2,142"
"Albany city, Georgia","5,059","± 1,199"
"Alpharetta city, Georgia","1,643","± 694"
"Athens-Clarke County unified government (balance), Georgia","9,880","± 2,042"
"Atlanta city, Georgia","33,040","± 3,868"
"Augusta-Richmond County consolidated government (balance), Georgia","9,333","± 1,599"
"Columbus city, Georgia","9,866","± 2,124"
"Johns Creek city, Georgia","908","± 535"
"Mableton city, Georgia","2,606","± 989"
"Macon-Bibb County, Georgia","8,314","± 1,795"
"Roswell city, Georgia","2,244","± 953"
"Sandy Springs city, Georgia","5,729","± 1,669"
"Savannah city, Georgia","9,231","± 1,977"
"South Fulton city, Georgia","2,692","± 1,462"
"Warner Robins city, Georgia","3,560","± 1,344"
"Urban Honolulu CDP, Hawaii","17,663","± 1,786"
"Boise City city, Idaho","12,125","± 1,774"
"Caldwell city, Idaho","1,601","± 780"
"Idaho Falls city, Idaho","965","± 481"
"Meridian city, Idaho","2,679","± 874"
"Nampa city, Idaho","2,002","± 708"
"Arlington Heights village, Illinois","1,735","± 906"
"Aurora city, Illinois","3,831","± 1,364"
"Bloomington city, Illinois","2,398","± 996"
"Bolingbrook village, Illinois","1,329","± 672"
"Champaign city, Illinois","6,071","± 1,389"
"Chicago city, Illinois","148,681","± 7,703"
"Cicero town, Illinois","4,168","± 1,548"
"Decatur city, Illinois","2,090","± 728"
"Elgin city, Illinois","2,511","± 1,068"
"Evanston city, Illinois","3,978","± 1,143"
"Joliet city, Illinois","3,620","± 1,111"
"Naperville city, Illinois","3,168","± 1,098"
"Palatine village, Illinois","1,556","± 892"
"Peoria city, Illinois","4,911","± 1,571"
"Rockford city, Illinois","7,941","± 1,600"
"Schaumburg village, Illinois","1,692","± 784"
"Skokie village, Illinois","2,472","± 1,400"
"Springfield city, Illinois","5,199","± 1,207"
"Waukegan city, Illinois","3,999","± 1,293"
"Bloomington city, Indiana","8,405","± 1,787"
"Carmel city, Indiana","2,630","± 1,018"
"Evansville city, Indiana","5,384","± 1,304"
"Fishers city, Indiana","1,761","± 902"
"Fort Wayne city, Indiana","9,066","± 1,844"
"Gary city, Indiana","2,667","± 907"
"Greenwood city, Indiana","2,079","± 941"
"Hammond city, Indiana","2,372","± 1,068"
"Indianapolis city (balance), Indiana","39,649","± 5,166"
"Lafayette city, Indiana","3,581","± 1,312"
"Muncie city, Indiana","4,094","± 1,355"
"Noblesville city, Indiana","1,210","± 700"
"South Bend city, Indiana","3,527","± 908"
"Ames city, Iowa","2,954","± 875"
"Ankeny city, Iowa","880","± 445"
"Cedar Rapids city, Iowa","3,834","± 1,078"
"Davenport city, Iowa","4,867","± 1,411"
"Des Moines city, Iowa","6,804","± 1,607"
"Iowa City city, Iowa","6,478","± 1,220"
"Sioux City city, Iowa","3,201","± 1,167"
"Waterloo city, Iowa","3,118","± 989"
"West Des Moines city, Iowa","2,799","± 1,135"
"Kansas City city, Kansas","4,835","± 1,304"
"Lawrence city, Kansas","6,637","± 1,703"
"Olathe city, Kansas","1,339","± 617"
"Overland Park city, Kansas","7,276","± 1,803"
"Shawnee city, Kansas","1,544","± 767"
"Topeka city, Kansas","4,458","± 1,156"
"Wichita city, Kansas","12,975","± 2,409"
"Bowling Green city, Kentucky","5,346","± 1,621"
"Lexington-Fayette urban county, Kentucky","16,966","± 2,822"
"Louisville/Jefferson County metro government (balance), Kentucky","25,413","± 3,861"
"Baton Rouge city, Louisiana","16,173","± 2,412"
"Kenner city, Louisiana","2,971","± 1,140"
"Lafayette city, Louisiana","6,616","± 1,913"
"Lake Charles city, Louisiana","4,407","± 1,442"
"Metairie CDP, Louisiana","5,435","± 1,792"
"New Orleans city, Louisiana","22,419","± 3,026"
"Shreveport city, Louisiana","7,993","± 1,946"
"Portland city, Maine","3,479","± 1,132"
"Baltimore city, Maryland","33,441","± 4,655"
"Bethesda CDP, Maryland","2,915","± 1,195"
"Columbia CDP, Maryland","3,130","± 1,121"
"Ellicott City CDP, Maryland","1,973","± 853"
"Frederick city, Maryland","2,958","± 995"
"Gaithersburg city, Maryland","2,907","± 1,198"
"Germantown CDP, Maryland","2,207","± 1,173"
"Glen Burnie CDP, Maryland","2,883","± 883"
"Rockville city, Maryland","2,464","± 930"
"Silver Spring CDP, Maryland","4,898","± 1,409"
"Boston city, Massachusetts","41,790","± 4,101"
"Brockton city, Massachusetts","4,029","± 1,216"
"Cambridge city, Massachusetts","7,132","± 1,399"
"Fall River city, Massachusetts","7,974","± 1,723"
"Framingham city, Massachusetts","2,985","± 965"
"Haverhill city, Massachusetts","3,285","± 1,365"
"Lawrence city, Massachusetts","6,440","± 1,708"
"Lowell city, Massachusetts","7,718","± 1,811"
"Lynn city, Massachusetts","6,481","± 1,931"
"Malden city, Massachusetts","2,544","± 995"
"New Bedford city, Massachusetts","5,749","± 1,259"
"Newton city, Massachusetts","2,492","± 919"
"Quincy city, Massachusetts","3,145","± 1,081"
"Somerville city, Massachusetts","2,814","± 775"
"Springfield city, Massachusetts","7,641","± 2,058"
"Waltham city, Massachusetts","2,026","± 724"
"Worcester city, Massachusetts","14,497","± 2,682"
"Ann Arbor city, Michigan","10,170","± 1,798"
"Dearborn city, Michigan","4,482","± 1,492"
"Detroit city, Michigan","44,015","± 3,931"
"Farmington Hills city, Michigan","3,317","± 968"
"Flint city, Michigan","4,464","± 1,090"
"Grand Rapids city, Michigan","7,997","± 1,604"
