"Geographic Area Name","50.0 percent or more (2021)","MoE"
"Stockton city, California","12,500","± 1,985"
"Sunnyvale city, California","4,500","± 1,212"
"Temecula city, California","2,940","± 1,053"
"Thousand Oaks city, California","3,107","± 993"
"Torrance city, California","5,715","± 1,590"
"Tracy city, California","2,020","± 736"
"Tulare city, California","1,068","± 451"
"Turlock city, California","3,025","± 1,073"
"Tustin city, California","3,308","± 942"
"Union City city, California","988","± 473"
"Upland city, California","3,516","± 1,083"
"Vacaville city, California","2,738","± 916"
"Vallejo city, California","6,107","± 1,508"
"Victorville city, California","4,802","± 1,777"
"Visalia city, California","4,955","± 1,755"
"Vista city, California","4,241","± 998"
"Walnut Creek city, California","1,660","± 633"
"West Covina city, California","2,532","± 741"
"Westminster city, California","5,951","± 1,282"
"Whittier city, California","2,932","± 878"
"Yorba Linda city, California","1,580","± 710"
"Yuba City city, California","2,236","± 1,054"
"Arvada city, Colorado","3,821","± 1,236"
"Aurora city, Colorado","16,765","± 1,977"
"Boulder city, Colorado","9,567","± 1,417"
"Broomfield city, Colorado","2,603","± 607"
"Castle Rock town, Colorado","1,801","± 943"
"Centennial city, Colorado","1,693","± 635"
"Colorado Springs city, Colorado","17,667","± 2,560"
"Denver city, Colorado","34,041","± 3,071"
"Fort Collins city, Colorado","9,003","± 1,674"
"Grand Junction city, Colorado","2,451","± 1,126"
"Greeley city, Colorado","4,467","± 1,046"
"Highlands Ranch CDP, Colorado","2,277","± 913"
"Lakewood city, Colorado","9,569","± 1,670"
"Longmont city, Colorado","3,730","± 932"
"Loveland city, Colorado","2,654","± 875"
"Pueblo city, Colorado","5,690","± 1,384"
"Thornton city, Colorado","4,000","± 1,129"
"Westminster city, Colorado","4,285","± 1,139"
"Bridgeport city, Connecticut","10,406","± 1,897"
"Danbury city, Connecticut","2,976","± 1,021"
"Hartford city, Connecticut","10,003","± 1,536"
"New Britain city, Connecticut","3,866","± 1,008"
"New Haven city, Connecticut","10,673","± 1,435"
"Norwalk city, Connecticut","4,200","± 1,170"
"Stamford city, Connecticut","5,987","± 1,514"
"Waterbury city, Connecticut","6,045","± 1,753"
"Wilmington city, Delaware","4,192","± 1,292"
"Washington city, District of Columbia","41,482","± 3,948"
"Alafaya CDP, Florida","1,755","± 1,003"
"Boca Raton city, Florida","4,959","± 1,529"
"Boynton Beach city, Florida","4,211","± 1,263"
"Brandon CDP, Florida","6,646","± 1,526"
"Cape Coral city, Florida","4,329","± 1,339"
"Clearwater city, Florida","4,658","± 1,275"
"Coral Springs city, Florida","4,587","± 1,349"
"Davie town, Florida","3,432","± 1,209"
"Daytona Beach city, Florida","5,405","± 1,528"
"Deerfield Beach city, Florida","4,914","± 1,693"
"Delray Beach city, Florida","2,939","± 1,070"
"Deltona city, Florida","1,999","± 818"
"Doral city, Florida","4,183","± 1,018"
"Fort Lauderdale city, Florida","12,223","± 2,613"
"Fort Myers city, Florida","5,760","± 1,557"
"Gainesville city, Florida","11,147","± 2,239"
"Hialeah city, Florida","12,935","± 1,614"
"Hollywood city, Florida","7,876","± 1,529"
"Homestead city, Florida","4,486","± 1,313"
"Jacksonville city, Florida","45,275","± 4,769"
"Kendall CDP, Florida","3,813","± 1,336"
"Kissimmee city, Florida","6,083","± 1,555"
"Lakeland city, Florida","5,424","± 1,379"
"Largo city, Florida","3,891","± 1,351"
"Lauderhill city, Florida","5,250","± 1,360"
"Lehigh Acres CDP, Florida","3,819","± 1,123"
"Melbourne city, Florida","3,574","± 1,037"
"Miami city, Florida","43,290","± 4,310"
"Miami Beach city, Florida","8,891","± 1,395"
"Miami Gardens city, Florida","3,134","± 984"
"Miramar city, Florida","1,566","± 681"
"Orlando city, Florida","22,311","± 4,193"
"Palm Bay city, Florida","3,896","± 1,401"
"Palm Coast city, Florida","2,387","± 880"
"Pembroke Pines city, Florida","5,527","± 1,597"
"Pine Hills CDP, Florida","3,466","± 1,339"
"Plantation city, Florida","2,769","± 830"
"Pompano Beach city, Florida","6,727","± 1,510"
"Port Charlotte CDP, Florida","1,650","± 799"
"Port St. Lucie city, Florida","3,792","± 1,273"
"Riverview CDP, Florida","1,786","± 942"
"St. Petersburg city, Florida","9,957","± 1,839"
"Spring Hill CDP, Florida","2,844","± 1,121"
"Sunrise city, Florida","3,639","± 1,259"
"Tallahassee city, Florida","16,577","± 2,712"
"Tamarac city, Florida","2,585","± 1,030"
"Tampa city, Florida","21,025","± 2,280"
"Town 'n' Country CDP, Florida","5,161","± 1,737"
"Wesley Chapel CDP, Florida","950","± 546"
"Weston city, Florida","1,210","± 686"
"West Palm Beach city, Florida","8,371","± 1,906"
"Albany city, Georgia","4,426","± 1,213"
"Alpharetta city, Georgia","2,004","± 835"
"Athens-Clarke County unified government (balance), Georgia","10,212","± 2,085"
"Atlanta city, Georgia","32,275","± 4,312"
"Augusta-Richmond County consolidated government (balance), Georgia","7,819","± 1,672"
"Columbus city, Georgia","10,656","± 2,262"
"Macon-Bibb County, Georgia","6,925","± 1,608"
"Roswell city, Georgia","2,576","± 1,239"
"Sandy Springs city, Georgia","4,511","± 1,850"
"Savannah city, Georgia","9,517","± 1,687"
"Warner Robins city, Georgia","2,108","± 994"
"Urban Honolulu CDP, Hawaii","18,313","± 2,369"
"Boise City city, Idaho","7,978","± 2,033"
"Idaho Falls city, Idaho","1,472","± 519"
"Meridian city, Idaho","1,701","± 1,035"
"Nampa city, Idaho","2,234","± 938"
"Arlington Heights village, Illinois","1,123","± 610"
"Aurora city, Illinois","4,674","± 1,269"
"Bloomington city, Illinois","2,232","± 812"
"Bolingbrook village, Illinois","1,439","± 781"
"Champaign city, Illinois","4,670","± 1,317"
"Chicago city, Illinois","156,141","± 7,992"
"Cicero town, Illinois","2,944","± 955"
"Decatur city, Illinois","2,156","± 706"
"Elgin city, Illinois","1,955","± 830"
"Evanston city, Illinois","3,341","± 825"
"Joliet city, Illinois","2,407","± 773"
"Naperville city, Illinois","3,665","± 1,123"
"Palatine village, Illinois","3,054","± 1,093"
"Peoria city, Illinois","5,247","± 1,330"
"Rockford city, Illinois","7,866","± 1,449"
"Schaumburg village, Illinois","2,429","± 924"
"Skokie village, Illinois","2,117","± 1,164"
"Springfield city, Illinois","4,685","± 1,064"
"Waukegan city, Illinois","2,992","± 918"
"Bloomington city, Indiana","8,664","± 1,747"
"Carmel city, Indiana","1,278","± 565"
"Evansville city, Indiana","3,714","± 957"
"Fishers city, Indiana","876","± 654"
"Fort Wayne city, Indiana","8,305","± 1,384"
"Hammond city, Indiana","2,242","± 803"
"Indianapolis city (balance), Indiana","34,118","± 3,562"
"Lafayette city, Indiana","3,176","± 961"
"Noblesville city, Indiana","1,243","± 695"
"South Bend city, Indiana","4,688","± 1,311"
"Ames city, Iowa","5,129","± 1,510"
"Ankeny city, Iowa","1,084","± 551"
"Cedar Rapids city, Iowa","2,897","± 889"
"Davenport city, Iowa","3,245","± 927"
"Des Moines city, Iowa","6,981","± 1,280"
"Iowa City city, Iowa","4,102","± 1,065"
"Sioux City city, Iowa","2,255","± 848"
"Waterloo city, Iowa","2,890","± 954"
"West Des Moines city, Iowa","3,595","± 1,339"
"Kansas City city, Kansas","4,822","± 1,017"
"Lawrence city, Kansas","7,356","± 1,666"
"Olathe city, Kansas","1,946","± 694"
"Overland Park city, Kansas","5,530","± 1,236"
"Shawnee city, Kansas","986","± 609"
"Topeka city, Kansas","5,699","± 1,458"
"Wichita city, Kansas","14,248","± 2,064"
"Bowling Green city, Kentucky","4,752","± 1,221"
"Lexington-Fayette urban county, Kentucky","15,725","± 1,933"
"Louisville/Jefferson County metro government (balance), Kentucky","22,566","± 2,801"
"Baton Rouge city, Louisiana","14,597","± 2,522"
"Kenner city, Louisiana","3,169","± 1,302"
"Lafayette city, Louisiana","6,376","± 1,280"
"Lake Charles city, Louisiana","3,304","± 1,222"
"Metairie CDP, Louisiana","4,750","± 1,615"
"New Orleans city, Louisiana","25,279","± 2,363"
"Shreveport city, Louisiana","10,408","± 2,069"
"Portland city, Maine","3,307","± 928"
"Baltimore city, Maryland","37,110","± 3,364"
"Bethesda CDP, Maryland","2,295","± 619"
"Columbia CDP, Maryland","2,565","± 979"
"Ellicott City CDP, Maryland","1,427","± 611"
"Frederick city, Maryland","3,617","± 1,136"
"Gaithersburg city, Maryland","3,322","± 1,007"
"Germantown CDP, Maryland","2,266","± 771"
"Glen Burnie CDP, Maryland","2,063","± 918"
"Rockville city, Maryland","2,473","± 841"
"Silver Spring CDP, Maryland","4,614","± 1,610"
"Waldorf CDP, Maryland","2,461","± 914"
"Boston city, Massachusetts","43,140","± 3,426"
"Brockton city, Massachusetts","4,303","± 1,475"
"Cambridge city, Massachusetts","6,484","± 1,395"
"Fall River city, Massachusetts","6,528","± 1,530"
"Framingham city, Massachusetts","2,905","± 926"
"Haverhill city, Massachusetts","3,546","± 1,093"
"Lawrence city, Massachusetts","6,132","± 1,574"
"Lowell city, Massachusetts","4,594","± 1,162"
"Lynn city, Massachusetts","5,112","± 1,367"
"Malden city, Massachusetts","3,884","± 1,336"
"New Bedford city, Massachusetts","7,288","± 1,346"
"Newton city, Massachusetts","1,127","± 529"
"Quincy city, Massachusetts","5,443","± 1,301"
"Somerville city, Massachusetts","3,471","± 1,040"
"Springfield city, Massachusetts","9,842","± 1,745"
"Worcester city, Massachusetts","9,184","± 1,691"
"Ann Arbor city, Michigan","9,390","± 1,735"
"Dearborn city, Michigan","3,395","± 1,056"
"Detroit city, Michigan","37,389","± 3,319"
"Farmington Hills city, Michigan","1,784","± 906"
"Flint city, Michigan","3,632","± 1,029"
"Grand Rapids city, Michigan","7,708","± 1,734"
"Kalamazoo city, Michigan","6,470","± 1,749"
"Lansing city, Michigan","4,914","± 1,167"
"Livonia city, Michigan","925","± 501"
"Novi city, Michigan","2,031","± 924"
"Rochester Hills city, Michigan","1,407","± 468"
"Southfield city, Michigan","5,112","± 1,165"
"Sterling Heights city, Michigan","2,675","± 896"
"Troy city, Michigan","1,344","± 637"
"Warren city, Michigan","3,430","± 1,218"
"Westland city, Michigan","2,602","± 893"
"Wyoming city, Michigan","3,127","± 1,292"
"Blaine city, Minnesota","1,015","± 527"
"Bloomington city, Minnesota","2,991","± 976"
"Brooklyn Park city, Minnesota","2,114","± 1,119"
"Duluth city, Minnesota","4,320","± 940"
"Eagan city, Minnesota","908","± 344"
"Maple Grove city, Minnesota","527","± 321"
"Minneapolis city, Minnesota","21,594","± 2,934"
"Plymouth city, Minnesota","1,556","± 727"
"Rochester city, Minnesota","3,614","± 1,050"
"St. Cloud city, Minnesota","4,700","± 1,425"
"St. Paul city, Minnesota","11,436","± 1,739"
"Gulfport city, Mississippi","3,296","± 1,215"
"Jackson city, Mississippi","10,116","± 1,631"
"Columbia city, Missouri","7,335","± 1,659"
"Independence city, Missouri","5,315","± 1,430"
"Kansas City city, Missouri","22,000","± 2,535"
"Lee's Summit city, Missouri","1,715","± 853"
"O'Fallon city, Missouri","672","± 441"
"St. Charles city, Missouri","1,860","± 736"
"St. Joseph city, Missouri","2,694","± 663"
"St. Louis city, Missouri","17,732","± 2,556"
"Springfield city, Missouri","9,343","± 2,144"
"Billings city, Montana","4,229","± 1,348"
"Missoula city, Montana","4,026","± 1,185"
"Lincoln city, Nebraska","11,572","± 1,838"
"Omaha city, Nebraska","21,346","± 2,529"
"Enterprise CDP, Nevada","9,126","± 1,994"
"Henderson city, Nevada","9,819","± 1,730"
"Las Vegas city, Nevada","32,490","± 3,110"
"North Las Vegas city, Nevada","9,621","± 1,849"
"Paradise CDP, Nevada","13,709","± 1,924"
"Reno city, Nevada","12,702","± 1,875"
"Sparks city, Nevada","2,135","± 896"
"Spring Valley CDP, Nevada","15,990","± 2,447"
"Sunrise Manor CDP, Nevada","8,180","± 1,692"
"Manchester city, New Hampshire","4,614","± 1,133"
"Nashua city, New Hampshire","3,589","± 1,146"
"Bayonne city, New Jersey","3,541","± 1,069"
"Camden city, New Jersey","5,064","± 1,377"
"Clifton city, New Jersey","4,344","± 1,344"
"East Orange city, New Jersey","3,809","± 1,235"
"Elizabeth city, New Jersey","9,235","± 1,754"
"Jersey City city, New Jersey","21,144","± 2,485"
"Newark city, New Jersey","26,346","± 3,109"
"Passaic city, New Jersey","5,754","± 1,231"
"Paterson city, New Jersey","12,679","± 1,900"
"Toms River CDP, New Jersey","2,063","± 869"
"Trenton city, New Jersey","4,335","± 1,322"
"Union City city, New Jersey","4,776","± 1,197"
"Albuquerque city, New Mexico","23,837","± 3,149"
"Las Cruces city, New Mexico","5,632","± 1,783"
"Rio Rancho city, New Mexico","1,473","± 765"
"Santa Fe city, New Mexico","4,163","± 1,235"
"Albany city, New York","9,778","± 2,160"
"Buffalo city, New York","20,397","± 2,560"
"Cheektowaga CDP, New York","1,822","± 770"
"Mount Vernon city, New York","3,605","± 1,086"
"New Rochelle city, New York","4,019","± 1,352"
"New York city, New York","623,792","± 13,216"
"Rochester city, New York","16,035","± 2,027"
"Schenectady city, New York","5,612","± 1,809"
"Syracuse city, New York","12,794","± 1,690"
"Yonkers city, New York","12,340","± 2,226"
"Asheville city, North Carolina","4,361","± 1,194"
"Cary town, North Carolina","3,692","± 1,132"
"Charlotte city, North Carolina","34,366","± 3,875"
"Concord city, North Carolina","1,887","± 1,099"
"Durham city, North Carolina","14,473","± 2,767"
"Fayetteville city, North Carolina","10,530","± 1,454"
"Gastonia city, North Carolina","3,705","± 1,179"
"Greensboro city, North Carolina","13,462","± 2,121"
"Greenville city, North Carolina","8,293","± 1,861"
"High Point city, North Carolina","4,070","± 1,204"
"Jacksonville city, North Carolina","3,774","± 1,623"
"Raleigh city, North Carolina","24,710","± 3,467"
"Wilmington city, North Carolina","8,733","± 1,992"
"Winston-Salem city, North Carolina","11,173","± 2,146"
"Bismarck city, North Dakota","1,688","± 703"
"Fargo city, North Dakota","6,034","± 2,133"
"Akron city, Ohio","9,009","± 1,795"
"Canton city, Ohio","3,981","± 1,193"
"Cincinnati city, Ohio","24,901","± 2,604"
"Cleveland city, Ohio","24,034","± 2,628"
"Columbus city, Ohio","45,224","± 4,354"
"Dayton city, Ohio","5,825","± 1,153"
"Lorain city, Ohio","3,518","± 1,070"
"Parma city, Ohio","1,508","± 752"
"Toledo city, Ohio","11,024","± 2,002"
"Broken Arrow city, Oklahoma","1,692","± 508"
"Edmond city, Oklahoma","2,838","± 970"
"Lawton city, Oklahoma","4,195","± 1,167"
"Norman city, Oklahoma","5,696","± 1,544"
"Oklahoma City city, Oklahoma","27,415","± 3,197"
"Tulsa city, Oklahoma","18,565","± 1,637"
"Beaverton city, Oregon","5,982","± 1,486"
"Bend city, Oregon","3,034","± 1,137"
"Eugene city, Oregon","10,916","± 1,770"
"Gresham city, Oregon","5,602","± 1,310"
"Hillsboro city, Oregon","3,106","± 1,135"
"Medford city, Oregon","4,491","± 1,363"
"Portland city, Oregon","33,673","± 3,365"
"Salem city, Oregon","8,455","± 1,569"
"Allentown city, Pennsylvania","9,117","± 2,125"
"Bethlehem city, Pennsylvania","2,573","± 912"
"Erie city, Pennsylvania","4,432","± 1,209"
"Philadelphia city, Pennsylvania","88,228","± 5,958"
"Pittsburgh city, Pennsylvania","14,843","± 2,048"
"Reading city, Pennsylvania","5,985","± 1,441"
"Scranton city, Pennsylvania","3,192","± 772"
"Cranston city, Rhode Island","3,250","± 1,322"
"Pawtucket city, Rhode Island","3,494","± 1,093"
"Providence city, Rhode Island","8,517","± 1,928"
"Warwick city, Rhode Island","1,835","± 789"
"Charleston city, South Carolina","7,100","± 1,510"
"Columbia city, South Carolina","8,231","± 1,618"
"Greenville city, South Carolina","3,840","± 1,301"
"Mount Pleasant town, South Carolina","2,283","± 1,072"
"North Charleston city, South Carolina","7,061","± 2,154"
